strassenschluessel;bezeichnung;geometry
05166000002017001;Ahornweg;POINT (6.142466562569769 51.21474875505945)
05166000002017002;Alte Zollstraße;POINT (6.130255736375507 51.21375815367205)
05166000002017003;Alter Kirchweg;POINT (6.147276250995431 51.211444990086)
05166000002017004;Am Friedhof;POINT (6.166119677658995 51.21411810151311)
05166000002017005;Am Kastell;POINT (6.164580996976212 51.21113582899118)
05166000002017006;Amselweg;POINT (6.137941314937732 51.21150036044241)
05166000002017007;An der Beek;POINT (6.1786115734199525 51.21961816532678)
05166000002017008;An der Wae;POINT (6.145167393229201 51.216197323563485)
05166000002017012;Adam-Houx-Straße;POINT (6.167492052218111 51.21163150711874)
05166000002017013;August-Macke-Weg;POINT (6.1566005701499105 51.214292955913564)
05166000002017014;Adolph-Kolping-Platz;
05166000002017015;Berg;POINT (6.167606274522161 51.20804440200323)
05166000002017016;Birkenweg;POINT (6.142939629772254 51.211811947497694)
05166000002017017;Buchenweg;POINT (6.142462816513851 51.21262924532451)
05166000002017018;Burghof;POINT (6.085018331769512 51.180844766486146)
05166000002017019;Buschweg;POINT (6.128013074229706 51.21284070028288)
05166000002017024;Carl-Spitzweg-Gasse;POINT (6.157583043276774 51.21449292778288)
05166000002017025;Cameron Road;
05166000002017026;Dickinson Close;
05166000002017027;Dickinson Road;
05166000002017028;De Haag;POINT (6.153737041897003 51.20877403828097)
05166000002017029;Dürerstraße;POINT (6.1578199698974885 51.21303750449441)
05166000002017032;Emil-Nolde-Weg;POINT (6.15739120007597 51.21363747016607)
05166000002017033;Douglas Road;
05166000002017034;Dowding Road;
05166000002017035;Eschenweg;POINT (6.143804972969872 51.21529722060702)
05166000002017036;Ellington Road;
05166000002017037;Florianstraße;POINT (6.157943225604494 51.21753296964771)
05166000002017038;Felderweg;POINT (6.129704699839124 51.21148927008987)
05166000002017039;Fichtenweg;POINT (6.142361218169236 51.21585089395072)
05166000002017040;Franzstraße;POINT (6.151460601686183 51.2101666746673)
05166000002017041;Freiheitsstraße;POINT (6.1634757212584335 51.21394357081083)
05166000002017042;Friedrichstraße;POINT (6.155217832434887 51.21028557656999)
05166000002017044;Bischof-Stockums-Platz;
05166000002017045;D'r Märet;
05166000002017046;Ginsterweg;POINT (6.142424808914426 51.216051263922495)
05166000002017047;Goethestraße;POINT (6.169451929602066 51.212623786422164)
05166000002017048;Hinter der Est;
05166000002017049;Grünewaldstraße;POINT (6.156648179139432 51.215286517989966)
05166000002017050;Halenderfeld;POINT (6.167496220926412 51.21435575491252)
05166000002017051;Hauptstraße;POINT (6.1677473054970875 51.21097147380088)
05166000002017052;Heinrichsstraße;POINT (6.163629258658575 51.21166524579279)
05166000002017053;Hermannstraße;POINT (6.147602496867688 51.21102735291239)
05166000002017054;Hillenkamp;POINT (6.161997651228538 51.204946244642706)
05166000002017055;Holunderweg;POINT (6.141182566324603 51.214201118485974)
05166000002017057;Hans-Holbein-Weg;POINT (6.159488209012036 51.21458450056765)
05166000002017058;Harris Close;
05166000002017059;Harris Road;
05166000002017060;Holzweg;
05166000002017061;Im Grong;POINT (6.146614657384164 51.21316518602741)
05166000002017062;Im Grund;POINT (6.16145656415263 51.21072976364792)
05166000002017063;Im Sande;POINT (6.136354935749351 51.20837862604319)
05166000002017064;In der Furt;POINT (6.168374027462137 51.20981904467245)
05166000002017066;Industriestraße;POINT (6.137375965718534 51.2143381188307)
05166000002017067;Lykersweg;
05166000002017068;Josefstraße;POINT (6.148621066003836 51.21062399978224)
05166000002017069;Joseph-Beuys-Weg;POINT (6.157993134095641 51.21478104267233)
05166000002017070;Käthe-Kollwitz-Weg;POINT (6.158556826754581 51.21258782150989)
05166000002017071;Karlstraße;POINT (6.151052275978611 51.21045394314586)
05166000002017072;Kiefernweg;POINT (6.127624004756637 51.208260096098854)
05166000002017073;Kreithövel;POINT (6.163590141782015 51.20977626188552)
05166000002017074;Krummer Weg;POINT (6.1564275845797845 51.20298836800466)
05166000002017076;Karl-Friedr.-Schinkel-Weg;POINT (6.160071463062933 51.213437534503086)
05166000002017077;Meinweg;
05166000002017078;Laurentiusstraße;POINT (6.1664186057096995 51.21162042184912)
05166000002017079;Lehmkul;POINT (6.154256025325949 51.21612339313422)
05166000002017080;Lelefeld;POINT (6.145992272447449 51.21784648215597)
05166000002017081;Lerchenweg;POINT (6.1368791402984515 51.21234185816431)
05166000002017082;Lessingstraße;POINT (6.164324986033441 51.214642563286326)
05166000002017083;Lindenweg;POINT (6.169612447883728 51.21304740150922)
05166000002017084;Lüsekamp;
05166000002017086;Lucas-Cranach-Weg;POINT (6.158508914875785 51.21419373982365)
05166000002017087;Martin-Schongauer-Weg;POINT (6.159062919045981 51.21384430670531)
05166000002017088;Max-Liebermann-Weg;POINT (6.159851311754393 51.21287928398704)
05166000002017089;Dilborner Weg;
05166000002017090;Hillenkamper Buschweg;
05166000002017091;Menzelstraße;POINT (6.158066163954385 51.21436812403741)
05166000002017092;Mönchengladbacher Straße;POINT (6.170117009216827 51.212132025533116)
05166000002017093;Newall Close;
05166000002017094;Newall Road;
05166000002017096;Barbarastraße;POINT (6.160891115618812 51.21609319820116)
05166000002017097;Nachtigallenweg;POINT (6.17464434820968 51.20965071078823)
05166000002017098;Nollesweg;POINT (6.134554916433019 51.21209189294629)
05166000002017099;Heineland;POINT (6.15999091542201 51.21710782471561)
05166000002017100;Op dem Felde;POINT (6.128740445097586 51.21148539377421)
05166000002017101;Overhetfelder Straße;POINT (6.158419598085247 51.21558525612709)
05166000002017102;Otto-Dix-Weg;POINT (6.161212534523001 51.21350139048198)
05166000002017103;Ursulastraße;POINT (6.159897508498526 51.21637028849641)
05166000002017106;Palixweg;POINT (6.1539140406417525 51.209534968859884)
05166000002017107;Pappelweg;POINT (6.145055384292233 51.21336936842323)
05166000002017108;Poststraße;POINT (6.167111942567274 51.212710646561064)
05166000002017109;Portal Road;
05166000002017112;Riether Feld;POINT (6.165540883003598 51.20663653804322)
05166000002017113;Roermonder Straße;POINT (6.115829762499756 51.20804860848507)
05166000002017114;Rubensstraße;POINT (6.160877138270338 51.21301096935104)
05166000002017117;Schillerstraße;POINT (6.164497838540981 51.21392646341372)
