strassenschluessel;bezeichnung;geometry
05358000004800535;FLB-Strasse;
05358000004803300;Licher Str.;
05358000004803301;B 55;
05358000004803302;K 22;
05358000004803303;K 13;
05358000004803305;L 12;
05358000004803306;L 264;
05358000004803308;A 4;
05358000004803309;K 2;
05358000004803310;K 50;
05358000004803450;Am Mühlenteich;POINT (6.421356351205593 50.8758541752972)
05358000004803461;Alte Ziegelei;POINT (6.471155570132099 50.87068950772587)
05358000004803462;Am Tagebau;
05358000004803463;Am Sportplatz;POINT (6.477280697409259 50.86972805300946)
05358000004803465;Helmut-Schmidt-Straße;POINT (6.471522743711526 50.871079462457864)
05358000004803481;Peter-Willems-Str.;POINT (6.446511420462543 50.85474801430068)
05358000004803482;Pfarrer-Künster-Str.;POINT (6.460901301933485 50.85405150947036)
05358000004803490;Klosterstr.;POINT (6.454502538922179 50.88436439581187)
05358000004803491;Viktor-Schroeder-Str.;POINT (6.472089139880299 50.876512554116935)
05358000004803493;Am Roten Berg;POINT (6.471206791017571 50.87799812441184)
05358000004803500;Adenauerweg;POINT (6.45696663474568 50.886682117504115)
05358000004803501;Auf der Kluse;POINT (6.459893075594773 50.887726889302336)
05358000004803502;Amselweg;POINT (6.458412122019392 50.88425207135173)
05358000004803503;Berg;POINT (6.444493357345052 50.879811147337584)
05358000004803504;Auestr.;POINT (6.461910131615828 50.87874856463881)
05358000004803505;Breitestr.;POINT (6.464654856103435 50.8846868118504)
05358000004803506;Rathausstr.;POINT (6.46013684382736 50.88334817222391)
05358000004803507;Vieux-Conde-Str.;POINT (6.467312007478612 50.88296468420169)
05358000004803508;Beethovenstr.;POINT (6.461715427290107 50.88691248243472)
05358000004803509;Grünstr.;POINT (6.461063153642406 50.886053887883506)
05358000004803510;Hambacher Str.;POINT (6.462321824086376 50.88729842314828)
05358000004803511;Haus Eilen;POINT (6.434811652875033 50.883554454028875)
05358000004803512;Hoffeld;POINT (6.465486100387559 50.88709622376729)
05358000004803513;Hochstedenstr.;POINT (6.46309679570944 50.87934256681728)
05358000004803514;Kölnstr.;POINT (6.464406537502206 50.887717165160026)
05358000004803515;Kolpingweg;POINT (6.45897646500773 50.88787431584104)
05358000004803516;Landauerweg;POINT (6.45833506944388 50.886527533725065)
05358000004803517;Mühlenstr.;POINT (6.465144456836628 50.88319804574525)
05358000004803518;Ellbachstr.;POINT (6.460718015021187 50.88047562851641)
05358000004803519;Oberstr.;POINT (6.4688648708615855 50.885334338546265)
05358000004803520;Pfarrer-Müller-Str.;POINT (6.468710074337387 50.8870384167947)
05358000004803521;Kaplanstr.;POINT (6.463875937745543 50.88067620031619)
05358000004803522;Schillerstr.;POINT (6.457773972975029 50.88655311200631)
05358000004803523;Schützenstr.;POINT (6.465788696134915 50.885522802207426)
05358000004803524;Ringstr.;POINT (6.464727393954514 50.879995036247344)
05358000004803525;Treibbach;POINT (6.46775231972814 50.88379353946692)
05358000004803526;Mönchenbusch;POINT (6.463346629726954 50.87788709819303)
05358000004803527;St.Cäcilia-Str.;POINT (6.46206737409077 50.88558832779808)
05358000004803528;Weihbergstr.;POINT (6.46654038264346 50.88835320838158)
05358000004803529;Auf dem Kamp;POINT (6.459968445257303 50.8841380886507)
05358000004803530;Wüstweilerstr.;POINT (6.464257747167385 50.8794916975673)
05358000004803531;Am Grauen Stein;POINT (6.463042035796973 50.882838716431515)
05358000004803532;Im Wiesengrund;POINT (6.460344507852406 50.882505961932324)
05358000004803533;An der Maar;POINT (6.461385679286019 50.882034430568744)
05358000004803534;Taubenforst;POINT (6.460704873457697 50.88316615789426)
05358000004803535;Lyatenstr.;POINT (6.465194305375249 50.87737096096243)
05358000004803536;Parkstr.;POINT (6.464986948329976 50.87695107212589)
05358000004803537;Im Bachfeld;POINT (6.456433429414964 50.88404495953916)
05358000004803538;Arnoldsweilerstr.;POINT (6.49392852192889 50.85811658727529)
05358000004803539;Bachems Gasse;POINT (6.497710552045392 50.85664333436151)
