strassenschluessel;bezeichnung
057620000028J9430;R 53 Schieder-Brakel
057620000028J9431;Beim Dorfe
057620000028J9434;K 5
057620000028J9439;L 951
057620000028J9443;R 1 Radweg Münster-Höxter
057620000028J9444;Nikolausbach
057620000028J9445;Wellenholzhausen
057620000028J9446;Vor dem wüsten Kamp
057620000028J9447;Richterplatz
057620000028J9449;Wölberg
057620000028J9450;Wiesengraben
057620000028J9451;Wenkenberg
057620000028J9452;Wellenholz
057620000028J9453;Weber-Platz
057620000028J9454;Voswinkel
057620000028J9455;Vorn im niederen Feld
057620000028J9456;Vorn an dem niederen Felde
057620000028J9457;Vorn an dem Ehebruch
057620000028J9458;Vorling
057620000028J9459;Vor den langen Buchen
057620000028J9460;Vor dem untern Tore
057620000028J9461;Vor dem Südholze
057620000028J9462;Vor dem Holstertore
057620000028J9463;Vor dem hohen Felde
057620000028J9464;Vor dem Emmerbruch
057620000028J9465;Vor dem Buchholze
057620000028J9467;Unterm Wölberg
057620000028J9468;Untere Schierenberg
057620000028J9469;Unterm Holsterberg
057620000028J9470;Unter dem Südholz
057620000028J9471;Unter dem Buchholz
057620000028J9472;Unten am Ehebruch
057620000028J9473;Uhlenmasch
057620000028J9474;Über der Lehmkuhle
057620000028J9475;Über dem Stoppelkamp
057620000028J9476;Trift
057620000028J9477;Taubengrund
057620000028J9478;Sunderchen
057620000028J9479;Sudholzer Wiesen
057620000028J9480;Südholz
057620000028J9481;Stockgrund
057620000028J9482;Steinbrink
057620000028J9483;Stadtbusch und Nachtstall
057620000028J9484;Schierenberg
057620000028J9485;Schierenbach
057620000028J9486;Sauerbeutel
057620000028J9487;Sauanger
057620000028J9488;Rothe Berg
057620000028J9489;Rothe
057620000028J9490;Röhenbrocks Wiesen im Finbrok
057620000028J9491;Rischkämpe am gr.lütjen Felde
057620000028J9492;Pothof
057620000028J9493;Possiek
057620000028J9494;Pohl
057620000028J9495;L 952
057620000028J9497;Ötgengrund
057620000028J9499;Nietelsiek
057620000028J9500;K 4
057620000028J9501;Nieheimer Kamp
057620000028J9503;Niederes Feld
057620000028J9504;Neue Sundern
057620000028J9505;Mühlengraben
057620000028J9506;Mühlenbach
057620000028J9507;Meyfeste
057620000028J9508;Lehmkuhle
057620000028J9509;Lehmbrede
057620000028J9510;Langenacker
057620000028J9511;L 755
057620000028J9512;K 1
057620000028J9514;Krummpohl
057620000028J9515;Kreuskamp am kl.lütjen Felde
057620000028J9516;Klinke
057620000028J9517;Kleine Sundern
057620000028J9518;Kleiner Damm
057620000028J9519;Kleine lütje Feld
057620000028J9520;Kleine Finbrok
057620000028J9521;Kleine Esterfeld
057620000028J9522;Kleine Damme
057620000028J9523;Kleine Bülte
057620000028J9524;Jesuiter Kämpe
057620000028J9525;Jesuitenbach
057620000028J9526;In der langen Twete
057620000028J9527;In der langen Brede
057620000028J9528;In den Winsen
057620000028J9529;In den Schelschen Höfen
057620000028J9530;In den sauren Wiesen
057620000028J9531;In den langen Breiten
057620000028J9532;In den langen Äckern
057620000028J9533;Im vorderen Nordfelde
057620000028J9534;Im niederen Feld
057620000028J9535;Im Graben
057620000028J9536;Im Entenanger
057620000028J9537;Im Bromster Hof
057620000028J9538;Hornsche Trift
057620000028J9539;Hohe Feld
057620000028J9540;Hinter'm wüsten Kamp
057620000028J9541;Hinterm Steinbrink
057620000028J9542;Hintere Stränge
057620000028J9543;Hinter den langen Breiten
057620000028J9544;Hinter dem Südholz
057620000028J9545;Hinter dem großen lütjen Feld
057620000028J9546;Hinten im niedern Feld
057620000028J9547;Hinten am Satzer Felde
057620000028J9548;Hinten am Ramsnacken
057620000028J9549;Habergrund
057620000028J9550;Gut Externbrock
057620000028J9551;Großer Damm
057620000028J9552;Große lütje Feld
057620000028J9553;Große Finbrok
057620000028J9554;Große Esterfeld
057620000028J9555;Gribbe
057620000028J9556;Grahlersche Feld
057620000028J9557;Gräwenkamper Wiesen
057620000028J9558;Finbrok Wiesen
057620000028J9559;Externkämpe am gr.lütjen Felde
057620000028J9560;Entenpohl
057620000028J9561;Entenmasch
057620000028J9562;Entenanger
057620000028J9563;Emmer
057620000028J9564;Ellernsiek
057620000028J9565;Die Viehtrift
057620000028J9566;Die Alerbor Wiesen
057620000028J9567;Der Holsterberg
057620000028J9568;Der hintere Brodberg
057620000028J9569;Der Enskeberg
057620000028J9570;Das kleine Feld
057620000028J9571;Das hohe Feld
057620000028J9572;Das Buchholz
057620000028J9573;Burgmasch
057620000028J9574;Brünster Kamp
057620000028J9575;B 252
057620000028J9576;Beim schwarzen Pfahl
057620000028J9577;Beim Piepensiek
057620000028J9578;Bei der Teufelsmühle
057620000028J9579;Bei der Bärenwiese
057620000028J9580;Beberwiesen
057620000028J9581;Beberkamp
057620000028J9582;Beber
057620000028J9583;Auf'm Remmen
057620000028J9584;Auf der Wielke
057620000028J9585;Auf der Pömbser Rotthöhe
057620000028J9586;Auf der Böscheburg
057620000028J9587;Auf dem Stocke
057620000028J9588;Auf dem Röhenbruch
057620000028J9589;Auf dem Ramsnacken
057620000028J9590;Auf dem kleinen Lehmbrink
057620000028J9591;Auf dem großen Bülte
057620000028J9592;Auf dem Esch
057620000028J9593;An den Ripen
057620000028J9594;An dem langen Rade
057620000028J9595;An dem Ehebruch
057620000028J9596;Am Winselberge
057620000028J9597;Am Südholz
057620000028J9599;Am Paarmarkte
057620000028J9600;Am Lattberge
057620000028J9601;Am Krulsberge
057620000028J9602;Am Klonsberge
057620000028J9603;Am Judendamm
057620000028J9604;Am Holsterberge
057620000028J9605;Am großen Damm
057620000028J9606;Am Entenanger
057620000028J9607;Am Ellernsiek
057620000028J9608;Am Beberkamp
057620000028J9609;Am Beberbach
057620000028J9610;Alersfelde
057620000028J9611;An der B 252
057620000028J9616;Westerhelle
057620000028J9618;Varusberg
057620000028J9619;Unterm Rehberge
057620000028J9620;Uhlenmasch
057620000028J9621;Trenkbaum
057620000028J9622;Taubengrund
057620000028J9623;Tappenrode
057620000028J9624;Tappenriepen
057620000028J9625;Talbreite
057620000028J9626;Steinplatz
057620000028J9627;Sandkämpe
057620000028J9628;Riepen
057620000028J9629;Rehberg
057620000028J9630;Pferdekamp
057620000028J9631;Papensiek
057620000028J9632;Oeynhauser Holz
057620000028J9633;K 3
057620000028J9635;Oetkenberg
057620000028J9636;Oben Wiehe
057620000028J9637;Mühlenfeld
057620000028J9638;Mühlenbrede
057620000028J9639;Mühlenbach
057620000028J9640;Mönkeberg
057620000028J9642;Lütke Hein
057620000028J9644;Landwehr
057620000028J9645;Lakewiese
057620000028J9646;Kellerfeld
057620000028J9647;Kabenwiesenbach
057620000028J9648;Kabenwiese
057620000028J9649;Kabenfeld
057620000028J9650;Holtkamp
057620000028J9651;Hinter der Mühle
057620000028J9652;Haarkamp
057620000028J9654;Goldbreite
057620000028J9655;Fußkämpe
057620000028J9656;Entepöhle
057620000028J9657;Emmerkämpe
057620000028J9658;Emmerbruch
057620000028J9660;Driebreite
057620000028J9661;Bruchwiesen
057620000028J9662;Bruchkamp
057620000028J9663;Bruch
057620000028J9664;Brinkfeld
057620000028J9665;Auf der Rhede
057620000028J9666;Auf dem Riesche
057620000028J9667;Auf dem Kalke
057620000028J9668;An der Mühle
057620000028J9669;Am Riepenkamp
057620000028J9670;Am Kahlen Berge
057620000028J9671;Am Emmerbach
057620000028J9672;Aechter Wied
057620000028J9673;Wolfskamp
057620000028J9674;Wischholz
057620000028J9675;Altenbeken-Hannover
057620000028J9676;Varusberg
057620000028J9677;Unter der Trift
057620000028J9678;Unter dem Wolfskamp
057620000028J9679;Tiergarten
057620000028J9680;Ochsenbrink
057620000028J9681;Mühlengraben
057620000028J9684;Lindengrund
057620000028J9685;Lange Trift
