strassenschluessel;bezeichnung;geometry
05566000006401001;Altenberger Str.;POINT (7.477721890597415 52.0814988974692)
05566000006401002;Am Bahnhof;POINT (7.461415926883399 52.0782207846091)
05566000006401003;Am Egen;POINT (7.4674011529488125 52.10189038879527)
05566000006401004;Am Höppenbach;POINT (7.475524616959718 52.07824991641961)
05566000006401005;Amselgasse;POINT (7.472011024705709 52.07973796137594)
05566000006401006;Am Teich;POINT (7.481994920514545 52.0801626963355)
05566000006401007;Amtmann-Daniel-Str.;POINT (7.480365518065112 52.0862595212053)
05566000006401008;Am Tümpel;POINT (7.4774280307471175 52.08964552113858)
05566000006401009;An der Wallhecke;POINT (7.4699324771279985 52.08117274364471)
05566000006401010;Auf dem Esch;POINT (7.466054487714974 52.084774404774194)
05566000006401011;Augustin-Wibbelt-Str.;POINT (7.482015939593795 52.081482161271424)
05566000006401012;Bahnhofstr.;POINT (7.478660626612669 52.08335965690101)
05566000006401013;Barkhof;POINT (7.484449654754626 52.09096939312559)
05566000006401014;Bispingallee;POINT (7.488707755410745 52.08657878950811)
05566000006401015;Darupstr.;POINT (7.476786792980338 52.084710036714554)
05566000006401016;Dömerstiege;POINT (7.4763582327546665 52.09248663605531)
05566000006401017;Dorfkamp;POINT (7.482778592188639 52.08870567045661)
05566000006401018;Drosselstiege;POINT (7.471893670655455 52.08128140605179)
05566000006401019;Droste-Hülshoff-Str.;POINT (7.481035961127282 52.08077598566035)
05566000006401020;Eichendorffstr.;POINT (7.487638186170655 52.08926702431454)
05566000006401021;Emsdettener Str.;POINT (7.483710311665032 52.08530941492782)
05566000006401022;Ernst-Mummenhoff-Str.;POINT (7.484845828045716 52.08909126135668)
05566000006401023;Feldstr.;POINT (7.466482335524044 52.08549520139977)
05566000006401024;Felix-Fraling-Str.;POINT (7.4772994833232085 52.08212074921224)
05566000006401025;Finkenbreil;POINT (7.472146987137414 52.08308287782989)
05566000006401026;Fritz-Reuter-Str.;POINT (7.486506217707188 52.08185928289239)
05566000006401027;Gartenstr.;POINT (7.464045865599537 52.078953190495454)
05566000006401028;Gerhart-Hauptmann-Str.;POINT (7.486985179304154 52.09001228235919)
05566000006401029;Greßkamp;POINT (7.483502103841978 52.083616720428786)
05566000006401030;Grevener Str.;POINT (7.48432100935182 52.08387357035065)
05566000006401031;Grottenkamp;POINT (7.4708844128102205 52.08304716264805)
05566000006401032;Grüner Grund;POINT (7.462127462002093 52.07798608387345)
05566000006401033;Grüner Weg;POINT (7.463222141287893 52.078917347553805)
05566000006401034;Gustav-Adolf-Str.;POINT (7.486673961216586 52.08403163061689)
05566000006401035;Heckenweg;POINT (7.483110052317642 52.08534610047065)
05566000006401036;Hermann-Stehr-Str.;POINT (7.489076268359611 52.08788686285321)
05566000006401037;Hilgenbrinker Str.;POINT (7.483242015593361 52.09192954502113)
05566000006401038;Hochfeld;POINT (7.461380350994411 52.0805312942409)
05566000006401039;Hohlweg;POINT (7.465018109117033 52.08508670487194)
05566000006401040;Hoppenstiege;POINT (7.479024576715204 52.084786987657665)
05566000006401041;Im Wiesengrund;POINT (7.469621447946092 52.083039554622296)
05566000006401042;Kantstr.;POINT (7.486555756553582 52.09122627093024)
05566000006401043;Kiebitzweg;POINT (7.468288997280966 52.08069610499592)
05566000006401044;Kirchstr.;POINT (7.4805518154118875 52.08487954567456)
05566000006401045;Kliftstiege;POINT (7.48654957879218 52.08004219690502)
05566000006401046;Krankenhausweg;POINT (7.481532934201684 52.086505120945276)
05566000006401047;Krummer Timpen;POINT (7.485075011617133 52.08524209242187)
05566000006401048;Lange Str.;POINT (7.481330419641269 52.08492688701491)
05566000006401049;Langemeerstr.;POINT (7.478223067004552 52.09135291614178)
05566000006401050;Langenkamp;POINT (7.468154260716188 52.081106250838644)
05566000006401051;Lerchenweg;POINT (7.4720944168873755 52.08056814138586)
05566000006401052;Löttkenstr.;POINT (7.481174309946047 52.0890987922859)
05566000006401053;Marienstr.;POINT (7.481912727724195 52.083973591527545)
05566000006401054;Meisengrund;POINT (7.47061606783403 52.08191816454837)
05566000006401055;Mühlenweg;POINT (7.468949908624242 52.07954754337434)
05566000006401056;Patres-Cohausz-Str.;POINT (7.485728747833582 52.08775118113523)
05566000006401057;Paul-Gerhardt-Str.;POINT (7.485755720592182 52.09142351229997)
05566000006401058;Pfarrer-Jansen-Str.;POINT (7.483805934000939 52.08771058249454)
05566000006401059;Pröbstingstr.;POINT (7.478272804223978 52.084385672383604)
05566000006401060;Rottstiege;POINT (7.482218754047364 52.08083913125653)
05566000006401061;Sandstiege;POINT (7.475335732125869 52.08109437034961)
05566000006401062;St.-Hedwig-Str.;POINT (7.488126099469341 52.08868840817735)
05566000006401063;Schulgasse;POINT (7.481058123759519 52.08579135505882)
05566000006401064;Sieverts Kamp;POINT (7.470657212741369 52.086807724900176)
05566000006401065;Spindelstr.;POINT (7.474775583924297 52.07920598729823)
05566000006401066;Steinstr.;POINT (7.479176632938701 52.0802917628619)
05566000006401067;Theodor-Körner-Str.;POINT (7.484399417959687 52.092206214227666)
05566000006401068;Tiggelstiege;POINT (7.479680628976335 52.080511771162776)
05566000006401069;Uhlenhorst;POINT (7.468489936009284 52.08002784268982)
05566000006401070;Wallgraben;POINT (7.466437772391081 52.07830931134878)
05566000006401071;Weberstr.;POINT (7.474256512182595 52.07864092517966)
05566000006401072;Wehrstr.;POINT (7.479586535142274 52.0829136987173)
05566000006401073;Welle;POINT (7.48189999183944 52.084324783222954)
05566000006401074;Wilhelmstr.;POINT (7.468896475068966 52.08405283575652)
05566000006401075;Meerstiege;POINT (7.478818981270728 52.09158680099176)
05566000006401076;Wichernstr.;POINT (7.4856909723276495 52.08685144676994)
05566000006401077;Woort;POINT (7.482688193190349 52.09037509939382)
05566000006401078;Pickstiege;
05566000006401079;Gildestr.;POINT (7.485516140060363 52.07959836744577)
05566000006401080;Niederrott;POINT (7.48375307430848 52.08054240329493)
05566000006401081;Am Hellbach;POINT (7.487608690016347 52.08162669705202)
05566000006401082;Hermann-Löns-Weg;POINT (7.483436596551761 52.082068782861676)
05566000006401083;Karl-Wagenfeld-Str.;POINT (7.485138102605682 52.082149964875065)
05566000006401084;Natz-Thier-Str.;POINT (7.483050248420086 52.08312850618108)
05566000006401085;Westring;POINT (7.457450321722888 52.07499419739462)
05566000006401086;Heinrich-Scheele-Str.;POINT (7.4872446591450075 52.08071961927379)
05566000006401087;Van-Heyden-Str.;POINT (7.486961670647454 52.07979129045211)
05566000006401088;Denkerstiege;POINT (7.480913349456837 52.093388410067945)
05566000006401089;Ladestr.;POINT (7.4617935385252245 52.07679040696556)
05566000006401090;Gangolfstr.;POINT (7.465799410849322 52.08156939451716)
05566000006401091;Fürstengrund;POINT (7.491096462955212 52.08311017388886)
05566000006401092;Kohkamp;POINT (7.475327936573689 52.09072965399536)
05566000006401093;Merschkamp;POINT (7.476265159499995 52.09119700037232)
05566000006401094;Weidkamp;POINT (7.475309613780656 52.090299016197356)
05566000006401096;Wattendorffweg;POINT (7.47404437114448 52.084227409151495)
05566000006401097;Kleikamp;POINT (7.4685771904637495 52.078904061954006)
05566000006401098;Am Speicher;POINT (7.466086155204267 52.080355616568646)
05566000006401100;Feldbauerschaft;POINT (7.457197347905304 52.07393961047706)
05566000006401101;Kirchbauerschaft;POINT (7.492428825274839 52.08414814724697)
05566000006401102;Scheddebrock;POINT (7.448912987479074 52.1199062205091)
05566000006401103;Suttorf;POINT (7.478573005312875 52.10665794064494)
05566000006401104;Westerode;POINT (7.545884224967692 52.09115246970594)
05566000006401105;An der Bleiche;POINT (7.473304978682726 52.07735881546373)
