strassenschluessel;bezeichnung;geometry
05378000002005002;Alte-Wipperfürther-Straße;POINT (7.168657489826302 51.01604452532188)
05378000002005003;Auf dem Gleichen;POINT (7.170824799524705 51.016202592334274)
05378000002005004;In den Bonnen;POINT (7.170973414253119 51.01651544440934)
05378000002005005;Oberkäsbacher Weg;POINT (7.173524720358257 51.015803729259666)
05378000002005007;Hoppenkamp;POINT (7.123991688180631 51.06481854034199)
05378000002005008;Am Rösberg;POINT (7.123941297452538 51.05260966142361)
05378000002005009;Am Schulberg;POINT (7.1291355432011105 51.05653095792241)
05378000002005010;AmtmannScherf;POINT (7.156164080593561 51.02654911002316)
05378000002005011;Leimbacher Weg;POINT (7.118533142817968 51.05780501074933)
05378000002005012;Am Köttersbach;POINT (7.116215098659666 51.062792343106025)
05378000002005013;Am Pützchen;POINT (7.12494696067398 51.06451088322823)
05378000002005014;Am Telegraf;POINT (7.121403616278958 51.064247996884816)
05378000002005015;Bergstraße;POINT (7.119881060090867 51.057356386684596)
05378000002005016;Blumenweg;POINT (7.123322395121356 51.05856111183873)
05378000002005017;Bohn;POINT (7.117034033985784 51.06392256984265)
05378000002005018;Eifgenstraße;POINT (7.12580361167918 51.06202880189108)
05378000002005019;Feldstr.;POINT (7.124148135151012 51.06317866629255)
05378000002005020;Gartenstraße;POINT (7.118699230040938 51.060315806674566)
05378000002005021;Hauptstraße;POINT (7.124284684123984 51.05877477775214)
05378000002005022;Im Kerberich;POINT (7.126868796963341 51.06041819998326)
05378000002005023;Küchenfeld;POINT (7.123426534919593 51.06274741162709)
05378000002005024;Leimbacher Weg;POINT (7.1209551199712555 51.06015447432841)
05378000002005025;Lindenweg;POINT (7.11552241112281 51.063638696909955)
05378000002005026;Porzberg;POINT (7.122798138922474 51.05807228029741)
05378000002005027;Rosenweg;POINT (7.1144105614891595 51.05982510448648)
05378000002005028;Schulstraße;POINT (7.123274022600186 51.055280515265174)
05378000002005029;Straßerhof;POINT (7.1150650959925015 51.06310717542281)
05378000002005030;Talweg;POINT (7.119473341258155 51.061730943933796)
