strassenschluessel;bezeichnung;geometry
05570000002823004;Aenne-Brauksiepe-Straße;POINT (8.173162528471718 51.838474125256546)
05570000002823010;Ahornweg;POINT (8.162263105924996 51.83526347000886)
05570000002823012;Albert-Einstein-Straße;POINT (8.12267533082815 51.81396902661447)
05570000002823015;Albrecht-Dürer-Straße;POINT (8.150457678541256 51.83280768812705)
05570000002823018;Alte Holzstraße;POINT (8.206192131264414 51.84164699108422)
05570000002823020;Am Altenfelder Kreuz;POINT (8.143284896400178 51.842411978581225)
05570000002823025;Am Bahnhof;POINT (8.144147094584964 51.82862894431364)
05570000002823030;Ambrosiusstraße;POINT (8.155154035205053 51.82484335866033)
05570000002823035;Am Dahleck;POINT (8.161607677031766 51.76329459921203)
05570000002823037;Am Eskenbusch;POINT (8.217610155838964 51.7827857008733)
05570000002823038;Am Espen;POINT (8.176387832955196 51.7757774366914)
05570000002823040;Am Hang;POINT (8.211787499427745 51.80123326784189)
05570000002823043;Am Hülsen;POINT (8.135999281381933 51.87246283308028)
05570000002823044;Am Kämpen;POINT (8.162225828559324 51.886325182446804)
05570000002823045;Am Kalverkamp;POINT (8.143579170109426 51.820676041352215)
05570000002823050;Am Kirchplatz;POINT (8.14899884631925 51.768204454666595)
05570000002823055;Am Kurzen Dorn;POINT (8.135216014615446 51.81638621344148)
05570000002823060;Am Landhagen;POINT (8.152830837417296 51.84495800386448)
05570000002823065;Am Mackenberg;POINT (8.133550750570663 51.77550269313407)
05570000002823070;Am Markt;POINT (8.144362210471646 51.82594724210882)
05570000002823075;Am Rosendahl;POINT (8.191520001670423 51.80558126622269)
05570000002823080;Am Ruthenfeld;POINT (8.167011366576011 51.83556340219084)
05570000002823085;Am Stadtgarten;POINT (8.148024675602887 51.81798516447119)
05570000002823087;Am Tewesbach;POINT (8.162289985977285 51.8680846573599)
05570000002823090;Am Urnenfeld;POINT (8.157040126785137 51.8225363945732)
05570000002823095;Am Wasserturm;POINT (8.136661037313843 51.82678413921023)
05570000002823097;An den Weiden;
05570000002823098;An der Bleiche;POINT (8.196952604768242 51.8053829510757)
05570000002823100;An der Schanze;POINT (8.211724014050477 51.802377896022286)
05570000002823105;Annastraße;POINT (8.132109279673763 51.81937550001643)
05570000002823108;Anton-Aulke-Weg;POINT (8.194530665863144 51.80096945012605)
05570000002823110;Anton-Heinen-Straße;POINT (8.171256136315407 51.838331151433685)
05570000002823112;Anton-Mormann-Straße;POINT (8.159143072733912 51.7709458094895)
05570000002823113;Auf dem Berge;POINT (8.215190080191457 51.80615266672253)
05570000002823114;Astrid-Lindgren-Straße;POINT (8.127182271565342 51.81686937314006)
05570000002823115;Auf dem Borgkamp;POINT (8.207461335057019 51.80564770688547)
05570000002823120;Auf dem Felde;POINT (8.189828034437108 51.80430075416059)
05570000002823125;Auf der Brede;POINT (8.146813842959526 51.82383862566663)
05570000002823130;Auf der Höhe;POINT (8.159741295634436 51.76868516352288)
05570000002823135;Auf der Kissenbrede;POINT (8.154187476771783 51.82325645927325)
05570000002823140;August-Euler-Straße;POINT (8.155837230343375 51.823750892878934)
05570000002823143;AUREA;POINT (8.20292770992807 51.83490365584442)
05570000002823143;AUREA;POINT (8.20292770992807 51.83490365584442)
05570000002823145;Axthausener Weg;POINT (8.16182524604699 51.834330734746366)
05570000002823150;Badeweg;POINT (8.143110398608885 51.81986232440869)
05570000002823155;Bahnhofstraße;POINT (8.143372372254998 51.82600336362477)
05570000002823158;Batenhorster Straße;POINT (8.23017243796404 51.80374863725292)
05570000002823160;Beckumer Straße;POINT (8.187105833798258 51.80037532459415)
05570000002823165;Beelener Straße;POINT (8.149012671156159 51.89577230779778)
05570000002823170;Beethovenstraße;POINT (8.129722694465407 51.81675233886112)
05570000002823175;Benningloher Weg;POINT (8.136323841773583 51.83428287831061)
05570000002823181;Bergelerweg;POINT (8.192073054992745 51.82816823539346)
05570000002823185;Bergstraße;POINT (8.147514913328349 51.83137342562916)
05570000002823190;Berliner Ring;POINT (8.149161255477296 51.83215005160076)
05570000002823192;Bernhard-Hahne-Straße;POINT (8.13914003446374 51.8387389064616)
05570000002823193;Bernhard-Klockenbusch-Straße;POINT (8.16118530820981 51.8405050330941)
05570000002823194;Bernhard-Kampmann-Straße;
05570000002823195;Bernhard-Raestrup-Platz;POINT (8.141975676898722 51.826863789785975)
05570000002823199;Bertha-von-Suttner-Straße;POINT (8.138641760234757 51.83776126025141)
05570000002823200;Bernhard-Rest-Straße;POINT (8.197052166478912 51.8030552457961)
05570000002823201;Bernhard-Rinke-Straße;POINT (8.139780255235504 51.830572339367286)
05570000002823202;Birkenkamp;POINT (8.194092552105086 51.80577816100511)
05570000002823205;Birkenweg;POINT (8.151449213983529 51.823995353128915)
05570000002823210;Bismarckstraße;POINT (8.137067183385133 51.817426188792126)
05570000002823215;Böckenfördeweg;POINT (8.156189019194974 51.79938781891054)
05570000002823217;Boddestraße;POINT (8.1596172068077 51.8722208851227)
05570000002823220;Bonhoefferstraße;POINT (8.153677907026927 51.84083064157022)
05570000002823225;Borgfeld;POINT (8.197548308041279 51.806763772555534)
05570000002823230;Brahmsstraße;POINT (8.135437916598661 51.81521237957057)
05570000002823235;Brandenburger Weg;POINT (8.146591252371648 51.839052391041385)
05570000002823240;Brede;POINT (8.150139463937425 51.77009206492645)
05570000002823245;Brodhagen;POINT (8.129106881697613 51.82923925813526)
05570000002823250;Brucknerstraße;POINT (8.134278079290542 51.81578449908197)
05570000002823255;Brüder-Grimm-Straße;POINT (8.152306909104569 51.83750404380572)
05570000002823260;Brüggenfeld;POINT (8.152665292958764 51.82077321859987)
05570000002823265;Buchenweg;POINT (8.16458391597342 51.836340237776554)
05570000002823270;Bultstraße;POINT (8.15055906019897 51.8280871979822)
05570000002823275;Burgplatz;POINT (8.20375782681925 51.80081924091074)
05570000002823280;Burgstraße;POINT (8.203691732393391 51.8010245630764)
05570000002823285;Carl-Haver-Platz;POINT (8.146005138087201 51.82547395891802)
05570000002823286;Carl-Miele-Platz;POINT (8.157399714455387 51.87295315383672)
05570000002823287;Carl-von-Ossietzky-Straße;POINT (8.14221324086065 51.84124715020011)
05570000002823290;Carl-Sonnenschein-Straße;POINT (8.137734558635323 51.81634799730758)
05570000002823292;Carl-Zeiss-Straße;POINT (8.121114253731923 51.81051152344713)
05570000002823295;Clarholzer Straße;POINT (8.1620911087441 51.88520761295906)
05570000002823300;Cöllentrup;POINT (8.222441416394847 51.788382661008626)
05570000002823305;Danziger Straße;POINT (8.146840093425741 51.84037179277473)
05570000002823310;Daudenstraße;POINT (8.205780904088929 51.801391400721)
05570000002823315;Dechant-Kersting-Straße;POINT (8.161015515499912 51.8849429848749)
05570000002823318;Deipenbrock;POINT (8.153601173698835 51.78400623883832)
05570000002823320;Deipenweg;POINT (8.14765998196055 51.82047027281597)
05570000002823325;Delpstraße;POINT (8.152868182351918 51.84183951413007)
05570000002823330;Diestedder Straße;POINT (8.155411303414027 51.76771571337284)
05570000002823335;Disselhof;POINT (8.154314291248443 51.83816198381783)
05570000002823345;Dorfstraße;POINT (8.150116191223047 51.76849311927288)
05570000002823347;Dreische Feld;POINT (8.1071632770761 51.81443630361018)
05570000002823350;Düdingsweg;POINT (8.15246788328433 51.82296368112318)
05570000002823355;Edith-Stein-Straße;POINT (8.152618013683817 51.84311223873606)
05570000002823360;Eichendorffstraße;POINT (8.205539340835811 51.802923874679024)
05570000002823365;Eickhoff;POINT (8.145570776789164 51.826592255111066)
05570000002823368;Eisternriege;POINT (8.16128083620759 51.76817573653404)
05570000002823370;Eiswiese;POINT (8.158537677104984 51.834862437772884)
05570000002823375;Elisabethstraße;POINT (8.14206181926761 51.83600446567308)
05570000002823380;Engelbert-Holterdorf-Straße;POINT (8.145042714312014 51.82820460546228)
05570000002823382;Ennigerloher Straße;POINT (8.125812223883491 51.82430667804987)
05570000002823384;Erich-Kästner-Straße;POINT (8.148039446645393 51.835718045702606)
05570000002823385;Erlenweg;POINT (8.164957020195711 51.83578044591556)
05570000002823390;Ermländerweg;POINT (8.150741388499034 51.84134408050939)
05570000002823395;Ernst-Abbe-Straße;POINT (8.139467353189566 51.83363344820726)
05570000002823398;Ernstingweg;POINT (8.18187454107931 51.86560437854865)
05570000002823400;Estinghauserhof;POINT (8.1435450832818 51.82295031991354)
05570000002823405;Faulbaumstraße;POINT (8.15177561735877 51.77075274758546)
05570000002823408;Feldmark;POINT (8.157395370265323 51.770186278583864)
05570000002823410;Ferdinand-Krüger-Straße;POINT (8.147580497383032 51.835570084140066)
05570000002823415;Finkenweg;POINT (8.156544983687876 51.767536909929525)
05570000002823416;Flairpark;POINT (8.121997623630483 51.773708167700875)
05570000002823418;Forthbachweg;POINT (8.152706712159187 51.77915867871968)
05570000002823420;Franz-Hitze-Straße;POINT (8.216242821614086 51.79885854223833)
05570000002823423;Franz-Ramesohl-Straße;POINT (8.16399062469086 51.840043990299684)
05570000002823425;Friedhofsweg;POINT (8.149334620087368 51.82566146254347)
05570000002823430;Friedrich-Ebert-Straße;POINT (8.138039883840694 51.81874382091967)
05570000002823435;Friedrich-Harkort-Straße;POINT (8.139014722299617 51.83539709091526)
05570000002823440;Friedrich-Wilhelm-Weber-Straße;POINT (8.139580042681988 51.815849170587654)
05570000002823445;Fritz-Reuter-Straße;POINT (8.156736817964543 51.83867354550519)
05570000002823450;Fürst-Bentheim-Straße;POINT (8.164235874226039 51.88347400959538)
05570000002823455;Fürstenbergstraße;POINT (8.13533074244476 51.825388278081036)
05570000002823460;Gartenstraße;POINT (8.136991924137774 51.82478908649044)
05570000002823465;Gartenweg;POINT (8.16070825329574 51.88198336254736)
05570000002823470;Geisbergstraße;POINT (8.196755773904396 51.80055908664075)
05570000002823475;Geiststraße;POINT (8.14111698788421 51.82122634667605)
05570000002823480;Gerhart-Hauptmann-Straße;POINT (8.155354745947918 51.83277071969024)
05570000002823482;Gerichtsstraße;POINT (8.142825791633825 51.82433481861881)
05570000002823490;Glockenstiege;POINT (8.14457174694615 51.82799467414615)
05570000002823495;Goethestraße;POINT (8.149807486230232 51.82106645898215)
05570000002823500;Goerdelerstraße;POINT (8.154217809383931 51.840049887384936)
05570000002823505;Goldbrink;POINT (8.152726260458602 51.8353372596234)
05570000002823510;Görresstraße;POINT (8.13646799841432 51.82041125879633)
05570000002823515;Gottfried-Herder-Straße;POINT (8.160348841833818 51.83590939639017)
05570000002823517;Grenzweg;POINT (8.255373371875411 51.80154046919979)
05570000002823519;Gresshoffweg;POINT (8.12056481076323 51.790757485509246)
05570000002823520;Gronowskistraße;POINT (8.12952505140528 51.82284150627489)
05570000002823525;Gröningsweg;POINT (8.152193092606874 51.83001357406657)
05570000002823530;Grüner Weg;POINT (8.139203564006007 51.82718526311227)
05570000002823535;Gustav-Freytag-Straße;POINT (8.159512548837483 51.8374693632115)
05570000002823537;Gustav-Stresemann-Straße;POINT (8.142959282854822 51.83824461835851)
05570000002823540;Haberkamp;POINT (8.216818834723771 51.800121796483396)
05570000002823545;Habichthöhe;POINT (8.194135807289198 51.80749575516493)
05570000002823547;Händelstraße;POINT (8.135786785246875 51.81680194927721)
05570000002823550;Hans-Böckler-Straße;POINT (8.155902152010311 51.84132995838018)
05570000002823555;Hauptstraße;POINT (8.159029471952586 51.88259854235505)
05570000002823557;Haus-Geist-Weg;POINT (8.11314653947374 51.824406248138594)
05570000002823560;Hedwigstraße;POINT (8.142316939354124 51.83457627229435)
05570000002823565;Heidekamp;POINT (8.13082125975144 51.82813026370297)
05570000002823570;Heideweg;POINT (8.162918617954475 51.87609112900114)
05570000002823571;Heidplatz;POINT (8.149810525955418 51.86351409728289)
05570000002823572;Heibrink;POINT (8.144550649228142 51.76875404787264)
05570000002823573;Heinrich-Tenhumberg-Straße;POINT (8.157987772468775 51.822117167658725)
05570000002823574;Heinrich-Hertz-Straße;POINT (8.118625451673724 51.81228008238743)
05570000002823575;Herbrockweg;
