strassenschluessel;bezeichnung;geometry
05562000002800020;Adam-Stegerwald-Straße;POINT (7.257330488505002 51.63811009199216)
05562000002800030;Adolph-Kolping-Weg;POINT (7.234843683790257 51.6511273268409)
05562000002800040;Agnesstraße;POINT (7.26441563456619 51.639295945114704)
05562000002800060;Ahornstraße;POINT (7.251397824087947 51.65346599948065)
05562000002800080;Ahsener Straße;POINT (7.255890294374066 51.665708500238075)
05562000002800120;Albertstraße;POINT (7.24202010402656 51.64815574480484)
05562000002800140;Albrechtstraße;POINT (7.242947690998502 51.648496110906116)
05562000002800150;Am Ehrenmal;POINT (7.230383338960689 51.648631413979174)
05562000002800155;Am Förderturm;POINT (7.261103578095463 51.64269841948942)
05562000002800160;Amselweg;POINT (7.250533835430385 51.634879774871436)
05562000002800165;Am Hain;POINT (7.2508750263223885 51.63919362168699)
05562000002800167;Am Hilgenbach;POINT (7.2631298363898775 51.6544400318357)
05562000002800169;Am Eichenhof;POINT (7.198927144585768 51.65576340638455)
05562000002800170;Am Kippgarten;POINT (7.240734038834684 51.6499249393035)
05562000002800172;Am Malters;
05562000002800175;Am Schillerpark;POINT (7.258779118369143 51.64159604114853)
05562000002800180;Am Stimbergpark;POINT (7.251295394267336 51.65575286380369)
05562000002800190;Am Tellkamp;POINT (7.237029302296626 51.65373276727409)
05562000002800200;Am Weidenbaum;POINT (7.2547404987529855 51.65172916801811)
05562000002800210;Am Ziegeleitor;POINT (7.258937077644465 51.64326197978201)
05562000002800220;An der Aue;POINT (7.26676166181044 51.6373516077535)
05562000002800240;An der Bredde;POINT (7.251785986122631 51.63615992906174)
05562000002800260;An der Dillenburg;POINT (7.276645687403446 51.6596072952963)
05562000002800270;An der Feuerwache;POINT (7.248409654521174 51.64168264290907)
05562000002800275;An der Stimbergschule;POINT (7.2543954184744655 51.64775440012351)
05562000002800280;An der Zechenbahn;POINT (7.221008136635349 51.64649089707349)
05562000002800300;Auf dem Kolven;POINT (7.2830501702268915 51.64274860729304)
05562000002800320;Auf'm Heidacker;POINT (7.2824206117974315 51.62883614643373)
05562000002800338;August-Schmidt-Straße;POINT (7.26193682780503 51.65494186204591)
05562000002800340;Auguststraße;POINT (7.277201926137267 51.63807159991311)
05562000002800360;Bachstraße;POINT (7.246720598166817 51.637758751129155)
05562000002800380;Bahnstraße;POINT (7.196452160127405 51.650851822798025)
05562000002800400;Barbarastraße;POINT (7.2546422623996145 51.65052218863202)
05562000002800420;Beethovenstraße;POINT (7.260614398379501 51.63708756587154)
05562000002800440;Bergstraße;POINT (7.273038644101439 51.648361082828565)
05562000002800460;Berliner Platz;POINT (7.260236140229752 51.64017584477874)
05562000002800465;Bernhardstraße;POINT (7.27106765967092 51.64135509039547)
05562000002800480;Birkenweg;POINT (7.249117914870586 51.65413508892032)
05562000002800500;Blumenstraße;POINT (7.252651036619583 51.65179035291554)
05562000002800520;Börster Grenzweg;POINT (7.214191889057117 51.64571107877976)
05562000002800540;Börster Weg;
05562000002800560;Bossbrauck;POINT (7.2330781684251475 51.64841802651283)
05562000002800580;Brahmsstraße;POINT (7.251019798358972 51.63749324252854)
05562000002800600;Brandstraße;POINT (7.195765705016633 51.65193651943379)
05562000002800610;Brandenburger Straße;POINT (7.256398244369955 51.631104602074515)
05562000002800620;Brauckweg;POINT (7.236861621570316 51.649935076138235)
05562000002800640;Brechtstraße;POINT (7.255441416966728 51.64002176421677)
05562000002800650;Breslauer Straße;POINT (7.260288097221198 51.631391406015425)
05562000002800660;Brinkmannstraße;POINT (7.258029643533111 51.64669629895176)
05562000002800680;Buchenstraße;POINT (7.2490701490877125 51.65355446224021)
05562000002800700;Buhrort;POINT (7.255697414392851 51.635845697588536)
05562000002800720;Buschstraße;POINT (7.246576057977115 51.65179097776271)
05562000002800740;Christoph-Stöver-Straße;POINT (7.256028755011315 51.638410659594065)
05562000002800760;Clemensstraße;POINT (7.232014086962118 51.64701995313192)
05562000002800780;Dahlbredde;POINT (7.2527160959081245 51.636087349649955)
05562000002800800;Dahlienweg;POINT (7.236637221064563 51.652679067940355)
05562000002800810;Danziger Straße;POINT (7.250943087307662 51.63180993208186)
05562000002800830;Denningsgraben;POINT (7.237789575467657 51.65048507596984)
05562000002800840;Devensstraße;
05562000002800860;Donaustraße;POINT (7.244997002065388 51.635847831012114)
05562000002800880;Dreischenkamp;POINT (7.233565827073782 51.64700065004067)
05562000002800900;Dresdener Straße;POINT (7.254767030800692 51.63285190746652)
05562000002800910;Drosselweg;POINT (7.257764062517047 51.63404311846038)
05562000002800920;Eichendorffstraße;POINT (7.247312379230023 51.64686116227413)
05562000002800940;Elbestraße;POINT (7.245425152095331 51.636983201129866)
05562000002800960;Elisabethstraße;POINT (7.265995330817957 51.64056802550873)
05562000002800970;Elsa-Brandström Straße;POINT (7.2699670625703074 51.6390404966159)
05562000002800980;Emscherstraße;POINT (7.248096412757923 51.63494737877018)
05562000002801000;Engelbertstraße;POINT (7.252338807680289 51.6470421308907)
05562000002801010;Engelskamp;POINT (7.2860303280086995 51.65049071066284)
05562000002801020;Erlenweg;POINT (7.251118636863281 51.653924862601876)
05562000002801025;Ernststraße;POINT (7.271358503153644 51.6405739728252)
05562000002801040;Esseler Bruch;POINT (7.266381037153774 51.62996043242919)
05562000002801060;Esseler Straße;POINT (7.238854702758231 51.64028911082469)
05562000002801080;Ewaldstraße;POINT (7.277898896725709 51.641033361303)
05562000002801100;Feldstraße;POINT (7.270469413988514 51.63549389176603)
05562000002801120;Fichtestraße;POINT (7.251089377014482 51.65177235283858)
05562000002801140;Finkenweg;POINT (7.251488036605702 51.63487414464204)
05562000002801160;Flaesheimer Straße;POINT (7.223624066400045 51.680163042539036)
05562000002801165;Fliederweg;POINT (7.262882179372605 51.65542131870543)
05562000002801180;Föhrenweg;POINT (7.2472412135036715 51.65563801753671)
05562000002801200;Freiheitstraße;POINT (7.2679505711538805 51.641124943018546)
05562000002801220;Freiligrathstraße;POINT (7.255673865013453 51.6399002588766)
05562000002801240;Friedhofstraße;POINT (7.2422747807145065 51.64680175782107)
05562000002801260;Friedrichstraße;POINT (7.235958186915505 51.64762896382253)
05562000002801280;Fritz-Husemann-Straße;POINT (7.258385242207872 51.637131654060966)
05562000002801300;Fritz-Reuter-Straße;POINT (7.246343396659264 51.6458773047737)
05562000002801320;Gartenstraße;POINT (7.250854672772992 51.64520668100844)
05562000002801340;Geistfeldweg;POINT (7.244609604401955 51.64313449884648)
05562000002801341;Geranienweg;POINT (7.234535199321298 51.649733971691376)
05562000002801342;Ginsterweg;POINT (7.261804298221428 51.65368937554131)
05562000002801360;Glück-Auf-Straße;POINT (7.249828790334984 51.64353932338215)
05562000002801380;Goethestraße;POINT (7.259217046766385 51.63883981730008)
05562000002801400;Gregorstraße;POINT (7.2759350349928065 51.6388928061668)
05562000002801420;Grevelstraße;POINT (7.259017301380538 51.646732710622324)
05562000002801440;Grimmweg;POINT (7.254513539643673 51.639601081012266)
05562000002801460;Groß-Erkenschw.-Straße;POINT (7.2423689490844465 51.64490535122199)
05562000002801480;Grüner Weg;POINT (7.259023604263858 51.64752985012285)
05562000002801500;Haardgrenzweg;POINT (7.220252993080664 51.663312052586924)
05562000002801520;Haardstraße;POINT (7.235826345208456 51.66479428285586)
