strassenschluessel;bezeichnung;geometry
05558000003639120;Ackerrain;POINT (7.357764337340801 51.7108933643674)
05558000003639125;Ächterheide;POINT (7.368759646798045 51.71465505786495)
05558000003639126;Asternweg;POINT (7.367760857395087 51.71068736680876)
05558000003639128;Alfred-Krupp-Straße;POINT (7.38962225664598 51.704653260567284)
05558000003639129;Alexander-Fleming-Straße;POINT (7.373563723549227 51.70458303917884)
05558000003639130;Ahornweg;POINT (7.378823683139989 51.71485220977948)
05558000003639131;Anne-Frank-Straße;POINT (7.369680730437168 51.70942832456435)
05558000003639132;Alleeweg;POINT (7.357243133901508 51.71602182319626)
05558000003639133;Albert-Einstein-Weg;POINT (7.366513511432841 51.70596706303524)
05558000003639134;Alter Postweg;POINT (7.360627880453243 51.71188054198377)
05558000003639135;Am Hohen Ufer;POINT (7.38142052431799 51.71554489031801)
05558000003639136;Albert-Schweitzer-Straße;POINT (7.370645351388364 51.7077099270198)
05558000003639137;Alfred-Nobel-Straße;POINT (7.3698869368433675 51.706356034817965)
05558000003639138;Am Landesteg;POINT (7.378305806137839 51.70141552005667)
05558000003639139;Am Lambertgraben;
05558000003639140;Am Recheder Weg;POINT (7.38791323940926 51.7089952600184)
05558000003639141;An der Alten Fahrt;
05558000003639142;Auf der Heide;POINT (7.375793728950766 51.71002834919659)
05558000003639143;Am Sandforter Bach;POINT (7.412233030489399 51.70084177709469)
05558000003639144;Am Wall;POINT (7.37631410429826 51.709372751849244)
05558000003639145;Am Stadtpark;POINT (7.382019282027788 51.70820934508798)
05558000003639146;Am Uland;POINT (7.355623741955514 51.710994626026434)
05558000003639147;Am Westendorp;POINT (7.374431558708814 51.70999483225941)
05558000003639148;An den Eichen;POINT (7.35550676949151 51.710883714656156)
05558000003639149;Benthof;POINT (7.414141608606691 51.71213212314202)
05558000003639150;Bernhard-Holtmann-Straße;POINT (7.375954671406951 51.70548268443602)
05558000003639151;Beethovenweg;POINT (7.372704968037761 51.70074378189339)
05558000003639155;Bilholtstraße;POINT (7.377008540840167 51.70911271590563)
05558000003639160;Birkenallee;POINT (7.394559512005601 51.72152754623706)
05558000003639161;Blomesaat;POINT (7.405859436490476 51.67636061195075)
05558000003639162;Bockholter Balwe;POINT (7.381987583258935 51.71071390221206)
05558000003639163;Bodelschwinghstraße;POINT (7.381854712118501 51.71057865428862)
05558000003639165;Borker Landweg;POINT (7.435751580274523 51.68949752024503)
05558000003639170;Borker Straße;POINT (7.414260791400302 51.67564926756364)
05558000003639170;Borker Straße;POINT (7.414260791400302 51.67564926756364)
05558000003639172;Brinkplatz;POINT (7.37613619022049 51.71119846881044)
05558000003639173;Brunswicker Straße;POINT (7.4051203419852945 51.7218345312348)
05558000003639175;Buchenweg;POINT (7.384879685221379 51.71217286320573)
05558000003639178;Carl-Benz-Straße;POINT (7.385731888380048 51.70145816298366)
05558000003639179;Conrad-Röntgen-Straße;POINT (7.369877652750728 51.70752373854682)
05558000003639180;Dammweg;POINT (7.3860150191935166 51.70995692868786)
05558000003639182;Dachsgrund;POINT (7.334645055870058 51.702129631724944)
05558000003639183;Dahlienweg;POINT (7.368423388544019 51.71024836996562)
05558000003639185;Dattelner Straße;POINT (7.374164227309697 51.70424280355243)
05558000003639186;Dietrich-Bonhoeffer-Straße;POINT (7.370166610304104 51.71018638693249)
05558000003639187;Dortland;POINT (7.395712991059822 51.6803683289201)
05558000003639188;Drosseleck;POINT (7.3309398349290635 51.70346626183731)
05558000003639190;Eckernkamp;POINT (7.374816818430951 51.70619563437974)
05558000003639192;Edith-Stein-Straße;POINT (7.372955562925422 51.710085533505215)
05558000003639195;Eichenstraße;POINT (7.383386181757128 51.71324596392747)
05558000003639199;Euleneck;POINT (7.332596531368943 51.70137781469817)
05558000003639200;Erlenstraße;POINT (7.378289719368061 51.715688562892005)
05558000003639202;Eversumer Straße;POINT (7.367699739726143 51.708750081766574)
05558000003639203;Fasanenhügel;POINT (7.333568784629797 51.7030790791222)
05558000003639204;Fehlgang;POINT (7.369353352034412 51.70527927936762)
05558000003639205;Feldmark;POINT (7.404207607037343 51.69918229638063)
05558000003639210;Feldstraße;POINT (7.376209362960989 51.70750327374298)
05558000003639211;Finkenbusch;POINT (7.331974030896864 51.70372269210267)
05558000003639212;Finkenweg;POINT (7.375428878450846 51.7135112763137)
05558000003639213;Fliederweg;POINT (7.3669212827071515 51.71119393949756)
05558000003639214;Föhrenbrink;POINT (7.372574708794546 51.71158314033357)
05558000003639215;Freiherr-vom-Stein-Straße;POINT (7.381220796099339 51.709821263214614)
