strassenschluessel;bezeichnung;geometry
05958000003609401;Forsthaus Antfelder Wald;POINT (8.459060266642144 51.415762459688224)
05958000003609402;Industriestraße;POINT (8.456778054969377 51.3627987106336)
05958000003609403;Dorfwiese;POINT (8.467462685915056 51.372688759453695)
05958000003609404;Wiesengrund;POINT (8.457775607494103 51.366916220514085)
05958000003609405;Sonneneck;POINT (8.459703027074623 51.36899930423831)
05958000003609406;Bundesstraße;POINT (8.464732407878307 51.37132836262595)
05958000003609407;Zum Schieferberg;POINT (8.46291923354032 51.37512155495246)
05958000003609408;Am Ochsenberg;POINT (8.463663364277581 51.37362434999832)
05958000003609409;Knechtenberg;POINT (8.464153824066067 51.377593309493875)
05958000003609410;Steinkleff;POINT (8.457984889293979 51.364629896874966)
05958000003609414;Franz-Hoffmeister-Straße;POINT (8.465538616425434 51.372903990127746)
05958000003609415;Oberdorf;POINT (8.466130620411478 51.37466368234193)
05958000003609416;Schloß;POINT (8.467533361800601 51.37434782740709)
05958000003609417;Langenbergstraße;POINT (8.471301885941395 51.372635503703876)
05958000003609418;Hambergstraße;POINT (8.469267637755967 51.37192679205843)
05958000003609419;Am Kirchweg;POINT (8.466049397026792 51.37258797466367)
05958000003609422;Himmelreich;POINT (8.478132250990031 51.37335036108782)
05958000003609423;Desmeckestraße;POINT (8.47246745866587 51.371886507322984)
05958000003609442;Bigger Straße;POINT (8.472889592310699 51.342239943032546)
05958000003609443;Buchhorstweg;POINT (8.471913417987436 51.344553625913164)
05958000003609444;Dränke;POINT (8.470709123092341 51.34179856483976)
05958000003609445;Steinweg;POINT (8.469270427608835 51.341229494641404)
05958000003609446;Vossbachstraße;POINT (8.46823974410248 51.33967015660139)
05958000003609447;Kehlestraße;POINT (8.470685578551564 51.33998863610548)
05958000003609448;Carlsauestraße;POINT (8.487899427475536 51.33449092116878)
05958000003609449;Knappenbergstraße;POINT (8.475831252234041 51.34134883839102)
05958000003609450;Zu den Schützenlinden;POINT (8.469563700487594 51.34004994094334)
05958000003609452;Grimmestraße;POINT (8.504897784625626 51.308855357325854)
05958000003609453;Neudorf;POINT (8.501624995881128 51.31451095435508)
