strassenschluessel;bezeichnung;geometry
05570000003224650;Am Friedhof;POINT (7.829773490156285 52.03614099634199)
05570000003224651;Alfred-Delp-Weg;POINT (7.835717011513488 52.0440136836351)
05570000003224652;Auf dem Timpen;POINT (7.841395149158527 52.05048045526494)
05570000003224655;Am Haarhaus;POINT (7.832279527736767 52.04304460319068)
05570000003224656;Ambrosiusweg;POINT (7.838055036894151 52.03721200877152)
05570000003224657;Am Kirchgarten;POINT (7.778281008773183 52.078881072670534)
05570000003224658;Am Rathaus;POINT (7.839526463335322 52.0351247376997)
05570000003224659;Ampferweg;POINT (7.832376890420122 52.04612778245543)
05570000003224660;Am Schemm;POINT (7.851123788230432 52.04098583908709)
05570000003224665;Amselweg;POINT (7.832369881490245 52.03766623510782)
05570000003224666;Anne-Frank-Straße;POINT (7.8369985501084125 52.042159098875096)
05570000003224667;Droste-Hülshoff-Straße;POINT (7.8412061388963545 52.04228680850177)
05570000003224668;Anton-Aulke-Weg;POINT (7.840658706415816 52.04361341831948)
05570000003224669;Augustin-Wibbelt-Straße;POINT (7.843308311646275 52.042724437334584)
05570000003224670;Bahnhofstraße;POINT (7.842406873330901 52.046572759488434)
05570000003224671;Bach-Weg;
05570000003224672;Bartok-Weg;POINT (7.848334608345838 52.04461480956464)
05570000003224673;Bernhard-Thüssing-Weg;POINT (7.84109490777324 52.04306275503466)
05570000003224674;Berkenkamp;POINT (7.852388169238077 52.04449534775665)
05570000003224675;Beusenstraße;POINT (7.837771484968858 52.037650408582685)
05570000003224676;Beverland-Platz;POINT (7.80741444564551 52.068128736399714)
05570000003224677;Birkenweg;POINT (7.845887055676316 52.04229883574269)
05570000003224678;Bonhoefferstraße;POINT (7.836889612341281 52.043985774514134)
05570000003224679;Blumenweg;POINT (7.833189982475739 52.04601804131661)
05570000003224680;Brock;POINT (7.90402175209542 52.06691321839557)
05570000003224681;Beethoven-Weg;
05570000003224682;Blaufärberweg;POINT (7.838261595262605 52.05138257945788)
05570000003224683;Brahms-Weg;
05570000003224684;Böttcherstiege;POINT (7.837179300153701 52.048943642397376)
05570000003224685;An der Aa;POINT (7.77099191730737 52.08132400870692)
05570000003224686;Bäckerstiege;POINT (7.837344557883873 52.04956105348305)
05570000003224690;Deppengau;POINT (7.797500124860317 52.07452737722517)
05570000003224692;Distelweg;POINT (7.8362734426594525 52.04542666686468)
