strassenschluessel;bezeichnung;geometry
05378000002406301;Abts-Höhe;POINT (7.275820207460615 50.930745660664)
05378000002406302;Alte Mucher Straße;POINT (7.295995982322103 50.93525894016055)
05378000002406303;Am Aggersteg;POINT (7.293656388315834 50.93346366886071)
05378000002406304;Am Katzenbach;POINT (7.278395781471422 50.93497943217004)
05378000002406305;Am Lölsberger Steg;POINT (7.288310843610023 50.92871977931926)
05378000002406306;Starenweg;POINT (7.282223706841164 50.94220452052839)
05378000002406307;Pappelweg;POINT (7.28630530564155 50.92913113388156)
05378000002406308;An den Gärten;POINT (7.2859351688911556 50.93196872157304)
05378000002406309;An der Brücke;POINT (7.295456465185241 50.93345909004828)
05378000002406310;An der Mühle;POINT (7.281644254303078 50.93350010672522)
05378000002406311;An der Ringmauer;POINT (7.296890438692129 50.93687626382718)
05378000002406312;Auf dem Klarenberg;POINT (7.280198753840928 50.93165168877752)
05378000002406313;Aulhof;POINT (7.297424372033022 50.93102265563811)
05378000002406314;Colne-Valley-Platz;
05378000002406315;Bahnhofplatz;POINT (7.2879643996429255 50.933125769375565)
05378000002406316;Bellinghausenstraße;POINT (7.290126367894906 50.93162697959761)
05378000002406317;Bennauerstraße;POINT (7.2822187089291015 50.93458537992101)
05378000002406318;Bernsau;POINT (7.320655315591784 50.95129242173354)
05378000002406319;Bettenachen;POINT (7.307749318175151 50.93985381077173)
05378000002406320;Brambach;POINT (7.27173660120588 50.92596647025404)
05378000002406321;Broich;POINT (7.280715965423365 50.91754541682709)
05378000002406322;Broicher Berg;POINT (7.285603855217956 50.91588388942277)
05378000002406323;Brückenaue;POINT (7.294868669212167 50.93399201827458)
05378000002406324;Burg;POINT (7.304351569248463 50.93768212435572)
05378000002406325;Burghof;POINT (7.297408256887972 50.9433860947404)
05378000002406326;Burgholz;POINT (7.2676118557043266 50.9385786464379)
05378000002406327;Burgholzweg;POINT (7.280914540095578 50.93268196956333)
05378000002406328;Buschhoven;POINT (7.297539124081331 50.91153840037422)
05378000002406329;Cäcilienstraße;POINT (7.29059774324451 50.92999528913835)
05378000002406330;Cyriax;POINT (7.276114185077174 50.92610106592155)
05378000002406331;Diepenbroich;POINT (7.292230940164104 50.944530113399345)
05378000002406332;Eichen;POINT (7.275922191867564 50.930989962742245)
05378000002406333;Eichenweg;POINT (7.279952057915088 50.9309845006464)
05378000002406334;Eichthal;POINT (7.277197597641535 50.92064081282604)
05378000002406335;Eulenthaler Straße;POINT (7.296150285780379 50.91692238708598)
05378000002406336;Fasanenweg;POINT (7.2809698169978345 50.94045134254448)
05378000002406337;Ferrenberg;POINT (7.283490460036313 50.93488397857104)
05378000002406338;Fischerstraße;POINT (7.28821851403961 50.92913765435928)
05378000002406339;Glockengießerstraße;POINT (7.284471195721168 50.933517704899714)
05378000002406340;Granderathstraße;POINT (7.28666786907685 50.929992666202864)
05378000002406341;Griesenbalken;POINT (7.27650620407602 50.952420798484134)
05378000002406342;Großbernsau;POINT (7.292223003619941 50.939906161913264)
05378000002406343;Hagenbitze;POINT (7.295655009322524 50.91849476477574)
05378000002406344;Halfensbüchel;POINT (7.267368807170514 50.925978035169884)
05378000002406345;Halzemich;POINT (7.308142408026521 50.917285752709574)
05378000002406346;Hammermühle;POINT (7.295124697352555 50.9399999222464)
05378000002406347;Hasenberg;POINT (7.279060302634536 50.91062411403654)
05378000002406348;Hasenweide;POINT (7.2793282519478435 50.941688830406264)
05378000002406349;Hauptstraße;POINT (7.2822609282356225 50.93301938147634)
05378000002406350;Höderath;POINT (7.286925526923775 50.94315166556708)
05378000002406351;Hubertstraße;POINT (7.2802330717250365 50.9347444514974)
05378000002406352;Hubertushang;POINT (7.285225422941649 50.93496376766969)
05378000002406353;Gut Ennenbach;POINT (7.301106607183534 50.95112537069973)
05378000002406354;Im Auel;POINT (7.284929209617332 50.93108530809648)
05378000002406355;Im Eulenthal;POINT (7.3042706725526525 50.91932021411025)
05378000002406356;Im Komp;POINT (7.282796846072946 50.93325282969961)
05378000002406357;Jahnstraße;POINT (7.2850406112249235 50.93074064353081)
05378000002406358;Jan-Wellem-Straße;POINT (7.285914039079676 50.934656825699086)
05378000002406359;Josefshöhe;POINT (7.290166922143477 50.93488586400544)
05378000002406360;Kapellenstraße;POINT (7.279685986167112 50.931281131846085)
05378000002406361;Kastanienweg;POINT (7.281285491546025 50.93519856815833)
05378000002406362;Katharinenstraße;POINT (7.289708493752096 50.92933167138152)
05378000002406363;Kemenat;POINT (7.284198056255154 50.93335518174924)
05378000002406364;Kemenaterberg;POINT (7.2842336745962015 50.933873474912986)
05378000002406365;Kirchberg;POINT (7.281359282263018 50.9347779435349)
05378000002406366;Klef;POINT (7.308084110144928 50.94890097781701)
05378000002406367;Kleinbalken;POINT (7.288154973653643 50.954173460481776)
05378000002406368;Köhlerstraße;POINT (7.284098875743055 50.93657089781148)
05378000002406369;Kombach;POINT (7.272321939385364 50.91912189602641)
05378000002406370;Kotten;POINT (7.272225709077625 50.94764288181935)
05378000002406371;Kram;POINT (7.296444895235446 50.934403301656495)
05378000002406372;Kreutzhäuschen;POINT (7.2719434128511 50.955835212894456)
05378000002406373;Kreuzfahrerstraße;POINT (7.288809068114902 50.93100300559231)
05378000002406374;Kulhoven;POINT (7.2847168915910165 50.91001540806788)
05378000002406375;Leyenhaus;POINT (7.2939912158962175 50.918293874892356)
05378000002406376;Lichtinghagenstraße;POINT (7.288192213801535 50.93030052400816)
05378000002406377;Lölsberg;POINT (7.290204253081933 50.923236870562604)
05378000002406378;Lokenbach;POINT (7.261818621975384 50.95109271136636)
05378000002406379;Marialindener Straße;POINT (7.297938959526359 50.93611757257979)
05378000002406380;Meesbalken;POINT (7.291393917983103 50.95298074747633)
05378000002406381;Mönchsheide;POINT (7.293970270331175 50.91639684274631)
05378000002406382;Mucher Straße;POINT (7.305307688392337 50.93176219266374)
05378000002406383;Neuenhaus;POINT (7.321424806084739 50.948367528595206)
05378000002406384;Növerstraße;POINT (7.286036496188492 50.93022716542622)
