strassenschluessel;bezeichnung;geometry
05770000003209001;Alte Poststraße;POINT (8.912393366462828 52.25915428406178)
05770000003209002;Am Hang;POINT (8.898366762533463 52.253034635026154)
05770000003209003;Ammerweg;POINT (8.912620878226797 52.25889746637016)
05770000003209004;Am Wiehen;POINT (8.90275978816521 52.25165358856401)
05770000003209005;Auf dem Steinacker;POINT (8.914066732248703 52.252264269690464)
05770000003209006;Auf der Bergbrede;POINT (8.89869796618917 52.25226369019725)
05770000003209007;Auf der Kuhlbrede;POINT (8.914286510100391 52.25794230694639)
05770000003209008;Auf der Lake;POINT (8.910376722150616 52.2563909406101)
05770000003209009;Auf der Riehe;POINT (8.907625686962302 52.26169491647198)
05770000003209010;Aulhauser Weg;POINT (8.916933800094517 52.25102956916923)
05770000003209011;Barkhauser Weg;POINT (8.904962302857937 52.25368637971186)
05770000003209012;Blumenstraße;POINT (8.909108314818063 52.25138443406568)
05770000003209013;Böllingsbrink;POINT (8.90780743195397 52.25233967198719)
05770000003209015;Burkamp;POINT (8.915566696917448 52.26022228329296)
05770000003209016;Düsterstraße;POINT (8.904251460535441 52.25326701550475)
05770000003209017;Edelweißstraße;POINT (8.909561481369158 52.26351006244356)
05770000003209018;Elsterweg;POINT (8.916968632090343 52.252207763572805)
05770000003209019;Erbeweg;POINT (8.898668465721524 52.25629984736015)
05770000003209020;Fährstraße;POINT (8.91838484522006 52.24668028264842)
05770000003209021;Fasanenweg;POINT (8.914466522872782 52.25648904946633)
05770000003209022;Feldstraße;POINT (8.90614819747464 52.25596114257622)
05770000003209023;Flurweg;POINT (8.899957082226573 52.261579918248295)
05770000003209024;Freiherr-vom-Stein-Straße;POINT (8.912227706897003 52.24616421154702)
05770000003209025;Friedrich-Ebert-Straße;POINT (8.912279773426224 52.25210757144557)
05770000003209026;Goethestraße;POINT (8.917435548889141 52.2553193862381)
05770000003209027;Häverstädter Weg;POINT (8.898325695440285 52.25395313957171)
05770000003209028;Heinrichstraße;POINT (8.910149067261509 52.25065722776971)
05770000003209029;Hoher Weg;POINT (8.902232822501475 52.25156868691018)
05770000003209030;Ida-Ströver-Straße;POINT (8.881744824695728 52.24755078047218)
05770000003209031;Jägerweg;POINT (8.898440636995314 52.25472243587727)
05770000003209032;Kaiserstraße;POINT (8.910558960052427 52.249943992834815)
05770000003209033;Kampstraße;POINT (8.903359134283152 52.252602037917576)
05770000003209034;Kapellenweg;POINT (8.906252101186498 52.254548518862904)
05770000003209035;Kapellenwinkel;POINT (8.906672492439354 52.25428955484323)
05770000003209036;Kreisstraße;POINT (8.903988210869775 52.25528937468389)
05770000003209037;Lannertstraße;POINT (8.913682625093617 52.2497862856171)
05770000003209038;Meisenweg;POINT (8.913147659168757 52.248465572808136)
05770000003209039;Neue Friedhofstraße;POINT (8.910498333861469 52.25928820674622)
05770000003209040;Niedernfeldweg;POINT (8.9049113752433 52.25891630528485)
05770000003209041;Niedersachsenstraße;POINT (8.915877235138142 52.24832922919967)
05770000003209042;Obere Breede;POINT (8.913079056555775 52.249083831450754)
05770000003209043;Osterfeldstraße;POINT (8.913459830451698 52.25273495045344)
05770000003209044;Pfarrstraße;POINT (8.909014979574495 52.25278467116699)
05770000003209045;Philosophenweg;POINT (8.903324730800533 52.25109593551716)
05770000003209046;Portastraße;POINT (8.911984756923745 52.24818505059698)
05770000003209047;Reihenweg;POINT (8.910010373421137 52.25514653802054)
05770000003209048;Rieheweg;POINT (8.906873630102616 52.26210407048685)
05770000003209049;Sackstraße;POINT (8.904834630006386 52.253105719610595)
05770000003209050;Schulstraße;POINT (8.911677641223745 52.254593816042075)
05770000003209051;Schwartze Straße;POINT (8.915186531531113 52.246081125524455)
05770000003209052;Steinstraße;POINT (8.909293396450876 52.251817832237826)
05770000003209053;Stresemannstraße;POINT (8.913147384247294 52.25556711961292)
05770000003209054;Stufenweg;POINT (8.907192951932103 52.24917218792296)
05770000003209055;Unter den Tannen;POINT (8.90933521595695 52.249627714889584)
05770000003209056;Untere Breede;POINT (8.91652588144778 52.24878900932714)
05770000003209057;Unterm Berge;POINT (8.896005101092825 52.25242430314841)
05770000003209058;Wachtelweg;POINT (8.914448452137737 52.25904336398738)
05770000003209059;Wendeweg;POINT (8.915997227508692 52.24759336368507)
05770000003209060;Werraweg;POINT (8.917669589133133 52.2481786777701)
05770000003209061;Weserufer;POINT (8.917382363478094 52.25153764464375)
05770000003209062;Wiesenweg;POINT (8.904347842156621 52.263038013539074)
05770000003209063;Winkelstraße;POINT (8.910030241924892 52.26262417630358)
05770000003209065;Dürerweg;POINT (8.91103730935088 52.25217952837163)
05770000003209066;Mittlere Breede;POINT (8.915785594537706 52.24878028418822)
05770000003209067;Füllenkamp;POINT (8.899933029388402 52.25514568261209)
05770000003209068;An der Weide;POINT (8.896297144609383 52.26213580259647)
05770000003209069;An der Landwehr;POINT (8.914655303240659 52.25094986095547)
05770000003209070;Porta-Allee;
05770000003209071;Paul-Ehrlich-Straße;
05770000003209072;Hans-Nolte-Straße;
05770000003209073;Vogelparadies;POINT (8.911928789522312 52.23841910846806)
05770000003209074;Unterm Willem;POINT (8.916081918878197 52.24569920704114)
05770000003209075;An der Erzbahn;
05770000003209081;Azaleenweg;POINT (8.873734986559642 52.22909759867481)
05770000003209082;Baumstraße;POINT (8.874683551649136 52.228507251951136)
05770000003209083;Bienenkamp;POINT (8.876267145615797 52.227958894775774)
05770000003209084;Blumenhain;POINT (8.873758042388275 52.2266522750991)
05770000003209085;Breedekamp;POINT (8.873593253353336 52.22745461009254)
05770000003209086;Dammweg;POINT (8.878229480301487 52.224261224717345)
05770000003209087;Eternhop;POINT (8.87288878486536 52.226299116836266)
05770000003209088;Flughafen;POINT (8.86400912358803 52.221547701740164)
05770000003209089;Gutsstraße;POINT (8.866217154027908 52.22832892749146)
05770000003209090;Heerweg;POINT (8.91856105452291 52.22640334222537)
05770000003209091;Im Kirchfeld;POINT (8.879334389325455 52.22970014431347)
