strassenschluessel;bezeichnung
05770000003603322;Eininghauser Ring
05770000003603324;Am Feuerlöschteich
05770000003603325;Am Gröppelsbrink
05770000003603326;Am Haverkamp
05770000003603327;An der Hauwiese
05770000003603328;An der Kirche
05770000003603330;Auf dem Balkenkamp
05770000003603331;Auf den Hallen
05770000003603332;Auf der Horst
05770000003603334;Auf'n Linsken
05770000003603335;Bachstraße
05770000003603336;Bärenquellenstraße
05770000003603338;Bohnensieksweg
05770000003603339;Breckenfeldweg
05770000003603341;Büscherheider Straße
05770000003603342;Burgstraße
05770000003603343;Buschweg
05770000003603344;Dorfanger
05770000003603345;Delefeldstraße
05770000003603346;Großer Teichweg
05770000003603347;Dreienortsweg
05770000003603348;Dreihausen
05770000003603349;Eggetaler Straße
05770000003603350;Eickwiesenstraße
05770000003603351;Eimsiekstraße
05770000003603353;Geisbergstraße
05770000003603354;Gerenortsweg
05770000003603355;Zur Schirmke
05770000003603356;Gottliebstraße
05770000003603357;Gröchtenstraße
05770000003603358;Zum Haspel
05770000003603359;Hermann-Löns-Straße
05770000003603360;Heulandstraße
05770000003603361;Kalkofenstraße
05770000003603362;Kleiner Weg
05770000003603363;Königsholzer Weg
05770000003603364;Kurze Straße
05770000003603365;Zum Limberg
05770000003603366;Wellensieksweg
05770000003603367;Markendorfer Straße
05770000003603368;Maschweg
05770000003603369;Mühlenbachstraße
05770000003603370;Neue Mühler Weg
05770000003603371;Nonnensteiner Weg
05770000003603372;Oberbergweg
05770000003603373;Obere Lehmbreite
05770000003603374;Osterkampsweg
05770000003603375;Paradiesweg
05770000003603376;Pieningfeldweg
05770000003603377;Ravensberger Straße
05770000003603378;Röthenweg
05770000003603379;Sachsenweg
05770000003603380;Schlukenweg
05770000003603382;Schmalenkampsweg
05770000003603383;Siekenweg
05770000003603384;Stapelweg
05770000003603385;Strombergstraße
05770000003603386;Unter den Buchen
05770000003603387;Untere Lehmbreite
05770000003603388;Fiegenburgweg
05770000003603389;Hohenstiege
05770000003603390;Westerfeldweg
05770000003603391;Wiesenstraße
05770000003603392;Wittekindsweg
05770000003603393;Zum Schürenbrink
05770000003603394;Zur Drift
05770000003603395;Zur Egge
05770000003603396;Zur Hasenbrücke
05770000003603397;Zwischen den Sieken
