strassenschluessel;bezeichnung;geometry
05362000003609101;Abteigasse;
05362000003609102;Adamistraße;POINT (6.777439552406207 50.95765213237414)
05362000003609103;Albert-Einstein-Straße;POINT (6.782422537113716 50.96393649962877)
05362000003609104;Am Quechenhauf;POINT (6.770448602563654 50.96111072242722)
05362000003609105;Am Bergerhof;POINT (6.783205027628893 50.95467412841394)
05362000003609106;Am Klosterhof;POINT (6.791063833943122 50.95886856008379)
05362000003609107;Am Mühlenacker;POINT (6.789638344636213 50.95722778764773)
05362000003609108;Am Schlittberg;
05362000003609109;An der Ronne;POINT (6.780477934327717 50.95688364463407)
05362000003609110;Auf der Insel;POINT (6.786344437486004 50.96074324878399)
05362000003609111;August-Bebel-Straße;POINT (6.784194919153773 50.96512916451659)
05362000003609112;Alfred-Brehm-Straße;
05362000003609113;Adelheidstraße;
05362000003609114;Zum Mühlenblick;POINT (6.7535075473388995 51.02210805058634)
05362000003609115;Berliner Straße;POINT (6.7772257612218905 50.96259132884252)
05362000003609116;Bernhardstraße;POINT (6.779935302277345 50.957857337565066)
05362000003609117;Bonhoeffer Straße;POINT (6.778912942666327 50.96363992614569)
05362000003609118;Brandenburger Straße;POINT (6.775868880592386 50.9621418899623)
05362000003609119;Breslauer Straße;POINT (6.775740097528208 50.96152166868286)
05362000003609120;Broelsgäßchen;
05362000003609121;Brunnenstraße;POINT (6.800487535966267 50.962673320922434)
05362000003609122;Chryslerstraße;POINT (6.817049982759658 50.96417383379115)
05362000003609123;Alfred-Nobel-Straße;POINT (6.81068207745053 50.96372930501485)
05362000003609124;Abt-Aemilius-Straße;POINT (6.785017695372837 50.964873735682566)
05362000003609125;Carl-Friedrich-Gauß-Straße;POINT (6.808700438272955 50.95978692592495)
05362000003609126;Daimlerstraße;POINT (6.812285641125254 50.96548448516458)
05362000003609127;Donatusstraße;POINT (6.794155688628857 50.95985678591967)
05362000003609129;Dresdener Straße;POINT (6.7760389540837975 50.96098295797425)
05362000003609130;Dechant-Tücking-Straße;POINT (6.789453868939662 50.95944488117024)
05362000003609131;Dessauer Weg;POINT (6.7768014730397566 50.964526285315955)
05362000003609132;Ehrenfriedstraße;POINT (6.781961764264984 50.9608387577248)
05362000003609133;Erfurter Straße;POINT (6.777899602495883 50.96535910187807)
05362000003609134;Plauener Weg;POINT (6.776744084283766 50.964016989301285)
05362000003609135;Frankenstraße;POINT (6.78573148839169 50.956888286756005)
05362000003609136;Friedhofsweg;POINT (6.773392841812024 50.958575212804085)
05362000003609137;Straupitzer Weg;POINT (6.777721379756493 50.964529066847646)
05362000003609138;Arnstädter Weg;POINT (6.774361239234964 50.96480042625464)
05362000003609139;Geschwister-Scholl-Straße;POINT (6.778627790105587 50.96318517221132)
05362000003609140;Glessener Straße;POINT (6.778223818738277 50.96272034065184)
05362000003609141;Grasweg;POINT (6.778415922988569 50.958714420043236)
05362000003609142;Gutenbergstraße;POINT (6.798403643106332 50.96732239455481)
05362000003609143;Guidelplatz;POINT (6.780794270473105 50.96134698920126)
05362000003609144;Ilmenauer Weg;POINT (6.775079773017907 50.96493408299807)
05362000003609145;Heinrich-Hertz-Straße;POINT (6.794360056641134 50.964699966710846)
05362000003609146;Helmholtzstraße;POINT (6.789983534573121 50.96432424457322)
05362000003609147;Horchstraße;POINT (6.803889897569777 50.96038734898631)
05362000003609148;Schwarzburger Weg;POINT (6.775684026981604 50.96517983523171)
05362000003609149;Insterburger Straße;POINT (6.774467829380342 50.96203161861813)
05362000003609150;Rudolstädter Weg;POINT (6.776651913725289 50.96500074618019)
05362000003609151;Schweriner Weg;POINT (6.77737425710414 50.96369081543514)
05362000003609152;Jahnstraße;POINT (6.7817585239189 50.957102829168186)
05362000003609154;Königseer Weg;POINT (6.778196650222529 50.96474251789279)
05362000003609155;Kaiser-Otto-Straße;POINT (6.781483266864404 50.9607183118286)
05362000003609156;Kastanienallee;POINT (6.792215110698093 50.95944415735262)
05362000003609157;Klottener Straße;POINT (6.786283736571952 50.95486377984926)
05362000003609158;Königsberger Straße;POINT (6.771854586779809 50.96045020106394)
05362000003609159;Koepchenstraße;POINT (6.795741605547949 50.96341229762111)
05362000003609160;Konrad-Adenauer-Platz;POINT (6.780930308060473 50.96389349508326)
05362000003609161;Kurfürstenstraße;POINT (6.775696178502228 50.959285374917705)
05362000003609162;Karl-Zörgiebel-Straße;POINT (6.7893702149152455 50.962656408882644)
05362000003609163;Kaiserin-Theophanu-Straße;POINT (6.790860037836453 50.961201751834395)
05362000003609164;Langgasse;POINT (6.780343558974128 50.96198320615482)
05362000003609165;Laurentiusweg;POINT (6.779763120611841 50.95659299357741)
05362000003609166;Lise-Meitner-Straße;POINT (6.808127653758958 50.96221259838744)
05362000003609167;Mathildenstraße;POINT (6.782553152826332 50.959937717660985)
05362000003609168;Maybachstraße;POINT (6.802664954852677 50.961493361530785)
05362000003609169;Medardusstraße;POINT (6.784349435944909 50.95688409144694)
05362000003609170;Memeler Straße;POINT (6.7729199495560515 50.96035820351542)
05362000003609171;Mühlenstraße;POINT (6.781014143835733 50.95773130088022)
05362000003609172;Marie-Curie-Straße;POINT (6.808692270960967 50.963741324684655)
05362000003609173;Massy-Igny-Weg;POINT (6.785956311972575 50.98565139687393)
05362000003609174;Nikolausstraße;POINT (6.7832058929918375 50.95851832208782)
05362000003609175;Nikolaus-Lauxen-Straße;POINT (6.787243476362915 50.96475446464736)
05362000003609176;Normandiestraße;POINT (6.810259134759136 50.96212808396054)
05362000003609177;Ohmstraße;POINT (6.79448370170508 50.96377143992897)
05362000003609178;Otto-Hahn-Straße;POINT (6.795179622049215 50.964929007729)
05362000003609179;Woltershof;
05362000003609181;Pater-Delp-Straße;POINT (6.779583472789882 50.96366521824212)
05362000003609182;Pfalzgrafenstraße;POINT (6.778089784571907 50.95806580202357)
05362000003609184;Richezastraße;
05362000003609185;Robert-Koch-Straße;POINT (6.792894263086673 50.96237260763318)
05362000003609186;Römerstraße;POINT (6.787863787439688 50.95639928176878)
05362000003609187;Röntgenstraße;POINT (6.792637402712511 50.965523398123764)
05362000003609188;Rosenhügel;POINT (6.7803720892964 50.95998326916544)
05362000003609191;Sachsstraße;POINT (6.801747655660353 50.960421267979775)
05362000003609192;Schmiedegäßchen;POINT (6.780053201237833 50.958773176415406)
05362000003609193;Sperlingstraße;POINT (6.777632319848189 50.96206959466914)
05362000003609196;Tilsiter Straße;POINT (6.771890201415831 50.961179418624056)
05362000003609197;Tomburgstraße;POINT (6.789785622584389 50.955671646616814)
05362000003609200;Vom-Stein-Straße;POINT (6.778666949697594 50.96408292880009)
05362000003609201;Von-Kügelgen-Straße;POINT (6.797338284127491 50.96405132103719)
05362000003609202;Von-Schilling-Straße;POINT (6.771787736705055 50.958647326451995)
05362000003609203;Von-Werth-Straße;POINT (6.7925054773551885 50.9636275735109)
05362000003609207;Wiesenweg;POINT (6.777738817014456 50.96233522560469)
05362000003609208;Weimarer Straße;POINT (6.768778395906935 50.96168264168992)
05362000003609209;Zeppelinstraße;POINT (6.80551089324632 50.96210122162074)
05362000003609214;An der Fuchskaul;POINT (6.764146680229048 50.95499542994365)
05362000003609215;Am Dörnchesweg;POINT (6.762924568454174 50.95424113944432)
05362000003609216;Alte Kirchstraße;POINT (6.768640883661496 50.958991231414664)
05362000003609217;Am Beller Weg;POINT (6.771255030950757 50.955737071258426)
05362000003609218;Am Forsthaus;POINT (6.763765706367641 50.95197772138859)
05362000003609219;Am Graben;POINT (6.76064322148294 50.955200786745465)
05362000003609220;Am Grünen Weg;POINT (6.7666977151042165 50.95979062220319)
05362000003609221;An der Maar;POINT (6.765379317046982 50.95569648454638)
05362000003609222;Am Blauen Stein;POINT (6.763174961852462 50.959550198576515)
05362000003609224;Brunnenhof;
05362000003609225;Buchenhof;
05362000003609227;Eisenacher Straße;POINT (6.765721750604761 50.960515245835765)
05362000003609228;Ellostraße;POINT (6.759212121618153 50.95630367209202)
05362000003609229;Ezzostraße;POINT (6.761728597207725 50.95559285525159)
05362000003609230;Gestüt Gut Villehof;
05362000003609231;Franz-Pauli-Straße;POINT (6.766838393869741 50.955970200827196)
05362000003609232;Franz-Wenzeler-Straße;POINT (6.768062415003003 50.95938946211713)
05362000003609233;Friedenstraße;POINT (6.765044278884522 50.959908424521)
05362000003609236;Heckenweg;POINT (6.760827505963728 50.95659318124872)
05362000003609237;Heidehof;
05362000003609238;Helenenstraße;POINT (6.764367289572447 50.95594774608319)
05362000003609239;Hermannstraße;POINT (6.760243224304726 50.9571126898015)
05362000003609241;Liethenstraße;POINT (6.770865890723096 50.956817443950776)
05362000003609242;Lindenplatz;POINT (6.765080583505142 50.95751888136068)
05362000003609245;Marienstraße;POINT (6.764762686540724 50.95684054046849)
05362000003609248;Pattweg;POINT (6.759796958194016 50.955235060612004)
05362000003609250;Rostocker Straße;
05362000003609252;Schiffgesweg;POINT (6.769110912864501 50.96060895594405)
05362000003609253;Siegfriedstraße;POINT (6.767847368922768 50.958587783486585)
05362000003609254;Sintherner Holzweg;POINT (6.7644604904968855 50.962338390486906)
05362000003609255;Vochemsgasse;POINT (6.762919311262776 50.95582866507933)
05362000003609256;Vochemsweg;POINT (6.7677951717597935 50.95731756538157)
05362000003609258;Wolfhelmstraße;POINT (6.767631442999349 50.957972442561896)
05362000003609260;Zehnthofstraße;POINT (6.764209745486708 50.95735917566545)
05362000003609261;Zum Sonnenberg;POINT (6.761146118891038 50.95836348798135)
05362000003609268;Am Dorfplatz;POINT (6.798659269606586 50.95304963174835)
05362000003609269;Bonnstraße;
05362000003609270;Am Golfplatz;POINT (6.804241887134443 50.940538779939615)
05362000003609272;Freimersdorf;POINT (6.797687955447002 50.952487745259134)
05362000003609273;Gut Bergerhof;POINT (6.7961923779924005 50.95360548454386)
05362000003609274;Gut Fronhof;POINT (6.797100442973596 50.95258659326855)
05362000003609275;Gut Kistemacherhof;POINT (6.797687419886662 50.954332086200516)
05362000003609276;Gut Lüningerhof;POINT (6.798582050289382 50.9525965629966)
05362000003609277;Gut Neuenhof;POINT (6.794845981795928 50.95271312477201)
05362000003609278;Gut Peterjanhof;POINT (6.800249004819913 50.95326106860818)
05362000003609281;Am Römerturm;POINT (6.785614519675487 50.98332091557984)
05362000003609282;Albanstraße;POINT (6.786522901310176 50.97938589736116)
05362000003609283;Alberichstraße;POINT (6.791027118534678 50.979017201879934)
05362000003609284;Am Domhof;POINT (6.787482456901401 50.98251608623186)
05362000003609285;Am Domkreuz;POINT (6.789990896526599 50.98119406909726)
05362000003609286;Am Mahlweiher;POINT (6.783478127651569 50.98016748672538)
05362000003609287;Am Rosenthal;POINT (6.789912314409746 50.98028773120643)
05362000003609288;An der Eismaar;POINT (6.781980171568535 50.98441500303245)
05362000003609289;An der Hülle;POINT (6.779630445156899 50.983309755704674)
05362000003609290;Am Römerhof;POINT (6.783571342912747 50.982984478825536)
05362000003609291;Baadenbergstraße;POINT (6.789660438993347 50.98282169291715)
05362000003609292;Bedburger Straße;POINT (6.780919807923013 50.98529763894435)
05362000003609293;Blumenweg;POINT (6.791679051687814 50.982191360754015)
05362000003609294;Burgstraße;POINT (6.786586272708745 50.98292964029621)
05362000003609295;Buschbeller Straße;POINT (6.790433921787639 50.97871649092457)
05362000003609298;Daniel-Hartzheim-Straße;POINT (6.790059262290197 50.981817597785486)
05362000003609299;Domkapitelweg;POINT (6.784151656327414 50.98532993535986)
05362000003609301;Falkenhorst;POINT (6.784723519619011 50.97886289011241)
05362000003609302;Frechener Straße;POINT (6.787751380796263 50.98024480388489)
05362000003609305;In der Bachaue;
05362000003609306;Im Wiesengrund;POINT (6.783449661748295 50.983897282101694)
05362000003609307;Jakob-Pohl-Platz;
05362000003609309;Klusemannstraße;POINT (6.788626009064078 50.97916738768893)
05362000003609310;Korneliusstraße;POINT (6.785108752683104 50.98102309078179)
05362000003609312;Lupinenweg;POINT (6.791218478208523 50.978713868676486)
05362000003609313;Martinshof;
05362000003609314;Manstedtener Straße;POINT (6.785225562240451 50.982976572648305)
05362000003609315;Mittelweg;POINT (6.789501460332774 50.98151350503216)
05362000003609316;Mohnweg;POINT (6.788547740011231 50.97858003260999)
05362000003609317;Mühlengrund;
05362000003609318;Marienhof;
05362000003609319;Michael-Rasten-Straße;POINT (6.787338686084851 50.981305857017865)
05362000003609320;Nellesweg;POINT (6.785187456569608 50.98577607786275)
05362000003609323;Pfarrer-Schlick-Straße;POINT (6.779759378084881 50.980608193239384)
05362000003609324;Plebanusstraße;POINT (6.779998916013862 50.98261288845185)
05362000003609325;Parkstraße;POINT (6.789398206831696 50.98383908437397)
05362000003609327;Römerfeldstraße;POINT (6.785659295800596 50.98445685056962)
05362000003609328;Rather Straße;POINT (6.786679640303497 50.978502742699845)
05362000003609331;Sintherner Straße;POINT (6.7853646529223095 50.978459497105845)
05362000003609335;Von-Frentz-Straße;POINT (6.786216204437218 50.98154829155202)
05362000003609336;Von-Grass-Straße;POINT (6.784741453742228 50.98018419444742)
05362000003609337;Von-Harff-Straße;POINT (6.786707666736541 50.98202181122231)
05362000003609338;Weiherstraße;
05362000003609339;Weilersgrund;POINT (6.783547024894838 50.98575837936)
05362000003609344;Ingendorf;POINT (6.735497096582972 51.00843473528903)
05362000003609345;Iveshof;
05362000003609347;Zur Ingendorfer Burg;
05362000003609349;Haus Orr;
05362000003609350;Heinenhof;
05362000003609351;Kriegshof;
05362000003609352;Büsdorfer Straße;POINT (6.767511340717639 50.98794655233248)
05362000003609353;Im Kamp;
05362000003609355;Sintherner Weg;POINT (6.766246077130475 50.98721954233348)
05362000003609357;Wesselinger Straße;POINT (6.7706409226023005 50.98712502894124)
05362000003609360;Max-Planck-Straße;
05362000003609361;Igelweg;POINT (6.804119450487523 50.99389252101384)
05362000003609362;Am Kreuzchen;
05362000003609363;Am Ostufer;
05362000003609364;Am Westufer;POINT (6.819908599760898 50.99338313216236)
05362000003609365;Achatweg;POINT (6.821235873042424 50.99842278584384)
05362000003609366;August-Euler-Straße;POINT (6.826869654556967 50.986558875836316)
05362000003609367;Athener Weg;POINT (6.797728880203172 50.99317718678522)
05362000003609368;Albert-Schweitzer-Straße;POINT (6.820278896225345 51.00302186585214)
05362000003609369;Adolph-Kolping-Straße;POINT (6.816361052626927 51.001111727267336)
05362000003609370;Am Brunnen;POINT (6.798504954982198 50.99498768292759)
05362000003609371;Am alten Obstgarten;POINT (6.801414800890915 50.99128600161055)
05362000003609372;Am Lindenkreuz;POINT (6.7991426031476525 50.992141850568515)
05362000003609373;August-Macke-Straße;POINT (6.807409233787634 51.00884071744886)
05362000003609374;Asternweg;POINT (6.812247490101318 50.992836149157675)
05362000003609375;Adlerweg;POINT (6.800957874576673 51.00868922151045)
05362000003609376;Adolph-von-Menzel-Straße;POINT (6.813748217705313 51.00915988053873)
05362000003609377;Ahornweg;POINT (6.814850168385966 50.99822145086323)
05362000003609378;Akazienweg;POINT (6.815542091309521 50.998279553858545)
05362000003609379;Albatrosweg;POINT (6.802715673170453 51.008499177288726)
05362000003609380;Albrecht-Dürer-Straße;POINT (6.806923254010652 51.00834073519172)
05362000003609381;Alte Kölner Straße;POINT (6.7985072521969006 50.998821637520145)
05362000003609382;Am Bahnhof;POINT (6.797939708228818 50.998737439131226)
05362000003609383;Am Kirchberg;POINT (6.792663095745754 50.998242325057866)
05362000003609384;Am Jürgenshof;POINT (6.799641934000361 50.999479168244555)
05362000003609385;Am Stadtgarten;POINT (6.803265472959491 50.996058886832245)
05362000003609386;Am Kleekamp;POINT (6.8029209299022 50.993843634739)
05362000003609387;Am Lerchenhang;POINT (6.789701694679687 50.99924808569186)
05362000003609388;Am Bendacker;POINT (6.792863351173541 50.99244442179828)
05362000003609389;Am Römerpfad;POINT (6.795688397420108 51.006144198125725)
05362000003609390;Am Rosenhügel;POINT (6.795447801134246 50.997133556178206)
05362000003609391;Am Weidenbach;POINT (6.807576081859195 50.998851770423805)
05362000003609392;Am Wiesenhang;POINT (6.799242072406451 50.99413148158427)
05362000003609393;Amselweg;POINT (6.805118951898684 51.000429763798905)
05362000003609394;Am Pulheimer See;
05362000003609395;An der Kriegershecke;POINT (6.794604653143963 51.00604478965441)
05362000003609396;Annastraße;POINT (6.8008334405356345 51.00089597720016)
05362000003609397;Arnold-Böcklin-Straße;POINT (6.810524081321019 51.009809564533505)
05362000003609398;Auenweg;POINT (6.800841983502832 50.993899063886374)
05362000003609399;Auf dem Driesch;POINT (6.802378996215389 50.99992297458715)
05362000003609400;Auweilerstraße;POINT (6.8059794409142125 51.0000188144159)
05362000003609401;Am Angelsdorn;POINT (6.797358040733296 51.00832098935302)
05362000003609402;Anemonenweg;POINT (6.808243514066284 50.9942267003006)
05362000003609403;Aurikelweg;POINT (6.810321872784163 50.992436030785555)
05362000003609404;Bachstraße;POINT (6.804289800430898 50.99655972800062)
05362000003609405;Barbarastraße;POINT (6.801008549390517 51.0007343719406)
05362000003609406;Baumweg;POINT (6.794285390029955 51.00229489752161)
05362000003609407;Beethovenstraße;POINT (6.8144653911657596 51.00223389252405)
05362000003609408;Benzstraße;POINT (6.818173269590518 50.98949250839843)
05362000003609409;Birkenweg;POINT (6.815199779985329 50.9992303034885)
05362000003609410;Blumachergasse;POINT (6.80351688567371 50.998201792457685)
05362000003609411;Bergheimer Straße;POINT (6.786933000235964 50.99652530013727)
05362000003609412;Blumenstraße;POINT (6.796100697587428 51.00073282813852)
05362000003609413;Boschstraße;POINT (6.818998294758374 50.99285957315654)
05362000003609414;Brückenstraße;POINT (6.803174134613158 51.00082648425632)
05362000003609415;Buschweg;POINT (6.801510545707113 51.00489857694842)
05362000003609416;Bussardweg;POINT (6.801908359726037 51.00539988222005)
05362000003609417;Barbarahof;
05362000003609418;Bertha-von-Suttner-Straße;POINT (6.8191229874060495 51.001980518581426)
05362000003609419;Brüsseler Weg;POINT (6.798248989256726 50.99277450774394)
05362000003609420;Carl-Spitzweg-Straße;POINT (6.81806793828858 51.00759890032291)
05362000003609421;Christianstraße;POINT (6.806013989572631 50.99757619819073)
05362000003609422;Condorweg;POINT (6.799845467735321 51.00879392389672)
05362000003609423;Am Sportzentrum;POINT (6.800589447166246 51.00954930103528)
05362000003609424;Bernsteinweg;POINT (6.821057040045893 51.00009090216123)
05362000003609425;An den Laachen;
05362000003609426;Den Haager Weg;POINT (6.797557772607891 50.99258596641663)
05362000003609427;Dachsweg;POINT (6.813028500681548 51.005568436957105)
05362000003609428;Danziger Straße;POINT (6.81143292659017 51.000354119825445)
05362000003609429;Dieselstraße;POINT (6.820923829274047 50.9887474344724)
05362000003609430;Dohlenweg;POINT (6.790561015935358 50.99993623509898)
05362000003609431;Drosselweg;POINT (6.805534331783682 51.00174309254321)
05362000003609432;Dornröschenweg;POINT (6.797814035016882 51.00973007719911)
05362000003609433;Dubliner Weg;POINT (6.796659505497774 50.99411127501082)
05362000003609434;Diamantallee;POINT (6.821420280491657 51.000251051015624)
05362000003609435;Eichenweg;POINT (6.816944095563844 50.99821491472877)
05362000003609436;Elchweg;POINT (6.804389207913722 50.992180419083226)
05362000003609437;Emil-Nolde-Straße;POINT (6.810720262907737 51.00906858749054)
05362000003609438;Escher Straße;POINT (6.802433458564339 51.000782482409996)
05362000003609439;Everhardstraße;POINT (6.8002025072908765 51.00141227739953)
05362000003609440;Erikaweg;POINT (6.796325914726624 51.00339566798128)
05362000003609441;Elisabeth-Selbert-Straße;POINT (6.819169862373803 51.003104743415584)
05362000003609442;Enzianweg;POINT (6.792566208485998 50.993243003146084)
05362000003609443;Falkenweg;POINT (6.7989857145067365 51.00752244149575)
05362000003609444;Farnweg;POINT (6.794771581820519 51.004017511731846)
05362000003609445;Finkenweg;POINT (6.810104759579082 50.99992017199533)
05362000003609446;Fliederweg;POINT (6.795755474940627 50.996051877509096)
05362000003609447;Friedrich-Ebert-Straße;POINT (6.812597244174554 51.00060840709289)
05362000003609448;Friedrich-Miethe-Weg;POINT (6.808455765078342 51.00241443626708)
05362000003609449;Fuchspfad;
05362000003609450;Farehamstraße;POINT (6.801216841474952 50.998815439750345)
05362000003609451;Eisvogelweg;POINT (6.79857361333706 50.98909427603933)
05362000003609452;Forellenweg;POINT (6.799054677357034 50.989702085408915)
05362000003609453;Geyener Berg;POINT (6.795049823494167 50.9949384416854)
05362000003609454;Geyener Straße;POINT (6.797055432946415 50.997427333635876)
05362000003609456;Görlitzer Straße;POINT (6.809764150138182 51.00081156968182)
05362000003609457;Goethestraße;POINT (6.814049546960138 50.99724271228157)
05362000003609458;Goldammerweg;POINT (6.804139356188404 51.002433430797176)
05362000003609459;Greesberger Straße;POINT (6.800099567506641 51.002216611947865)
05362000003609460;Grevenbroicher Straße;POINT (6.794810755043038 50.999030983731735)
05362000003609461;Gustav-Heinemann-Straße;POINT (6.802683409107126 51.0023876805342)
05362000003609462;Granatweg;POINT (6.818231313805349 50.99947878190611)
05362000003609463;Gut Baadenberg;
05362000003609464;Gut Pletschmühle;
05362000003609465;Narzissenweg;POINT (6.815503259304265 50.99363967739725)
05362000003609466;Helsinkistraße;POINT (6.796120270225371 50.99381561552424)
05362000003609467;Hugo-Junkers-Straße;POINT (6.825668168133302 50.98658894410075)
05362000003609468;Habichtweg;POINT (6.801199532921707 51.008161712588624)
05362000003609469;Hackenbroicher Straße;POINT (6.798509053883263 51.00354427410598)
05362000003609470;Hans-Holbein-Straße;POINT (6.808395987466205 51.007247386946126)
05362000003609471;Harnischweg;POINT (6.796356524650455 51.00534430949453)
05362000003609472;Heideweg;POINT (6.8154815691147785 50.99978387636718)
05362000003609473;Heinrichstraße;POINT (6.80857437099623 50.996281722124806)
05362000003609474;Hirschweg;POINT (6.8034581092164 50.9922884094692)
05362000003609475;Henri-Dunant-Straße;POINT (6.816275276767017 51.00182517959949)
05362000003609476;Kamillenweg;POINT (6.790657869695328 50.99608557124177)
05362000003609477;Iltisweg;POINT (6.811304186383402 51.00595438475331)
05362000003609478;Im Bachgarten;POINT (6.8062922449989465 50.99415569568596)
05362000003609479;Im Büngertchen;POINT (6.810740165656087 50.99776786523562)
05362000003609480;Kerbelweg;POINT (6.792168321082489 50.99615750642333)
05362000003609481;Im Heiligenfeldchen;POINT (6.811849093180005 50.99555186580216)
05362000003609482;Im Waffental;POINT (6.797491381042934 51.00754072285633)
05362000003609483;In der Guten Zeit;
05362000003609484;Industriestraße;POINT (6.82003669567466 50.994007538686496)
05362000003609485;In der Gänselaache;POINT (6.794977257455675 51.00791559826382)
05362000003609486;Im Junkerhau;POINT (6.797611006277126 51.00795071576297)
05362000003609487;Im alten Kirschgarten;POINT (6.80626914463238 51.00082868614625)
05362000003609488;Jägerstraße;POINT (6.812704147291543 51.00388524305362)
05362000003609489;Jakobstraße;POINT (6.801164939676013 50.99634030117717)
05362000003609490;Johannisstraße;POINT (6.80159177356779 50.996474899103326)
05362000003609491;Junkerhauer Hof;
05362000003609492;Jadeweg;POINT (6.819786655441047 50.99789542022046)
05362000003609493;Käthe-Kollwitz-Straße;POINT (6.820516658104775 51.00095226837897)
05362000003609494;Kanalstraße;POINT (6.80295372758183 50.99969625141012)
05362000003609495;Kantstraße;POINT (6.812897508902945 50.99775322805238)
05362000003609496;Karthäuserstraße;POINT (6.809389837253595 50.99535229702937)
05362000003609497;Kornblumenweg;POINT (6.808098910816054 50.992873933953526)
05362000003609498;Kopenhagener Weg;POINT (6.796790109744716 50.99375351603821)
05362000003609499;Krokusweg;POINT (6.813609446613926 50.99373220910889)
05362000003609500;Lissaboner Straße;POINT (6.799450849396997 50.99271328509485)
05362000003609501;Leibnizstraße;POINT (6.812345910888313 50.995350519593)
05362000003609502;Leipziger Straße;POINT (6.809798482799306 51.00139203877597)
05362000003609503;Lessingstraße;POINT (6.814603807361102 50.99676241683811)
05362000003609504;Levenkaulstraße;POINT (6.802637173009386 50.99695942288047)
05362000003609505;Lindenstraße;POINT (6.804347145619341 50.996000802650805)
05362000003609506;Lucas-Cranach-Straße;POINT (6.811766754172915 51.006810489344)
05362000003609507;Luchsweg;POINT (6.804612257780306 51.005139527366126)
05362000003609508;Ludwig-Richter-Straße;POINT (6.813643519080378 51.00822577144063)
05362000003609509;Londoner Straße;POINT (6.798207027801591 50.99248714437356)
