strassenschluessel;bezeichnung;geometry
05374000003600001;Albertstraße;POINT (7.347236570634766 51.20726838650959)
05374000003600002;Alte Landstraße;POINT (7.3744828518244345 51.200101574166624)
05374000003600003;Altendorf;POINT (7.4057462041386355 51.19485712131388)
05374000003600004;Altenhof;POINT (7.334905443776425 51.223180054069765)
05374000003600005;Am Graben;POINT (7.316410504833956 51.22088690898645)
05374000003600006;Am Grimmelsberg;POINT (7.411047274514978 51.19918842380266)
05374000003600007;Am Hölterhof;POINT (7.359788356992025 51.19652794554364)
05374000003600008;Am Kattenbusch;POINT (7.355222722698885 51.19497241789079)
05374000003600009;Am Kollenberg;POINT (7.352415515705068 51.21085648244873)
05374000003600010;Am Krankenhaus;POINT (7.351630910349788 51.19977802263359)
05374000003600011;Am Kreuz;POINT (7.34249760396053 51.20067387982058)
05374000003600012;Am Leimholer Berg;POINT (7.336792376353305 51.20341166379604)
05374000003600013;Am Mühlenkämpchen;POINT (7.350674644206998 51.20474409524507)
05374000003600014;Am Pferdefeld;POINT (7.360517679845274 51.19974751216109)
05374000003600015;Amselweg;POINT (7.356929445328205 51.19800616594989)
05374000003600016;Am Telegraf;POINT (7.353418575914167 51.20907378096313)
05374000003600017;Am Wallenberg;POINT (7.298880211506358 51.19876714085532)
05374000003600018;Am Weißpfennig;POINT (7.340791277208473 51.199189723429384)
05374000003600019;An der Eick;POINT (7.35682178391926 51.199198337515526)
05374000003600020;An der Lohmühle;POINT (7.361108322132095 51.20360891838553)
05374000003600021;Andreasstraße;POINT (7.354561540625155 51.205092016765434)
05374000003600022;Auf der Brede;POINT (7.3202649152538735 51.217698391576036)
05374000003600023;Auf der Höh;POINT (7.356000960987316 51.196468657424354)
05374000003600024;Auf'm Hagen;POINT (7.302981911132821 51.22555541020402)
05374000003600025;Auf'm Winkel;POINT (7.360556287143107 51.1992471082963)
05374000003600026;An der Wildbahn;POINT (7.3131790624977695 51.18938367290028)
05374000003600027;Bahnhof Bergerhof;POINT (7.334492914595354 51.202849451432996)
05374000003600028;Bahnhof Dahlerau;POINT (7.3113338745784215 51.22081259933434)
05374000003600029;Bahnhof Dahlhausen;POINT (7.305559810953915 51.21769395602482)
05374000003600030;Bahnhofstraße;POINT (7.359384590524367 51.199134169606836)
05374000003600031;Bahnstraße;POINT (7.361818928481754 51.20070353759147)
05374000003600032;Beck;POINT (7.404785640298135 51.22108044525332)
05374000003600032;Beck;POINT (7.404785640298135 51.22108044525332)
05374000003600033;Berg;POINT (7.323147645396992 51.18758244379325)
05374000003600034;Bergstraße;POINT (7.311393726265491 51.21187593760096)
05374000003600035;Bernd-Rosemeyer-Straße;POINT (7.36008812249677 51.208881571270574)
05374000003600036;Birken;POINT (7.348493533895942 51.23501449953057)
05374000003600037;Birkenweg;POINT (7.359135273181093 51.19970938919829)
05374000003600038;Bischof-Bornewasser-Straße;POINT (7.358686511912038 51.20289163540046)
05374000003600039;Blumenstraße;POINT (7.362416363038885 51.202707901586734)
05374000003600040;Böhlefeldshaus;POINT (7.396510770894028 51.20707271229536)
05374000003600041;Borbeck;POINT (7.424925985754554 51.21663220434953)
05374000003600042;Börkel;POINT (7.339755616959868 51.202386051719714)
05374000003600043;Born;POINT (7.417256771580418 51.22515330363839)
05374000003600044;Braake;POINT (7.400252824403455 51.22431148399403)
05374000003600045;Brebach;POINT (7.337239859918504 51.23885410793097)
05374000003600046;Bredderstraße;POINT (7.352380606351422 51.20543785842808)
05374000003600047;Brückenstraße;POINT (7.311002484039735 51.22305848413381)
05374000003600048;Brunsheide;POINT (7.3670586717629725 51.22487734260705)
05374000003600049;Brunshöh;POINT (7.369003784383465 51.22413512598635)
05374000003600050;Burgstraße;POINT (7.355830573386643 51.20330377178927)
05374000003600051;Buschsiepen;POINT (7.413720881312856 51.187046658902815)
05374000003600052;Carl-Diem-Straße;POINT (7.359669387459543 51.20487172533124)
05374000003600053;Dahler Straße;POINT (7.316273541987486 51.22337693172822)
05374000003600054;Dahlhauser Straße;POINT (7.321499549015919 51.20338939532404)
05374000003600055;Dahlienstraße;POINT (7.382506413407824 51.201920025286846)
05374000003600056;Dannenbaum;POINT (7.342673369838491 51.19948499591461)
05374000003600057;Danziger Straße;POINT (7.319559606552146 51.2020531250873)
05374000003600058;Dehnerhofstraße;POINT (7.3380185489605125 51.200172671156025)
05374000003600059;Diepenbruch;POINT (7.416897234401347 51.1998849530936)
05374000003600060;Dieplingsberg;POINT (7.359412247427189 51.1940909321152)
05374000003600061;Dietrich-Bonhoeffer-Straße;POINT (7.348407245760301 51.20078231657141)
05374000003600063;Drosselweg;POINT (7.355708531686896 51.19745678874297)
05374000003600064;Dünnwald;POINT (7.3568513316114865 51.22421971830496)
05374000003600065;Eich;POINT (7.405852734665074 51.19976058831756)
05374000003600066;Eistringhausen;POINT (7.336533192863583 51.22072111991045)
05374000003600067;Elberfelder Straße;POINT (7.3283176905312155 51.20192217431762)
05374000003600068;Elbinger Straße;POINT (7.319702007735838 51.20315494423247)
05374000003600069;Erlenbach;POINT (7.3883865833219 51.189338542937385)
05374000003600070;Espert;POINT (7.342928935290231 51.19429006872593)
05374000003600071;Espertstraße;POINT (7.345433581339861 51.199010009481384)
05374000003600072;Feckinghausen;POINT (7.375274783603572 51.244679669240696)
05374000003600073;Feldmannshaus;POINT (7.402354357771863 51.202230384062965)
05374000003600074;Feldstraße;POINT (7.3626942879827215 51.19919537645273)
05374000003600075;Felsenbeck;POINT (7.420902682178925 51.189591921340934)
05374000003600076;Fichtenweg;POINT (7.312922186585674 51.211916945222036)
05374000003600077;Filde;POINT (7.392835193634774 51.24504352208858)
05374000003600078;Filderheide;POINT (7.390654463455562 51.23830841868611)
05374000003600079;Finkensiepen;POINT (7.417354863291456 51.21411472556612)
05374000003600080;Finkenweg;POINT (7.357276940609597 51.196538075971695)
05374000003600081;Flurstraße;POINT (7.31289289239566 51.21608379147234)
05374000003600082;Freiligrathstraße;POINT (7.333233573115487 51.19751010333351)
05374000003600083;Freudenberg;POINT (7.363971486528051 51.23556359594547)
05374000003600085;Friedrichstraße;POINT (7.351505919114975 51.20607796836248)
05374000003600086;Friesenstraße;POINT (7.356065112747403 51.209486544675876)
05374000003600087;Froweinstraße;POINT (7.338955622460303 51.19988582973151)
05374000003600088;Fuhr;POINT (7.342054765746441 51.225476991294755)
05374000003600089;Funkenhausen;POINT (7.397045527978426 51.21363332251706)
05374000003600090;Gartenstraße;POINT (7.355563223660464 51.2018379715053)
05374000003600091;Geilensiepen;POINT (7.344831322329774 51.19508856466086)
05374000003600092;Goethestraße;POINT (7.333305270068149 51.19941246236477)
05374000003600093;Grabenstraße;POINT (7.35770919819955 51.20222927452218)
05374000003600094;Grafweg;POINT (7.394080805307885 51.19866367090265)
05374000003600095;Griesensiepen;POINT (7.327292303119738 51.248813822522166)
05374000003600096;Grüne;POINT (7.39155248845675 51.20177094686351)
05374000003600097;Grünentaler Straße;POINT (7.304817731478162 51.217514452861344)
05374000003600098;Grünstraße;POINT (7.350167511752218 51.20501782243334)
05374000003600099;Grunewald;POINT (7.319027576526693 51.22236542965921)
05374000003600100;Gewerbestraße;POINT (7.386588309002493 51.201561680269535)
05374000003600101;Hahnenberg;POINT (7.399683792739924 51.194662365551245)
05374000003600102;Harbeck;POINT (7.391062469975824 51.22725390081795)
05374000003600103;Hardt;POINT (7.371104323729028 51.227276741382234)
05374000003600104;Hardtbach;POINT (7.307346567214712 51.21484613013278)
05374000003600105;Hardtstraße;POINT (7.307713583201313 51.21345524749846)
05374000003600106;Heide;POINT (7.325838197649575 51.19163114410201)
05374000003600107;Heidersteg;POINT (7.317252618890536 51.1880011018439)
05374000003600108;Heidt;POINT (7.354283421410318 51.21756809672518)
05374000003600109;Herbeck;POINT (7.3242927458589815 51.20293444434739)
05374000003600110;Herbecker Straße;POINT (7.326951575841272 51.20528375480679)
05374000003600111;Herderstraße;POINT (7.334362213023839 51.199694518205824)
05374000003600112;Herkingrade;POINT (7.328738815026883 51.219421075825764)
