strassenschluessel;bezeichnung;geometry
05770000004003901;Alte Kirchstraße;POINT (8.649885728930288 52.49889881003991)
05770000004003902;Alte Zollstation;POINT (8.630539159629802 52.51416624665466)
05770000004003903;Alter Postweg;POINT (8.63174638024551 52.4831369684413)
05770000004003904;Am Alten Diek;POINT (8.646677697745112 52.50207854332034)
05770000004003905;Am Blanken Boom;POINT (8.650693723673022 52.51511786463301)
05770000004003906;Am Speukebusch;POINT (8.649680977597509 52.496749653766265)
05770000004003907;Am Ströher Bahnhof;POINT (8.627935108278676 52.5124445977306)
05770000004003908;Ammenweg;POINT (8.62194591098667 52.506371058169954)
05770000004003909;An der Aue;POINT (8.655148996069961 52.49784829276815)
05770000004003910;An der Wickriede;POINT (8.6830652217063 52.49910319254887)
05770000004003911;Auf der Schwielge;POINT (8.581299150210228 52.50288195522228)
05770000004003912;Bargs Kamp;POINT (8.652398812333931 52.499453076806276)
05770000004003913;Binnenheide;POINT (8.669034051654148 52.48777584345661)
05770000004003914;Bössel;POINT (8.640521581684698 52.50552312148649)
05770000004003915;Bruchgraben;POINT (8.601640627908854 52.499336138620876)
05770000004003916;Bruchmühlenstraße;POINT (8.588350098632429 52.49724106230593)
05770000004003917;Bruchorter Allee;POINT (8.60229963158886 52.502748778401454)
05770000004003918;Bruchstraße;POINT (8.597406273963935 52.49522918421189)
05770000004003919;Dalgeweg;POINT (8.580025991372695 52.50499467435474)
05770000004003921;Dreistatt;POINT (8.634027464588124 52.48066963683222)
05770000004003922;Filger Bruch;POINT (8.644415809233013 52.482807634206736)
05770000004003923;Gerlager Straße;POINT (8.6112265579236 52.48754769437605)
05770000004003924;Grasdamm;POINT (8.572485750403922 52.49909636498936)
05770000004003925;Hasslinger Weg;POINT (8.64086860347869 52.518057216311696)
05770000004003926;Heidegrund;POINT (8.615020716767042 52.5148491558849)
05770000004003927;Heuerorter Straße;POINT (8.66046796248442 52.506702175506746)
05770000004003928;Hinter der Kirche;POINT (8.650907350948847 52.499478650844054)
05770000004003929;Holsinger Straße;POINT (8.667912375102805 52.492403477816616)
05770000004003930;Horstweg;POINT (8.609427404441094 52.49653498558313)
05770000004003931;Hülsenbrink;POINT (8.622214936852995 52.50001153056718)
05770000004003932;Im Rosengarten;POINT (8.687324435545301 52.50167538919805)
05770000004003934;Immenweg;POINT (8.608361600540029 52.515282177136974)
05770000004003935;In den Dämmen;POINT (8.635866553789127 52.49659799085486)
05770000004003936;In den Eickmösen;POINT (8.683732021149769 52.48388098352845)
05770000004003937;In der Laune;POINT (8.6694246231093 52.48138266160031)
05770000004003938;In der Straße;POINT (8.645010439952104 52.51920559733581)
05770000004003939;Industriestraße;POINT (8.627994645965078 52.50720686315332)
05770000004003940;Joh.-Chr.-Klasing-Straße;POINT (8.650895050215928 52.50059084155166)
05770000004003941;Klostergarten;POINT (8.673426760289136 52.49687643731316)
05770000004003942;Klusweg;POINT (8.662727091652462 52.49733977321741)
05770000004003943;Kreuzweg;POINT (8.669646106120776 52.49522054998089)
05770000004003944;Moororter Birkenweg;POINT (8.64863413416231 52.52070179909904)
05770000004003945;Moororter Heide;POINT (8.646530067054508 52.52381931505398)
05770000004003946;Moororter Straße;POINT (8.625137601604179 52.51033131118743)
05770000004003947;Pr.-Ströher-Allee;POINT (8.635016264776764 52.50975295753149)
05770000004003948;Schmiedestraße;POINT (8.627065214913884 52.50948546925579)
05770000004003950;Ströher Bruch;POINT (8.581071047173406 52.49418610419921)
05770000004003951;Thielemanns Damm;POINT (8.616439213749667 52.50400875687253)
05770000004003952;Tielger Straße;POINT (8.583721622598452 52.498552344920064)
05770000004003953;Tielger Winkel;POINT (8.57113599109639 52.489777574362215)
05770000004003954;Unter den Eichen;POINT (8.66099281244736 52.48836961126323)
05770000004003955;Volkeningweg;POINT (8.648244675595674 52.500930987081546)
05770000004003957;Zum Alten Rennplatz;POINT (8.622692106321576 52.492118688454575)
05770000004003958;Zum Grenzwall;POINT (8.651846606389373 52.50036821475604)
05770000004003959;Zum Hochmoor;POINT (8.566125679627755 52.50049228427054)
05770000004003960;Zur Landesgrenze;POINT (8.684401382178281 52.509479024559596)
05770000004003961;Zur Mühlenbrücke;POINT (8.677992368396879 52.51103985721195)
05770000004003962;Zur Sandhordt;POINT (8.658274968581377 52.52015115623635)
05770000004003964;Hackelbarg;POINT (8.646851425660108 52.49955509825132)
05770000004003965;Auf dem Pustel;POINT (8.652607487263325 52.53124764569121)
05770000004003966;Schlosserstraße;POINT (8.625626827325023 52.509594042926054)
05770000004004001;Alter Kirchweg;POINT (8.581138100388786 52.43711820258919)
05770000004004002;Am Birkholz;POINT (8.56280712728246 52.407772670346276)
05770000004004003;Am Glockenstuhl;POINT (8.576814201559857 52.44032139055)
05770000004004004;Am Holtkamp;POINT (8.554658374645642 52.39760637003804)
05770000004004005;An den Riehen;POINT (8.557168822491334 52.44686675627839)
05770000004004006;Beekebruch;POINT (8.560299142711287 52.458974909142675)
05770000004004007;Bruchweg;POINT (8.52720466727868 52.43151284417317)
05770000004004008;Bulzendorf;POINT (8.567010444079962 52.45160302707294)
05770000004004009;Fischerstatt;POINT (8.580865642848583 52.42529639830508)
05770000004004010;Fritz-Rüter-Weg;POINT (8.574189668547103 52.427723519828135)
05770000004004011;Galgenkamp;POINT (8.583460440922812 52.442766327041035)
05770000004004012;Haßlage;POINT (8.580449606321345 52.401992048996334)
05770000004004013;Haßmoor;POINT (8.58146032743465 52.44321058112352)
05770000004004014;Heideweg;POINT (8.571731749156191 52.410665394698206)
05770000004004015;Heller Kamp;POINT (8.576524045538504 52.408732028232706)
05770000004004016;Hinterm Felde;POINT (8.571653478695787 52.4467536531302)
05770000004004017;Hinterm Lohbusch;POINT (8.570803825845404 52.4290930990744)
05770000004004019;Hohensteiner Mühle;POINT (8.587585143479798 52.44284975564798)
05770000004004020;Im Walde;POINT (8.548558530154539 52.40659732871418)
05770000004004021;In den Kölken;POINT (8.55582357642714 52.4049181967164)
05770000004004022;Kleihügel;POINT (8.56021889875726 52.39336196874004)
05770000004004023;Kleines Feld;POINT (8.570981826511577 52.43325939334652)
05770000004004024;Kronspon;POINT (8.551225181661101 52.431218404176626)
05770000004004025;Langer Damm;POINT (8.57734502345895 52.426687506680246)
05770000004004026;Lehmkuhle;POINT (8.574091691871654 52.437987342707785)
05770000004004027;Leverner Straße;POINT (8.579067853154596 52.43900493909866)
05770000004004028;Lohbusch;POINT (8.569685886321418 52.4316599747857)
05770000004004029;Lohkamp;POINT (8.562528240032735 52.429426452875695)
05770000004004030;Moorweg;POINT (8.562675924830275 52.41624809474162)
05770000004004031;Mühlensteg;POINT (8.532200878053397 52.42245338165764)
05770000004004032;Oppenweher Straße;POINT (8.547579846399849 52.44018486185369)
05770000004004033;Schäferweg;POINT (8.535904063646864 52.41237987038436)
05770000004004034;Schnakenpohl;POINT (8.562743799617483 52.422022697969034)
05770000004004035;Schullenmoor;POINT (8.568587915675838 52.42071630281103)
05770000004004036;Stattdamm;POINT (8.580330007431781 52.43563278389119)
05770000004004037;Varler Brink;POINT (8.579539100162545 52.44121841134678)
05770000004004038;Varler Schulweg;POINT (8.560737938287044 52.43671520788179)
05770000004004039;Varler Straße;POINT (8.551039789359152 52.438889050927585)
05770000004004040;Varler Wald;POINT (8.53970583679491 52.4130893118916)
05770000004004041;Varlheider Straße;POINT (8.570676238641315 52.41131483572394)
05770000004004042;Vor den Wiesen;POINT (8.5527376321438 52.45094282757895)
05770000004004043;Vorwerker Feld;POINT (8.567778022284445 52.43929675331473)
05770000004004044;Wagenfelder Straße;POINT (8.577698683611958 52.44332760565513)
05770000004004045;Walage;POINT (8.534096969531568 52.437185062286034)
05770000004004046;Waldweg;POINT (8.54027700231118 52.41624581475116)
05770000004004047;Westerheide;POINT (8.543083559446362 52.4428688546158)
05770000004004048;Ziegeleiweg;POINT (8.569493821375017 52.39689177165466)
05770000004004049;Zum Kleihügel;POINT (8.582609438340576 52.40956807108874)
05770000004004050;Zum Schnakenpohl;POINT (8.558474524244131 52.416471086019406)
05770000004004051;Zum Schullenmoor;POINT (8.571089588710779 52.42440867023745)
05770000004004052;Zur Alten Schule;POINT (8.573488384284266 52.414310227119316)
05770000004004053;Zur Amlage;POINT (8.538042469148172 52.4077239146923)
05770000004004054;Zur Friedenseiche;POINT (8.579741454922683 52.44054942179013)
05770000004004055;Zur Steinkämper Mühle;POINT (8.556824274608458 52.43342302715619)
05770000004004056;Am Großen Feld;POINT (8.576075326756964 52.44136310798606)
05770000004004057;Buschhügel;POINT (8.575099267751698 52.44095254952664)
05770000004004058;Wehdemer Weg;
05770000004004101;Am Dorfplatz;POINT (8.656105175819512 52.45731950172451)
05770000004004102;Am Friedhof;POINT (8.666934226822184 52.45808685682262)
05770000004004103;Am Kindergarten;POINT (8.658342243394594 52.4540920649967)
05770000004004104;Am Kornfeld;POINT (8.656194421419883 52.45870056308423)
05770000004004105;Am Moorland;POINT (8.663009397813306 52.44142256831402)
05770000004004106;Am Placken;POINT (8.672501013809061 52.44920121081322)
05770000004004107;Am Sportplatz;POINT (8.65803274559565 52.454575451311214)
05770000004004108;Am Sprakel;POINT (8.677339939533244 52.4398791119427)
05770000004004110;Azaleenweg;POINT (8.655432251336615 52.452830636088976)
05770000004004111;Barler Kamp;POINT (8.70660858361146 52.463331756618786)
05770000004004112;Barler Straße;POINT (8.691393607226079 52.46092307815416)
05770000004004113;Bollbrink;POINT (8.68796797263652 52.480117150687065)
05770000004004114;Brakwiese;POINT (8.65199452211419 52.47199749533977)
05770000004004115;Buchenweg;POINT (8.654478931904862 52.457196890848664)
05770000004004116;Durch die Heide;POINT (8.693098675986265 52.45050520183824)
05770000004004117;Fangort;POINT (8.664613191277077 52.45463919898824)
05770000004004118;Farnhorst;POINT (8.645989059681114 52.46854120010386)
05770000004004120;Groß Barl;POINT (8.700700086906727 52.45218636648718)
05770000004004121;Große Masch;POINT (8.64670033465947 52.463220850785795)
05770000004004122;Heckenweg;POINT (8.65693372073737 52.454919546335965)
05770000004004123;Hinterm Fledder;POINT (8.662134483634237 52.4773342860747)
05770000004004124;Hinterm Nordfeld;POINT (8.658919849597677 52.466315048121665)
05770000004004126;Hortweg;POINT (8.652626834957166 52.45252976903279)
05770000004004127;Husener Straße;POINT (8.655687102378183 52.43939192481149)
05770000004004128;Hüsinger Feld;POINT (8.65722776902707 52.45182590880607)
05770000004004129;Im Bülten;POINT (8.644644962080978 52.46670258549957)
05770000004004130;Im Strang;POINT (8.655201794851838 52.44048364470644)
05770000004004131;Im Twielen;POINT (8.687196823769485 52.49480552743476)
05770000004004132;In den Fichten;POINT (8.692505113538687 52.46970023309045)
05770000004004133;In den Sennen;POINT (8.675252322261537 52.455003577334296)
05770000004004136;Kleine Masch;POINT (8.63799148446515 52.46457153687325)
05770000004004137;Krallhardt;POINT (8.687190422871904 52.45719507483731)
05770000004004138;Langenhorst;POINT (8.691073250997224 52.47453523620163)
05770000004004140;Neuer Weg;POINT (8.646215036233587 52.453191088860386)
05770000004004142;Rosenweg;POINT (8.657389297443718 52.45383030698462)
05770000004004143;Schwarzes Moor;POINT (8.68626190359656 52.43530645401545)
05770000004004144;Tiefes Tal;POINT (8.651568828730849 52.45083613743892)
05770000004004145;Weher Esch;POINT (8.65694658306501 52.453275697548555)
