strassenschluessel;bezeichnung;geometry
05566000007200201;Alte Rieken;POINT (7.693309943105067 52.351109299025275)
05566000007200202;Haferstiege;POINT (7.7145678274078655 52.37563858782987)
05566000007200203;Dinkelweg;POINT (7.714222040908604 52.37522270772289)
05566000007200204;Kleeweg;POINT (7.716458924439275 52.376163381624586)
05566000007200205;Gersteweg;POINT (7.712898400106397 52.37484538822959)
05566000007200206;Hirseweg;POINT (7.715586901838521 52.37597502348888)
05566000007200207;Rapsweg;POINT (7.714370861319483 52.37707232797611)
05566000007200208;Flachsweg;POINT (7.71565889246787 52.37690596512078)
05566000007200209;Maisweg;POINT (7.70976562917543 52.374235913706734)
05566000007200210;Distelweg;POINT (7.71082542625277 52.374222925130816)
05566000007200211;Kornblumenweg;POINT (7.711689915299867 52.37442699773214)
05566000007200212;Sonnenblumenweg;POINT (7.7126058949561 52.37462121336221)
05566000007200213;Weizenweg;POINT (7.712329730140103 52.37464090679343)
05566000007200216;Stollenweg;POINT (7.659982269723237 52.34775551937102)
05566000007200217;Hauergasse;POINT (7.660963234232233 52.348087801414486)
05566000007200218;Knappenweg;POINT (7.6615147808155 52.348378932349824)
05566000007200219;Glück-Auf-Str.;POINT (7.660190562027359 52.3484550293777)
05566000007200220;Grubenweg;POINT (7.660803942341824 52.347044221359766)
05566000007200221;Steigerstr.;POINT (7.660327222219417 52.347548842960144)
05566000007200222;Raiffeisenstr.;POINT (7.711290010840351 52.36019241016758)
05566000007200223;Barschweg;POINT (7.722618773316324 52.35809179961947)
05566000007200224;Zanderstr.;POINT (7.724000006162753 52.35791082798135)
05566000007200225;Karpfenweg;POINT (7.724168513729888 52.357353615704554)
05566000007200226;Plötzenweg;POINT (7.725076470550769 52.357435091863834)
05566000007200227;Brassenweg;POINT (7.725898601758915 52.35785850638311)
05566000007200228;Brüggemeyers Kamp;POINT (7.701293625381573 52.350654850983474)
05566000007200231;Haermeyers Kamp;POINT (7.721680719999831 52.37145454903473)
05566000007200232;Wilhelm-Hauff-Weg;POINT (7.710593792843711 52.3737245284924)
05566000007200233;Gebrüder-Grimm-Weg;POINT (7.710386712585229 52.3719981704868)
05566000007200234;Altwilmsdorfer Str.;POINT (7.706301594490154 52.35246152566491)
05566000007200235;Schillerstr.;POINT (7.722810573892056 52.37551495986187)
05566000007200236;Herderstr.;POINT (7.721490268410493 52.376713634919604)
05566000007200237;Kräuterweg;POINT (7.729506204547086 52.372023523885886)
05566000007200238;Kämpken;POINT (7.729984210682187 52.37343802886124)
05566000007200239;Tietmeiers Kamp;POINT (7.718520487316698 52.3784107894994)
05566000007200240;Hellweg;
05566000007200241;Brockmöllers Hof;POINT (7.692882126486946 52.35013066935614)
05566000007200242;Pfarrer-Thyl-Weg;POINT (7.691246635090634 52.34862853434944)
05566000007200243;Thea-Bremm-Str.;
05566000007200244;Anna-Eckseler-Weg;
05566000007200245;Theresia-Nospickel-Weg;
05566000007201201;Achter de Hofstie;POINT (7.720288636830569 52.37079707857173)
05566000007201202;Ackerstr.;POINT (7.713419111494954 52.37270147229908)
05566000007201203;Ahornweg;POINT (7.6508877852890045 52.344586780380034)
05566000007201204;Am Bahrenkamp;POINT (7.710919358241522 52.36879547400512)
05566000007201205;Allhornstr.;POINT (7.6886584024482145 52.36547677524304)
05566000007201206;Am Berge;POINT (7.685400180609679 52.34029348215487)
05566000007201207;Am Mersch;POINT (7.715821663678132 52.360750734476376)
05566000007201208;Am Mühlenbach;POINT (7.723356000443831 52.34479350569265)
05566000007201209;Amselweg;POINT (7.711795059614847 52.371134807830224)
05566000007201210;Am Stollenbach;POINT (7.720616257868575 52.34524995865506)
05566000007201211;Am Wall;POINT (7.758168248992455 52.366383573120224)
05566000007201212;Auf der Haar;POINT (7.710836518515145 52.3508149230945)
05566000007201213;Bachstr.;POINT (7.704112337560205 52.35652682912968)
05566000007201214;Bad;POINT (7.672351768490839 52.351845266870995)
05566000007201215;Bahnhofstr.;POINT (7.71827264989749 52.36217820250403)
05566000007201216;Barbarastr.;POINT (7.704932871304763 52.35559317353397)
05566000007201217;Bergstr.;POINT (7.653718420262542 52.33441325812165)
05566000007201218;Blomes Hof;POINT (7.720803579136461 52.37250374284912)
05566000007201219;Bodelschwinghstr.;POINT (7.724333898344136 52.36646731619651)
05566000007201220;Bogenstr.;POINT (7.719644381922302 52.37512983710999)
05566000007201221;Bomberg;POINT (7.69051771362551 52.33374069175064)
05566000007201222;Bremestr.;POINT (7.719235162273772 52.36912139400237)
05566000007201223;Brenners Kamp;POINT (7.73451163506311 52.339102627996965)
05566000007201224;Breslauer Str.;POINT (7.72064515128537 52.37395142377878)
05566000007201225;Brookweg;POINT (7.713049527858413 52.36861140484331)
05566000007201226;Brunnenstr.;POINT (7.7347401582730635 52.33887870043261)
05566000007201227;Buchholzstr.;POINT (7.690924068808004 52.33347340526389)
05566000007201228;Buddendiek;POINT (7.696198402334718 52.356700040898076)
05566000007201229;Bukweg;POINT (7.680238245165876 52.33637269528278)
05566000007201230;Diekmannstr.;POINT (7.725984749978371 52.36882576002084)
05566000007201231;Dörfer Esch;POINT (7.719988930135935 52.37469763406098)
05566000007201232;Dopkotten;POINT (7.7048695657056525 52.35265454549639)
05566000007201233;Dorfstr.;POINT (7.6932741883330005 52.349886728255946)
05566000007201234;Eichendorffstr.;POINT (7.723872160950827 52.375600773930536)
05566000007201235;Eschweg;POINT (7.685721628739688 52.34447568540344)
05566000007201236;Espeler Esch;POINT (7.7463520316288585 52.349987977233965)
05566000007201237;Feldstr.;POINT (7.721516337813652 52.37256833266465)
05566000007201238;Fichtenweg;POINT (7.652439729292079 52.344765207295154)
05566000007201239;Finkenweg;POINT (7.711219661862614 52.371180403025576)
05566000007201240;Kreuzkrug;POINT (7.713047521765273 52.375779743300946)
05566000007201241;Gartenstr.;POINT (7.722569418395207 52.37236707550453)
05566000007201242;Göskenkamp;POINT (7.723240447888465 52.350826425003845)
05566000007201243;Goethestr.;POINT (7.72025841968912 52.37602666415045)
05566000007201244;Grüner Weg;POINT (7.720830481946994 52.37083139232263)
05566000007201245;Haarstr.;POINT (7.695051164721738 52.36651698850592)
05566000007201246;Zum Harhof;POINT (7.7281071287189675 52.3943297540494)
05566000007201247;Hauptstr.;POINT (7.719448254420329 52.360797716037524)
05566000007201248;Heideweg;POINT (7.734456119598722 52.33708373495751)
05566000007201250;Gewerbering;POINT (7.700915580741251 52.361747698919665)
05566000007201252;Hermann-Löns-Weg;POINT (7.649312383331188 52.34405565114992)
05566000007201253;Hochwaldstr.;POINT (7.645884475753145 52.34407866569842)
05566000007201254;Höpen;POINT (7.660280583243997 52.34995423699102)
05566000007201255;Hörsteler Str.;POINT (7.687746316353311 52.350833966516724)
05566000007201256;Homeyers Hof;POINT (7.717649298216268 52.36910509483788)
05566000007201257;Hopstener Str.;POINT (7.717080622389056 52.36994789426975)
05566000007201258;Hugostr.;POINT (7.649490445267857 52.348157771676426)
05566000007201259;Homeyers Esch;POINT (7.717887258571175 52.372761612341435)
05566000007201260;Ibbenbürener Str.;POINT (7.71747576931738 52.35759262718275)
05566000007201261;Im Brink;POINT (7.727423848600942 52.35440798731501)
05566000007201262;Im Hagen;POINT (7.7118709743005 52.33761578449784)
05566000007201263;Im Hilgen Feld;POINT (7.6380718113419555 52.342847696463)
05566000007201264;Im Winkel;POINT (7.717352647711005 52.3682517437011)
05566000007201265;Jahnstr.;POINT (7.716468793086707 52.37132589477993)
05566000007201266;Kälberberg;POINT (7.652597837034564 52.341032905971964)
05566000007201268;Kanalstr.;POINT (7.6817029324557895 52.35270611759887)
05566000007201269;Kettelerstr.;POINT (7.649218469241079 52.346802443384384)
05566000007201270;Kiefernweg;POINT (7.64569165126395 52.34310487180851)
05566000007201271;Kirchstr.;POINT (7.693231471964894 52.349256192516265)
05566000007201272;Kleines-Meer-Str.;POINT (7.644112405713567 52.34657994893104)
05566000007201273;Klosterstr.;POINT (7.710993471583219 52.37615908249398)
05566000007201274;Königspool;POINT (7.65548930807681 52.3455226345315)
05566000007201275;Kolpingstr.;POINT (7.71709992135029 52.37125180228554)
05566000007201276;König-Rabbke-Weg;POINT (7.743733840108241 52.339011972802794)
