strassenschluessel;bezeichnung;geometry
05554000004406101;Ahornstraße;POINT (7.03982778135954 51.83418175208965)
05554000004406102;Akazienstraße;POINT (7.041151027162314 51.83475819753254)
05554000004406103;Am Krankenhaus;POINT (7.050291470486579 51.82891533849679)
05554000004406104;Am Wehrturm;POINT (7.045688555757513 51.82890375706738)
05554000004406105;Beethovenstraße;POINT (7.050060531764918 51.82659588119348)
05554000004406106;Bergstraße;POINT (7.040712082205421 51.832805142263254)
05554000004406107;Brucknerstraße;POINT (7.050869708922287 51.82345405375806)
05554000004406108;Buchenstraße;POINT (7.038970481233064 51.835447146347754)
05554000004406109;Coesfelder Straße;POINT (7.051130191521198 51.83406295699122)
05554000004406110;Dorfheide;POINT (7.042325180643486 51.82420962844645)
05554000004406111;Dorstener Straße;POINT (7.047299643761396 51.824625774016695)
05554000004406112;Dr.-Wesselsstraße;POINT (7.051170557678972 51.835186637701895)
05554000004406113;Eschenweg;POINT (7.037990834593203 51.83570865284126)
05554000004406114;Esch;POINT (7.043250200773085 51.8250042059367)
05554000004406115;Gartenweg;POINT (7.0420129805687175 51.8328695893622)
05554000004406116;Hauptstraße;POINT (7.044782166015788 51.832098984434595)
05554000004406117;Harrierstraße;POINT (7.046376743657973 51.83038192547339)
05554000004406118;Heidener Straße;POINT (7.040235088051587 51.83204643991241)
05554000004406119;Hestern;POINT (7.039362111422924 51.82580119898047)
05554000004406120;Kapellenweg;POINT (7.039045671955732 51.830803041586094)
05554000004406121;Kirchstraße;POINT (7.043592685590969 51.82959346003436)
05554000004406122;Lammersstraße;POINT (7.040077977686017 51.82728655852062)
05554000004406123;Liekstegge;POINT (7.042103135150185 51.830795713237606)
05554000004406124;Lindenweg;POINT (7.048561568729646 51.833342055532526)
05554000004406125;Schultenhoff;POINT (7.046613901215831 51.833028512386036)
05554000004406126;Ludgeristraße;POINT (7.048024603542275 51.8315310386052)
05554000004406127;Melchenberg;POINT (7.040564882389777 51.83816526531309)
05554000004406128;Mozartstraße;POINT (7.049325698279891 51.82412985831383)
05554000004406129;Mühlenberg;POINT (7.054767941306098 51.83170404004057)
05554000004406130;Overbergstraße;POINT (7.044300122690813 51.82806983935743)
05554000004406131;Pläckerweg;POINT (7.043571781089002 51.83527940761114)
05554000004406132;Riesweg;POINT (7.048657517087691 51.836237631318554)
05554000004406133;Surkstamm;POINT (7.04479521581064 51.82520203377292)
05554000004406134;Steinstraße;POINT (7.041938034467404 51.83647448461192)
05554000004406135;Schumannstraße;POINT (7.049758191233501 51.825849151223444)
05554000004406136;Schulstraße;POINT (7.041944948962081 51.831696676869534)
05554000004406137;Ulmenstraße;POINT (7.038204120262076 51.83671680337455)
05554000004406138;Velener Straße;POINT (7.0378308192076755 51.8339942958984)
05554000004406139;Wagnerring;POINT (7.049241425679322 51.822882582310775)
05554000004406140;Wehrstraße;POINT (7.043913609736717 51.8271552524669)
05554000004406141;Weberstraße;POINT (7.0499512591409585 51.82287389094856)
05554000004406142;Werenzostraße;POINT (7.052225870550877 51.836656752614715)
05554000004406143;Wiesenweg;POINT (7.04804696623105 51.82856798440927)
05554000004406144;Kardinal-von-Galen-Straße;POINT (7.048504103708596 51.827606141519325)
05554000004406145;Kolpingstraße;POINT (7.050953444154447 51.830195381532)
05554000004406146;Michaelstraße;POINT (7.051106576567197 51.83077020795967)
05554000004406147;Von-Ketteler-Straße;POINT (7.05188064983284 51.830001340629174)
05554000004406148;Kerkenberg;POINT (7.046317960057689 51.836537114377535)
05554000004406149;Brunnenweg;POINT (7.039778398945206 51.82984905581824)
05554000004406150;Talweg;POINT (7.039540529176523 51.828535625795965)
05554000004406151;Von-Bodelschwingh-Straße;POINT (7.0433075926530515 51.79908188545277)
05554000004406152;Bonhoefferring;POINT (7.044425550940911 51.79732942647585)
05554000004406153;Freiherr-vom-Stein-Straße;POINT (7.042037975310754 51.80067537439861)
05554000004406154;Matthiesstegge;POINT (7.045932766426752 51.83430059665565)
05554000004406155;Zum Stellwerk;POINT (7.098840391046195 51.843739956464894)
05554000004406156;Zur Wassermühle;POINT (7.098376073241387 51.84328405350991)
05554000004406157;Borculoer Straße;POINT (7.038928659058828 51.82697879025009)
05554000004406158;An der Senke;POINT (7.037385101686782 51.82924709335508)
05554000004406159;Gandower Weg;POINT (7.035903131809694 51.830817241243665)
05554000004406160;Lenzener Straße;POINT (7.035336725831577 51.830326115018785)
05554000004406161;Hermann-Schwering-Straße;POINT (7.046684107619272 51.82538949417243)
05554000004406162;Neue Mitte;POINT (7.044976950441921 51.83302305905662)
05554000004406163;Droste-Hülshoff-Weg;POINT (7.04952666223023 51.80697009908729)
05554000004406165;Heester Stegge;POINT (7.038598431703736 51.82615760229215)
05554000004406166;Heinestraße;POINT (7.038818381659585 51.80733097688849)
05554000004406167;Baekernweg;POINT (7.035992950934399 51.83011295013118)
05554000004406168;Nausdorfer Weg;POINT (7.036233571703209 51.831360276030814)
05554000004406169;Zum Spritzenhaus;POINT (7.038481160628968 51.83098658565721)
05554000004406170;Alte Ziegelei;POINT (7.046361749229793 51.81220148887881)
05554000004406171;Raiffeisenstraße;POINT (7.098277709939275 51.839233000493984)
05554000004406172;Schmiedegasse;
05554000004406173;Händelstraße;POINT (7.048755578593971 51.82407944632655)
05554000004406174;Telgerkamp;POINT (7.051030574000098 51.822327457046825)
05554000004406175;Wessendorfer Weg;
05554000004406176;Ginsterweg;POINT (7.043533715247973 51.82411060411651)
05554000004406177;Eichenwiese;POINT (7.043980749047956 51.823303378998666)
05554000004406178;Dr.-Benson-Straße;POINT (7.034939198462223 51.83400336895864)
05554000004406179;An der Koppel;POINT (7.035311342693464 51.833784065836895)
05554000004406180;Hünenweg;POINT (7.036831021994631 51.8330098390815)
05554000004406181;Zum Wildgehege;POINT (7.037253081870494 51.833693594564124)
05554000004406182;Zum Hännelsberg;
05554000004406183;Zum Alten Postweg;
05554000004406200;Am Kloster;POINT (7.093282331829984 51.83583113035874)
05554000004406201;Amselweg;POINT (7.087480421057097 51.83699372822715)
05554000004406202;Brockmühlenweg;POINT (7.093677475559356 51.84553943075313)
05554000004406203;Dille;POINT (7.093363131189127 51.83901611242652)
05554000004406204;Drosselweg;POINT (7.0860126353442 51.837192425754395)
05554000004406205;Grüner Weg;POINT (7.0912281657444405 51.83922595201149)
05554000004406206;Grenzmark;POINT (7.102609470710309 51.82993299345132)
05554000004406207;Heideweg;POINT (7.084541435896644 51.83771540502135)
05554000004406208;Kampstraße;POINT (7.0937954084103945 51.837699478304174)
05554000004406209;Klemensweg;POINT (7.095298287459821 51.838903946302075)
05554000004406210;Landsbergstraße;POINT (7.092917080351713 51.84102551009569)
05554000004406211;Lerchenweg;POINT (7.088453044276775 51.83616870120688)
05554000004406212;Meisenweg;POINT (7.093361445124952 51.836249488941746)
05554000004406213;Poststraße;POINT (7.094293142193643 51.83784533614512)
05554000004406214;Viereck;POINT (7.092374494128939 51.83853736626138)
05554000004406215;Waldweg;POINT (7.084977686894233 51.840748638558416)
05554000004406216;Wilkenheide;POINT (7.099713580907309 51.82799415732964)
05554000004406217;Zum Heubach;POINT (7.096097327198964 51.842210487248906)
05554000004406217;Zum Heubach;POINT (7.096097327198964 51.842210487248906)
05554000004406218;Stephanstraße;POINT (7.095504982738577 51.838227839062185)
05554000004406219;Wellwiese;POINT (7.097881708625194 51.8451078212606)
05554000004406220;Falkenweg;POINT (7.090012143866939 51.84048227082752)
05554000004406221;Fasanenweg;POINT (7.09197756992211 51.840654980663224)
05554000004406222;Finkenweg;POINT (7.09121784563929 51.841651029506906)
05554000004406223;Grönings Venn;POINT (7.094494435116442 51.842495615769074)
05554000004406224;Torfkuhle;POINT (7.093450232101146 51.84251555044114)
05554000004406225;Vennediek;POINT (7.093652916929893 51.84120050019672)
05554000004406226;Marianne-Barisch-Weg;POINT (7.093084255863089 51.83414098273293)
05554000004406227;Sperberweg;POINT (7.089147857744053 51.83987813122285)
05554000004406250;Bahnhofstraße;POINT (7.0441701794380736 51.80847234960848)
05554000004406251;Barbarastraße;POINT (7.045377418369035 51.80511654238397)
05554000004406252;Elisabethstraße;POINT (7.046695840553185 51.80363446391194)
05554000004406253;Eichendorffweg;POINT (7.040815773017598 51.80267821408816)
