strassenschluessel;bezeichnung;geometry
05554000004801001;Ackerstraße;POINT (6.69153806780126 51.833644403134784)
05554000004801002;Alter Postweg;POINT (6.698575265339738 51.83246649202971)
05554000004801003;Am Bahnhof;POINT (6.700264429619062 51.83657570514469)
05554000004801004;Am Böwing;POINT (6.702494950283166 51.83569842253239)
05554000004801005;Am Fildeken;POINT (6.690488526462191 51.83921531672202)
05554000004801006;Am Hüning;POINT (6.696300189496198 51.83012831307081)
05554000004801007;Arndtstraße;POINT (6.692817270306472 51.82774753058661)
05554000004801008;Auf der Hohen Hardt;POINT (6.691312790777709 51.8369273640727)
05554000004801009;Auf der Kirchwiese;POINT (6.695525658195041 51.83774935224633)
05554000004801010;Auf der Stöckte;POINT (6.699163607282823 51.84307543343508)
05554000004801011;Bahnhofstraße;POINT (6.6967661011580235 51.83846416319476)
05554000004801012;Berger Weide;POINT (6.694717201333037 51.83233156775515)
05554000004801013;Bergstraße;POINT (6.694378128719668 51.83760729286624)
05554000004801014;Birkenweg;POINT (6.700544565457774 51.850349948171655)
05554000004801015;Böcklerstraße;POINT (6.692342513099481 51.82834677341248)
05554000004801016;Bogenstraße;POINT (6.694545985439827 51.8298329140204)
05554000004801017;Borger Stiege;POINT (6.697463054259209 51.846435473931216)
05554000004801018;Brinkstraße;POINT (6.698485267048694 51.83446246342808)
05554000004801019;Buchenweg;POINT (6.701877875806082 51.84695212135487)
05554000004801020;Büngerner Weg;POINT (6.691282290826961 51.83157808253937)
05554000004801021;Büssingstraße;POINT (6.685157706308824 51.84016479237599)
05554000004801022;Burgplatz;POINT (6.69818570183694 51.840818387851456)
05554000004801023;Burloer Straße;POINT (6.699248173507187 51.84537976776417)
05554000004801024;Butenpaß;POINT (6.710792362487486 51.83069259426854)
05554000004801025;Cäcilienstraße;POINT (6.695117536493071 51.8412432496377)
05554000004801026;Castellestraße;POINT (6.698131863656598 51.82567644885606)
05554000004801027;Dännendiek;POINT (6.717268467626277 51.83231939008726)
