strassenschluessel;bezeichnung;geometry
05170000003233501;Ackerstraße;POINT (6.543514583821701 51.56515037138986)
05170000003233502;Adlerweg;POINT (6.585805032969641 51.53986210186576)
05170000003233503;Ahornstraße;POINT (6.583250387536106 51.54791930499798)
05170000003233504;Alpener Straße;POINT (6.552142456265686 51.55507739639879)
05170000003233505;Alpsray;POINT (6.543346659797561 51.533780565411824)
05170000003233506;Alpsrayer Straße;POINT (6.562814651457073 51.54241189350106)
05170000003233507;Alte Landstraße;POINT (6.59879038736465 51.53241267805489)
05170000003233508;Alte Rheinstraße;POINT (6.604724602533447 51.54675039943915)
05170000003233509;Am Annaberg;POINT (6.577730560763992 51.5445176636531)
05170000003233510;Am Hügel;POINT (6.553407007916896 51.555789833991476)
05170000003233511;Amploniusstraße;POINT (6.598518601978736 51.546162316157705)
05170000003233512;Am Rain;POINT (6.576210635563074 51.54333064259339)
05170000003233513;Am Rothen Busch;POINT (6.5417398087243335 51.539255388063246)
05170000003233514;Amselsteg;POINT (6.584660267342833 51.53949752358427)
05170000003233515;Annastraße;POINT (6.587154275630068 51.548366280211624)
05170000003233516;Asternweg;POINT (6.543371232111625 51.53718414521068)
05170000003233517;Außenwall;POINT (6.597133498270096 51.546107746790064)
05170000003233518;Bahnhofstraße;POINT (6.592694325100584 51.54216351649921)
05170000003233519;Beguinenstraße;POINT (6.60285100304285 51.54359742959358)
05170000003233521;Berkevoortshofstraße;POINT (6.576710648269378 51.54011678634063)
05170000003233522;Berliner Straße;POINT (6.5881627665352385 51.54653213333556)
05170000003233523;Bernburger Straße;POINT (6.590708788810374 51.54577059484511)
05170000003233524;Betweg;POINT (6.588425161730561 51.542855553406625)
05170000003233525;Binnefeldstraße;POINT (6.585918005079681 51.550658164572624)
05170000003233526;Blote Steg;POINT (6.610455834280671 51.539354457570944)
05170000003233527;Breslauer Straße;POINT (6.594415142942449 51.54522873104856)
05170000003233528;Bruckmannshofweg;POINT (6.5546824201063485 51.54823517323191)
05170000003233529;Buchenstraße;POINT (6.582734358623495 51.549615242233656)
05170000003233530;Budberger Straße;POINT (6.614150119410059 51.5372218434904)
05170000003233531;Bussardweg;POINT (6.583743858192246 51.540643614249674)
05170000003233532;Dahlienstraße;POINT (6.542581948661824 51.53984874218551)
05170000003233533;Dohlensteg;POINT (6.583436607894142 51.54051212098595)
05170000003233534;Drosselweg;POINT (6.581179155185612 51.53935671114549)
05170000003233535;Dröttbomsweg;
05170000003233536;Dr.-Aloys-Wittrup-Straße;POINT (6.595197859731847 51.55018261683748)
05170000003233537;Eichendorffstraße;POINT (6.553534718883939 51.55822151538819)
05170000003233538;Elsternsteg;POINT (6.579294987536557 51.54148187873577)
05170000003233539;Erlenstraße;POINT (6.583437836606237 51.54797343214788)
05170000003233540;Eschenstraße;POINT (6.58707858209579 51.549506118265896)
05170000003233541;Fasanenweg;POINT (6.580401276852409 51.540922130498906)
05170000003233542;Kattewall;
05170000003233543;Finkenstraße;POINT (6.582808333066497 51.54120015957752)
05170000003233544;Fischmarkt;POINT (6.601810646177979 51.54567733233452)
05170000003233545;Fossastraße;POINT (6.592070069163035 51.54558306111116)
05170000003233546;Frankenstraße;POINT (6.583434159133287 51.53975712250834)
05170000003233547;Fritz-Reuter-Straße;POINT (6.556491206787159 51.55888019020628)
05170000003233548;Gartenstraße;POINT (6.59071817664488 51.54860271787644)
05170000003233549;Gelderstraße;POINT (6.599822191508234 51.54389796877158)
05170000003233550;Gerhart-Hauptmann-Straße;POINT (6.554600839708538 51.559487935743554)
05170000003233551;Goldstraße;POINT (6.601704953789968 51.54721658304755)
05170000003233552;Grabenweg;POINT (6.552371357520923 51.54538508765369)
05170000003233553;Grenzweg;POINT (6.537311736783856 51.55767809889588)
05170000003233554;Großer Markt;POINT (6.602693629425488 51.54597142995689)
05170000003233555;Grote Gert;POINT (6.585970468429176 51.54051022231545)
05170000003233556;Haferbruchweg;POINT (6.600317011876694 51.52380775949608)
05170000003233557;Heidestraße;POINT (6.5586019835649125 51.55012153367307)
05170000003233558;Herderstraße;POINT (6.556457554257476 51.556618183839205)
05170000003233559;Heydecker Straße;POINT (6.543524879896245 51.547073267789806)
05170000003233560;Holzmarkt;POINT (6.602319598613166 51.54514511094853)
05170000003233561;Hufsche Weg;POINT (6.5500687233951 51.55257231242166)
05170000003233562;Industriestraße;POINT (6.612810800740737 51.53751825145315)
05170000003233563;Innenwall;POINT (6.601629385456813 51.548378842116634)
05170000003233564;Jahnstraße;POINT (6.5515705400685045 51.554326587979276)
05170000003233566;Johannes-Laers-Straße;POINT (6.545680130992394 51.53732259044526)
05170000003233567;Kaiserstege;POINT (6.603393630196573 51.54537668369048)
05170000003233568;Kamper Straße;POINT (6.599340133680803 51.546702824105274)
