strassenschluessel;bezeichnung;geometry
05566000008005450;Agnes-Miegel-Str.;POINT (7.63351307201376 52.17763599845569)
05566000008005451;Am Emstor;POINT (7.626320298574777 52.173471644983195)
05566000008005452;Am Schulkamp;POINT (7.654712765055502 52.18221741212704)
05566000008005453;Am Steinkreuz;POINT (7.622235719694208 52.17722028268491)
05566000008005454;Auf dem Rodde;POINT (7.623805600937361 52.17231928884196)
05566000008005455;Augustin-Wibbelt-Str.;POINT (7.633369947552149 52.17609675289734)
05566000008005456;Bachstr.;POINT (7.634239300320726 52.17895278024497)
05566000008005457;Buchenstr.;POINT (7.639222542437895 52.17160789083603)
05566000008005458;Emil-Frank-Str.;POINT (7.637947553194095 52.17898654677693)
05566000008005459;Eichendorffstr.;POINT (7.636494361964861 52.17820708869634)
05566000008005460;Eichenhain;POINT (7.636504204396204 52.171926406536514)
05566000008005461;Emsdettener Str.;POINT (7.629316981192148 52.17377362792472)
05566000008005462;Emsweg;POINT (7.627602094084497 52.17352951666245)
05566000008005463;Erasmus-Kösters-Str.;POINT (7.63557827270664 52.17734477599788)
05566000008005464;Erblandstr.;POINT (7.625088465737265 52.173057952293235)
05566000008005465;Erlenstiege;POINT (7.640501890060977 52.17210166427386)
05566000008005466;Eschgarten;POINT (7.638791890544383 52.172868899944206)
05566000008005467;Fährweg;POINT (7.62120622095225 52.171962763767816)
05566000008005468;Gerhart-Hauptmann-Str.;POINT (7.633316938548477 52.178388565379315)
05566000008005469;Grevener Str.;POINT (7.636900771538687 52.17122639379675)
05566000008005470;Grüner Weg;POINT (7.627112826483088 52.172957684124334)
05566000008005471;Heckenweg;POINT (7.642189411248139 52.17296639312304)
05566000008005472;Herbermannstr.;POINT (7.632533293758541 52.17717158105012)
05566000008005473;Hohe Schweiz;POINT (7.627180521439607 52.17243611162553)
05566000008005474;Hohe Str.;POINT (7.6260147107769605 52.173993746044026)
05566000008005475;Ibbenbürener Str.;POINT (7.644076602163678 52.18073634415287)
05566000008005476;Industriestr.;POINT (7.623194095759888 52.1759689098885)
05566000008005477;Kiefernweg;POINT (7.638245818404448 52.17171577210035)
05566000008005478;Am Kirchplatz;POINT (7.634505739294015 52.1741727799083)
05566000008005479;Kolpingstr.;POINT (7.636307052507423 52.173893523730435)
05566000008005480;Lakenstiege;POINT (7.622109519772538 52.17264442328485)
05566000008005481;Lindenstr.;POINT (7.637378861112775 52.173682637254394)
05566000008005482;Marienstr.;POINT (7.632146108108109 52.17451086673045)
05566000008005483;Marktstr.;POINT (7.6332282918078285 52.174174484406606)
05566000008005484;Middendorf;POINT (7.580470645397291 52.179560042518936)
05566000008005485;Mittelbrede;POINT (7.6220262579212825 52.17390203973914)
05566000008005486;Mühlenweg;POINT (7.630494255045569 52.17236541344636)
05566000008005487;Nordbrede;POINT (7.621861433679591 52.174601168467525)
05566000008005488;Posbergweg;POINT (7.624123940099085 52.17245834899295)
05566000008005489;Riesenbecker Str.;POINT (7.636741533080692 52.17890981127561)
05566000008005490;Sinningen;POINT (7.569247663471661 52.18926480749737)
05566000008005491;Sitterdelle;POINT (7.6300766937053215 52.17219955702919)
05566000008005492;Südbrede;POINT (7.619343527523087 52.17312050483788)
05566000008005493;Eckelkamp;POINT (7.64218395317791 52.17014976372396)
05566000008005495;Westladbergen;POINT (7.684370583499904 52.15126047704921)
05566000008005496;Niehoffs Blaike;POINT (7.638508299908994 52.16848354372366)
05566000008005497;Telgenweg;POINT (7.641394845623417 52.168441110666336)
05566000008005498;Bramhoff;POINT (7.637704449576809 52.16947709210025)
05566000008005499;Am Wall;POINT (7.638605772424085 52.17787751385257)
05566000008005500;Auf der Bleeke;POINT (7.637930845144993 52.17626470112235)
05566000008005501;Flothmersch;POINT (7.642143841206931 52.17628914826577)
05566000008005502;Heckebaum;POINT (7.640985835184451 52.176637290581645)
05566000008005503;Kreuzkamp;POINT (7.637363134756668 52.17626884425346)
05566000008005504;Sandstege;POINT (7.640285708569449 52.17689689392045)
05566000008005505;Schulstr.;POINT (7.638328751353809 52.17412978407859)
05566000008005506;Bevergerner Damm;POINT (7.630261562511197 52.175249385994114)
05566000008005507;Hofbrede;POINT (7.630192468081768 52.17589892612911)
05566000008005508;Weberstr.;POINT (7.628287621019652 52.17714838007577)
05566000008005509;Mühlenkamp;POINT (7.62935377779511 52.17773313350568)
05566000008005510;Färberstr.;POINT (7.625825036806641 52.176861145977576)
