strassenschluessel;bezeichnung;geometry
05570000003624926;Aanepool;POINT (8.022884826605297 52.05003666112526)
05570000003624927;Am See;POINT (8.052432943059424 52.00351414589894)
05570000003624928;Achtermannstrasse;POINT (8.039835429411232 51.99793331576834)
05570000003624929;Am Bevergrund;POINT (8.023119860423208 52.054098449419776)
05570000003624930;Amselweg;POINT (8.046111629041581 52.000656072743524)
05570000003624931;Ambrosiusstrasse;POINT (8.04218567175292 51.98292676170067)
05570000003624932;Allensteiner Straße;POINT (8.062792228471743 51.997232821859335)
05570000003624933;Am Drostengarten;
05570000003624935;An den Kuhlen;POINT (8.036266583266237 52.05017809698389)
05570000003624940;An der Düsburg;POINT (8.038385676804209 51.99573583724871)
05570000003624942;Anemonenweg;POINT (8.043601749701214 52.000004911379605)
05570000003624945;Antegoren;POINT (8.045050318859113 51.99334778056777)
05570000003624950;Anton-Böhmer-Straße;POINT (8.033040027584594 52.05036552046805)
05570000003624955;Auf dem Düsen;POINT (8.038937261913182 51.994729162984214)
05570000003624960;Auf dem Esch;POINT (8.035240145315445 52.04199986478215)
05570000003624965;Augustin-Wibbelt-Straße;POINT (8.042849627857601 51.98467499447347)
05570000003624966;Aulkeweg;POINT (8.043858274455927 51.984459277656605)
05570000003624967;Azaleenweg;POINT (8.044036776668738 51.99441816021511)
05570000003624970;Beethovenstraße;POINT (8.033180638169815 51.98565526184293)
05570000003624972;Bekassinenweg;POINT (8.047835712691333 52.003254099953566)
05570000003624975;Bernhardstraße;POINT (8.02287446478139 52.04790370955106)
05570000003624977;Bernhard-Tarner-Weg;POINT (8.041843338823337 51.99840900345679)
05570000003624980;Birkenweg;POINT (8.042794917826361 52.001716668049255)
05570000003624981;Birkhuhnweg;POINT (8.049765823821364 52.00241130929666)
05570000003624982;Bleiche;POINT (8.031881906354148 52.05194484504738)
05570000003624983;Brachvogelweg;POINT (8.049957983712298 52.00165877189249)
05570000003624985;Brahmsstraße;POINT (8.034481854024806 51.986701022533666)
05570000003624990;Breslauer Straße;POINT (8.063026049599248 51.99759951117062)
05570000003624995;Brink;POINT (8.027052409856973 52.04990928516309)
05570000003625000;Brook;POINT (8.059466003899242 51.98703287492827)
05570000003625005;Brookstraße;POINT (8.0436923023461 51.989130608439126)
05570000003625010;Brüggestraße;POINT (8.036985035569927 52.040966366557114)
05570000003625012;Buschestraße;POINT (8.041845393912466 51.9951149618338)
05570000003625013;Buschkamp;POINT (8.02815408228035 52.04360102364822)
05570000003625014;Carl-Benz-Straße;POINT (8.052895090168475 51.982715762154434)
05570000003625015;Carl-Zeiss-Straße;POINT (8.058729475657488 51.980026824195676)
05570000003625020;Christian-Rath-Straße;POINT (8.039482216591797 51.98369597701184)
05570000003625024;Danziger Straße;POINT (8.063401280077095 51.995196157340594)
05570000003625025;Dackmar;POINT (8.105901970717287 51.97843205647016)
05570000003625026;Daimlerring;POINT (8.055489902602286 51.97396643835208)
05570000003625027;Dechant-Kondring-Straße;POINT (8.024655990986897 52.049698096963844)
05570000003625030;Dreihüm;POINT (8.041678887270445 51.98625899900913)
05570000003625032;Dresdener Straße;POINT (8.058449042308327 51.995687877088876)
05570000003625033;Droschkenweg;POINT (8.03513974121053 52.04950996543224)
