strassenschluessel;bezeichnung;geometry
05166000002413001;Amselweg;POINT (6.248114928059271 51.235661951433585)
05166000002413002;Am Dorfweiher;POINT (6.251230013841576 51.23218024989383)
05166000002413003;An St. Georg;POINT (6.250678194090886 51.23153089183371)
05166000002413004;Antoniusstraße;POINT (6.2402919215166435 51.233095995636106)
05166000002413005;An St. Anton;POINT (6.23804657649892 51.23276888059686)
05166000002413006;Amerner Benden;POINT (6.242684516684675 51.2315107978521)
05166000002413007;Bahnstraße;POINT (6.24311729001823 51.23239798832469)
05166000002413010;Birkenweg;POINT (6.2416607784041975 51.230392949695855)
05166000002413013;Boisheimer Straße;POINT (6.260673546928227 51.249807343526335)
05166000002413016;Bruchweg;POINT (6.2482483725119655 51.23164022565343)
05166000002413019;Brüggener Hütte;POINT (6.276590997324674 51.25479503538061)
05166000002413022;Brüggener Weg;POINT (6.2420172790254185 51.24700505092976)
05166000002413025;Buschweg;POINT (6.230563345162814 51.22196154794818)
05166000002413028;Dahlienweg;POINT (6.246363717035034 51.2267832265383)
05166000002413029;Dietrich-Bonhoeffer-Str.;POINT (6.237120472611244 51.23083991661918)
05166000002413030;Dorffeld;POINT (6.2640635743037505 51.25012038176185)
05166000002413031;Dorfstraße;POINT (6.251244440620755 51.23287174335782)
05166000002413032;Dopbusch;POINT (6.24092769746462 51.23143496328961)
05166000002413034;Eichendorffstraße;POINT (6.255335802685428 51.23085645333229)
05166000002413037;Eichenweg;POINT (6.253062971628028 51.23254228120774)
05166000002413040;End;POINT (6.26534944282077 51.2428067675711)
05166000002413043;Felderseite;POINT (6.271834485133661 51.25221929364685)
05166000002413046;Fichtenstraße;POINT (6.255511106239338 51.23382051324002)
05166000002413047;Finkenweg;POINT (6.24725521131679 51.23617510499447)
05166000002413049;Fliederweg;POINT (6.244531868405331 51.2288107604032)
05166000002413052;Friedhofstraße;POINT (6.256662703005831 51.23158342437934)
05166000002413055;Frankenmühle;POINT (6.222505321644294 51.23221341450481)
05166000002413058;Frankenweg;POINT (6.22619616811699 51.23216670227591)
05166000002413061;Gartenweg;POINT (6.240416395973459 51.2322570849031)
05166000002413064;Gendohr;POINT (6.256804863513942 51.245508319102825)
05166000002413067;Genend;POINT (6.261453800577916 51.2480633620272)
05166000002413070;Geneschen;POINT (6.246698872083603 51.223743477306726)
05166000002413071;Gertrudisstraße;POINT (6.26638370838771 51.251575616103324)
05166000002413072;Geschw.-Scholl-Straße;POINT (6.237166020988116 51.231898796392215)
05166000002413073;Hagen;POINT (6.245262394735639 51.214137004116104)
05166000002413076;Harikseeweg;POINT (6.225353919391367 51.22362388313757)
05166000002413079;Hauptstraße;POINT (6.2471274371229395 51.233182331625855)
05166000002413082;Heidend;POINT (6.260085954721254 51.25541372615392)
05166000002413084;Heidkamp;POINT (6.228014107071262 51.2248896912369)
05166000002413085;Heidweiher;POINT (6.236921171785233 51.242475314658726)
05166000002413088;Heidweiher Straße;POINT (6.23927989837185 51.23781890834769)
05166000002413091;Hermann-Löns-Straße;POINT (6.249288666336468 51.22962096776475)
05166000002413093;Hoferland;POINT (6.237075719624597 51.23243380840745)
05166000002413094;Jansweg;POINT (6.2391605234298195 51.23164934069128)
05166000002413097;Jupiterweg;POINT (6.245171047807829 51.225803272208836)
05166000002413100;Kampweg;POINT (6.247758205042081 51.220484866432955)
05166000002413103;Kasender Straße;POINT (6.248233778817889 51.23606842409482)
05166000002413106;Kirchstraße;POINT (6.252928366214103 51.232014945959556)
05166000002413109;Kockskamp;POINT (6.247886785406819 51.2311798492348)
05166000002413112;Kolpingstraße;POINT (6.240399954733936 51.234041381300315)
05166000002413115;Kranenbruch;POINT (6.227719143461076 51.238995818567865)
05166000002413118;Krinsend;POINT (6.267136233678448 51.22633990749837)
05166000002413121;Kronenweg;POINT (6.254124255547229 51.23209234455715)
05166000002413129;Lenzenpfad;POINT (6.252930815028505 51.23126533183864)
05166000002413130;Linde;POINT (6.24534330596147 51.22193255530511)
05166000002413131;Lindenkamp;POINT (6.244441447924388 51.223393818912)
05166000002413132;Lindheide;
05166000002413133;Lotzemer;POINT (6.2530790091728585 51.22610099712483)
05166000002413135;Margeritenweg;POINT (6.2427688416786635 51.2309416423257)
05166000002413136;Marsweg;POINT (6.2440961110042785 51.225012722139304)
05166000002413138;Maximilian-Kolbe-Straße;POINT (6.238550773922197 51.23195710672575)
05166000002413139;Merkurweg;POINT (6.24373323723922 51.22451547832029)
05166000002413142;Mondweg;POINT (6.24230526462309 51.22691206450478)
05166000002413145;Mühlenweg;POINT (6.237526023392829 51.23036275564759)
05166000002413148;Mühleneck;POINT (6.237107680775504 51.23000944967567)
05166000002413151;Mühlrather Mühle;POINT (6.219987624430291 51.227875785492294)
05166000002413154;Nelkenweg;POINT (6.244934774788528 51.22845463946576)
05166000002413157;Neptunweg;POINT (6.243927686017237 51.22731461791106)
05166000002413160;Nordstraße;POINT (6.262153199615002 51.25114277188746)
05166000002413161;Palzeskamp;POINT (6.252016624041343 51.229751689724296)
05166000002413162;Pastorskamp;POINT (6.265107086684418 51.2514193697189)
05166000002413163;Pletschweg;POINT (6.237732352879018 51.23620406262123)
05166000002413165;Otto-Wels-Straße;POINT (6.2365526539548455 51.23150543451855)
05166000002413166;Plutoweg;POINT (6.245362301164864 51.22650543573073)
05166000002413169;Polmansstraße;POINT (6.240277323547871 51.2301641098665)
05166000002413171;Printzenhof;POINT (6.25042735914392 51.23390522069139)
05166000002413172;Raderberg;POINT (6.235046870753439 51.20802123420632)
05166000002413173;Quartelsweg;POINT (6.252303233976121 51.23417442501337)
05166000002413175;Radermühle;POINT (6.227780513100245 51.20743614193857)
05166000002413178;Renneperstraße;POINT (6.284067606836792 51.243062791381945)
05166000002413181;Rieth;POINT (6.249931145138583 51.21871918085128)
05166000002413184;Ringstraße;POINT (6.239626871276527 51.23432611412547)
05166000002413187;Roermonder Straße;POINT (6.253692179146548 51.21605390600393)
05166000002413190;Rosenweg;POINT (6.2472657437660075 51.226513735635805)
05166000002413193;Rüsgen;POINT (6.2568342954545155 51.21591221084079)
05166000002413196;Saturnweg;POINT (6.243528311025168 51.2263194655779)
05166000002413199;Siemensstraße;POINT (6.2469155817044655 51.238793476651786)
05166000002413202;Smetsend;POINT (6.269253222388224 51.23137169276617)
05166000002413204;Zum Sonnenbach;POINT (6.264291854718925 51.26817441963948)
05166000002413205;Sonnenweg;POINT (6.242057373274338 51.22819981041991)
05166000002413208;Schagen;POINT (6.2555972126140915 51.223322688351395)
05166000002413211;Schellerbaum;POINT (6.2552352593236185 51.24211134383328)
05166000002413214;Schellerstraße;POINT (6.250895598105912 51.23731897647434)
05166000002413217;Schieferdyck;POINT (6.2438276869721765 51.243236863699664)
05166000002413220;Schier;POINT (6.25400062871403 51.216787922534806)
05166000002413223;Schmalend;POINT (6.269781954371143 51.23218036837219)
05166000002413226;Sternstraße;POINT (6.2448549177226464 51.22417267070655)
05166000002413227;Toerschenweg;POINT (6.239239768993429 51.22913346497348)
05166000002413228;Thelen Mühle;POINT (6.243472703078036 51.23107609603786)
05166000002413229;Topsweg;POINT (6.240911638151308 51.22814590248215)
05166000002413232;Tulpenweg;POINT (6.247119276249397 51.22746454725733)
05166000002413235;Uranusweg;POINT (6.244193509129913 51.22608633905805)
05166000002413238;Veilchenweg;POINT (6.246308999401566 51.227546406952406)
05166000002413241;Viehstiege;POINT (6.244589081490812 51.235618705560434)
05166000002413244;Vogelsrath;POINT (6.2675908278425725 51.2292511258936)
05166000002413245;Am Volksbank-Stadion;POINT (6.256092319544802 51.25875375044402)
05166000002413247;Vorstadt;POINT (6.265659795493399 51.25222422285982)
05166000002413250;Vossenberg;POINT (6.257950693578598 51.21776412586607)
05166000002413253;Waldnieler Straße;POINT (6.249766873326571 51.23093495919631)
05166000002413256;Winkel;POINT (6.244156478969709 51.23776489723942)
05166000002413257;Winkels Feld;POINT (6.243610324954951 51.23813186915905)
05166000002413261;Amerner Straße;POINT (6.271009910417683 51.21526588578423)
05166000002413262;Am Turm;POINT (6.278559025767844 51.21540270829804)
05166000002413263;Auf dem Mutzer;POINT (6.278219402367785 51.220731490478855)
05166000002413264;Bahnhofstraße;POINT (6.272804647535414 51.21484154024935)
05166000002413265;Bärlauchweg;POINT (6.2656957352014 51.21777552922399)
05166000002413267;Beethovenstraße;POINT (6.280853095948832 51.218455108615174)
05166000002413270;Berg;POINT (6.3029903075945946 51.21536462037998)
05166000002413271;Am Bergerpesch;POINT (6.294094719828879 51.202995605288805)
05166000002413272;Bergdell;POINT (6.301192937083535 51.214954883588355)
05166000002413273;Bernhard-Rösler-Straße;POINT (6.292343632266049 51.20748984507229)
05166000002413276;Birgen;POINT (6.288208734927199 51.22444471751987)
05166000002413279;Am Blauenstein;POINT (6.290294476581192 51.20857115105438)
05166000002413282;Bleichwall;POINT (6.27348687343073 51.21188902242525)
05166000002413284;Breslauer Straße;POINT (6.267801074386463 51.208040113935056)
05166000002413285;Brunnenstraße;POINT (6.298168255052855 51.20728234125367)
05166000002413287;Cahn-Weg;POINT (6.271027179972197 51.20729789411788)
05166000002413288;Buchenstraße;POINT (6.267619012965714 51.18592326908578)
05166000002413289;Danziger Straße;POINT (6.263835446045439 51.207828503304086)
05166000002413290;Dresdner Straße;POINT (6.26690824702759 51.20710014173323)
05166000002413291;Dülkener Straße;POINT (6.279553801226762 51.217445263744295)
05166000002413292;Dillweg;POINT (6.2639280817594996 51.22025955261228)
05166000002413294;Eicken;POINT (6.297549795897197 51.21887163036131)
05166000002413297;Eickener Straße;POINT (6.286882719417869 51.21681924394436)
05166000002413300;Elisabeth-Rösler-Straße;POINT (6.297608182434246 51.20380725785557)
05166000002413303;Eschenrath;POINT (6.305048359947931 51.20977444187192)
05166000002413305;Fenchelweg;POINT (6.264479706609746 51.22036428035764)
05166000002413306;Fischeln;POINT (6.312006673395368 51.19462332690072)
05166000002413309;Fischelner Weg;POINT (6.309954643515887 51.20128336039415)
05166000002413312;Friedenstraße;POINT (6.277751092071443 51.21605665414743)
05166000002413313;Gangesallee;POINT (6.266716146874811 51.21251616424898)
05166000002413314;Galgheide;POINT (6.275367464856466 51.219334764357036)
05166000002413315;Gartenstraße;POINT (6.273565651955876 51.21386350168298)
05166000002413317;Gerhard-Peters-Straße;POINT (6.277903974143936 51.211945217020336)
