strassenschluessel;bezeichnung
05954000002436001;Akazienstraße
05954000002436002;Altmarkt
05954000002436003;Am Alten Schacht
05954000002436004;Am Hölternen Wams
05954000002436005;Am Ochsenkamp
05954000002436006;Am Roten Wasser
05954000002436007;Amselstraße
05954000002436008;Am Sportplatz
05954000002436009;Am Steinbruch
05954000002436010;Am Weißenfeld
05954000002436011;An der Rennbahn
05954000002436012;Apothekergäßchen
05954000002436013;Arndtstraße
05954000002436014;Auf dem Hagen
05954000002436015;Augustastraße
05954000002436016;August-Bendler-Straße
05954000002436017;August-Kuschmirz-Straße
05954000002436018;Bahnhofplatz
05954000002436019;Bahnhofstraße
05954000002436020;Barmer Straße
05954000002436020;Barmer Straße
05954000002436021;Bergstraße
05954000002436022;Berliner Straße
05954000002436023;Beyenburger Straße
05954000002436024;Birkenstraße
05954000002436025;Bismarckstraße
05954000002436026;Blücherstraße
05954000002436027;Blumenstraße
05954000002436028;Boellingweg
05954000002436029;Börkede
05954000002436030;Bogenstraße
05954000002436031;Brambecke
05954000002436033;Brunnenstraße
05954000002436034;Buchenstraße
05954000002436035;Busch
05954000002436036;Casinostraße
05954000002436037;Castorffstraße
05954000002436038;Chamottestraße
05954000002436039;Dahlhausen
05954000002436040;Delle
05954000002436042;Döinghauser Straße
05954000002436043;Dorfstraße
05954000002436044;Dr.-Moeller-Straße
05954000002436045;Drosselstraße
05954000002436046;Ehrenberg
05954000002436047;Ehrenberger Straße
05954000002436048;Eiche
05954000002436049;Eichenstraße
05954000002436050;Emil-Rittershaus-Straße
05954000002436051;Engelbertstraße
05954000002436052;Erlen
05954000002436053;Ernst-Adolf-Straße
05954000002436054;Erzweg
05954000002436055;Esperantoweg
05954000002436056;Eugenstraße
05954000002436057;Eulenweg
05954000002436058;Falkenweg
05954000002436059;Feldstraße
05954000002436060;Fichtenstraße
05954000002436061;Finkenstraße
05954000002436062;Flurstraße
05954000002436063;Frankfurter Straße
05954000002436064;Freiligrathweg
05954000002436065;Frhr.-von-Hövel-Weg
05954000002436066;Friedrich-Ebert-Straße
05954000002436067;Fronhofstraße
05954000002436068;Galmeiweg
05954000002436069;Gartenstraße
05954000002436070;Gevelsberger Straße
05954000002436071;Glatzer Weg
05954000002436072;Göckinghofstraße
05954000002436074;Grafweg
05954000002436075;Grenzöhde
05954000002436076;Große Weide
05954000002436077;Grothestraße
05954000002436078;Grütergasse
05954000002436079;Hagelsiepenweg
05954000002436080;Hagener Straße
05954000002436081;Harkortweg
05954000002436083;Haßlinghauser Straße
05954000002436084;Hattinger Straße
05954000002436085;Hauptstraße
05954000002436086;Haus Martfeld
05954000002436087;Haynauer Straße
05954000002436088;Heberge
05954000002436089;Hegelstraße
05954000002436091;Heidestraße
05954000002436092;Hemte
05954000002436093;Hensbusch
05954000002436094;Herbergstraße
05954000002436095;Herdstraße
05954000002436096;Hermannstraße
05954000002436097;Herzogstraße
05954000002436098;Heusiepen
05954000002436099;Höhenweg
05954000002436100;Hofgasse
05954000002436101;Holthausstraße
05954000002436102;Hülsenweg
05954000002436103;Hugo-Jacobs-Straße
05954000002436104;Hugoweg
05954000002436105;In der Graslake
05954000002436106;Jahnstraße
05954000002436107;Jesinghausen
05954000002436108;Jesinghauser Straße
05954000002436109;John-F.-Kennedy-Straße
05954000002436110;Kaiserstraße
05954000002436111;Kamp
05954000002436112;Kantstraße
05954000002436113;Karlstraße
