strassenschluessel;bezeichnung;geometry
05978000003201000;Am Alten Teich;POINT (7.463307079513065 51.65256399885489)
05978000003201001;Am Alten Hof;POINT (7.465900624279818 51.66746524650026)
05978000003201002;Am Angelkamp;POINT (7.48074974710443 51.6676270766442)
05978000003201003;Am Haferkamp;POINT (7.463582867885083 51.661185876070405)
05978000003201004;Am Kapellenknapp;POINT (7.479134427224847 51.66674884299859)
05978000003201005;Am Pastorenbusch;POINT (7.468796848355021 51.656580848725994)
05978000003201006;Adenauerplatz;POINT (7.469279630618729 51.665638501491834)
05978000003201007;An der Bleiche;POINT (7.489869824947604 51.66332390488598)
05978000003201008;Auf dem Hahnen;POINT (7.485896614932607 51.66188678462721)
05978000003201009;Auf dem Südfeld;POINT (7.474696984207458 51.658647408867374)
05978000003201010;Auf der Dinkel;POINT (7.500810275057891 51.67932462249359)
05978000003201012;Auf der Koppel;POINT (7.498164655356716 51.65441720920546)
05978000003201013;Auf der Schlucht;POINT (7.4656834434387624 51.666984014530236)
05978000003201014;Auf der Spinnbahn;POINT (7.4640984962972405 51.664972842198104)
05978000003201015;Alstedder Straße;POINT (7.459359790867135 51.647300513774475)
05978000003201016;Am Schnippenbach;POINT (7.510319886241441 51.673719223439235)
05978000003201018;An der Hasseler Kapelle;POINT (7.4777771583159485 51.66583428535187)
05978000003201019;Bassenwinkel;POINT (7.465884902448308 51.65908398047335)
05978000003201020;Bahnhofstraße;POINT (7.456814376277576 51.668987771022195)
05978000003201021;Binnhove;POINT (7.467630856190448 51.66672192518194)
05978000003201023;Borker Landweg;POINT (7.4484363820497625 51.67090349789078)
05978000003201024;Brentanostraße;POINT (7.472906927723543 51.66202615861476)
05978000003201025;Dietrich-Bonhoeffer-Weg;POINT (7.458845819590084 51.66416442299965)
05978000003201026;Dieselweg;POINT (7.464527277734085 51.66879828754133)
05978000003201027;Danteweg;POINT (7.471328367919813 51.66254392960386)
05978000003201028;De Mutt;POINT (7.466491032002797 51.66456922863083)
05978000003201029;Didonstraße;POINT (7.461908916610514 51.663749585684265)
05978000003201030;Droste-Hülshoff-Straße;POINT (7.470753608914756 51.66279826337146)
05978000003201031;Dahler Holz;
05978000003201034;Erich-Klausener-Weg;POINT (7.459989137959471 51.66509875094433)
05978000003201037;Fasanenweg;POINT (7.462228027242031 51.651303808900835)
05978000003201038;Feldgarten;POINT (7.480344324103704 51.666456451212674)
05978000003201039;Feldstiege;POINT (7.479979179615819 51.665098291539465)
05978000003201040;Ferdinand-Spahn-Weg;POINT (7.472596464948723 51.66670932754801)
05978000003201041;Graf-von-Stauffenberg-Weg;POINT (7.460053775496067 51.66323735457992)
05978000003201042;Gartenstraße;POINT (7.468306138718915 51.66460398709393)
05978000003201043;Grillo Weg;
05978000003201044;Gutenbergstraße;POINT (7.46017379469431 51.673278979318646)
05978000003201048;Hans-Böckler-Weg;POINT (7.458570934465115 51.6666533237855)
05978000003201049;Harkortstraße;POINT (7.463283697543686 51.67337791161273)
05978000003201050;Hauptstraße;POINT (7.463899726465491 51.66521786094565)
05978000003201051;Haus-Berge-Straße;POINT (7.471778414336255 51.678796751121006)
05978000003201052;Hebbelweg;POINT (7.468529740263305 51.66161803521962)
05978000003201053;Heidestraße;POINT (7.45794658913905 51.650715488818975)
05978000003201054;Herderweg;POINT (7.469583389558544 51.66154777562209)
05978000003201055;Herschkamp;POINT (7.467522830312102 51.6682946376765)
05978000003201056;Hölterweg;POINT (7.527689815529594 51.67367520027879)
05978000003201057;Horstheide;POINT (7.45555522028139 51.6496534301345)
05978000003201058;Humboldtstraße;POINT (7.467855370276716 51.661938335479505)
05978000003201059;Hölderlinweg;POINT (7.475122582086753 51.664087603613076)
05978000003201064;Im Bram;POINT (7.440835918836286 51.67188257715275)
05978000003201065;Im Dahler Feld;POINT (7.446011201117061 51.66769465748155)
05978000003201067;Im Sundern;POINT (7.470684215999217 51.65553246589995)
05978000003201073;Kardinal-von-Galen-Straße;
05978000003201074;Kirchplatz;POINT (7.466499593635039 51.66514899652025)
05978000003201075;Kolpingstraße;POINT (7.467600972079075 51.66899241855168)
05978000003201076;Kettelerstraße;POINT (7.464955212676658 51.66228363643421)
05978000003201077;Kreisstraße;POINT (7.469062150372892 51.66872325796915)
05978000003201080;Louis-Berger-Weg;POINT (7.464593552033978 51.67383860233859)
05978000003201081;Lippestraße;POINT (7.4591380684213835 51.65486372944895)
05978000003201082;Lünener Straße;POINT (7.487038350337949 51.664196093098376)
05978000003201083;Luisenstraße;POINT (7.4760566224451965 51.66537689153073)
05978000003201089;Marienburger Straße;POINT (7.4487970108507495 51.673594588869776)
05978000003201090;Marktplatz;
05978000003201091;Mühlenweg;POINT (7.478723546504087 51.6648011517242)
05978000003201096;Nepomukweg;POINT (7.45830676957432 51.667754747907615)
05978000003201097;Netteberge;
05978000003201098;Netteberger Straße;POINT (7.496244975753683 51.67561592415316)
05978000003201099;Nikolaus-Groß-Weg;POINT (7.460391322569618 51.66439437654576)
05978000003201104;Otto-Hahn-Straße;POINT (7.458509115927115 51.67321535403465)
05978000003201110;Püttstraße;POINT (7.485551867810616 51.6646684636115)
05978000003201111;Paulswiese;POINT (7.469601296491122 51.66709485470118)
05978000003201112;Paul-Schneider-Weg;POINT (7.477535347756112 51.66946821644192)
05978000003201115;Rauher Busch;POINT (7.472723852714749 51.6613676789042)
05978000003201116;Reuterweg;POINT (7.4676322332392955 51.66042738398633)
05978000003201117;Rilkeweg;POINT (7.46935503336194 51.661322286903285)
05978000003201123;Sophie-Scholl-Weg;POINT (7.45962389603284 51.66634808737864)
05978000003201124;Sandweg;POINT (7.519666678992603 51.67680447704774)
05978000003201125;Schluchtgasse;POINT (7.463524405844897 51.666312213215775)
05978000003201126;Schönauer Straße;POINT (7.447534353257561 51.67435619878128)
05978000003201127;Schorfheide;POINT (7.458513030971302 51.675912546171276)
05978000003201128;Stifterstraße;POINT (7.4740901851489845 51.664740902302185)
05978000003201129;Summerknapp;POINT (7.484548118483059 51.66128372764786)
05978000003201130;Synagogenweg;POINT (7.466756581311429 51.66570696485456)
05978000003201131;Tannenweg;POINT (7.465249416990515 51.65266017145951)
05978000003201132;Stormstraße;POINT (7.473830287114801 51.66306222257163)
05978000003201133;Südwall;
05978000003201135;Vinnumer Straße;POINT (7.450303282497334 51.659005450353774)
05978000003201136;Voßkuhle;POINT (7.492523296321342 51.656056028748466)
05978000003201142;Wagenfeldstraße;POINT (7.461486352298115 51.66258846887715)
05978000003201144;Waltroper Straße;POINT (7.467117215532367 51.66481219984048)
05978000003201145;Weiherstraße;POINT (7.466659946480169 51.6644888947937)
05978000003201147;Wibbeltstraße;POINT (7.461562671012809 51.66327477493163)
05978000003201148;Wienacker;POINT (7.462804833842037 51.66186441703246)
05978000003201149;Wiesenstraße;POINT (7.464367646314903 51.67476416547526)
05978000003201150;Werner Straße;POINT (7.506507194447681 51.69130679849711)
05978000003201151;Wilhelm-Kellermann-Weg;POINT (7.4655192239256065 51.65865522814218)
05978000003201153;Zum Ringofen;
05978000003201154;Woot;POINT (7.478187235904393 51.66809494281777)
05978000003201155;Zum Birkenbaum;POINT (7.525742862752734 51.65719068707592)
05978000003201156;Zum Sundern;POINT (7.4657334192998395 51.657580839464806)
05978000003201157;Zum Wegebild;POINT (7.506093612732579 51.663359837426206)
05978000003201158;Zum Nierfeld;POINT (7.461158004694131 51.66293858596185)
05978000003201159;Zur Sandgrube;POINT (7.491571633668717 51.67830087177687)
05978000003201160;Josef-Mersmann-Weg;POINT (7.461356246514577 51.665047260473)
05978000003201161;Bernhard-Pröbsting-Straße;POINT (7.472919737619155 51.6643573757937)
05978000003201162;Zur Lehmkuhle;POINT (7.461803554156967 51.6666246722278)
05978000003201165;Stephanusweg;POINT (7.466494640746914 51.666143101882454)
05978000003201166;Am Alten Schützenplatz;
05978000003201170;Am Balkenbach;POINT (7.522541708306664 51.65755243970354)
05978000003201171;Am Brauereiknapp;POINT (7.52885608843741 51.65226111742663)
05978000003201172;Am Kohuesholz;POINT (7.536386910247517 51.66547020680413)
05978000003201173;Am Löwentor;POINT (7.534928139035568 51.65650011087983)
05978000003201174;Am Steinfeld;POINT (7.523117161092303 51.65702422183398)
05978000003201175;Am Wasserturm;POINT (7.533258437710068 51.659210168089736)
05978000003201176;Auf dem Gänsemarkt;POINT (7.5271471999897575 51.65973193408708)
05978000003201177;Auf dem Sägeplatz;POINT (7.530045673907813 51.655450979628895)
05978000003201180;Am Stierksken;POINT (7.53152352062131 51.656473679467254)
05978000003201182;Baltimora;POINT (7.5458721095202055 51.65745219058202)
