strassenschluessel;bezeichnung;geometry
05558000004440580;Adlerweg;POINT (7.489900668412288 51.86167909255124)
05558000004440585;Ahornweg;POINT (7.478137085477947 51.914969807269244)
05558000004440589;Am Bürgerpark;POINT (7.484142401990821 51.853847725063716)
05558000004440590;Alvingheide;POINT (7.489042321469404 51.92141475899107)
05558000004440591;Am Dorn;POINT (7.488481903411445 51.904263356423044)
05558000004440592;Am Dümmer;POINT (7.48948017147494 51.85511526082303)
05558000004440593;Am Alten Sportplatz;POINT (7.4800164964705615 51.85920077643021)
05558000004440595;Am Heckenbusch;POINT (7.476880212377002 51.859094763880066)
05558000004440597;Am Helmerbach;POINT (7.475014279421842 51.91768743306873)
05558000004440598;Am Kanal;POINT (7.488328983720309 51.851056416967616)
05558000004440599;Am Langenbach;POINT (7.473304523221433 51.91979788813005)
05558000004440600;Am Mühlenbach;POINT (7.469760488709263 51.856523396701164)
05558000004440605;Am Schloßpark;POINT (7.471514047218326 51.85438693615833)
05558000004440610;Am Winkelbusch;POINT (7.475995904044575 51.8582123517118)
05558000004440615;Am Wortbach;POINT (7.475651017675742 51.855102762240215)
05558000004440620;Amselweg;POINT (7.490355481012604 51.86064417085742)
05558000004440621;An der Steveraue;POINT (7.482544640299202 51.86148682900876)
05558000004440622;An der Windmühle;POINT (7.546787937794708 51.81910700150291)
05558000004440624;Anna-Seghers-Weg;
05558000004440625;Anton-Aulke-Ring;POINT (7.49100159786565 51.85572635852237)
05558000004440630;Antoniusstraße;POINT (7.481423685668987 51.915396781312666)
05558000004440635;Appelhülsener Straße;POINT (7.480991799809393 51.86134592615236)
05558000004440640;Ascheberger Straße;POINT (7.549049840289854 51.82073408217962)
05558000004440641;Astrid-Lindgren-Weg;
05558000004440642;Auf dem Felde;POINT (7.539019584634918 51.82135264071835)
05558000004440645;Auf der Horst;POINT (7.537752762050296 51.823482114749226)
05558000004440647;Bachstraße;POINT (7.498672345358895 51.86206631056399)
05558000004440650;Bahnhofstraße;POINT (7.485559916524975 51.9084898299502)
05558000004440655;Bakenstraße;POINT (7.487901696507599 51.852413632900756)
05558000004440657;Beethovenstraße;POINT (7.4993128452957105 51.85925500988118)
05558000004440658;Bertha-von Suttner-Weg;
05558000004440659;Bertolt-Brecht-Weg;
05558000004440660;Biete;POINT (7.48676897192649 51.856896357437876)
05558000004440665;Birkenweg;POINT (7.478959867646224 51.91461587916171)
05558000004440667;Blumenstraße;POINT (7.488800212264651 51.85733040800292)
05558000004440670;Bonhoefferstraße;POINT (7.491634987778093 51.8628362311359)
05558000004440672;Bootshausweg;POINT (7.470875172632489 51.847566380827956)
05558000004440675;Bosostraße;POINT (7.4753062182579 51.91396383456522)
05558000004440677;Brahmsweg;POINT (7.499852248995899 51.85996425686909)
05558000004440680;Brakelstraße;POINT (7.5450516781025545 51.81989919172982)
05558000004440685;Bredenbeck;POINT (7.452549684155372 51.893546165952)
05558000004440690;Bredenwinkel;POINT (7.477107903118051 51.856682714064675)
05558000004440695;Brock;POINT (7.48763616103816 51.89850895141548)
05558000004440697;Broholt;POINT (7.551284750311718 51.82970893188132)
05558000004440700;Buchenweg;POINT (7.477501660922927 51.91706478064048)
05558000004440705;Bulderner Straße;POINT (7.48144944843954 51.85723586416833)
05558000004440710;Clemens-Hagemann-Straße;POINT (7.542495224860023 51.82427122435298)
05558000004440712;Daimlerstraße;POINT (7.486449355955603 51.84394464977543)
05558000004440715;Davertweg;POINT (7.547565812553674 51.82444198196296)
05558000004440717;Dillenbaum;POINT (7.548690149169447 51.82145811408852)
05558000004440725;Dorfbauerschaft;POINT (7.533399784917143 51.841665250936394)
05558000004440727;Dorffeld;POINT (7.49781436522267 51.86227899448323)
05558000004440730;Dorfstraße;POINT (7.535351308504053 51.82158080262535)
05558000004440732;Doris-Lessing-Weg;
05558000004440733;Dornekamp;POINT (7.471596504399051 51.8597823498178)
05558000004440735;Drosselgasse;POINT (7.486463230589329 51.860599161643975)
05558000004440740;Droste Gärten;POINT (7.487261762887213 51.85225364756397)
05558000004440743;Droste-Hülshoff-Weg;
05558000004440745;Droste-zu-Senden-Straße;POINT (7.47408103477437 51.85879377111193)
05558000004440750;Eichendorffstraße;POINT (7.491697006111713 51.85045492576842)
05558000004440755;Eichenweg;POINT (7.47819763821367 51.91539616532099)
05558000004440760;Eintrachtstraße;POINT (7.488787718256984 51.856214188659706)
05558000004440762;Erlengrund;POINT (7.477833326446903 51.865960464460485)
05558000004440763;Erich-Kästner-Weg;
05558000004440764;Espelbusch;POINT (7.47793290103099 51.91392321330896)
05558000004440765;Espelstraße;POINT (7.478698572510544 51.91391069712187)
05558000004440770;Falkenstraße;POINT (7.487759321843871 51.86034923025474)
05558000004440775;Feldmark;POINT (7.5434613434660935 51.82610170088871)
05558000004440780;Finkenweg;POINT (7.485081794903055 51.8610853842451)
05558000004440785;Frauenstraße;POINT (7.488342816732513 51.85557555756468)
05558000004440790;Frh.-von-Twickel-Straße;POINT (7.479388512085205 51.8554843086532)
05558000004440795;Gartenstraße;POINT (7.488150026835476 51.85760966832685)
05558000004440800;Gettrup;POINT (7.493581047097259 51.81935366320079)
05558000004440805;Gettruper Straße;POINT (7.490655624387228 51.85019304791272)
05558000004440810;Glatzer Weg;POINT (7.472740976762285 51.8557410625665)
05558000004440812;Grete-Schött-Ring;POINT (7.490540514341299 51.85862453424031)
05558000004440815;Grottenkamp;POINT (7.487804217294235 51.85853877286402)
05558000004440820;Grüner Grund;POINT (7.485229601400078 51.85932769562714)
05558000004440821;Hagenkamp;POINT (7.481898321141777 51.86582091876952)
05558000004440822;Hamerlestraße;POINT (7.479508626162652 51.91334965336204)
05558000004440823;Händelstraße;POINT (7.49885219681904 51.86031612926967)
05558000004440824;Hanloh;POINT (7.483059771903197 51.91316239537579)
05558000004440825;Harlingweg;POINT (7.489518428575617 51.84931842533277)
05558000004440830;Havixbecker Straße;POINT (7.475804764827502 51.9177994253013)
05558000004440832;Heide;POINT (7.55105003659676 51.81920099608281)
05558000004440834;Heinrich-Böll-Weg;
05558000004440835;Heitkamp;POINT (7.538076572992299 51.825003104211476)
05558000004440837;Hermann-Hesse-Weg;
05558000004440838;Hermann-Stroetmann-Straße;POINT (7.492666248728495 51.898303523851155)
05558000004440840;Herrenstraße;POINT (7.486882468241221 51.85601348017134)
05558000004440841;Hiddingseler Straße;POINT (7.470875025355526 51.85294337290057)
05558000004440842;Hiegenbusch;POINT (7.47601580608017 51.86023875140121)
05558000004440843;Holterode;POINT (7.546130040286007 51.821579747364254)
05558000004440845;Holtrup;POINT (7.4701960271447785 51.868196214427144)
05558000004440847;Holtruper Stiege;POINT (7.480652720143021 51.85953899061354)
05558000004440850;Holtruper Straße;POINT (7.479584997052478 51.85858397374126)
05558000004440855;Holzfeld;POINT (7.543394539231602 51.82547309426439)
05558000004440856;Huxburger Allee;
05558000004440857;Im Südfeld;POINT (7.4779220357323295 51.905919505992)
05558000004440860;Industriestraße;POINT (7.482058312802037 51.84773195136253)
05558000004440861;Ingeborg-Bachmann-Weg;
05558000004440863;Jessener Straße;POINT (7.464040098512277 51.855317039236624)
05558000004440865;Johannisplatz;POINT (7.478147899622049 51.91781087489313)
05558000004440870;Johannisstraße;POINT (7.480465665732586 51.91779461507273)
05558000004440875;Kalverkamp;POINT (7.482218175507914 51.86043800793755)
05558000004440880;Kanalstraße;POINT (7.48229428029345 51.84885194785346)
05558000004440885;Kapellenfeld;POINT (7.474509987688495 51.85654246838253)
05558000004440887;Ketternkamp;POINT (7.544038120249554 51.8196061525456)
05558000004440890;Kirchfeld;POINT (7.540013419245876 51.824364840646204)
05558000004440895;Kirchstraße;POINT (7.538929744256414 51.823538763732465)
05558000004440900;Kley;POINT (7.4533434507669405 51.93293327880251)
05558000004440905;Klosterstraße;POINT (7.488437563293727 51.84993320111428)
05558000004440907;Kolpingstraße;POINT (7.547897281640666 51.82400216307282)
05558000004440908;Konrad-Zuse-Straße;POINT (7.490500159602023 51.898997595087245)
05558000004440909;Kralkamp;POINT (7.496672282299985 51.865537167799005)
05558000004440910;Kreuzbauerschaft;POINT (7.572269363631874 51.81846467951041)
05558000004440912;Konrad-Potts-Allee;POINT (7.482902297963866 51.85132246669871)
05558000004440915;Laerbrockstraße;POINT (7.475779082097607 51.91515317033213)
05558000004440917;Langeland;POINT (7.494331068518809 51.863260130213085)
05558000004440920;Langenwinkel;POINT (7.476310856312773 51.857393508650915)
05558000004440925;Laurentiusplatz;POINT (7.487154480963458 51.855158412464576)
05558000004440930;Lerchenweg;POINT (7.488188556980238 51.86014805966516)
05558000004440932;Lindhövelweg;POINT (7.560758163255171 51.81689497821866)
05558000004440935;Lüdinghauser Straße;POINT (7.530447011666503 51.824724426929635)
05558000004440937;Mendelssohnstraße;POINT (7.499533534008431 51.861001453982766)
05558000004440938;Marie-Curie-Straße;POINT (7.491058630406585 51.897168171493796)
05558000004440939;Max-Kruse-Weg;
05558000004440940;Meisenweg;POINT (7.488217776258133 51.86247644112262)
05558000004440941;Merschwiese;POINT (7.490965025181483 51.86593596891216)
05558000004440942;Messingweg;POINT (7.483227771313675 51.846343819891686)
05558000004440943;Michael-Ende-Weg;
05558000004440944;Mönkingheide;POINT (7.4951337552708175 51.86593891902327)
05558000004440945;Mühlenfeld;POINT (7.469086993727607 51.853460088955536)
05558000004440947;Mühlenstiege;POINT (7.467747864984345 51.857372390235206)
05558000004440950;Mühlenstraße;POINT (7.4882987550500975 51.85283797620543)
05558000004440955;Münsterstraße;POINT (7.4885763159324945 51.85544033441004)
05558000004440958;Nanette-Streicher-Weg;POINT (7.502607443312061 51.85966865841267)
05558000004440959;Nelly-Sachs-Weg;
05558000004440960;Neustraße;POINT (7.540602421748285 51.8226967602853)
05558000004440962;Nieländer;POINT (7.475360588838022 51.91319921568532)
05558000004440965;Niesweg;POINT (7.484052774136217 51.85686482620204)
05558000004440970;Nordkirchener Straße;POINT (7.537213896698559 51.821270566925904)
05558000004440975;Oberbauerschaft;POINT (7.5578242783132525 51.79106901386534)
05558000004440978;Offenbachstraße;POINT (7.502912308470647 51.8619618042282)
05558000004440980;Ostlandstraße;POINT (7.486424325649636 51.859034975924516)
05558000004440985;Ottmarsbocholter Straße;POINT (7.492085376127488 51.85123183508587)
05558000004440990;Prozessionsweg;POINT (7.488551872278343 51.86215573086401)
05558000004440991;Roggenkamp;POINT (7.536221264803712 51.82146463325609)
05558000004440992;Rohrkamp;POINT (7.469839377074072 51.86102397745161)
05558000004440995;Rorups Wiese;POINT (7.483114665051596 51.856185908989694)
05558000004440997;Rosenstraße;POINT (7.480551440601884 51.91391174170137)
05558000004441000;Roxeler Straße;POINT (7.481201644274039 51.91912567277137)
05558000004441005;Rüschenkuhle;POINT (7.4805753497647824 51.85451300664941)
05558000004441007;Rudolf-Diesel-Straße;POINT (7.490316244559552 51.89762588371962)
05558000004441010;Schliekhege;POINT (7.471126219833757 51.85873002692923)
05558000004441011;Schloßfeld;POINT (7.466367855078063 51.85211758773616)
05558000004441012;Schmiedekamp;POINT (7.480787646288928 51.91811949283965)
05558000004441015;Schölling;POINT (7.444366675379411 51.85087422027904)
05558000004441019;Schürbusch;POINT (7.477236518957632 51.92114376237588)
05558000004441020;Schützenstraße;POINT (7.477674498934508 51.91313953143561)
05558000004441025;Schulstraße;POINT (7.485118429333789 51.855020995292485)
05558000004441030;Schulze-Bremer-Straße;POINT (7.475549315639351 51.85922222988917)
05558000004441032;Schumannstraße;POINT (7.500119034001094 51.86161011056604)
05558000004441035;Schwalbenweg;POINT (7.490530932866511 51.861948657773866)
05558000004441037;Selma-Lagerlöf-Weg;
05558000004441040;Sieben Eichen;POINT (7.479109295693136 51.8550581678896)
05558000004441041;Siebenstücken;POINT (7.491454023330611 51.863359424462836)
05558000004441042;Siemensstraße;POINT (7.484841787795491 51.84784829288487)
05558000004441045;Sperberweg;POINT (7.489128471905439 51.86183364774835)
05558000004441050;Spitalweg;POINT (7.491234561900866 51.8548958772037)
05558000004441052;Sporksfeld;POINT (7.466284913107531 51.92140108639104)
05558000004441055;Spreewaldweg;POINT (7.467877368361711 51.854814458743625)
05558000004441060;Stauverbrink;POINT (7.48018406435542 51.912408911361304)
05558000004441065;Starenweg;POINT (7.4895818941758625 51.862970967617144)
05558000004441070;Steverstraße;POINT (7.484208023831246 51.86061678099765)
05558000004441073;Strontianitfeld;POINT (7.541559921752144 51.81987469288)
05558000004441074;Sudendorp;POINT (7.53984699166495 51.817769485019404)
05558000004441075;Suttfeld;POINT (7.476605050316412 51.91453995701456)
05558000004441079;Thomas-Mann-Weg;
05558000004441080;Trakehner Weg;POINT (7.465928819727153 51.8555628176856)
05558000004441082;Urbanstraße;POINT (7.5450242862342485 51.82277104115201)
05558000004441085;Venne;POINT (7.544128911514301 51.846745239485195)
05558000004441090;Venner Straße;POINT (7.534425461511417 51.82755793964985)
05558000004441095;Vikarsbusch;POINT (7.482089804454596 51.914191916980194)
05558000004441100;von-Galen-Straße;POINT (7.542450873702665 51.82508147535403)
05558000004441102;Wagnerstraße;POINT (7.499323580150498 51.86211289008569)
05558000004441103;von-Liebig-Straße;POINT (7.479356109405044 51.84128560936692)
05558000004441105;Waldenburger Weg;POINT (7.472463366180852 51.856683328206344)
05558000004441107;Walskamp;POINT (7.496293522558284 51.85901228034336)
05558000004441109;Weberstraße;
05558000004441110;Weseler Straße;POINT (7.497256468821575 51.91588152687532)
05558000004441115;Westerkamp;POINT (7.534413976888088 51.82550163283045)
05558000004441117;Wienkamp;POINT (7.496303580098695 51.853563769486385)
05558000004441120;Wierling;POINT (7.458642577646546 51.87742903794742)
05558000004441123;Wiesengrund;POINT (7.536745205607717 51.824438460797616)
05558000004441125;Wiesenstraße;POINT (7.533929467342563 51.824258044407124)
05558000004441129;Wilhelm-Busch-Weg;
05558000004441130;Wilh.-Haverkamp-Straße;POINT (7.489968116531033 51.857893239435576)
05558000004441140;Hof Grothues-Potthoff;POINT (7.500017340586584 51.857864145092464)
05558000004471001;A1;
05558000004471043;A43;
05558000004472058;B58;
05558000004472235;B235;
05558000004473550;L550;
05558000004473551;L551;
05558000004473844;L844;
05558000004473884;L884;
05558000004474002;K2;
05558000004474004;K4;
05558000004474010;K10;
05558000004474023;K23;
05558000004474024;K24;
05558000004474027;K27;
05558000004474031;K31;
05558000004474060;K60;
05558000004495016;Baugebiet Huxburg;
055580000044=2000;Lünen - Münster;
