strassenschluessel;bezeichnung;geometry
05570000004025705;Adolfshöhe;POINT (7.716495028633334 51.867955134900356)
05570000004025707;Ahlener Damm;POINT (7.838923503955603 51.824451455795526)
05570000004025709;Ahornweg;POINT (7.736027842304558 51.8646680452283)
05570000004025710;Ahrenhorst;POINT (7.738002422458051 51.84451449284479)
05570000004025713;Alfred-Delp-Straße;POINT (7.734056905119755 51.86179419439625)
05570000004025715;Alst;POINT (7.745162175151004 51.863662266543415)
05570000004025720;Alter Postweg;POINT (7.836862976351353 51.8463509062481)
05570000004025725;Alte Stadt;POINT (7.83172562584599 51.84548786857529)
05570000004025730;Alverskirchener Straße;POINT (7.741534911968277 51.868924868252094)
05570000004025732;Am Buchsbaum;POINT (7.829276301061207 51.84847882493324)
05570000004025733;Am Fernmeldeturm;POINT (7.839549997796847 51.84913469284736)
05570000004025734;Am Fuchsbau;POINT (7.816158053532948 51.84757260201847)
05570000004025735;Am Gänsegarten;POINT (7.830620715737459 51.840923800874265)
05570000004025737;Am Hagen;POINT (7.857430776419873 51.82232628878287)
05570000004025740;Am Mergelberg;POINT (7.841080232549898 51.84597331640051)
05570000004025745;Am Piper;POINT (7.837438663456139 51.83871361638425)
05570000004025750;Amselstiege;POINT (7.836526285847431 51.84295631856609)
05570000004025752;Am Wall;POINT (7.824601162726314 51.84551416203382)
05570000004025753;Am Weidenstock;POINT (7.831416095853398 51.849015107281424)
05570000004025755;Anette-von-Droste-Hülshoff-Straße;POINT (7.839925987478286 51.840226606530585)
05570000004025758;Astrid-Lindgren-Straße;POINT (7.826717808415235 51.853406526360885)
05570000004025760;Auf dem Bült;POINT (7.824786266324829 51.847566753016665)
05570000004025765;Auf dem Garrath;POINT (7.821549576645433 51.83579407171836)
05570000004025770;Auf der Bree;POINT (7.718922960296949 51.866256542361754)
05570000004025775;Auf der Geist;POINT (7.8197863634272435 51.84742440180758)
05570000004025780;Augustin-Wibbelt-Straße;POINT (7.822875503576014 51.846909231320005)
05570000004025785;Backhausstraße;POINT (7.745781193423321 51.874968338727854)
05570000004025790;Bahnhofstraße;POINT (7.735577751600773 51.86892079641303)
05570000004025795;Bergstraße;POINT (7.732882691267405 51.86551580934655)
05570000004025800;Bergkamp;POINT (7.737702982723128 51.863432177335994)
05570000004025805;Berl;POINT (7.705858869087624 51.906150292185956)
05570000004025810;Berliner Weg;POINT (7.7418737218470275 51.86833253294848)
05570000004025815;Bersenkampstraße;POINT (7.8351429149271485 51.84320685482041)
05570000004025820;Birkenallee;POINT (7.738017900166763 51.86436484652688)
05570000004025825;Birkenweg;POINT (7.826481457532126 51.834674783559024)
05570000004025830;Bispingweg;POINT (7.741060107314899 51.85747055379581)
05570000004025831;Blankenweg;POINT (7.833637961478404 51.819776212365966)
05570000004025835;Böckenholt;POINT (7.829023172791916 51.83620077888394)
05570000004025840;Böckingwiese;POINT (7.827268674310522 51.850458718456515)
05570000004025843;Böttcherstraße;POINT (7.833629984491891 51.84696355640876)
05570000004025845;Borsigstraße;POINT (7.8436278738185825 51.84652386061428)
05570000004025850;Boschstraße;POINT (7.849927722155167 51.84263137895726)
05570000004025855;Bracht;POINT (7.8196695626522015 51.82718191088411)
05570000004025860;Brahmsweg;POINT (7.836202641359539 51.84075366299976)
05570000004025865;Breede;POINT (7.827470848645885 51.84881412299065)
05570000004025870;Breil;POINT (7.735419590436807 51.86306275072053)
05570000004025872;Brennereiweg;
