strassenschluessel;bezeichnung;geometry
05970000004025003;Abendröthe;POINT (7.9901719054539075 50.90351083599772)
05970000004025007;Am Hüttengraben;
05970000004025011;Am Kirschenbäumchen;POINT (7.993379731172435 50.90638330909892)
05970000004025013;Am Lehnhof;POINT (7.984146182679824 50.90576104640609)
05970000004025015;Am Nöchel;POINT (7.988943693795879 50.904200260497134)
05970000004025019;Am Sonnenhang;POINT (7.988375064909453 50.906203852057665)
05970000004025021;Am Zäunchen;POINT (7.987744968842849 50.90429828265652)
05970000004025023;An den Weiden;POINT (7.982502115665207 50.908316072993166)
05970000004025027;Birlenbacher Straße;POINT (7.99539377038095 50.905899562503166)
05970000004025031;Brunnenweg;POINT (7.990133452162782 50.90677112456462)
05970000004025035;Erlenweg;POINT (7.986252902212969 50.90696775691073)
05970000004025039;Heidenfeld;POINT (7.990721296967872 50.901952443970075)
05970000004025040;Hermann-Löns-Straße;POINT (7.995138264271413 50.90667871404456)
05970000004025043;In der Furth;POINT (7.992063869742542 50.90458745282477)
05970000004025047;Kalte Seite;POINT (7.991399649142679 50.9040484983231)
05970000004025051;Olper Straße;
05970000004025053;Schießbergstraße;POINT (7.9927261008501 50.90722341135033)
05970000004025055;Schweizer Seifen;POINT (7.989681044729477 50.90224583345479)
05970000004025057;Vor der Schule;POINT (7.988419677030026 50.90418946201287)
05970000004025059;Wildweg;POINT (7.988798053047128 50.90704493822861)
05970000004025064;Am Steinwald;POINT (8.098659113544889 50.89170796197899)
05970000004025068;Assbergstraße;POINT (8.104166801156616 50.89424757551559)
05970000004025072;Auf dem Tillmes;POINT (8.094855244116753 50.88963790615011)
05970000004025076;Breitenbacher Straße;POINT (8.093060833273844 50.89039151360933)
05970000004025080;Bremerlingweg;POINT (8.09239324026673 50.888739464129465)
05970000004025084;Haselwiese;POINT (8.094070517822365 50.88952800477204)
05970000004025088;Im Schockhain;POINT (8.091488280653898 50.89121250453238)
05970000004025092;Im Steingarten;POINT (8.095116979888676 50.89189575865391)
05970000004025096;In der Feuersbach;POINT (8.102907954758612 50.892552101442924)
05970000004025100;Löhcheswald;POINT (8.093902272879946 50.89271078715095)
05970000004025104;Netphener Straße;POINT (8.096991006412969 50.891204076149556)
05970000004025108;Rebhuhnweg;POINT (8.097784951600447 50.894532954020384)
05970000004025112;Schnepfenweg;POINT (8.094297992961916 50.891148698443885)
05970000004025116;Am Hochwald;POINT (7.985807601787855 50.9360900797761)
05970000004025119;Am Hohen Feld;POINT (7.977070769399222 50.93838955009753)
