strassenschluessel;bezeichnung
05974000004007001;Schültingerstraße
05974000004007002;Stiftstraße
05974000004007003;Mariengartengasse
05974000004007004;Enger Weg
05974000004007005;Armesündergasse
05974000004007006;Magazingasse
05974000004007007;Im Engpaß
05974000004007008;Walburgerstraße
05974000004007009;Ritterstraße
05974000004007010;Wiesenstraße
05974000004007011;Am Wiesenkirchhof
05974000004007012;Krummel
05974000004007013;Am Loerbach
05974000004007014;Schwarzeborngasse
05974000004007015;Teichsmühlengasse
05974000004007016;Am Großen Teich
05974000004007017;Georgsgasse
05974000004007018;Wippgasse
05974000004007019;Balhorngasse
05974000004007020;Walburger-Osthofen-Wallstraße
05974000004007021;Widumgasse
05974000004007022;Lentzestraße
05974000004007023;Am Hohnekirchhof
05974000004007024;Hohe Gasse
05974000004007025;Kleine Osthofe
05974000004007026;Düsterpoth
05974000004007027;Berswordtgasse
05974000004007028;Paulengäßchen
05974000004007029;Severinstraße
05974000004007030;Filzenstraße
05974000004007031;Siechenstraße
05974000004007032;Damm
05974000004007033;Propst-Nübel-Straße
05974000004007034;Osthofenstraße
05974000004007035;Osthofentor
05974000004007036;Am Güterbahnhof
05974000004007037;Nottebohmweg
05974000004007038;Ostweg
05974000004007039;Kolkstraße
05974000004007040;Helle
05974000004007041;Kleine Helle
05974000004007042;Glasergasse
05974000004007043;Predigergasse
05974000004007044;Hoher Weg
05974000004007045;Bockum-Dollfs-Gasse
05974000004007046;Thomäschäfergasse
05974000004007047;Osthofen-Thomä-Wallstraße
05974000004007048;Nelmannwall
05974000004007049;Sigefridwall
05974000004007050;Naugardenring
05974000004007051;Thomästraße
05974000004007052;Thomätor
05974000004007053;Am Kützelbach
05974000004007054;Lütgen Grandweg
05974000004007055;Klosterstraße
05974000004007056;Bischofstraße
05974000004007057;Auf der Kluse
05974000004007058;Thomä-Grandweger-Wallstraße
05974000004007059;Immermannwall
05974000004007060;Kurze Straße
05974000004007061;Seminarweg
05974000004007062;Rennekamp
05974000004007063;Ostenhellweg
05974000004007064;Opmünder Weg
05974000004007065;Friedrich-Schauer-Weg
05974000004007066;Goebel-Styes-Weg
05974000004007067;Marsiliusweg
05974000004007068;Im Schäferkamp
05974000004007069;Brockhausweg
05974000004007070;Heidemühlweg
05974000004007071;Im Klingelpoth
05974000004007072;Hauptlinder Weg
05974000004007073;Rigaring
05974000004007074;Auf der Galgenstatt
05974000004007075;Bartholomäusstraße
05974000004007076;Briloner Straße
05974000004007077;Maastrichter Weg
05974000004007078;Niederbergheimer Straße
05974000004007079;Grandwegertor
05974000004007080;Grandweg
05974000004007081;Sugestraße
05974000004007082;Burghofstraße
05974000004007083;Burghofsgasse
05974000004007084;Auf der Borg
05974000004007085;Pollhofstraße
05974000004007086;Bachstiege
05974000004007087;Haarhofsgasse
05974000004007088;Grandweg-Ulricher-Wallstraße
05974000004007089;Brunowall
05974000004007090;Mühlenpättken
05974000004007091;Windmühlenweg
05974000004007092;Terlindenweg
05974000004007093;Troyesweg
05974000004007094;Kampenweg
05974000004007095;Hiddingser Weg
05974000004007096;Goebelweg
05974000004007097;Dudenweg
05974000004007098;Koppeweg
05974000004007099;Melanchthonweg
05974000004007100;In der Delle
05974000004007101;Ehrlichweg
05974000004007102;Fixweg
05974000004007103;Lübecker Ring
05974000004007104;Arnsberger Straße
05974000004007105;Ulrichertor
05974000004007106;Ulricherstraße
05974000004007107;Isenacker
05974000004007108;Paulistraße
05974000004007109;Kesselstraße
05974000004007110;Drostengasse
05974000004007111;Grüne Hecke
05974000004007112;Lange Gasse
05974000004007113;Kattenhol
05974000004007114;Kletterpothsgasse
05974000004007115;Schüngelgasse
05974000004007116;Bleichergasse
05974000004007117;Bachsteingasse
05974000004007118;Ulrich-Jakobi-Wallstraße
05974000004007119;Dasselwall
05974000004007120;Deiringser Weg
05974000004007121;Rosenplätze
05974000004007122;Leveradweg
05974000004007123;Wisbyring
05974000004007124;de-Rode-Weg
05974000004007125;Potsdamer Platz
05974000004007126;Westenhellweg
05974000004007127;Jakobitor
05974000004007128;Jakobistraße
05974000004007129;Kesselgäßchen
05974000004007130;Höggengäßchen
05974000004007131;Höggenstraße
05974000004007132;Elendsgasse
05974000004007133;Rosenstraße
05974000004007134;Marktstraße
05974000004007135;Puppenstraße
05974000004007136;Hospitalgasse
05974000004007137;Rathausstraße
05974000004007138;Domplatz
05974000004007139;Am Vreithof
05974000004007140;Kerngasse
05974000004007141;Am Seel
05974000004007142;Ressourcengasse
05974000004007143;Petrikirchhof
05974000004007144;Petristraße
05974000004007145;Corduanergasse
05974000004007146;Mariengasse
05974000004007147;Kungelmarkt
05974000004007148;Markt
05974000004007149;Steingraben
05974000004007150;Postgasse
05974000004007151;Niedergasse
05974000004007152;Roßkampffsgasse
05974000004007153;Ueliksgasse
05974000004007154;Daelengasse
05974000004007155;Jakobi-Nötten-Wallstraße
05974000004007156;Freiligrathwall
05974000004007157;Thomas-Borchwede-Weg
05974000004007158;Johann-de-Brune-Weg
05974000004007159;Johann-Kelberg-Weg
05974000004007160;Beamtenlaufbahn
05974000004007161;Pagenstraße
05974000004007162;Alter Hellweg
05974000004007163;Herenfridstraße
05974000004007164;Herenfridgäßchen
05974000004007165;Meister-Conrad-Straße
05974000004007166;Albertus-Magnus-Straße
05974000004007167;An der Spiele
