strassenschluessel;bezeichnung;geometry
05554000005601581;Achter de Wall;POINT (6.920186124820822 51.98859843544128)
05554000005601582;Alleestraße;POINT (6.916342275691638 51.98967705615999)
05554000005601583;Almsick;POINT (7.036160097873895 52.01063739109944)
05554000005601584;Alte Poststraße;POINT (6.915614778009777 51.99264654634525)
05554000005601585;Alter Dyk;POINT (6.939313640861936 51.98683623824326)
05554000005601586;Am Anger;POINT (6.932765024718248 51.987434694476974)
05554000005601587;Am Bach;POINT (6.926120514721857 51.98599055247715)
05554000005601588;Am Bülten;POINT (6.9331262768421755 51.99699500987442)
05554000005601589;Am Busch;POINT (6.9351615752646225 51.98517254084511)
05554000005601590;Am Esch;POINT (6.929766659593202 51.982045328654344)
05554000005601591;Am Hilgenberg;POINT (6.931983345677731 51.994770945667106)
05554000005601592;Amselweg;POINT (6.911702801523142 51.99959399945991)
05554000005601593;Am Wasserturm;POINT (6.909848695096799 51.988668558647156)
05554000005601594;An de Bleeke;POINT (6.916439448814154 51.996893155364916)
05554000005601595;An der Welle;POINT (6.912614491335315 51.99164991808956)
05554000005601596;An de Siepe;POINT (6.9490292836118 51.98174900333975)
05554000005601597;Arfkamp;POINT (6.9224613312813155 51.98803019760771)
05554000005601598;Bakenstraße;POINT (6.906315460871182 51.987724072677246)
05554000005601599;Baumgartnerstraße;POINT (6.948368777335125 51.9824915862109)
05554000005601600;Bergstraße;POINT (6.930591415370929 51.99590064360214)
05554000005601601;Berkelhook;POINT (6.908892884157793 51.99566380778082)
05554000005601602;Berliner Straße;POINT (6.880978493087035 51.99713142512916)
05554000005601603;Bessemerstraße;POINT (6.914176459645261 51.9842226203117)
05554000005601604;Birkenweg;POINT (6.913546515042367 52.00309591460114)
05554000005601605;Blücherstraße;POINT (6.902336600329572 51.988796194859326)
05554000005601606;Blumenstraße;POINT (6.914485306237925 51.98888158500038)
05554000005601607;Bockemölenstraße;POINT (6.91072626106587 51.986517969362964)
05554000005601608;Bockwinkel;POINT (6.883835846507352 52.00467820011304)
05554000005601609;Bohnenkampstraße;POINT (6.941975690599178 51.98387206363303)
05554000005601610;Bomers Kamp;POINT (6.925056427341749 51.984931868392906)
05554000005601611;Bonhoefferstraße;POINT (6.8927192829444515 51.99445360924416)
05554000005601612;Borsigstraße;POINT (6.912440601437508 51.9821454120506)
05554000005601613;Boschstraße;POINT (6.898403843302344 51.98409173543532)
05554000005601614;Brahmsweg;POINT (6.910184598369336 51.99682902015432)
05554000005601615;Brakstraße;POINT (6.923648656854103 51.992671454279)
05554000005601616;Breslauer Straße;POINT (6.871713347035358 51.99570488355643)
05554000005601617;Breul;POINT (6.940930327983701 51.98725441529974)
05554000005601618;Brookstraße;POINT (6.916676985198494 51.99997517657216)
05554000005601619;Buchenweg;POINT (6.918440923621516 52.003322280405925)
05554000005601620;Büren;POINT (7.010676179363368 51.99727296787864)
05554000005601621;Burgstraße;POINT (6.91780963732808 51.99450076813683)
05554000005601622;Butenstadt;POINT (6.914115585632627 51.992611390183555)
05554000005601623;Carl-Diem-Straße;POINT (6.894942604672017 51.991327504996704)
05554000005601624;Christianstraße;POINT (6.928499625788179 51.99450007565499)
05554000005601625;Dahlienweg;POINT (6.9296817207763395 51.996199888514504)
05554000005601626;Daimlerstraße;POINT (6.905861376501256 51.98446178144809)
05554000005601627;Dechant-Tigges-Straße;POINT (6.912722243426329 51.98599012403515)
05554000005601628;Delpstraße;POINT (6.894531512245624 51.99526051225893)
05554000005601629;Dieselstraße;POINT (6.908801499269931 51.98298558199583)
