strassenschluessel;bezeichnung;geometry
05754000004010000;Abrookstraße;POINT (8.322323828159101 51.98615241415707)
05754000004010100;Ackerstraße;POINT (8.361612767840809 51.98659541324884)
05754000004010200;Adlerstraße;POINT (8.408232060790958 52.028794763249)
05754000004010300;Albertstraße;POINT (8.409781494676377 52.00163952887023)
05754000004010350;Alte Brennerei;POINT (8.408499233736576 52.00271546018893)
05754000004010450;Alte Kirchstraße;POINT (8.412889241735183 52.00536823503789)
05754000004010500;Alte Landstraße;POINT (8.426820726897882 51.99128973896959)
05754000004010600;Alte Landwehr;POINT (8.424517853360971 52.02545291708626)
05754000004010650;Alter Garten;POINT (8.413697342576349 52.02241044506534)
05754000004010700;Alter Sportplatz;POINT (8.342188099497973 51.996369023621035)
05754000004010800;Am Bahnhof;POINT (8.422579792764529 52.016308892165384)
05754000004010900;Am Bußberg;POINT (8.43400474567007 52.02550940107347)
05754000004011000;Am Cronsbach;POINT (8.423438186984939 51.99955627599847)
05754000004011100;Am Dümmer;POINT (8.417113582935448 52.005298718174686)
05754000004011200;Am Foddenbach;POINT (8.39210450938446 52.02102038188448)
05754000004011300;Am Jakobsberg;POINT (8.408753801582197 52.029265203775275)
05754000004011400;Am Kottenteich;POINT (8.313366809836577 51.98582238684112)
05754000004011500;Am Landbach;POINT (8.367419079261838 51.994159273435876)
05754000004011600;Am Langenberg;POINT (8.444782877343368 52.01701764354083)
05754000004011650;Am Markt;POINT (8.415137310374158 52.00537636089913)
05754000004011700;Am Pulverbach;POINT (8.413704661783175 52.0068247035121)
05754000004011800;Amselstraße;POINT (8.407748103368581 52.02609285497946)
05754000004011900;Am Sennberg;POINT (8.458419036865939 52.01687957467124)
05754000004012000;Amshausener Straße;POINT (8.411213009008303 52.02328784507418)
05754000004012100;Am Sportplatz;POINT (8.405991804654388 52.02798413368761)
05754000004012200;An der Brake;POINT (8.432062508788844 51.98866304040826)
05754000004012300;An der Jüpke;POINT (8.414113805522485 52.0200917047147)
05754000004012400;Anemonenstraße;POINT (8.438678237594162 52.01647985024356)
05754000004012450;Anne-Frank-Hof;POINT (8.43093998685847 52.003322365687325)
