strassenschluessel;bezeichnung;geometry
057620000032F9436;Kleine Zuckertwete;
057620000032F9437;B 239;
057620000032F9438;Vordere Hollental;
057620000032F9439;Im Pannenbruch;
057620000032F9441;Ober der Frankenburg;
057620000032F9442;Ziegenfeld;
057620000032F9443;Im Marsche;POINT (9.101393159829916 51.86485655108213)
057620000032F9444;Windthorsche Kuhkämpe;
057620000032F9445;Wilmersiek;POINT (9.08677001450753 51.85096094853386)
057620000032F9446;Wiesiek;POINT (9.087611871993738 51.84840144935807)
057620000032F9447;Vor'm Mettenloche;
057620000032F9448;Vor dem Mettenloche;
057620000032F9450;K 75;
057620000032F9451;K 73;
057620000032F9453;B 252;
057620000032F9454;L 823;
057620000032F9455;K 10;
057620000032F9456;Altenbeken-Hannover;POINT (9.089133853430384 51.868671807956794)
057620000032F9457;Uhlenmersch;POINT (9.099447242227747 51.89249130080741)
057620000032F9458;Über der Rosengrund;
057620000032F9459;Teichwasser;
057620000032F9460;Steinheimer Holz;POINT (9.132258967501954 51.891208019674366)
057620000032F9461;Steinheim;
057620000032F9462;Stadtbruch;
057620000032F9464;Renneborn;
057620000032F9465;Oben den Ochsenkämpen;
057620000032F9466;Niese;
057620000032F9467;Niedertorsche Kuhkämpe;POINT (9.104596320823697 51.87364885778718)
057620000032F9468;Mühlenzubringer;
057620000032F9469;Mühlenbach;
057620000032F9470;Mittlere Hollental;POINT (9.091795083162761 51.879536543356274)
057620000032F9471;Meggeloh's Siek;
057620000032F9472;Lindenbusch;
057620000032F9473;Lange Land;
057620000032F9474;Kuhkamp;
057620000032F9475;Knick;
057620000032F9476;Kirchgrund;
057620000032F9477;In der Uhlenmersch;POINT (9.097311741297407 51.87977328914855)
057620000032F9478;In der Stapelwandlung;
057620000032F9479;In der Pooleiche;
057620000032F9480;In den Wässern;
057620000032F9481;In den Hofwiesen;POINT (9.093339620510237 51.8597620826498)
057620000032F9482;Im Teichwasser;
057620000032F9483;Im Rosengrund;
057620000032F9484;Im Piepenbrink;
