strassenschluessel;bezeichnung;geometry
05334000003202559;Sebastianusweg;POINT (6.189319342142183 50.77456674699689)
05334000003203501;Am Roten Kreuz;POINT (6.201689102728819 50.782348742321055)
05334000003203502;Am Wald;POINT (6.208946581898154 50.78855568583064)
05334000003203503;An den Sandgruben;POINT (6.205296297398246 50.78138568990864)
05334000003203504;An der Waldmeisterhütte;POINT (6.20991305577329 50.78687398076572)
05334000003203505;Dachsweg;POINT (6.20124215460282 50.78050343905695)
05334000003203506;Eichhornweg;POINT (6.202406044834331 50.77970513710844)
05334000003203507;Eisenbahnstraße;POINT (6.222695336900834 50.7783157401982)
05334000003203508;Friedhofstraße;POINT (6.202273163324162 50.78144808998912)
05334000003203509;Fuchsweg;POINT (6.19808762773218 50.779908108407035)
05334000003203510;Glasstraße;POINT (6.206576966109573 50.78461359923914)
05334000003203511;Glücksburgweg;
05334000003203512;Goethestraße;POINT (6.212858085908443 50.786274078062156)
05334000003203513;Haldenstraße;
05334000003203514;Hammstraße;POINT (6.207139880715493 50.781834418756404)
05334000003203516;Heerweg;POINT (6.205599653227732 50.785799601724065)
05334000003203517;Hermann-Löns-Straße;POINT (6.208151828682924 50.783280631953254)
05334000003203518;Hamm-Mühle;POINT (6.210742993938466 50.78134004476054)
05334000003203519;Igelweg;POINT (6.207300177165588 50.78629793098958)
05334000003203520;Im Hirschfeld;POINT (6.2001802166196684 50.779391628292885)
05334000003203521;Im Rehgrund;POINT (6.20000799093208 50.781516856659934)
05334000003203522;Jahnstraße;POINT (6.207261514935486 50.78569907301435)
05334000003203523;Karlstraße;POINT (6.208779267626936 50.786282348396476)
05334000003203524;Luchsweg;POINT (6.204639074073663 50.7857530474292)
05334000003203525;Mozartstraße;POINT (6.20924216056764 50.784002341545325)
05334000003203526;Münsterbachstraße;POINT (6.217253419736016 50.790906044634156)
05334000003203527;Nordstraße;POINT (6.206060616130631 50.783150271188106)
05334000003203528;Pastor-Keller-Straße;POINT (6.212450008669184 50.78490930056619)
05334000003203529;Probsteistraße;POINT (6.218680246475154 50.7929038024445)
05334000003203530;Rhenaniastraße;POINT (6.214679695638247 50.78722175765948)
05334000003203531;Schnorrenfeld;POINT (6.216663187179372 50.78745425295111)
05334000003203532;Gut Schwarzenbruch;POINT (6.185084287422096 50.78525140318576)
05334000003203533;Sebastianusstraße;POINT (6.2045299848018045 50.78319948287922)
05334000003203534;Spinnereistraße;POINT (6.212777114860626 50.782011524219655)
05334000003203535;Steinbachshochwald;POINT (6.19628385551828 50.799267847508425)
05334000003203536;Steinbachstraße;POINT (6.209194349540473 50.789171890520976)
05334000003203537;Weststraße;POINT (6.204274119177419 50.78115511973376)
05334000003203538;Würselener Straße;POINT (6.2063521350172275 50.786969786828806)
05334000003203539;Hasencleverstraße;POINT (6.215287884272132 50.79049913676915)
05334000003203540;Berthold-Wolff-Park;
05334000003203548;Ahornweg;POINT (6.212920998203425 50.72789477468863)
05334000003203549;Alt Breinig;POINT (6.219717959333486 50.72914153116098)
05334000003203551;Am Anger;POINT (6.206554145317745 50.73202787920854)
05334000003203552;Am Pampütz;POINT (6.218527500454364 50.73267296894107)
05334000003203553;Am Wingertsberg;POINT (6.222956987236885 50.7360616484437)
05334000003203554;Am Zännloch;POINT (6.227107058538392 50.727815700376176)
05334000003203555;Am Zirkus;POINT (6.209786310633329 50.73112985814814)
05334000003203556;Auf dem Acker;POINT (6.207302173877887 50.73133829706692)
05334000003203557;Auf dem Eisenstein;POINT (6.211371464519312 50.73116732131036)
05334000003203558;Wilhelm-Pitz-Straße;POINT (6.2193316208824685 50.73175124717202)
05334000003203559;Auf dem Schiefer;POINT (6.212813575371858 50.729926044186676)
05334000003203560;Auf der Geiß;POINT (6.215620397649713 50.73381227721606)
05334000003203561;Auf der Heide;POINT (6.210199615520696 50.73104095340971)
05334000003203562;Barbarastraße;POINT (6.2090521409326564 50.73412501636228)
05334000003203563;Beiersfeld;POINT (6.208868650752648 50.72749828863397)
05334000003203564;Bendenstraße;POINT (6.212577211079363 50.727370118833484)
05334000003203565;Borngasse;POINT (6.221080744006193 50.72808342303545)
05334000003203566;Brauneberg;POINT (6.207696556268916 50.723353623812116)
05334000003203567;Buttergasse;POINT (6.228253273737597 50.73115102136813)
05334000003203568;Corneliastraße;POINT (6.211517725519025 50.734108066913066)
05334000003203569;Entengasse;POINT (6.223975057160263 50.73180040753844)
05334000003203570;Eschenweg;POINT (6.215871571580393 50.72975829514822)
05334000003203571;Essiger Straße;POINT (6.226060098194302 50.73370791111893)
05334000003203572;Frankenstraße;POINT (6.211710814219864 50.72824853167769)
05334000003203573;Gartengasse;
05334000003203574;Hofgasse;POINT (6.219241826682159 50.72821608577298)
05334000003203575;Hubertusstraße;POINT (6.210787043556078 50.73502594398925)
05334000003203576;Im Steg;POINT (6.220542908866155 50.73260852589902)
05334000003203577;In der Fahrt;POINT (6.212651620515442 50.731978954911845)
05334000003203578;Kastanienweg;POINT (6.210058984487653 50.729619393380055)
05334000003203579;Keltenweg;POINT (6.216263523958051 50.72766306726492)
05334000003203580;Kirchgasse;POINT (6.219962762775094 50.7313728565884)
05334000003203581;Kirchheid;POINT (6.213276737079797 50.73439541687741)
05334000003203582;Kranichweg;POINT (6.212852809071227 50.72852428884657)
05334000003203583;Neustraße;POINT (6.2199682039959985 50.7309369260212)
05334000003203584;Raiffeisenstraße;POINT (6.216395655842519 50.73107634548619)
05334000003203585;Rehhag;
05334000003203586;Rochenhaus;POINT (6.2358726010356555 50.72313684267816)
05334000003203587;Rönneberg;POINT (6.213545967280621 50.722760597101)
05334000003203588;Schomet;POINT (6.224331425777218 50.72631490602426)
05334000003203589;Schützheide;POINT (6.219742702718344 50.734105967145645)
05334000003203590;Stefanstraße;POINT (6.216743968219178 50.73273345340738)
05334000003203591;Stockemer Straße;POINT (6.208892254099081 50.7290661312058)
05334000003203592;Weiherstraße;POINT (6.209596995199436 50.73227995364824)
05334000003203593;Weißdornweg;POINT (6.215840062186049 50.729492926606895)
05334000003203594;Winterstraße;POINT (6.225318509717713 50.731285250126625)
05334000003203595;Zehntweg;POINT (6.207178162514023 50.733213622728066)
05334000003203596;Rudolfstraße;POINT (6.213715103821371 50.735067403091755)
05334000003203597;Augustastraße;POINT (6.215706315874213 50.73418426847588)
05334000003203598;Sonnenweg;POINT (6.2155542765225915 50.734646946082904)
05334000003203599;Bertholdstraße;POINT (6.212824700762588 50.73302283023173)
05334000003203600;Clemensstraße;POINT (6.214200034045067 50.73304608718167)
05334000003203601;Rolandstraße;POINT (6.219221399779858 50.73467852690486)
05334000003203602;Trappegasse;
05334000003203603;Rektor-Kranzhoff-Platz;
05334000003203604;Brigidaweg;
05334000003203605;Am Tomborn;POINT (6.2421139021595335 50.73948790123534)
05334000003203606;An der Hoheburg;POINT (6.239551789516524 50.73593361991432)
05334000003203607;Bleiweg;POINT (6.240420325071799 50.73834772925213)
05334000003203608;Breiniger Berg;POINT (6.231105156343108 50.735523356398225)
