strassenschluessel;bezeichnung;geometry
05154000005258503;Albert-Steeger-Str.;POINT (6.2661615979625145 51.4463768913256)
05154000005258505;Altbroekstr.;POINT (6.271562130728368 51.43782801528189)
05154000005258507;Alte Versteigerung;POINT (6.261716699343634 51.43556845715708)
05154000005258508;Alter Venloer Weg;POINT (6.26079051659348 51.43422213343896)
05154000005258511;Am Gieselberg;POINT (6.260132403291863 51.44850190458568)
05154000005258514;Am Jugendheim;POINT (6.272063799456755 51.44403699296585)
05154000005258515;Am Mühlentor;POINT (6.265222029420272 51.445095484421465)
05154000005258517;Amselweg;POINT (6.2599558238580695 51.43620785994389)
05154000005258518;Gemüseplatz;POINT (6.271815703736352 51.4405742579775)
05154000005258520;An der Bleiche;POINT (6.271575278612827 51.43993130178059)
05154000005258521;van-Schayck-Str.;POINT (6.274658420530609 51.44216474840663)
05154000005258522;An der Uhr;POINT (6.261207750990792 51.43496089758049)
05154000005258523;An der Oelmühle;POINT (6.275882998489275 51.443870750407996)
05154000005258524;An de Roos;POINT (6.273807768715551 51.44535691419531)
05154000005258525;Am Hessepött;POINT (6.266982220289047 51.444047806025615)
05154000005258526;Annastr.;POINT (6.2671002052322535 51.43791123361033)
05154000005258527;Am Taubenturm;
05154000005258528;Brauergasse;
05154000005258529;Antoniusstr.;POINT (6.273689360239895 51.44414537247968)
05154000005258530;Carl-Jaspers-Weg;
05154000005258531;Friedensweg;
05154000005258532;Getreidegasse;
05154000005258533;Aufm Wällchen;
05154000005258534;Küfergasse;POINT (6.267330991112822 51.446120894777444)
05154000005258535;Liebfrauengasse;
05154000005258536;Luciagasse;
05154000005258537;Backespad;POINT (6.243915755120855 51.44273921464882)
05154000005258538;Picardie;POINT (6.267476109419217 51.44525667366114)
05154000005258539;Schustergasse;
05154000005258540;Barbaragasse;POINT (6.268513221384262 51.443910365756004)
05154000005258541;Bahnstr.;POINT (6.2694835286346 51.44235675215129)
05154000005258542;Bayonstr.;POINT (6.266847913760021 51.44346925779533)
05154000005258543;Shalomweg;
05154000005258544;Webergasse;
05154000005258545;Beethovenstr.;POINT (6.265785595276343 51.43986558391196)
05154000005258546;Zum Groenewald;
05154000005258547;Zur Alten Post;
05154000005258548;Herzog-Arnold-Gasse;
05154000005258549;Beginenpad;POINT (6.264960946739802 51.44324349558194)
05154000005258553;Berghsweg;POINT (6.255588930087022 51.44271882450144)
05154000005258555;Bertha-von-Suttner-Str.;POINT (6.261552218602477 51.44926453828273)
05154000005258557;Bertenweg;POINT (6.260145387956498 51.44724620929171)
05154000005258559;Blumenweg;POINT (6.262110781345903 51.43438672172423)
05154000005258560;Boekholter Weg;POINT (6.271964055726753 51.43430918142907)
05154000005258561;Bormiger Weg;POINT (6.257832212169955 51.447475090652006)
05154000005258562;Bormig;POINT (6.255735519921676 51.44855603537824)
05154000005258563;Brentanostr.;POINT (6.257821266660756 51.44706435257077)
05154000005258565;Brucknerstr.;POINT (6.265885132879148 51.44165400889128)
05154000005258567;Clara-Wieck-Str.;POINT (6.263247423360185 51.45087948156057)
05154000005258569;Dahlienweg;POINT (6.2611080353181725 51.44204142680649)
05154000005258570;De-Cabanes-Str.;POINT (6.26764819442211 51.44581886032175)
05154000005258571;Dietrich-Bonhoeffer-Str.;POINT (6.268539873362437 51.44257823381406)
05154000005258572;Dinkelweg;POINT (6.259023387043646 51.44952810311155)
05154000005258573;Drosselweg;POINT (6.259783290288902 51.435457717632545)
05154000005258574;Droste-Hülshoff-Str.;POINT (6.260327780001273 51.45022809647242)
05154000005258575;Edith-Stein-Str.;POINT (6.264981059466428 51.45016638519506)
05154000005258576;Eichendorffstr.;POINT (6.263523920562054 51.43655681217142)
