strassenschluessel;bezeichnung;geometry
05554000006002941;Am Esch;POINT (6.876106782526114 51.950168136768724)
05554000006002942;Am Friedhof;POINT (6.870105104012185 51.949368493613484)
05554000006002943;Am Vereinshaus;POINT (6.865312699049347 51.94631539857634)
05554000006002944;Eschke;POINT (6.87929586093667 51.949098369440684)
05554000006002945;Ant kruse Bömken;POINT (6.869255414712016 51.94796296776538)
05554000006002946;Bahnhofstraße;POINT (6.8678091851650835 51.944087368907034)
05554000006002947;Beckedahl;POINT (6.870861040160119 51.949850933785015)
05554000006002948;Borkener Straße;POINT (6.860425258958906 51.930504012529305)
05554000006002949;Breul;POINT (6.869239493843415 51.945665241086274)
05554000006002950;Brink;POINT (6.876958692692441 51.936091314443416)
05554000006002951;Doornte;POINT (6.861173645247449 51.94408427848971)
05554000006002952;Doornteweg;POINT (6.861870634353234 51.94386027774211)
05554000006002953;Droste-Hülshoff-Straße;POINT (6.875589505705549 51.9454650384386)
05554000006002954;Eichendorffstraße;POINT (6.872554415987345 51.94080966100564)
05554000006002955;Elpidiusstraße;POINT (6.861279680386196 51.944861263886935)
05554000006002956;Eschlohn;POINT (6.87912878151897 51.94630925287052)
05554000006002957;Eschlohner Straße;POINT (6.878812501148498 51.94892203829784)
05554000006002958;Eschstraße;POINT (6.869033174490481 51.94620870097528)
05554000006002959;Friedhofstraße;POINT (6.867486646421984 51.9460481741258)
05554000006002960;Fünfhausen;POINT (6.869804511376852 51.94167678680715)
05554000006002961;Fürstenberg;POINT (6.863026001011665 51.94375973767891)
05554000006002962;Goethestraße;POINT (6.875156914635115 51.94621292449343)
05554000006002963;Grüwwel;POINT (6.8670285423588675 51.94436897848539)
05554000006002964;Haus Lohn;POINT (6.873163386401592 51.94448998900438)
05554000006002965;Haus Volmering;POINT (6.876349549612791 51.952734619483635)
05554000006002966;Holzstraße;POINT (6.864572693760518 51.944774555181034)
05554000006002967;Horst;POINT (6.848741652066278 51.9437032346456)
05554000006002968;Katerhook;POINT (6.865049761625105 51.94422257978123)
05554000006002969;Kettelerplatz;POINT (6.862677317318776 51.94593552676064)
05554000006002970;Kirchplatz;POINT (6.866521016599819 51.94433044525524)
05554000006002971;Kirchstraße;POINT (6.866935543429196 51.94501265123263)
05554000006002972;Kolpingstraße;POINT (6.861514528635237 51.94516142217325)
05554000006002973;Lohnergartenstraße;POINT (6.868939914752187 51.94253839146255)
05554000006002974;Lohner Straße;POINT (6.869713857175406 51.94138219599947)
05554000006002975;Mühlenkamp;POINT (6.864500661851145 51.942292314107135)
05554000006002976;Mühlenplatz;POINT (6.864729790261259 51.94317864894085)
05554000006002977;Nordwall;POINT (6.866850916130176 51.94531921059049)
05554000006002978;Ramsdorfer Straße;POINT (6.873566187823948 51.936280944065466)
05554000006002979;Ringstraße;
05554000006002980;Rosenstraße;POINT (6.873001493489825 51.95117300400169)
05554000006002981;Scharperloh;POINT (6.865955632258068 51.95058280138203)
05554000006002982;Schillerstraße;POINT (6.8766074881262576 51.94767269266544)
05554000006002983;Südwall;POINT (6.863614484409013 51.9427719351458)
05554000006002985;Tünte;POINT (6.848438852944786 51.93877881038701)
05554000006002986;Uferweg;POINT (6.860968511300288 51.94378057688901)
05554000006002987;Venn;POINT (6.856315555122395 51.96942474282087)
05554000006002988;Vitusring;POINT (6.865909081854258 51.94842653762562)
05554000006002989;Walbree;POINT (6.872579869031556 51.94899454409587)
05554000006002990;Weseker Weg;POINT (6.867788524284473 51.93880966028081)
05554000006002991;Wibbeltstraße;POINT (6.8744951638094065 51.946529390817375)
05554000006002992;Wienkamp links;POINT (6.8708113326254665 51.96807592151536)
05554000006002993;Wienkamp rechts;POINT (6.874658741834135 51.96358995146469)
05554000006002994;Windmühlenstraße;POINT (6.874704322714298 51.94972921769581)
05554000006002995;Windthorststraße;POINT (6.866833857036394 51.940920714069755)
05554000006002996;Amselstraße;POINT (6.862936475499979 51.940352338572225)
05554000006002997;Drosselstraße;POINT (6.864598161501277 51.93975162139719)
05554000006002998;Finkenstraße;POINT (6.863762428013821 51.94035693925796)
05554000006002999;Reuken;POINT (6.870643481675849 51.94344570282366)
05554000006003000;Marienstraße;POINT (6.8768459831057696 51.94866203572044)
05554000006003001;Pröbstingstraße;POINT (6.87621956020896 51.94930420161145)
05554000006003002;Ladestraße;POINT (6.870199735158146 51.93999783055835)
05554000006003003;Lerchenweg;POINT (6.868140707535923 51.93925683720942)
05554000006003004;Robert-Bosch-Straße;POINT (6.863724468607607 51.93488417591476)
05554000006003005;Rudolf-Diesel-Straße;POINT (6.869639132918312 51.93807113057475)
