strassenschluessel;bezeichnung;geometry
05382000006836001;Adolf-Friedrich-Straße;POINT (7.176791673133665 50.81094650958097)
05382000006836002;Aggerdamm;POINT (7.175130285201874 50.80751130872657)
05382000006836004;Aggerstraße;POINT (7.17259778846741 50.81379036012162)
05382000006836006;Albrecht-Dürer-Straße;POINT (7.155795923834962 50.81134158671796)
05382000006836007;Alfred-Delp-Straße;POINT (7.174026262292329 50.811486823966334)
05382000006836008;Alfred-Nobel-Straße;POINT (7.151530136152982 50.817548758414276)
05382000006836009;Allensteiner Straße;POINT (7.186104041313583 50.81940095757677)
05382000006836010;Alte Straße;POINT (7.173376997321864 50.81275460081254)
05382000006836011;Altenrather Straße;POINT (7.164365190215198 50.81919225627401)
05382000006836012;Am Bahndamm;
05382000006836013;Ambiorixstraße;
05382000006836014;Am Bergerhof;POINT (7.173085838201492 50.81392800049872)
05382000006836015;Am Bergeracker;POINT (7.145929887171304 50.81135194190975)
05382000006836016;Am Burghof;POINT (7.17740514407262 50.814719773491184)
05382000006836017;Am Fahr;POINT (7.180762831729296 50.81185029174892)
05382000006836018;Am Eichenkamp;POINT (7.171923256462471 50.81714438027991)
05382000006836019;Am Hasenberg;
05382000006836020;Am Hirschpark;POINT (7.169006470934073 50.817580665831926)
05382000006836021;Am Hofweiher;POINT (7.166000246056096 50.81019726452713)
05382000006836022;Am Mühlenweg;POINT (7.153471012618384 50.80891913470403)
05382000006836023;Am Pfuhl;POINT (7.169044211636142 50.81510657682646)
05382000006836024;Am Prinzenwäldchen;POINT (7.161455870065624 50.81895697389845)
05382000006836025;Am Sanderhof;POINT (7.165654215369209 50.81345313350575)
05382000006836026;Am Seerosenteich;POINT (7.161667651492413 50.819771112810415)
05382000006836027;Am Strandbad;POINT (7.178716832465429 50.811027841991745)
05382000006836028;Am Ufer;POINT (7.1466587544827895 50.812155550274284)
05382000006836029;Am Waldpark;POINT (7.16068922077227 50.81973556044267)
05382000006836030;Am Wasserwerk;POINT (7.1822529106754525 50.81497123184395)
05382000006836031;An der Feuerwache;POINT (7.158478754362707 50.81526203263732)
05382000006836032;Annonisweg;POINT (7.1573087689466774 50.8159099265492)
05382000006836033;Auf der Sanderwiese;POINT (7.173694086796569 50.81724463653822)
05382000006836034;Bachstraße;POINT (7.169458827901252 50.8103152271794)
05382000006836035;Bahnstraße;POINT (7.147675797735023 50.81276988881821)
05382000006836036;Berliner Straße;POINT (7.178278169408063 50.81738787498731)
05382000006836037;Bertha-von-Suttner-Straße;POINT (7.177309093555988 50.81252580578024)
05382000006836038;Bismarckplatz;POINT (7.150217718466339 50.80895930175873)
05382000006836039;Bismarckstraße;POINT (7.150594315234908 50.80948462613855)
05382000006836040;Blücherstraße;POINT (7.153206585916466 50.812091794706184)
05382000006836041;Bodelschwinghstraße;POINT (7.167818742888986 50.80927661184053)
05382000006836042;Breslauer Straße;POINT (7.181061825226136 50.82001260542132)
05382000006836043;Brunnenstraße;POINT (7.180601938866451 50.81488517930692)
05382000006836044;Burgallee;POINT (7.165042898197452 50.81742448566189)
05382000006836045;Canisiusstraße;POINT (7.158882618271221 50.813396392349205)
05382000006836046;Carl-Diem-Straße;POINT (7.159013805586274 50.81889483854954)
05382000006836047;Cecilienstraße;POINT (7.156347324815465 50.81683946089002)
05382000006836048;Danziger Straße;POINT (7.180308825649054 50.81942371767834)
05382000006836049;Deichweg;
05382000006836050;Drachenfelsstraße;POINT (7.171206883689842 50.80972530246896)
05382000006836051;Egerländer Straße;POINT (7.184894730131311 50.81994401726103)
05382000006836052;Eisenbahnweg;POINT (7.1591232693531 50.80816921558662)
05382000006836053;Eisenweg;
05382000006836054;Elsenplatz;POINT (7.1714683940718915 50.814957347316145)
05382000006836055;Emil-Müller-Straße;POINT (7.1509875361325115 50.81533192895361)
05382000006836056;Erich-Klausener-Straße;POINT (7.156829096341777 50.810614523792204)
05382000006836058;Flandrische Straße;POINT (7.16850939643578 50.8103942078443)
05382000006836059;Fliegenbergstraße;POINT (7.183175778284376 50.81852854050636)
05382000006836060;Frankfurter Straße;POINT (7.182252395856171 50.812400312455)
05382000006836061;Friedensstraße;POINT (7.157370906212621 50.817484242286184)
05382000006836062;Friesenstraße;POINT (7.1671041297908635 50.80991018864003)
05382000006836063;Furtwänglerstraße;POINT (7.154300437361982 50.81047546143331)
05382000006836064;Gerhardstraße;POINT (7.169614014224895 50.81364101030042)
05382000006836065;Geschwister-Scholl-Straße;POINT (7.176731885196304 50.811962025661785)
