strassenschluessel;bezeichnung;geometry
05154000005655501;An der Delle;
05154000005655502;Adolf-Kolping-Straße;POINT (6.265371905423255 51.663782439631994)
05154000005655503;Agathawall;POINT (6.272447573100038 51.6668283623696)
05154000005655504;Alter Grüner Weg;POINT (6.268568559004946 51.66373019801571)
05154000005655505;Alex-Devries-Straße;POINT (6.264229611863269 51.6669047671079)
05154000005655506;Am Kirchenhecken;POINT (6.264809485587023 51.66670391372898)
05154000005655507;Industriestraße;POINT (6.266357845587175 51.657207475930406)
05154000005655509;Am Lohstück;POINT (6.276147815233604 51.665182964973965)
05154000005655510;Am Mollenacker;POINT (6.266596815377764 51.667094421883625)
05154000005655511;Am Peddenschlag;
05154000005655512;Am Roten Berg;POINT (6.284703641749819 51.66509772443743)
05154000005655513;An der Bockmühle;POINT (6.2717795876455025 51.673040640333326)
05154000005655515;Augustinerstraße;POINT (6.272061281586722 51.669165251022235)
05154000005655518;Bahnhofstraße;POINT (6.2650881374835246 51.662165652520684)
05154000005655521;Bergstraße;POINT (6.283381739691369 51.66583117714996)
05154000005655523;Boxteler Bahn;
05154000005655524;Brunnenstraße;POINT (6.271604830450853 51.66515045892778)
05154000005655527;Buchenweg;POINT (6.271281045212018 51.67090265351415)
05154000005655530;Bünnert;POINT (6.252715774772526 51.678787179697935)
05154000005655533;Burgwall;POINT (6.270790690031756 51.66723039158296)
05154000005655536;Crispinusstraße;POINT (6.273440180299972 51.671067490353686)
05154000005655537;Crispinusweg;POINT (6.275086270583612 51.67053424048012)
05154000005655538;Dr.-Willem-Pies-Straße;POINT (6.286411818811878 51.6638289197621)
05154000005655539;Fichtenweg;POINT (6.280354051892579 51.66243700427928)
05154000005655542;Friedensstraße;POINT (6.281518107146672 51.66492671842797)
05154000005655545;Gartenring;POINT (6.276507350564211 51.663232617608024)
05154000005655548;Gartenstraße;POINT (6.278417708907383 51.66201290461578)
05154000005655549;Gerberweg;POINT (6.275902281999085 51.67041996522296)
05154000005655551;Gocher Straße;POINT (6.264011029200223 51.6661053278326)
05154000005655554;Graf-Johann-Wall;POINT (6.274948257411274 51.66804488656459)
05154000005655557;Grüner Weg;POINT (6.270493424497271 51.664375927204595)
05154000005655559;Heeregrass;POINT (6.268691057922166 51.66901755893355)
05154000005655560;Gustav-Adolf-Straße;POINT (6.266056061951648 51.66436510635238)
05154000005655561;Heinrich-Raescop-Straße;POINT (6.2647116729946415 51.66481396394875)
05154000005655562;Heinrich-Tillmann-Straße;POINT (6.262834968684882 51.66519210450659)
05154000005655563;Hosenmarkt;POINT (6.2708767210575305 51.66783598515703)
05154000005655564;In der Loh;POINT (6.27955916997953 51.66571233109061)
05154000005655565;Katzenberg;POINT (6.2854966225010385 51.66937228080295)
05154000005655566;Keppelner Straße;POINT (6.270618412988407 51.67039663440757)
05154000005655567;Horlemannplatz;POINT (6.25850422356472 51.66005794595513)
05154000005655569;Kervenheimer Straße;POINT (6.2758679156182255 51.66076340146277)
05154000005655572;Kettelerstraße;POINT (6.2768583041724195 51.66240159294412)
05154000005655574;Kiefernweg;POINT (6.280804616764095 51.66168362665677)
05154000005655575;Kirselstraße;POINT (6.279860962382091 51.67196998191463)
