strassenschluessel;bezeichnung;geometry
05978000003606700;Ackerstraße;POINT (7.677124390590077 51.52790285086369)
05978000003606701;Afferder Weg;POINT (7.679585398037296 51.544264244736006)
05978000003606702;Ahornstraße;POINT (7.679921003112998 51.52532028005207)
05978000003606703;Akazienweg;POINT (7.67931570719618 51.525453529651585)
05978000003606704;Am Hang;POINT (7.68692049235092 51.53830281535002)
05978000003606705;Am Hertinger Tor;POINT (7.685233033866368 51.53018439115189)
05978000003606706;Am Ludwigsbau;POINT (7.680076663783948 51.551067654781924)
05978000003606707;Am Predigtstuhl;POINT (7.682667892803048 51.525995021386805)
05978000003606708;Am Ringofen;POINT (7.668280600605819 51.536132912074976)
05978000003606709;Am Roten Gradierwerk;POINT (7.677545471936058 51.556937351303475)
05978000003606710;Am Südfriedhof;POINT (7.701085869249531 51.5270851987074)
05978000003606711;Am Tiggesgraben;POINT (7.694725793630081 51.533463065641705)
05978000003606712;Am Wilhelmsbau;POINT (7.681736988458676 51.552665798848345)
05978000003606713;An der Röhrenstrecke;POINT (7.678766830612026 51.55597906498501)
05978000003606714;An der Steinkuhle;POINT (7.690112058928248 51.52746959641055)
05978000003606715;An der Vaerstbrücke;POINT (7.716660965637465 51.569264413036635)
05978000003606716;Aspersweg;POINT (7.693247837819793 51.53309997127472)
05978000003606717;Asternweg;POINT (7.683134936549786 51.56047469370575)
05978000003606718;Auf der Bredde;POINT (7.686290654579757 51.53881085533789)
05978000003606720;Augustin-Wibbelt-Straße;POINT (7.70344294625451 51.52913042891157)
05978000003606721;Augustastraße;POINT (7.693077840680577 51.55759344790256)
05978000003606722;Alfred-Nobel-Straße;POINT (7.715026935475669 51.53139572973583)
05978000003606723;August-Schmidt-Straße;POINT (7.680400671205129 51.543979543538754)
05978000003606724;Am Alten Schacht;POINT (7.6900491317404915 51.562324568998534)
05978000003606725;Am Kastanienhof;POINT (7.663013734345404 51.5262014507797)
05978000003606726;Barbaraweg;POINT (7.690249125449141 51.55697316195417)
05978000003606727;Bachstraße;POINT (7.68492907403792 51.53157998360509)
05978000003606728;Bahnhofstraße;POINT (7.690692205184701 51.538988173245635)
05978000003606729;Baumschulenweg;POINT (7.694778314188092 51.5423714265019)
05978000003606730;Beethovenring;POINT (7.681238651804303 51.53802795453281)
05978000003606731;Bergenkamp;POINT (7.696873510245443 51.54503731389663)
05978000003606733;Bergische Straße;POINT (7.695939622043165 51.53756788024343)
05978000003606734;Bergpfad;POINT (7.686009011271118 51.52882946123198)
05978000003606735;Berliner Allee;POINT (7.693045143677138 51.550624284543446)
05978000003606736;Birkenweg;POINT (7.6907450960077774 51.5437283328778)
05978000003606737;Blumenstraße;POINT (7.683480175911928 51.55517789627017)
05978000003606738;Bockumweg;POINT (7.682507259839796 51.54080069247165)
05978000003606739;Bornekampstraße;POINT (7.688122258986306 51.528464299063955)
05978000003606740;Bornstraße;POINT (7.683276337135687 51.54234700182275)
05978000003606741;Breslauer Straße;POINT (7.681043091028371 51.53122493773891)
05978000003606742;Brockhausstraße;POINT (7.682203861013023 51.529752909574675)
05978000003606743;Brunnenhäuserstraße;POINT (7.679168468924744 51.549276917616474)
05978000003606745;Buchenstraße;POINT (7.6726046229675 51.52423572076835)
05978000003606746;Büddenberg;POINT (7.671243147190027 51.53459837010887)
05978000003606747;Bundesstraße 1;POINT (7.70623468550083 51.53339527212272)
05978000003606748;Burgring;POINT (7.694984740137908 51.536778232095315)
05978000003606749;Burgstraße;POINT (7.692757037080115 51.536430699773504)
05978000003606750;Bussardstraße;POINT (7.673985367960612 51.554929861213346)
05978000003606751;Am Salinengraben;POINT (7.678817244682058 51.55715046857948)
05978000003606752;Brockhausplatz;POINT (7.675878570836548 51.529503735378725)
