strassenschluessel;bezeichnung;geometry
05158000003216001;Zur Abtsküche;POINT (7.01660291220931 51.33711925237889)
05158000003216002;Ahornstraße;POINT (7.045854694504819 51.33478679385597)
05158000003216003;Akazienstraße;POINT (7.045095168885387 51.33325292867296)
05158000003216004;Ernst-Moritz-Arndt-Straße;POINT (7.0222777019318805 51.33401716045529)
05158000003216005;Asbachtal;POINT (7.073296639186757 51.36786829455938)
05158000003216006;Asternweg;POINT (7.009320442552011 51.33902065819785)
05158000003216007;Abbestraße;
05158000003216008;Am Anger;POINT (7.033621164734724 51.35492991997696)
05158000003216009;Allensteiner Weg;
05158000003216010;Alte Bahn;POINT (7.051490994653966 51.331390028368986)
05158000003216011;Am Höfgen;POINT (7.049087038879687 51.35033000411514)
05158000003216015;Astrid-Lindgren-Weg;POINT (7.032461902341628 51.34580231644331)
05158000003216020;Johann-Sebastian-Bach-Straße;POINT (7.026266842163315 51.33604194389457)
05158000003216021;Bahnhofstraße;POINT (7.056007162187163 51.342524119064414)
05158000003216022;Bartelsheide;POINT (7.036902063770036 51.328375151010526)
05158000003216023;Bartelskamp;POINT (7.036918986611861 51.32766306066245)
05158000003216024;Regerstraße;POINT (7.028316398889502 51.33816678441562)
05158000003216025;Hinterm Berg;POINT (7.0362382118554345 51.356726515955685)
05158000003216026;Kollwitzstraße;POINT (7.037357021838184 51.33872596544931)
05158000003216027;Bergische Straße;POINT (7.031165659697686 51.34157968634582)
05158000003216028;Berliner Straße;POINT (7.0533726440600715 51.33153938643214)
05158000003216029;In den Bieerhöfen;POINT (7.05064087957792 51.341555198570546)
05158000003216030;Birkenstraße;POINT (7.036758012499878 51.333618507525095)
05158000003216031;Birkental;POINT (7.0741816233381085 51.33726039693559)
05158000003216032;Birther Straße;POINT (7.00647666325743 51.34129571810018)
05158000003216033;Bismarckstraße;POINT (7.042128577974112 51.34783236006673)
05158000003216034;Bleeker Weg;POINT (7.032160174116404 51.34502897275436)
05158000003216035;Bleiberg;POINT (7.07236813556629 51.34538016553957)
05158000003216036;Blumenstraße;POINT (7.044199304592312 51.337395779488176)
05158000003216037;Hans-Böckler-Straße;POINT (7.035000970354154 51.33518321349881)
05158000003216038;Von-Böttinger-Straße;POINT (7.032279032352757 51.342972163817)
05158000003216039;Bastersteichstraße;POINT (7.05484834015596 51.328766697939116)
05158000003216040;Borkhorster Weg;POINT (7.022107905778805 51.34878551550355)
05158000003216041;Borsigstraße;POINT (7.06211476922468 51.34789088504626)
05158000003216042;Don-Bosco-Straße;POINT (7.0314364721562725 51.3332383088501)
05158000003216043;Bovenstraße;POINT (7.050541308516293 51.338671248178564)
05158000003216044;Brahmsstraße;POINT (7.026201496838465 51.33806130564404)
05158000003216045;Brandenbusch;POINT (7.036467052149779 51.35379007369454)
05158000003216046;Am Brangenberg;POINT (7.066334119852444 51.33874932963463)
05158000003216047;Brangenberger Straße;POINT (7.064662532486918 51.33935462268702)
