strassenschluessel;bezeichnung;geometry
05754000004410000;Ackerweg;POINT (8.500299016421339 51.849254312063216)
05754000004410100;Adlerstraße;POINT (8.495522533549499 51.87957192053105)
05754000004410200;Agnes-Miegel-Straße;POINT (8.507470635185879 51.87243422165388)
05754000004410250;Ahlersweg;POINT (8.498589651220762 51.892269764525636)
05754000004410300;Ahornweg;POINT (8.497460400990073 51.84777818931559)
05754000004410400;Akazienweg;POINT (8.564351035246334 51.853475201441924)
05754000004410500;Allensteiner Straße;POINT (8.458129710751676 51.89118255387316)
05754000004410600;Alter Postweg;POINT (8.556973109211764 51.85673258248627)
05754000004410650;Alter Schulhof;POINT (8.564533958602409 51.857780723327274)
05754000004410670;Aluminiumstraße;POINT (8.465678898605315 51.87695539078407)
05754000004410700;Am Bühlbusch;POINT (8.508139848947694 51.87636584679482)
05754000004410800;Am Buschbach;POINT (8.564836667628885 51.857999296465586)
05754000004410900;Am Damm;POINT (8.4492820351404 51.89073179710161)
05754000004411000;Am Hang;POINT (8.545536537519288 51.87978395406011)
05754000004411100;Am Landerbach;POINT (8.551438540876475 51.89987491624479)
05754000004411150;Ammerstraße;POINT (8.495429434644516 51.87788660131376)
05754000004411200;Am Ölbach;POINT (8.571711067196096 51.89060558742113)
05754000004411300;Amselweg;POINT (8.495705514965099 51.88136982588749)
05754000004411400;Am Wall;POINT (8.504883746475437 51.905182654885444)
05754000004411450;Annaburger Straße;POINT (8.51729290503393 51.88090966516019)
05754000004411470;Anne-Frank-Weg;POINT (8.484405336869186 51.88076152965538)
05754000004411500;Annenweg;POINT (8.568021695894302 51.85906887098535)
05754000004411600;Arminstraße;POINT (8.503980706552115 51.878257360201204)
05754000004411700;Arndtstraße;POINT (8.518062128629648 51.87693382565117)
05754000004411800;Asternweg;POINT (8.53541197789799 51.87486418159477)
05754000004411900;Bachweg;POINT (8.486237326944252 51.88452405298984)
05754000004412000;Bahnhofstraße;POINT (8.508583640148455 51.88154647452836)
05754000004412100;Baumweg;POINT (8.527212652951285 51.876794692720765)
05754000004412150;Beethovenstraße;POINT (8.510026641847622 51.87587300612391)
05754000004412200;Berensweg;POINT (8.453589503362762 51.88785578414841)
05754000004412300;Bergstraße;POINT (8.56246227742881 51.88552630077188)
05754000004412400;Bernsteinweg;POINT (8.466540690036995 51.88826492900923)
05754000004412410;Hucketeich;
05754000004412500;Bielefelder Straße;POINT (8.507690297345516 51.89267224982775)
05754000004412600;Binnerweg;POINT (8.51349015078069 51.89836810560346)
05754000004412700;Binsenweg;POINT (8.517658386509366 51.89433603348012)
05754000004412900;Bleichestraße;POINT (8.51268773604399 51.91655143045268)
05754000004412900;Bleichestraße;POINT (8.51268773604399 51.91655143045268)
05754000004413000;Bleiweg;POINT (8.467190141573331 51.87161908902673)
05754000004413100;Blumenweg;POINT (8.53266071486517 51.87694275618754)
05754000004413200;Bogenstraße;POINT (8.484803597210284 51.86351873018894)
05754000004413250;Bonhoefferweg;POINT (8.485898756770677 51.879758789381334)
05754000004413300;Bornholter Straße;POINT (8.537191654114906 51.865841665146434)
05754000004413400;Brahmsweg;POINT (8.507800448097184 51.87924747282184)
05754000004413490;Rietberger Landstraße;
05754000004413500;Brandheide;POINT (8.567883912522376 51.88135432263798)
05754000004413600;Brandkuhle;POINT (8.587225039544936 51.8706939319762)
05754000004413700;Breedeweg;POINT (8.55926192971401 51.86683377605018)
05754000004413750;Brennheide;POINT (8.475573321949009 51.8718277021128)
05754000004413800;Breslauer Straße;POINT (8.461494031535368 51.886735607673124)
