strassenschluessel;bezeichnung;geometry
05754000004810000;Aabachstraße;POINT (8.159982144710979 52.0493631986001)
05754000004810025;Aabachhof;POINT (8.144834480953703 52.03688140178384)
05754000004810050;Aabach Aue;POINT (8.142393657499507 52.03593334773174)
05754000004810100;Abdinghofstraße;POINT (8.152964179693008 52.04544864976866)
05754000004810200;Ackerstraße;POINT (8.161871851783536 52.038677908429825)
05754000004810250;Ahornweg;POINT (8.134955500397584 52.038800135792975)
05754000004810300;Albert-Schweitzer-Straße;POINT (8.14759404135404 52.036998286144346)
05754000004810400;Allensteiner Straße;POINT (8.14336282304381 52.03302836247065)
05754000004810450;Alte Gestermannstraße;POINT (8.145772095143796 52.044498931825764)
05754000004810500;Alte Landwehr;POINT (8.142206439549263 52.032391386884534)
05754000004810550;Alte Rösterei;POINT (8.204229167800822 52.07436463463421)
05754000004810600;Alter Postweg;POINT (8.14109652311681 52.032063728533885)
05754000004810700;Alter Salzweg;POINT (8.162907429175538 52.06062543421553)
05754000004810800;Alter Tecklenburger Weg;POINT (8.131915003695571 52.04727985338725)
05754000004810900;Altstadtstraße;POINT (8.153989781892887 52.03907545219686)
05754000004811000;Am alten Schießstand;POINT (8.129845679952286 52.050165329190975)
05754000004811050;Am Bahndamm;POINT (8.151437578677044 52.03318046270294)
05754000004811100;Am Fichtenkamp;POINT (8.10685602974963 52.03642399133358)
05754000004811300;Am Heidigen;POINT (8.106305186515534 52.017901019784254)
05754000004811320;Am Honigbach;POINT (8.168078229344115 52.03980020584213)
05754000004811350;Am Louisensee;POINT (8.08584284543467 52.01042368288789)
05754000004811400;Ammerstraße;POINT (8.123185761701585 52.01660113648616)
05754000004811500;Am Sandbrink;POINT (8.097575087000898 52.045730971123966)
05754000004811600;Am Sandweg;POINT (8.111832399986726 52.025464297847094)
05754000004811700;Am Schulten Esch;POINT (8.095453017690675 52.0134509955986)
05754000004811800;Amselstraße;POINT (8.158420871536185 52.03502692480393)
05754000004811900;Am Sportplatz;POINT (8.149739558391433 52.06544100375307)
05754000004811950;Am Stadtpark;POINT (8.152712783067386 52.04602196883547)
05754000004812000;Am Walde;POINT (8.196800783600633 52.06044990215087)
05754000004812100;Am Wiedenfeld;POINT (8.132912599966275 52.0195353011115)
05754000004812200;Am Ziegenbach;
05754000004812300;Am Zoll;POINT (8.160174729866512 52.0399023120751)
05754000004812400;An den Lehmkuhlen;POINT (8.11799673457041 52.06069633345462)
05754000004812500;An der Alten Hessel;POINT (8.221384730312039 52.01824073976979)
05754000004812530;An der Obstwiese;POINT (8.149115561483733 52.03214656621224)
05754000004812550;An der Petri-Kirche;POINT (8.15447850731931 52.04075132018577)
05754000004812600;Anton-Henrich-Delius-Straße;POINT (8.151586759075068 52.04034590284288)
05754000004812650;Antoniusweg;POINT (8.195448699103608 52.03656130026042)
05754000004812700;Apfelstraße;POINT (8.193907826606365 52.038243157820986)
05754000004812800;Auf dem Gaddern;POINT (8.172997293030402 52.04446879371318)
05754000004812900;Auf dem Kampe;POINT (8.16855048251077 52.04413850147935)
05754000004812930;Auf dem Sande;POINT (8.091838805247779 52.042861850597546)
05754000004812950;Baarwinkel;POINT (8.150337228125844 52.03194373073256)
05754000004813000;Bachstraße;POINT (8.148696409634981 52.04049044829423)
05754000004813100;Beckstrothstraße;POINT (8.095670521903996 52.00717117030752)
05754000004813200;Begonienstraße;POINT (8.194637321006047 52.03579937046857)
05754000004813300;Behringstraße;POINT (8.144044341212139 52.03385897277024)
05754000004813350;Bekassinenweg;POINT (8.194746655703185 52.03381165957331)
05754000004813400;Berliner Straße;POINT (8.168925578826839 52.0413835343974)
05754000004813450;Bernhard-Vornhecke-Straße;POINT (8.145861111550998 52.03254642990821)
05754000004813500;Biberstraße;POINT (8.20060390586611 52.023603853850155)
05754000004813600;Bielefelder Straße;POINT (8.157128922922967 52.04287944805978)
05754000004813700;Birkenweg;POINT (8.129334775676957 52.03714129214259)
