strassenschluessel;bezeichnung;geometry
05170000004436301;Akazienweg;POINT (6.692937277828102 51.60009015322901)
05170000004436302;Alexanderstraße;POINT (6.696031611425409 51.600866276460195)
05170000004436303;Allee;POINT (6.674893000121246 51.59426464963537)
05170000004436304;Am Kindergarten;POINT (6.702433011912448 51.60076080010729)
05170000004436305;Am Klosterhügel;POINT (6.667281874615513 51.5971126558852)
05170000004436306;Am Leitgraben;POINT (6.6904034619034585 51.58908820473947)
05170000004436307;Am Mommbach;POINT (6.677287895995412 51.595555107941294)
05170000004436308;Am Sportplatz;POINT (6.696340539865333 51.59527269734504)
05170000004436309;Am Sternbusch;POINT (6.692797684226313 51.59832981538144)
05170000004436310;Auf dem Hövel;POINT (6.669550840693875 51.599625813606224)
05170000004436311;Auf dem Kiwitt;POINT (6.686832367415606 51.615202280742416)
05170000004436312;Bachstraße;POINT (6.691181244639854 51.60282969214159)
05170000004436313;Bahnhofstraße;POINT (6.697711335863915 51.60091727902768)
05170000004436314;Barbarastraße;POINT (6.7023491924869925 51.601224189156696)
05170000004436315;Beginenstraße;POINT (6.669847899703413 51.59892843986365)
05170000004436316;Breiter Deich;POINT (6.667776857956989 51.59233456502315)
05170000004436317;Brunnenweg;POINT (6.70064724450551 51.59971074447493)
05170000004436318;Buschacker;POINT (6.673719025359491 51.60049795737166)
05170000004436319;Buschweg;POINT (6.695865848081042 51.60536869062242)
05170000004436320;Bussardstraße;POINT (6.705880131663273 51.59313002609769)
05170000004436321;Dinslakener Straße;POINT (6.687545481615161 51.59312697668923)
05170000004436322;Falkenstraße;POINT (6.705543512134659 51.5932058664989)
05170000004436323;Fasanenstraße;POINT (6.702756716026396 51.59651722035631)
05170000004436324;Feldmannweg;POINT (6.678427582369139 51.59685484246583)
05170000004436325;Feldweg;POINT (6.678528113238836 51.592791661421224)
05170000004436326;Frankfurter Straße;POINT (6.668540743431393 51.59335577162202)
05170000004436327;Friedhofstraße;POINT (6.689500824845109 51.599441614919364)
05170000004436328;Friesenring;POINT (6.698244305915892 51.596323760217096)
05170000004436329;Fürstenring;POINT (6.686038399353932 51.59290147067599)
05170000004436330;Gärtnerstraße;POINT (6.6995391369691655 51.593404231398914)
05170000004436331;Grafenweg;POINT (6.685147805622115 51.59355653490567)
05170000004436332;Grenzstraße;POINT (6.684375982994221 51.61632254896469)
05170000004436333;Grünstraße;POINT (6.666319540857506 51.597974221363266)
05170000004436334;Grutkamp;POINT (6.680819352229306 51.59621806279814)
05170000004436335;Habichtweg;POINT (6.70389948817755 51.5928024277579)
05170000004436336;Hammweg;POINT (6.693443501259424 51.61831889808234)
05170000004436337;Heideweg;POINT (6.677390378708161 51.61007267908949)
05170000004436338;Herzogring;POINT (6.688829501248724 51.594749199415226)
05170000004436339;Hindenburgstraße;POINT (6.685087579684587 51.61733974688703)
05170000004436340;Hinnemannsfeld;POINT (6.695908573158374 51.5968431035008)
05170000004436341;Hövelmannskath;POINT (6.672598712928858 51.6021339088123)
05170000004436342;Hühnerfeld;POINT (6.699936748320024 51.59885269670958)
05170000004436343;Hülsdonkweg;POINT (6.689918021949936 51.589428125150924)
05170000004436344;Im Hörsken;POINT (6.671090689385959 51.60974105227991)
05170000004436345;Im Hundsbusch;POINT (6.670897564419496 51.604819499367935)
05170000004436346;Im Osterfeld;POINT (6.680008569841017 51.59759543981257)
05170000004436347;Im Rönskensfeld;POINT (6.685870270776599 51.600715562999724)
05170000004436348;Im Waldwinkel;POINT (6.693457257161878 51.60099430356833)
05170000004436349;In der Sandheide;POINT (6.65598651711519 51.60839577595426)
05170000004436350;Jaegerstraße;POINT (6.6909490754796925 51.60157673665338)
05170000004436351;Jahnstraße;POINT (6.698256807213428 51.59501874572101)
05170000004436352;Kalbecksweg;POINT (6.683769858066173 51.58704179971862)
05170000004436353;Kempkensfeld;POINT (6.69561838699155 51.60024615435557)
05170000004436354;Kempkenskath;POINT (6.678430195134081 51.59846805088644)
05170000004436355;Kleine Heide;POINT (6.691400045657524 51.59901188127945)
05170000004436356;Kleiner Kiwitt;POINT (6.68075434501794 51.615107429944466)
05170000004436357;Klosterbusch;POINT (6.672238890867865 51.59770645552751)
05170000004436358;Klosterkamp;POINT (6.669093829192602 51.59792276302505)
05170000004436359;Krabbenstraße;POINT (6.698932503281664 51.61333487562356)
05170000004436360;Kronprinzenstraße;POINT (6.693643245875534 51.59243646038582)
05170000004436361;Langenhorster Weg;POINT (6.704694090279839 51.61426185096339)
05170000004436362;Lerchenstraße;POINT (6.70590458341257 51.59522113183091)
05170000004436363;Mühlenstraße;POINT (6.663198739398683 51.601042163392876)
05170000004436364;Ostlandstraße;POINT (6.704525836648127 51.600492098571735)
05170000004436365;Prinzenstraße;POINT (6.697362823589845 51.59450454372307)
05170000004436366;Ringstraße;POINT (6.698146479908804 51.60236828477493)
05170000004436367;Rittersteg;POINT (6.685280308943732 51.592389081765916)
05170000004436368;Rönskenstraße;POINT (6.692001409674605 51.60383295182316)
05170000004436369;Sandstege;POINT (6.660204072294498 51.609946592476206)
05170000004436370;Schafstege;POINT (6.657733042823771 51.61027796969849)
05170000004436371;Scholtenbusch;POINT (6.66952678378217 51.59579081177349)
05170000004436372;Schwanenstraße;POINT (6.70502723460505 51.59447948885996)
05170000004436373;Sperberweg;POINT (6.704296954682075 51.59285477603818)
05170000004436374;Sportlerstraße;POINT (6.695678857082266 51.596333604042194)
05170000004436375;Stegerweg;POINT (6.695007800873625 51.611819303569696)
05170000004436376;Steinstraße;POINT (6.685306139559839 51.59562635310182)
05170000004436377;Sternbuschweg;POINT (6.695985635996406 51.594566720200355)
05170000004436378;Sternweg;POINT (6.696872692684564 51.5948166205409)
05170000004436379;Taubenstraße;POINT (6.704360312602182 51.5992274444509)
05170000004436380;Teichacker;POINT (6.679516470855597 51.59929279017209)
05170000004436381;Tillmannsweg;POINT (6.681636746590869 51.59598236994261)
05170000004436382;Tönningstraße;POINT (6.673351824951374 51.59870150274913)
05170000004436383;Turnerweg;POINT (6.696781101079841 51.59648958765202)
05170000004436384;Turnhallenweg;POINT (6.695042109758466 51.597962721824736)
05170000004436385;Vorderbruchweg;POINT (6.68842448561424 51.59067978774766)
05170000004436386;Voshalsfeld;POINT (6.688010360847378 51.599390383619095)
05170000004436387;Waldheideweg;POINT (6.695193510006529 51.61341805982699)
05170000004436388;Waymannskath;POINT (6.673032032070677 51.60176653098536)
05170000004436389;Weseler Weg;POINT (6.665308770088912 51.6088780849434)
05170000004436390;Eulenweg;POINT (6.7035411539108205 51.59258203218398)
05170000004436391;Finkenweg;POINT (6.706430523967961 51.595821072739135)
05170000004436392;Seemannskath;POINT (6.675298638911977 51.60200163218583)
05170000004436393;Schülerweg;POINT (6.696411785144177 51.60264665674917)
05170000004436394;Bruckhausener Weg;POINT (6.702496369572028 51.60888094375468)
05170000004436395;Kaiserstraße;POINT (6.690386935206294 51.594013796596684)
05170000004436396;Königring;POINT (6.690100728851903 51.59186166284108)
05170000004436398;Bruchweg;
05170000004436399;Friedrichsfelder Straße;POINT (6.682539309586848 51.598627210923084)
05170000004436400;Hans-Richter-Straße;
05170000004436401;In den Eichen;
05170000004436402;Kurfürstenring;POINT (6.691554132522084 51.590650774295625)
05170000004436403;Talweg;
05170000004436404;Över de Hölter;
05170000004436405;Rathausplatz;POINT (6.682257561516366 51.59744148809998)
05170000004436406;Drosselweg;POINT (6.700721464920869 51.59928785367633)
05170000004436407;Laakmannshof;POINT (6.6721495327733455 51.59947961168304)
05170000004436408;Lohmannskath;POINT (6.677264496370352 51.603745667632005)
05170000004436409;Pliesterskath;POINT (6.674908970469124 51.60356152572677)
05170000004436410;Rühlskath;POINT (6.674288945611561 51.60331344356451)
05170000004436411;Markgrafenweg;POINT (6.683723907437478 51.59406550079197)
05170000004436412;Alte Prinzenstraße;POINT (6.6906124556908075 51.591451760965626)
05170000004436413;Alnwicker Ring;POINT (6.684562201226825 51.59894732436308)
05170000004436414;Kleine Bahnstraße;POINT (6.686115076027359 51.596268932002445)
05170000004436415;Gewerbestraße;POINT (6.6751102567565965 51.616529325024864)
05170000004436416;Gildeweg;POINT (6.676378803420612 51.620339990796346)
05170000004436417;Innungsweg;POINT (6.67222015555976 51.61792952950475)
05170000004436418;Zunftweg;POINT (6.676902500419164 51.616270920274395)
05170000004436419;Krickerhauer Ring;POINT (6.706340314828934 51.59886138235085)
05170000004436420;Meisenweg;POINT (6.708169759884717 51.59666988915697)
05170000004436422;Waldacker;POINT (6.6804765637117836 51.60233593483642)
05170000004436423;Bahnacker;POINT (6.682463325296657 51.60036648855164)
05170000004436424;Benninghoffsweg;POINT (6.670764080414052 51.60156491296009)
05170000004436425;Baronessenweg;POINT (6.68684417420813 51.59523802330819)
05170000004436426;Am Stadtpark;POINT (6.67912542499679 51.59806803434758)
05170000004436427;Peterskath;POINT (6.671982842431308 51.60284933570098)
05170000004436428;Am Steg;POINT (6.671229672421239 51.600023077386005)
