strassenschluessel;bezeichnung;geometry
05382000007238002;Akazienweg;POINT (7.0657378612341954 50.61590811265037)
05382000007238003;Alter Weg;POINT (7.061632116036884 50.61344669569637)
05382000007238004;Am Scheessberg;POINT (7.0657579679496205 50.61702128521287)
05382000007238005;Am Sportplatz;POINT (7.056999156048414 50.61445767477376)
05382000007238006;Bachstraße;POINT (7.06277849415031 50.61252585928254)
05382000007238007;Burg Adendorf;
05382000007238008;Burg Münchhausen;POINT (7.044597628994231 50.61141373672782)
05382000007238009;Eichenweg;POINT (7.064194570238681 50.617293402042975)
05382000007238010;Eifelstraße;POINT (7.059776608494876 50.61242592674023)
05382000007238011;Erhard-Fischer-Straße;POINT (7.05754999684883 50.6124715485892)
05382000007238012;Forsthaus;
05382000007238013;Georg-von-Loe-Straße;POINT (7.064387341421685 50.61317692491209)
05382000007238014;Grimmersdorfer Weg;POINT (7.065801688936302 50.615272319116)
05382000007238015;Kastanienweg;POINT (7.0647804489079835 50.6166278530454)
05382000007238016;Kemper Mühle;POINT (7.050100019613378 50.609576150532334)
05382000007238017;Kirchstraße;POINT (7.06219462621617 50.61364592166041)
05382000007238018;Klein Villip;POINT (7.085464686332127 50.617701662357774)
05382000007238019;Neue Schule;POINT (7.059721833984302 50.615388317950725)
05382000007238020;Pfarrer-Dr.Hoffmann-Straße;POINT (7.06361181977412 50.615811445108854)
05382000007238021;Schäfereihof;
05382000007238022;Schäferstraße;POINT (7.061059788720212 50.61299166428404)
05382000007238023;Schützenstraße;POINT (7.0623572998636535 50.615647475847396)
05382000007238024;Sürst;POINT (7.0614050056934445 50.613764202793746)
05382000007238025;Töpferstraße;POINT (7.05620679835718 50.61341485342437)
05382000007238027;Adendorfer Straße;POINT (7.086332875388754 50.60953537219436)
05382000007238028;Alte Landstraße;POINT (7.089487819087775 50.60931175288321)
05382000007238029;Am Ring;POINT (7.0868455965483985 50.607579552010776)
05382000007238030;Antoniusweg;POINT (7.089514556724004 50.60799445149641)
05382000007238031;Fritzdorfer Straße;POINT (7.087842395971296 50.609108195554114)
05382000007238032;Remagener Weg;POINT (7.088414242767635 50.60734098290195)
05382000007238033;Servatiusweg;POINT (7.0889485983002976 50.60704205603422)
