strassenschluessel;bezeichnung;geometry
05570000004827630;Abteiring;POINT (8.259969180142194 51.71257912203303)
05570000004827635;Ackfelder Straße;POINT (8.24750736309197 51.751381668872064)
05570000004827640;Agnes-Miegel-Straße;POINT (8.258943364742045 51.709909315981214)
05570000004827643;Ahlkener Straße;POINT (8.264005490568817 51.6841700793589)
05570000004827645;Ahornweg;POINT (8.178033447792174 51.73529707506493)
05570000004827650;Altendiestedder Weg;POINT (8.160984203708699 51.742152470144646)
05570000004827655;Alter Kirchplatz;POINT (8.173290817840117 51.739897690725535)
05570000004827656;Am Dorfplatz;POINT (8.173730999466304 51.73642638656755)
05570000004827657;Am Busch;POINT (8.175073725810035 51.729259239380745)
05570000004827658;Am Haarstrang;POINT (8.213660559127804 51.75941002377353)
05570000004827660;Am Hang;POINT (8.242084876147437 51.73985065092316)
05570000004827663;Am Hermisholz;POINT (8.228653440329342 51.705240981566604)
05570000004827665;Am Hesekamp;POINT (8.253439702066654 51.70947446702226)
05570000004827667;Am Krumme Busch;
05570000004827670;Am Park;POINT (8.250238837540598 51.73602788574081)
05570000004827672;Am Schloss;POINT (8.174693456823741 51.74171752567941)
05570000004827673;Am Vogelbusch;POINT (8.237282337099328 51.74152096150166)
05570000004827675;Am Wall;POINT (8.252807200397877 51.73543148737981)
05570000004827680;Amselweg;POINT (8.169008222137125 51.736930900581704)
05570000004827681;An den Teichen;POINT (8.261965418274166 51.71343094197856)
05570000004827682;An der Landwehr;POINT (8.215993663226245 51.692936673465354)
05570000004827683;Auf der Drift;POINT (8.292689424550362 51.708410616701954)
05570000004827685;Augustin-Wibbelt-Straße;POINT (8.169889409678818 51.73656063253811)
05570000004827688;Baageweg;POINT (8.241578931910002 51.678398309958524)
05570000004827690;Bäggerie;POINT (8.259297175318185 51.709595187235855)
05570000004827695;Bahnhofstraße;POINT (8.247608275973468 51.73404848949423)
05570000004827700;Baseler Straße;POINT (8.182108763084795 51.76055750359533)
05570000004827705;Beckumer Straße;POINT (8.243793896408603 51.712292346688976)
05570000004827710;Beermannstraße;POINT (8.240470929388882 51.73934289154749)
05570000004827713;Benninghauser Straße;POINT (8.254335094575277 51.68662305104829)
05570000004827715;Bentelerstraße;POINT (8.256192162723808 51.73767520065659)
05570000004827720;Bergstraße;POINT (8.244436024665678 51.737508522100015)
05570000004827725;Berkenweg;POINT (8.162165902918405 51.736250211470185)
05570000004827727;Berliner Straße;POINT (8.249882120172456 51.70543711942668)
05570000004827730;Bernhard-Witte-Straße;POINT (8.254091008654067 51.70854126707726)
05570000004827733;Biesterweg;POINT (8.227118554823868 51.71783545118391)
05570000004827735;Bluddenstraße;POINT (8.252106520184862 51.744102954916094)
05570000004827740;Bluddenweg;POINT (8.25070907958062 51.73909842071639)
05570000004827741;Bodelschwinghstraße;POINT (8.173969298925721 51.737098420002184)
05570000004827742;Böntruper Straße;POINT (8.216709418022454 51.683754985964555)
05570000004827742;Böntruper Straße;POINT (8.216709418022454 51.683754985964555)
05570000004827743;Boombachweg;POINT (8.28809735976464 51.695127653154174)
05570000004827744;Böckmanns Wiese;POINT (8.248606294515131 51.7375853865066)
05570000004827745;Bornefelder Straße;POINT (8.274103155550053 51.72737530787967)
05570000004827750;Bornefeld-Ettmann-Straße;POINT (8.259562346689316 51.74034193512329)
05570000004827755;Boschstraße;POINT (8.259626050494502 51.73485709481784)
05570000004827760;Brandenburger Straße;POINT (8.250734939971835 51.70615295047493)
05570000004827763;Bredenweg;POINT (8.281528595897015 51.755248562827)
05570000004827765;Breslauer Straße;POINT (8.252237496290519 51.70668727176634)
05570000004827770;Brüggemannstraße;POINT (8.242769317797244 51.73934275175898)
05570000004827771;Buchenweg;POINT (8.138519547777609 51.7552106859385)
05570000004827772;Bühlheider Weg;POINT (8.23133520432848 51.72392973485158)
05570000004827773;Buschkampweg;POINT (8.26966500150965 51.74578279872657)
05570000004827774;Dammweg;POINT (8.309792329620418 51.73106959434132)
05570000004827775;Danziger Straße;POINT (8.252636289382801 51.740787271607495)
05570000004827776;Bütferingstraße;POINT (8.243808070823688 51.738432689302485)
05570000004827777;Centraliapark;POINT (8.239675277777183 51.732813578609964)
05570000004827778;Dettmarstraße;POINT (8.24595634401442 51.73920345408047)
05570000004827780;Dieselstraße;POINT (8.258435157805032 51.73811115896671)
05570000004827785;Diestedder Straße;POINT (8.239863072863727 51.73409660209271)
05570000004827789;Dorenbrink;POINT (8.238171379619072 51.764476547251796)
05570000004827790;Dorfpatt;POINT (8.163794229417322 51.73604583989387)
05570000004827791;Dr.-Tippkemper-Straße;POINT (8.168158305301695 51.73968836924523)
05570000004827793;Dr.-Lönne-Weg;POINT (8.140136844651032 51.722315879819014)
05570000004827794;Dreischenhoff;POINT (8.24364613109515 51.73603830495695)
05570000004827795;Droste-Hülshoff-Straße;POINT (8.245786978280664 51.74091035509662)
05570000004827800;Düllostraße;POINT (8.137159822017004 51.72555945409323)
05570000004827805;Eichendorffstraße;POINT (8.169586856487772 51.73657535430473)
05570000004827806;Eichsfeldstraße;POINT (8.251794088036064 51.70489953784599)
05570000004827808;Eickenpfahl;POINT (8.253882305889334 51.70590138839639)
05570000004827810;Eickhoff;POINT (8.253635497654987 51.710949143206285)
05570000004827815;Else-Mölder-Weg;
05570000004827820;Entruper Weg;POINT (8.177028002093342 51.739396428996095)
05570000004827823;Eppelerweg;POINT (8.241579505671314 51.679865217679435)
05570000004827825;Erlenweg;POINT (8.174808548745357 51.736401569922435)
05570000004827830;Ermlandstraße;POINT (8.252565457473633 51.74131618874931)
05570000004827832;Faulunger Weg;POINT (8.259345176335865 51.73919543206746)
05570000004827833;Franz-Günther-Weg;
05570000004827835;Freudenberg;POINT (8.244596868236743 51.74013989660557)
05570000004827840;Friedhofstraße;POINT (8.172188993761303 51.739028748765456)
05570000004827845;Gartenstraße;POINT (8.246951168201509 51.73815536768318)
05570000004827849;Geisterfeld;POINT (8.204939761339002 51.72875525533289)
05570000004827850;Geiststraße;POINT (8.197882401888977 51.7205280460932)
05570000004827851;Geschwister-Scholl-Straße;POINT (8.250117941984215 51.744447895231566)
05570000004827855;Gerhart-Hauptmann-Straße;POINT (8.257704567000935 51.70984131572221)
05570000004827858;Glennestraße;POINT (8.304862272903849 51.73912229337604)
05570000004827860;Goethestraße;POINT (8.243393893763706 51.74286474968496)
05570000004827864;Göttinger Breede;POINT (8.230385408907418 51.66543807101493)
05570000004827865;Göttinger Straße;POINT (8.249033535485413 51.66356606187626)
05570000004827870;Gregor-Waltmann-Straße;POINT (8.260830124982832 51.71186349790828)
05570000004827871;Heckentruper Weg;POINT (8.129257768583047 51.71840661131004)
05570000004827872;Heckenweg;POINT (8.25687528087489 51.75377161855091)
05570000004827873;Heienfeldweg;POINT (8.234219993082874 51.74537679723134)
05570000004827874;Heideweg;POINT (8.314926406924062 51.7252494881724)
05570000004827875;Heinestraße;POINT (8.248744380272711 51.74132152518032)
05570000004827876;Heinrich-von-Cleve-Straße;POINT (8.252687771460332 51.7120266135613)
05570000004827877;Hagedornstraße;POINT (8.165915899427205 51.74007606322094)
05570000004827878;Hellstraße;POINT (8.208509994290015 51.71936300311789)
05570000004827879;Helena-Alexandra-Straße;POINT (8.251619391340602 51.73540163942813)
05570000004827880;Hentruper Straße;POINT (8.231162155727667 51.696009063772976)
05570000004827881;Hensestraße;POINT (8.164483126508165 51.737583642982855)
05570000004827883;Herbergerstraße;POINT (8.23747711016677 51.738799676103916)
05570000004827885;Hermann-Stehr-Straße;POINT (8.239946592719003 51.73959230800326)
05570000004827887;Herringerfeld;POINT (8.23781650543286 51.69452235649267)
05570000004827889;Herzebrockweg;POINT (8.295469427518062 51.72265291799592)
