strassenschluessel;bezeichnung;geometry
05374000004412481;Albert-Schweitzer-Weg;POINT (7.6200453861918325 50.88621105181081)
05374000004412482;Alsbergstraße;POINT (7.616826547833873 50.87913316218123)
05374000004412483;Alter Friedhofsweg;POINT (7.612430937623494 50.87397479414029)
05374000004412484;Alter Krankenhausweg;POINT (7.62784238256663 50.87809907562352)
05374000004412485;Ameisenbusch;POINT (7.630461241712517 50.87598562930752)
05374000004412486;Amselweg;POINT (7.625852881250633 50.887345776120206)
05374000004412487;Am Brölbahnhof;POINT (7.613740094019154 50.87446575182976)
05374000004412488;Am Marktplatz;POINT (7.61506590109651 50.87406841538536)
05374000004412489;Am Mühlenteich;POINT (7.601570333882683 50.87008211233827)
05374000004412490;Am Waldessaum;POINT (7.605828576633302 50.86744502487056)
05374000004412491;Am Weiher;POINT (7.632204957158301 50.88028726811892)
05374000004412493;Auf der Kirchenhecke;POINT (7.624580466351111 50.87025132725856)
05374000004412494;August-Haas-Weg;POINT (7.603581550694193 50.870584095822)
05374000004412495;Bachweg;POINT (7.616629816428003 50.867184820074314)
05374000004412496;Bärenwinkel;POINT (7.617478319745124 50.88689522849455)
05374000004412497;Bahnhofstraße;POINT (7.618707257782111 50.87944784115156)
05374000004412499;Beethovenweg;POINT (7.613223601424481 50.86889706749652)
05374000004412500;Behringweg;POINT (7.615317505508266 50.884548385187)
05374000004412501;Bergstraße;POINT (7.617746685988706 50.876371984051225)
05374000004412502;Berliner Straße;POINT (7.623329531620927 50.8872866783453)
05374000004412503;Bielsteiner-Bahn-Straße;POINT (7.6183570757954895 50.879755095344464)
05374000004412504;Birkenhofer Weg;POINT (7.622079052683349 50.89105705268603)
05374000004412505;Birkenweg;POINT (7.619319666256177 50.888102859590475)
05374000004412506;Bitzenweg;POINT (7.620062866002881 50.87143855951556)
05374000004412507;Blumenweg;POINT (7.627238345099464 50.87292852628353)
05374000004412508;Bohlenhagener Straße;POINT (7.603694134981038 50.87553115725838)
05374000004412509;Boxberg;POINT (7.632353612028925 50.88201316928235)
05374000004412510;Brahmsweg;POINT (7.615940132132519 50.8659573483421)
05374000004412511;Brandenburger Straße;POINT (7.621192361709481 50.886692721156976)
05374000004412512;Brenzingen;POINT (7.603384954396754 50.868680841449304)
05374000004412513;Brölbahnstraße;POINT (7.608800238264863 50.87276519362829)
05374000004412514;Brölstraße;POINT (7.6037659997296485 50.87003761600843)
05374000004412515;Buchenweg;POINT (7.623856541447794 50.884101546714)
05374000004412516;Büscherhof;POINT (7.613294287152888 50.863849111262574)
05374000004412517;Burgweg;POINT (7.6164653925229375 50.88461619076778)
05374000004412518;Claudiusweg;POINT (7.610612165905575 50.871171090234746)
05374000004412519;Curt-Projahn-Weg;POINT (7.64132804550421 50.882319154012585)
05374000004412520;Denkmalstraße;POINT (7.61634517346932 50.87995406803597)
05374000004412521;Dörnenweg;POINT (7.626293325470972 50.875905340633366)
05374000004412522;Drosselweg;POINT (7.624355087974623 50.88978106396022)
05374000004412523;Eichbornweg;POINT (7.625636651876378 50.875263974393526)
05374000004412524;Eichendorffweg;POINT (7.638308337962565 50.882074394287066)
05374000004412525;Eichenfeld;POINT (7.620743739209468 50.89181141400957)
05374000004412526;Eisenstraße;POINT (7.636314089690776 50.88065643612478)
05374000004412527;Engelweg;POINT (7.6193566802014105 50.87364960080981)
05374000004412528;Ernst-Moritz-Arndt-Straße;POINT (7.6346298862185975 50.88259736260813)
05374000004412529;Ernst-Wiechert-Weg;POINT (7.63912253848223 50.883180260202785)
05374000004412530;Eschenbergweg;POINT (7.624509896596137 50.87543157187748)
05374000004412531;Escher Weg;POINT (7.638364977083889 50.884689575118166)
05374000004412532;Eulenflucht;POINT (7.616368648594065 50.88787354438125)
05374000004412533;Falkenhorst;POINT (7.6178726727973 50.88758930912327)
05374000004412534;Farrenkothenweg;POINT (7.6184800513637505 50.87344673599954)
05374000004412535;Feldstraße;POINT (7.624261736666603 50.88485664459228)
05374000004412536;Fichteweg;POINT (7.610300237183685 50.87273956453034)
05374000004412537;Finkenweg;POINT (7.627147935719324 50.886797322006835)
05374000004412538;Fontaneweg;POINT (7.635110716085279 50.881375882229214)
05374000004412539;Freiheitweg;POINT (7.622423793339021 50.87625205996503)
05374000004412540;Freiherr-vom-Stein-Straße;POINT (7.60675894877277 50.869496324825015)
05374000004412541;Friedenstraße;POINT (7.6205466668450645 50.87821254230887)
05374000004412542;Friedrich-Engelbert-Weg;POINT (7.61548416898841 50.87263743830161)
05374000004412543;Friedrich-Wilhelm-Straße;POINT (7.632601700696548 50.87928383255542)
05374000004412544;Gartenstraße;POINT (7.614456714009723 50.87540012339792)
05374000004412545;Gerberstraße;POINT (7.611774006020663 50.87078380907489)
05374000004412546;Gerdesstraße;POINT (7.62105478813294 50.87912229319716)
05374000004412547;Gerhart-Hauptmann-Straße;POINT (7.632593139974225 50.8819144964897)
05374000004412548;Gerichtsstraße;POINT (7.616736050450643 50.87555920855049)
05374000004412549;Ginsterheide;POINT (7.627766074456236 50.87437483459561)
05374000004412550;Glöckchenwinkel;POINT (7.6270371975444125 50.872060832395356)
05374000004412551;Gneisenaustraße;POINT (7.624399599688087 50.87681693613288)
05374000004412552;Goethestraße;POINT (7.609229020001473 50.8761258587896)
05374000004412553;Hahnenstraße;POINT (7.6175914199403145 50.87544209837317)
05374000004412554;Hahner Weg;POINT (7.604570604541427 50.87598791133917)
05374000004412555;Happacher Weg;POINT (7.610757798828961 50.883627408092906)
05374000004412556;Hardenbergstraße;POINT (7.607413622249806 50.86991782774458)
05374000004412557;Haydnweg;POINT (7.619293120227968 50.86909111664698)
05374000004412558;Heidbergweg;POINT (7.602169265894678 50.87461474013283)
05374000004412559;Heidchenweg;POINT (7.631139366458618 50.884843628240624)
05374000004412560;Hermann-Löns-Weg;POINT (7.62353206771353 50.88253305527875)
05374000004412561;Hermesbuschweg;POINT (7.6192489926970275 50.87391338413922)
05374000004412562;Hessenbruchweg;POINT (7.602505351996349 50.87612341428812)
05374000004412563;Hessenstraße;POINT (7.622061863390908 50.88741142005017)
05374000004412565;Hochstraße;POINT (7.617203432609252 50.87553436804946)
05374000004412566;Höhenweg;POINT (7.608780398881204 50.87720672307322)
05374000004412567;Holunderhag;POINT (7.629726916187536 50.875253146159075)
05374000004412568;Homburger Straße;POINT (7.630110591377693 50.8829809371187)
05374000004412569;Hugo-Distler-Weg;POINT (7.623495799593462 50.876547428224974)
05374000004412570;Humboldtweg;POINT (7.611173368065043 50.8719782938577)
05374000004412571;Industriestraße;POINT (7.6503129640068686 50.88701008709007)
05374000004412573;Inselstraße;POINT (7.616085025765613 50.87519668988696)
05374000004412574;Isengarten;POINT (7.6167312182243725 50.88395808864908)
