strassenschluessel;bezeichnung;geometry
05370000003207900;Aussiedlerhof Holzweg;POINT (6.033986281987531 51.04636910532933)
05370000003207901;Drenkstraße;POINT (6.03442269657447 51.05034705933879)
05370000003207902;Landstraße;POINT (6.036814183623438 51.05151205651228)
05370000003207903;Selstener Straße;POINT (6.0383341987526515 51.04822646409587)
05370000003207904;Stieg;POINT (6.04101215378712 51.04733078583464)
05370000003207910;Am Kirchplatz;POINT (6.039419388244286 51.05585184857043)
05370000003207911;Am Pfad;POINT (6.037101787273681 51.0552747665541)
05370000003207912;Clemensstraße;POINT (6.0398907557342065 51.0590257387188)
05370000003207913;Friedhofsstraße;POINT (6.041669694691147 51.05613575277528)
05370000003207914;Gartenstraße;POINT (6.038973849814632 51.05820616526246)
05370000003207915;Maria-Lind;POINT (6.042238821347028 51.057300780769204)
05370000003207916;Mühlenberg;POINT (6.039555772504336 51.054259614359374)
05370000003207917;Im Kirchfeld;POINT (6.042343248263714 51.055135235053015)
05370000003207920;Lindenstraße;POINT (6.0357575323938 51.061166209988315)
05370000003207921;Maarstraße;POINT (6.037635195140322 51.06310127518588)
05370000003207922;Wallstraße;POINT (6.038798296275791 51.06297524882703)
05370000003207930;Grüntal;POINT (6.030611295618916 51.06399881598116)
05370000003207931;Kreuzstraße;POINT (6.032685271031253 51.062406228710024)
05370000003207932;Rotdornweg;POINT (6.028019656503488 51.060645631141114)
05370000003207940;Ahornstraße;POINT (6.029892868062432 51.05168121330352)
05370000003207941;Anton-Laumen-Straße;POINT (6.026722537353584 51.053355732817515)
05370000003207942;End;POINT (6.02366540120394 51.05567052534805)
05370000003207943;Kükesweg;POINT (6.024423184273019 51.05369706609766)
05370000003207944;Neustraße;POINT (6.030754504263358 51.05189271087442)
05370000003207945;Tannenweg;POINT (6.026739637854885 51.054266187616435)
05370000003207950;Alban-Philipps-Straße;POINT (6.020260142564233 51.07110530035063)
05370000003207951;Am Eckert;POINT (6.0225519071779425 51.075842930411945)
05370000003207952;Am Friedhof;POINT (6.017675452813534 51.07320544016879)
05370000003207953;Engerstraße;POINT (6.022742628820428 51.07178707251354)
05370000003207954;Fletschweg;POINT (6.019013866919606 51.0740397346609)
05370000003207955;Grachtweg;POINT (6.028523283530052 51.07109669218069)
05370000003207956;Henscher Straße;POINT (6.018337323875482 51.073183039514724)
05370000003207957;Ringstraße;POINT (6.021527349850217 51.072141925880764)
05370000003207958;Sandstraße;POINT (6.022267827977513 51.076747675957165)
05370000003207959;Talstraße;POINT (6.022055422288729 51.07654045036159)
05370000003207960;Wolfsheide;POINT (6.0226753462524645 51.07895211748795)
05370000003207970;Alter Klauser Kirchweg;POINT (6.022035382559813 51.0905729710145)
05370000003207971;Am Driesch;POINT (6.042655741270105 51.09403764653775)
05370000003207972;Am Haas;POINT (6.043947050262421 51.086716320814716)
05370000003207973;Am Heidchen;POINT (6.04647345219908 51.09256362762321)
05370000003207974;Amselweg;POINT (6.010642007066851 51.088401254263864)
05370000003207975;Am Steinritsch;POINT (6.044922616416193 51.08763440324133)
05370000003207976;Bergstraße;POINT (6.037448094922857 51.093560732470046)
05370000003207977;Birkenweg;POINT (6.017760981057593 51.09008757706264)
05370000003207978;Bohlenfeld;POINT (6.0404733274261355 51.090131045509345)
05370000003207979;Brauereistraße;POINT (6.037134487942295 51.09102663547136)
05370000003207980;Bruchstraße;POINT (6.038387786086349 51.093997182075285)
05370000003207981;Bunderweg;POINT (6.025089612817113 51.08720354512671)
05370000003207982;Bünderken;POINT (6.023339213258015 51.08535181068597)
05370000003207983;Driescher Weg;POINT (6.043398035453273 51.09055959485611)
05370000003207984;Elsweg;POINT (6.0337877434082765 51.08784379534291)
05370000003207985;Erksweg;POINT (6.010699450599806 51.088833366120696)
05370000003207986;Erlenstraße;POINT (6.032589639997957 51.08651666935277)
05370000003207987;Fäkenweg;POINT (6.035177334803303 51.09101193288266)
05370000003207988;Haarener Straße;POINT (6.005806366240623 51.08481571443576)
05370000003207989;Haaserdriesch;POINT (6.0440876031862585 51.09019718285219)
05370000003207990;Haaser Straße;POINT (6.0444231924282645 51.08682288732752)
05370000003207991;Heerstraße;POINT (6.041745796212465 51.09148400469131)
05370000003207992;Heideweg;POINT (6.022048649255786 51.09108385185251)
05370000003207993;Heider Hof;POINT (6.016141873905253 51.07960208367756)
05370000003207994;Hirtenweg;POINT (6.0233121201133235 51.08811670793362)
05370000003207995;Im Pölert;POINT (6.027526770175301 51.087953078371584)
05370000003207996;Johannesstraße;POINT (6.032209046612924 51.08840546516925)
05370000003207997;Karkener Straße;POINT (6.0463130371461595 51.087248356667814)
05370000003207998;Kitscherweg;POINT (6.0371866312262785 51.09288263278007)
05370000003207999;Kluserweg;POINT (6.037571331703727 51.09508724107861)
05370000003208000;Kohlenkamp;POINT (6.042926443060544 51.09219441411223)
05370000003208001;Konrad-Adenauer-Straße;POINT (6.03178736542891 51.08880800398087)
05370000003208002;Mittelweg;POINT (6.032549599542398 51.09002033670771)
05370000003208003;Nachtigallenweg;POINT (6.01034069092763 51.08873237329504)
05370000003208004;Obspringener Straße;POINT (6.01638506241091 51.08381173002708)
05370000003208005;Paulisweg;POINT (6.027360197432477 51.08752587172615)
05370000003208006;Reitweg;POINT (6.040255167552438 51.08826310825918)
05370000003208007;Rother Straße;POINT (6.0419329482233435 51.093833260242526)
05370000003208008;Schabroicher Weg;POINT (6.009110608368104 51.083500770517325)
05370000003208009;Sopericher Straße;POINT (6.0256858556833 51.08799408129168)
05370000003208010;Teggerstraße;POINT (6.023104445367776 51.08717990161139)
05370000003208011;Waldweg;POINT (6.015552002800416 51.08997972819102)
05370000003208012;Zehntweg;POINT (6.043100767258189 51.08470140946869)
05370000003208013;Zollweg;POINT (6.009500732289894 51.08823166693316)
05370000003208014;Entenpfuhl;POINT (6.048307155074298 51.085566699031666)
05370000003208015;Am Bellenbaum;POINT (6.040069917543335 51.09232531851174)
05370000003208016;Im Haarener Feld;POINT (6.016259129734651 51.089362831160166)
05370000003208017;An der Lehmkuhl;POINT (6.023461138805123 51.09163105982583)
05370000003208018;Berlderath;POINT (6.0276862453703135 51.08666045658464)
05370000003208019;Emilie-Schneider-Straße;POINT (6.042195709609957 51.09302488731013)
05370000003208020;Bergehecker Hof;POINT (6.031998517876068 51.08231390031435)
05370000003208021;Pfarrer-Hanrath-Weg;POINT (6.040174356808602 51.08888712309176)
05370000003208030;Baumgartenstraße;POINT (5.998937713238353 51.07439254353854)
05370000003208031;Bollbergstraße;POINT (5.994140619464856 51.075037376227)
05370000003208032;Dorfstraße;POINT (5.9927866595477495 51.07808355828371)
05370000003208033;Erdbrüggener Hof;POINT (6.002091763263785 51.06919164772236)
05370000003208034;Furter Straße;POINT (6.000151590875076 51.07219976395469)
05370000003208035;Petitsweg;POINT (5.994431226435577 51.07761949788861)
05370000003208036;Schiersweg;POINT (5.996688429532432 51.07694497224817)
05370000003208037;Schildacker;POINT (5.993045780596943 51.07649121795598)
05370000003208038;Tilder Weg;POINT (5.994945736586998 51.070711769933816)
05370000003208039;Vogteistraße;POINT (5.9952347145186895 51.072692776973945)
05370000003208040;Weiherstraße;POINT (5.998396027257341 51.07364837559642)
05370000003208050;Frilinghoven;POINT (6.002363378640521 51.061193597763655)
05370000003208060;Auf dem Kamp;POINT (5.984075810525487 51.067398568423904)
05370000003208061;Auf dem Wall;POINT (5.991012404158581 51.068111862127815)
05370000003208062;Balduinstraße;POINT (5.9857547993543205 51.069867677814486)
05370000003208063;Brabanter Straße;POINT (5.984800744614118 51.06800010898976)
05370000003208064;Bocketer Weg;POINT (5.9924705487407275 51.06343047277025)
05370000003208065;Dr.-Kitschen-Platz;POINT (5.990097489847643 51.066297903996656)
05370000003208066;Erdbrüggener Straße;POINT (5.992546218846327 51.066445215573)
05370000003208067;Georgstraße;POINT (5.987445442705561 51.07030290469745)
05370000003208068;Hellstraße;POINT (5.980274772971768 51.06164023405187)
05370000003208069;Hondschaftsweg;POINT (5.994420510660205 51.06316597287206)
05370000003208070;Im Hagenkamp;POINT (5.995595212834622 51.060720990811724)
