strassenschluessel;bezeichnung;geometry
05562000003600010;Ackerweg;POINT (7.400884700418291 51.610592535362336)
05562000003600020;Adalbert-Stifter-Straße;POINT (7.390010972136769 51.613440252692456)
05562000003600040;Adamsstraße;POINT (7.413761590427589 51.62821152806027)
05562000003600060;Akazienweg;POINT (7.409058273395142 51.611556251733084)
05562000003600080;Allensteiner Straße;POINT (7.38403475199494 51.62712917136749)
05562000003600100;Altenbredde;POINT (7.394906139452015 51.60978893499285)
05562000003600120;Altenbruchstraße;POINT (7.401896845929762 51.608156703566394)
05562000003600140;Alter Graben;POINT (7.415047076037956 51.626055672229676)
05562000003600160;Am alten Friedhof;POINT (7.392266913868486 51.6202044879252)
05562000003600170;Am Berghang;POINT (7.397225309412224 51.62742192461415)
05562000003600180;Am Böckenberg;POINT (7.407482808930582 51.6155256538276)
05562000003600200;Am Felling;POINT (7.333005788196552 51.61521049878681)
05562000003600210;Am Funkenbusch;POINT (7.4032639599436765 51.610425727381866)
05562000003600220;Am Hebewerk;POINT (7.326095212669203 51.61664850720004)
05562000003600230;Am Herdicksbach;POINT (7.388396005211656 51.606632376718565)
05562000003600240;Am Iländ;POINT (7.40367530719541 51.628051768830176)
05562000003600250;Am Koppelkamp;POINT (7.401213849417512 51.62700229123893)
05562000003600260;Am Moselbach;POINT (7.399640554740391 51.623660496538044)
05562000003600280;Am Mühlenteich;POINT (7.393734887165518 51.61835725096058)
05562000003600290;Am Prozessionsweg;POINT (7.400085075985966 51.62947616996443)
05562000003600300;Am Rapensweg;POINT (7.3566690725517585 51.601872981499575)
05562000003600305;Am Rathaus;POINT (7.389434622410005 51.623862660210975)
05562000003600320;Am Schwarzbach;POINT (7.419445175968274 51.62388876055976)
05562000003600340;Amselweg;POINT (7.391371641333524 51.628064670813785)
05562000003600360;Am Stadtgarten;POINT (7.401225439575739 51.624045382972774)
05562000003600370;Am Steinacker;POINT (7.392302705129455 51.630136302175195)
05562000003600380;Am Stutenteich;POINT (7.394603504921145 51.62141448268222)
05562000003600400;Am Veiinghof;POINT (7.379096911335216 51.61756403779122)
05562000003600420;Am Wäldchen;POINT (7.4159786550034115 51.620586868091195)
05562000003600440;An der Haardstraße;POINT (7.416310887097979 51.627760874342435)
05562000003600460;An der Quelle;POINT (7.393608254739336 51.6214382663965)
05562000003600470;An der Zechenbahn;POINT (7.431108580352095 51.62235456623388)
05562000003600480;Ankerweg;POINT (7.322804377605982 51.61537208665768)
05562000003600490;Arenbergstraße;POINT (7.40164025705191 51.61148448191835)
05562000003600500;Asternweg;POINT (7.392488721788896 51.61777671302654)
05562000003600520;Auf dem Heiken;POINT (7.394727493847138 51.59169251889931)
05562000003600540;Auf dem Kirchberg;POINT (7.40157631586114 51.6155849864059)
05562000003600560;Auf der Heide;POINT (7.372195154423263 51.622360460650555)
05562000003600580;Auf der Ronnenheide;POINT (7.369590304939007 51.61825279715013)
05562000003600600;Augustin-Wibbelt-Weg;POINT (7.392040173689104 51.612859582095886)
05562000003600610;Bachweg;POINT (7.37935437874082 51.62641377414049)
05562000003600620;Bahnhofstraße;POINT (7.414708401063459 51.62928349560748)
05562000003600640;Barbarastraße;POINT (7.397411835825903 51.61433498968424)
05562000003600650;Beethovenstraße;POINT (7.382561709624074 51.62832661079337)
05562000003600655;Begonienstraße;POINT (7.391114336959252 51.61706654197189)
05562000003600660;Bergstraße;POINT (7.395231472467804 51.62826205032229)
05562000003600680;Berliner Straße;
05562000003600700;Birkenstraße;POINT (7.410773088298757 51.615972465493776)
05562000003600720;Bismarckstraße;POINT (7.405797526416288 51.61736433610623)
05562000003600740;Bissenkamp;POINT (7.395408412296433 51.62352444501565)
05562000003600760;Böttcherstraße;POINT (7.425388929286715 51.623966362733725)
05562000003600780;Bonhoefferweg;POINT (7.403722811671287 51.62324270448027)
05562000003600800;Bootsweg;POINT (7.324196501272047 51.61571811666127)
05562000003600820;Borker Straße;POINT (7.418150213126133 51.63348144736712)
05562000003600830;Brahmsweg;POINT (7.380591081744468 51.62911640687366)
05562000003600840;Brambauerstraße;POINT (7.435150047430644 51.61814860256835)
05562000003600860;Brentanoweg;POINT (7.392640929572425 51.61248701081587)
05562000003600880;Breslauer Straße;POINT (7.381431449914388 51.62584594119698)
