strassenschluessel;bezeichnung;geometry
05370000003608301;Ackerstraße;POINT (6.161297212581546 51.09352392711726)
05370000003608302;Alte Bahn;POINT (6.176954559115146 51.10171894713308)
05370000003608303;Alter Kirchpfad;POINT (6.181012602939638 51.106714248411315)
05370000003608304;Am Alten Kirchturm;
05370000003608305;Am Bahnhof;POINT (6.15896748963084 51.106123473102365)
05370000003608306;Am Bleichdamm;POINT (6.156383764535401 51.097766219411774)
05370000003608307;Am Buir;POINT (6.156422050745628 51.09907971852885)
05370000003608308;Am Gasthausbach;POINT (6.1492615287903165 51.09852627102881)
05370000003608309;Am Heidehof;POINT (6.172370941654521 51.10435847156624)
05370000003608310;Am Kulenberg;POINT (6.154461936470332 51.10108562508761)
05370000003608311;Am Marienbruch;POINT (6.160842769720824 51.098534217794146)
05370000003608312;Am Mühlenkamp;POINT (6.161707546228374 51.09187079813991)
05370000003608313;Am Neumarkt;POINT (6.17926787379523 51.105404193342814)
05370000003608314;Am Roßtor;POINT (6.154660405599134 51.10020764847886)
05370000003608315;Am Sandberg;POINT (6.173916029242113 51.103200070071374)
05370000003608316;Amselweg;POINT (6.162072556300871 51.10303944975374)
05370000003608317;Am Stadtrain;POINT (6.18024500350571 51.105990114901054)
05370000003608318;Am Stern;POINT (6.181441214014994 51.10949346907631)
05370000003608319;An der Kreuzkirche;POINT (6.169407588257333 51.10524998108438)
05370000003608320;Am Wehrturm;POINT (6.159437460553547 51.099359391988315)
05370000003608321;Am Wingertsberg;POINT (6.160033833388783 51.09608495892859)
05370000003608322;An der Haag;POINT (6.15468643409903 51.100918529634164)
05370000003608323;An der Landwehr;POINT (6.182902183077593 51.107555038115805)
05370000003608324;An der Rennbahn;POINT (6.174903506940642 51.103956682379206)
05370000003608325;An der Windmühle;POINT (6.1631099052863725 51.09478064800758)
05370000003608326;Auf der Hees;POINT (6.186307563806591 51.11479011051946)
05370000003608327;Bahnhofstraße;POINT (6.158279761965983 51.1037565840547)
05370000003608328;Auf der Heide;POINT (6.174059128680126 51.10471642221323)
05370000003608329;Bergstraße;POINT (6.1713953607999175 51.10798503901383)
05370000003608330;Birkenweg;POINT (6.1716195601775725 51.10578474466006)
05370000003608331;Berliner Allee;POINT (6.1611246897489025 51.09430277595431)
05370000003608332;Blomedahler Weg;POINT (6.162797170630565 51.09101418581986)
05370000003608333;Breiter Weg;POINT (6.151512304061473 51.098505326441014)
05370000003608334;Brühlstraße;POINT (6.159023901931413 51.09308864168264)
05370000003608335;Brunnenweg;POINT (6.154255919530585 51.104536598089524)
05370000003608336;Buchenweg;POINT (6.17136239533426 51.107145885718055)
05370000003608337;Burgstraße;POINT (6.159010669652151 51.10214086332796)
05370000003608338;Dammstraße;POINT (6.157033285366717 51.10633718050118)
05370000003608339;Erkelenzer Straße;POINT (6.168372190551538 51.10223049859827)
05370000003608340;Erlenweg;POINT (6.17414261503935 51.10714279539183)
05370000003608341;Feierabendstraße;POINT (6.173460205234083 51.10895650112164)
05370000003608342;Forst;POINT (6.1309490419846995 51.09852618529088)
05370000003608343;Forster Weg;POINT (6.139895560948652 51.09782334675244)
05370000003608344;Gladbacher Straße;POINT (6.175827915091158 51.105325834865546)
05370000003608345;Glück-Auf-Straße;POINT (6.171434218601301 51.109355747570724)
05370000003608346;Graf-Gerhard-Straße;POINT (6.155317499471135 51.09769100702741)
05370000003608347;Hangstraße;POINT (6.156205833848407 51.102371843117)
05370000003608348;Heesweg;POINT (6.179046210464831 51.115740096689954)
05370000003608349;Heinsberger Straße;POINT (6.15383515257074 51.09481122361876)
05370000003608350;Herrschaftliche Heide;POINT (6.17548797715106 51.11280220151337)
05370000003608351;Hermann-Löns-Straße;POINT (6.176956765145814 51.10859811188976)
05370000003608352;Hochstraße;POINT (6.179935218878676 51.103359486997114)
05370000003608353;Im Bongert;POINT (6.161477390367552 51.10429164801408)
05370000003608354;Im Eichengrund;POINT (6.1640527569362815 51.09233680287975)
05370000003608355;In der Els;POINT (6.162625402935814 51.10473094920036)
05370000003608356;Jülicher Straße;POINT (6.160555007124775 51.09181452099902)
05370000003608357;Kastanienstraße;POINT (6.150550385458888 51.09925138357794)
05370000003608358;Kirchstraße;POINT (6.163591080779097 51.10161918864038)
05370000003608359;Klosterstraße;POINT (6.179657592194396 51.09973859451977)
05370000003608360;Kurze Straße;POINT (6.159947203119505 51.09389243204054)
05370000003608361;Küstersgäßchen;POINT (6.1591878308271175 51.10133621698075)
05370000003608362;Lerchenweg;POINT (6.1610256259550695 51.104081160824755)
05370000003608363;Limburger Straße;POINT (6.157257285090949 51.09271422247083)
05370000003608364;Loher Weg;POINT (6.160139811169 51.102562371143605)
05370000003608365;Mittelstraße;POINT (6.17972710236421 51.103656080803155)
05370000003608366;Mispelweg;POINT (6.163373446911416 51.088775650499514)
05370000003608367;Nachtigallenweg;POINT (6.160207380907625 51.10406800362941)
05370000003608368;Nikolausstraße;POINT (6.155773703914046 51.09844612760067)
05370000003608369;Nordstraße;POINT (6.17833186591823 51.10435480919052)
05370000003608370;Oberer Kulenberg;POINT (6.151924833534975 51.10188852715229)
05370000003608371;Ohe;POINT (6.133286437308232 51.09473265149067)
05370000003608372;Oststraße;POINT (6.18277931405261 51.10419757259048)
05370000003608373;Palantstraße;POINT (6.151700221892168 51.10007412068075)
05370000003608374;Parkstraße;POINT (6.15604652386717 51.098080811838614)
05370000003608375;Patersgraben;POINT (6.153713853631429 51.09953414148908)
05370000003608376;Propsteigasse;POINT (6.157049950103649 51.099544004904125)
05370000003608377;Pontorsonallee;POINT (6.160473654207803 51.09961895489481)
05370000003608378;Pontorson-Platz;
05370000003608379;Rauhutstraße;POINT (6.171181257385861 51.109038822438144)
05370000003608380;Riedweg;POINT (6.164253097704953 51.089160940232915)
05370000003608381;Roermonder Straße;POINT (6.155002798273333 51.10604802073062)
05370000003608382;Rurtalstraße;POINT (6.139793251126174 51.100898939878014)
05370000003608383;Sibyllengäßchen;POINT (6.1567799657734374 51.102277493385245)
05370000003608384;Sophia-Jacoba-Straße;POINT (6.17447726461027 51.10933485988313)
