strassenschluessel;bezeichnung;geometry
05370000004002001;Amselweg;POINT (6.28719808144635 51.14055184181547)
05370000004002002;Am Bahnhof;POINT (6.280563733986359 51.144651221758885)
05370000004002003;Am Kreuz;POINT (6.2799972893831955 51.14956342486493)
05370000004002004;Am Petershof;POINT (6.281528035010888 51.14822209840833)
05370000004002005;Am Potz;POINT (6.274967118045457 51.1442307026492)
05370000004002006;Am Sandhang;POINT (6.282260190706201 51.14865007960646)
05370000004002007;Antoniusweg;POINT (6.2796331591346135 51.14248489841459)
05370000004002008;Bahnhofstraße;POINT (6.280400364640401 51.15154521771773)
05370000004002009;Beeckbachstraße;POINT (6.288422685228105 51.136944272777185)
05370000004002010;Beecker Straße;POINT (6.280138621860106 51.140196983402355)
05370000004002011;Bergstraße;POINT (6.271820108864864 51.13736793791083)
05370000004002012;Birkenallee;POINT (6.280885980881645 51.14163088813264)
05370000004002013;Blumenstraße;POINT (6.270779624535375 51.14325578657581)
05370000004002014;Bruchstraße;POINT (6.288306416791929 51.13660954597562)
05370000004002015;Burgstraße;POINT (6.275657983035922 51.14263846763859)
05370000004002016;Dorper Straße;POINT (6.279987823943138 51.1501531488028)
05370000004002017;Echter Straße;POINT (6.278196506272943 51.13757088947354)
05370000004002018;Forst;POINT (6.284279315954339 51.13606998822068)
05370000004002019;Freiheider Straße;POINT (6.284929830132952 51.14219547576699)
05370000004002020;Friedhofstraße;POINT (6.2698314099701395 51.1428907097831)
05370000004002021;Fußbachstraße;POINT (6.270558916492696 51.140325503331404)
05370000004002022;Gerhart-Hauptmann-Straße;POINT (6.28061543885323 51.13409029616543)
05370000004002023;Gierenstraße;POINT (6.2745949496732365 51.13525064303433)
05370000004002024;Goethestraße;POINT (6.276276765809991 51.13534565177999)
05370000004002025;Grachtstraße;POINT (6.27648813350895 51.13906093851145)
05370000004002026;Grüner Winkel;POINT (6.269585799344345 51.1439980711157)
05370000004002027;Hauptstraße;POINT (6.275316425662729 51.13945646641526)
05370000004002028;Heerstraße;POINT (6.2705421614165555 51.14079986605565)
05370000004002029;Hölderlinstraße;POINT (6.276093747179416 51.13708840449831)
05370000004002030;Im Kieroth;POINT (6.284313563981932 51.139015542722994)
05370000004002031;Im Ländchen;POINT (6.275136263701148 51.14917318431347)
05370000004002032;Immanuel-Kant-Straße;POINT (6.283465815407284 51.14195680758539)
05370000004002033;In der Dell;POINT (6.285743053417621 51.14186719721359)
05370000004002034;Industriestraße;POINT (6.290600181025271 51.14922096948413)
05370000004002035;Kahrbahn;POINT (6.249598263396309 51.15594219700897)
05370000004002036;Kleiststraße;POINT (6.278044735539053 51.13487991441466)
05370000004002037;Krankenhausstraße;POINT (6.283314147903636 51.140682585558935)
05370000004002038;Lessingstraße;POINT (6.274034075689556 51.135849256845404)
05370000004002039;Ludwig-Uhland-Straße;POINT (6.278899981876596 51.13489284139686)
05370000004002040;Maaseiker Straße;POINT (6.275933579462838 51.138600666973616)
05370000004002041;Markusstraße;POINT (6.279676597355556 51.13908321596299)
05370000004002042;Martin-Luther-Straße;POINT (6.280211811386935 51.143328928947746)
05370000004002043;Mittelstraße;POINT (6.284308730149934 51.14230082483399)
05370000004002044;Obere Bergstraße;POINT (6.270441789872088 51.136749137370614)
05370000004002045;Ophover Weg;POINT (6.283793881461114 51.137997610222314)
05370000004002046;Riethstraße;POINT (6.2856423157146075 51.142950727452856)
05370000004002047;Siemensweg;POINT (6.2846696331900045 51.150473885441684)
05370000004002048;Schillerstraße;POINT (6.275602182461025 51.13461473501017)
05370000004002049;Spielburgweg;POINT (6.285147523214539 51.14760186210709)
05370000004002050;Stiftsweg;
05370000004002051;Tüschenbroicher Straße;POINT (6.273764551181298 51.13677536163999)
05370000004002052;Venloer Straße;POINT (6.273261122294347 51.14213748413305)
05370000004002053;Zur Kringsmühle;POINT (6.279382044933514 51.14837206858742)
05370000004002064;Heinrich-Heine-Straße;POINT (6.277627989095544 51.13537673872422)
05370000004002065;Herderstraße;POINT (6.279040106712452 51.13549645583953)
05370000004002066;Am See;POINT (6.269407996107095 51.14227976443324)
05370000004002067;Forellenweg;POINT (6.270289340781561 51.14239788757991)
05370000004002068;Karpfenweg;POINT (6.271359398593103 51.14180741116626)
05370000004002069;Große Riet;POINT (6.282769096091194 51.15013401891879)
05370000004002070;Blütenweg;POINT (6.269957411752624 51.143527473687655)
05370000004002071;Doldenweg;POINT (6.271984404897279 51.14415920726797)
05370000004002072;Knospenweg;POINT (6.270694268796477 51.14389069908235)
05370000004002074;Gelderner Weg;POINT (6.277402607439864 51.13868882783773)
05370000004002075;Kreuzherrenstraße;POINT (6.278526373715217 51.13874907143751)
05370000004002076;Passage Alt Berk;POINT (6.275435488854616 51.13978061346955)
05370000004002077;Rathausplatz;POINT (6.2769326887350205 51.1411056773472)
05370000004002078;Karmelitergasse;POINT (6.277954932541855 51.14051616798773)
05370000004002079;An der Gracht;POINT (6.275802294915458 51.13918025799024)
05370000004002080;An der Kull;POINT (6.2829780314312815 51.14372451292756)
05370000004002081;Raiffeisenstraße;POINT (6.2828822483069295 51.1474813347118)
05370000004002082;Jakob-Hoogen-Straße;POINT (6.281372593955823 51.14640587280698)
05370000004002083;Schwalmaue;POINT (6.276221837172153 51.14021628391873)
05370000004002084;An der Spinnerei;POINT (6.285674032993079 51.14388986105113)
05370000004002085;Sandbirkenweg;POINT (6.293409747911608 51.14218891679714)
05370000004002086;Am Kabelwerk;POINT (6.286760173059399 51.14307705148463)
05370000004002087;Alter Schulweg;POINT (6.2886807933171065 51.13801759314513)
05370000004002088;Nelly-Sachs-Ring;
05370000004002101;Am Alten Zollhaus;POINT (6.190991092289227 51.12695508441748)
05370000004002102;An der Wildenquelle;POINT (6.189412358244177 51.129500228411956)
05370000004002103;Auf dem Kirchkamp;POINT (6.190434019171836 51.12109155177947)
05370000004002104;Bachstraße;POINT (6.188881795515642 51.131083431450755)
05370000004002105;Birgelener Bahn;
05370000004002106;Dalheimer Straße;POINT (6.190894964540036 51.13025163024226)
05370000004002107;Dingeichenstraße;POINT (6.186799372565308 51.13026751133884)
05370000004002108;Eckartstraße;POINT (6.203734244252999 51.120628993243834)
05370000004002109;Elisabethstraße;POINT (6.188374880868083 51.12753387809012)
05370000004002110;Engersweg;
05370000004002112;Geiersweg;POINT (6.194599583413212 51.123513163639856)
05370000004002113;Heinsberger Straße;POINT (6.194453982176075 51.12055520480127)
05370000004002114;Hochstraße;POINT (6.186213221517109 51.12469898153718)
05370000004002115;Im Eichfeld;POINT (6.191764777596998 51.12948810833663)
05370000004002116;Johannesstraße;POINT (6.1917934336473985 51.122480605401066)
05370000004002117;Jenngesfeldstraße;POINT (6.189735755274798 51.12748828779994)
05370000004002118;Naturparkweg;POINT (6.191373807807728 51.119476361887905)
05370000004002119;Rosenthaler Straße;POINT (6.190240243001273 51.129789119952584)
05370000004002120;Rumpenbachstraße;POINT (6.187117445586738 51.12812645747434)
05370000004002121;Schaagring;POINT (6.189964474166599 51.13236672498235)
05370000004002122;Schroersweg;POINT (6.201116368008739 51.12926924953426)
05370000004002123;Schülergasse;POINT (6.193752548793706 51.12295950906607)
05370000004002125;Windbergstraße;POINT (6.188295535125304 51.12469170845584)
05370000004002131;Friedrich-List-Allee;POINT (6.21164811789095 51.11835938107853)
05370000004002132;Beaver Close;POINT (6.205109536700268 51.12878739499269)
05370000004002133;Wessex Close;POINT (6.205454779539406 51.12845928154611)
05370000004002134;Harrier Way;POINT (6.208291662480982 51.130257757338065)
05370000004002135;Canberra Crescent;POINT (6.207068529763966 51.128219199988344)
05370000004002136;Andover Crescent;POINT (6.200701736128752 51.131213578275705)
05370000004002137;Barthold Road;POINT (6.210183852005747 51.12972462988159)
05370000004002138;Britannia Way;POINT (6.203675397812762 51.12943471342492)
05370000004002139;Burns Avenue;POINT (6.211041118442477 51.12802447781596)
05370000004002140;Gosnell Avenue;POINT (6.20951290644365 51.124776657845935)
05370000004002141;Heron Road;
05370000004002142;Johnson Way;POINT (6.210701903201628 51.12526075376772)
05370000004002143;Lyne Avenue;POINT (6.208469078238679 51.13075502331382)
05370000004002144;Pembroke Crescent;POINT (6.20482575907626 51.13220873403948)
05370000004002145;Robertson Drive;POINT (6.209565741283324 51.12919930507916)
05370000004002146;Vulcan Avenue;POINT (6.201679461886332 51.13104609347416)
05370000004002147;Auf dem Kuhberg;POINT (6.188834931196659 51.12623682570457)
05370000004002148;Am Golfplatz;
05370000004002151;Am Kämpchen;POINT (6.287390572008015 51.123872545676186)
05370000004002152;Am Wasserwerk;POINT (6.289535542150737 51.12595908748432)
05370000004002153;Barbarastraße;POINT (6.293060666820552 51.123316136851905)
05370000004002154;Erkelenzer Straße;POINT (6.286890348799569 51.126988696457886)
05370000004002155;Gartenweg;POINT (6.2885735460903485 51.122801822578396)
05370000004002156;Grobenweg;POINT (6.284553413835939 51.12335868656926)
05370000004002157;Katharinastraße;POINT (6.290236807357127 51.12351597411673)
05370000004002158;Luehweg;POINT (6.286863710811934 51.12605512073454)
05370000004002159;An der Ziegelei;
05370000004002171;Am Betelsberg;POINT (6.282284309687002 51.1663771478057)
05370000004002172;Am Telt;POINT (6.282671371374685 51.16661356000801)
05370000004002173;Angerweg;POINT (6.283717953378189 51.16740734451238)
05370000004002174;Anton-Heinen-Straße;POINT (6.283804585633338 51.16998378695514)
05370000004002175;Dahlener Straße;POINT (6.284730614936762 51.167618645962)
05370000004002176;Dülkener Straße;POINT (6.283599018567167 51.165285356960645)
05370000004002177;In Balkhoven;POINT (6.292214258425322 51.159112527586586)
05370000004002178;In Bollenberg;POINT (6.27994288564876 51.16037179305848)
05370000004002179;Molzmühlenweg;POINT (6.2829679005587975 51.16618102205825)
05370000004002180;Schwaamer Straße;POINT (6.284280027937218 51.16960587014252)
05370000004002181;Stefchensweg;POINT (6.286996114415431 51.17007038099027)
05370000004002182;Schrofmühle;POINT (6.282532131692277 51.15869530210415)
05370000004002183;Schmitzweg;POINT (6.28466148867527 51.165659769953834)
05370000004002201;Am Hof;POINT (6.328279573935768 51.10892157448341)
05370000004002202;Am Speicher;POINT (6.341143209574881 51.10940471862532)
05370000004002203;Am Wellet;POINT (6.324925521404189 51.11100257712307)
05370000004002204;Anhovener Straße;POINT (6.325895102187243 51.109924601500644)
05370000004002205;Asternstraße;POINT (6.335261892120159 51.1125880648558)
05370000004002206;Buchholzer Straße;POINT (6.340773879906526 51.11212949805105)
05370000004002207;Franz-Pesch-Straße;POINT (6.334817491195349 51.111386057357926)
05370000004002208;Fröbelstraße;POINT (6.332356273597055 51.11266363810524)
05370000004002209;Gladbacher Straße;POINT (6.333751444645513 51.1224915440816)
05370000004002210;Grambuscher Straße;POINT (6.327715957916517 51.11232703343385)
05370000004002211;Jahnstraße;POINT (6.3309360180760414 51.11240471926838)
05370000004002212;Johannes-Pellen-Straße;POINT (6.330084869664315 51.11142906359455)
05370000004002213;Josef-Loogen-Straße;POINT (6.335045749238523 51.11046184654213)
05370000004002214;Lilienstraße;POINT (6.334347962609335 51.11259032682225)
05370000004002215;Narzissenstraße;POINT (6.332941950498225 51.115746510919294)
05370000004002216;Nelkenstraße;POINT (6.3323006866381135 51.11575491714667)
05370000004002217;Oestricher Weg;POINT (6.340014329211707 51.11052192424637)
05370000004002218;Rather Straße;POINT (6.334002215654707 51.10923953205911)
05370000004002219;Rheinweg;POINT (6.337071610105682 51.114130714647295)
05370000004002220;Rochusstraße;POINT (6.332784812751376 51.11039829922655)
05370000004002221;Rosenstraße;POINT (6.331984297891717 51.11617533192077)
05370000004002222;Sonnenweg;POINT (6.331971562115915 51.11529117216171)
05370000004002223;Tulpenstraße;POINT (6.332996665048843 51.11485255785961)
05370000004002224;Venrather Straße;POINT (6.335891924798435 51.10890468667611)
05370000004002225;Im Bongert;POINT (6.332161376584885 51.11067639402753)
05370000004002226;Robert-Bosch-Straße;POINT (6.327352942487132 51.112908070911786)
05370000004002227;Enzianstraße;POINT (6.334398175909416 51.11665535809136)
05370000004002228;August-Horch-Allee;POINT (6.329957591136875 51.11671329040033)
05370000004002229;Am Gaskessel;POINT (6.3333144953667615 51.116544026945064)
05370000004002251;Akazienweg;POINT (6.252034954553013 51.178518121341696)
05370000004002252;Am Houbenhof;POINT (6.247476264663102 51.17214013290248)
05370000004002253;Am Senteshof;POINT (6.24644729356651 51.17153837625318)
05370000004002254;Am Sportplatz;POINT (6.251424515319095 51.17309922955594)
05370000004002255;Arsbecker Straße;POINT (6.247557081698124 51.171711579416254)
05370000004002256;Boscherweg;POINT (6.251799095728078 51.17481536929392)
05370000004002257;Buchenstraße;POINT (6.25057870480999 51.17724926163157)
05370000004002258;Eichenstraße;POINT (6.250039463751576 51.1782122772336)
05370000004002259;Erlenstraße;POINT (6.25179786406313 51.178213537301836)
05370000004002260;Eschenstraße;POINT (6.254029040140833 51.179199208684715)
05370000004002261;Hallerstraße;POINT (6.2417575044539735 51.1726469354155)
05370000004002262;Herrenbruchweg;POINT (6.247330151488872 51.17155089305964)
05370000004002263;Houbenweg;POINT (6.248428399821171 51.171418472681204)
05370000004002264;Im Merbecker Busch;POINT (6.2516076462654055 51.15852097825983)
05370000004002266;Kettlersweg;POINT (6.239713242947084 51.161053017742475)
05370000004002267;Krefelder Straße;POINT (6.251544716071788 51.175499613315225)
05370000004002268;Merkensweg;POINT (6.241167068755289 51.170651442736954)
05370000004002269;Nopperweg;POINT (6.244643325770998 51.16689693364738)
05370000004002270;Pappelweg;POINT (6.2536386573584135 51.17906291149097)
05370000004002271;Pechtenweg;POINT (6.252167669440181 51.163796484616675)
05370000004002272;Portejansweg;POINT (6.243334419262776 51.16957714877552)
05370000004002273;Rebhuhnweg;POINT (6.23728958803518 51.153769287727464)
05370000004002274;Ringstraße;POINT (6.242367543202203 51.17157054245001)
05370000004002275;Sentesweg;POINT (6.248119614677481 51.171057704494984)
05370000004002276;Slipsbachweg;
05370000004002277;Schürensteg;
05370000004002278;Sperberweg;POINT (6.249010055727345 51.16157559084124)
05370000004002279;St.-Maternus-Straße;POINT (6.24873711230156 51.17454632538351)
05370000004002280;Talstraße;POINT (6.253324252408869 51.178494110900786)
05370000004002281;Tillmannsweg;POINT (6.251483137479873 51.17433098427136)
05370000004002282;Wacholderweg;POINT (6.252340796601187 51.17938479077004)
05370000004002283;Wienenweg;POINT (6.25320339688259 51.17553092458949)
05370000004002301;Am Vogelsang;POINT (6.32894169068699 51.130704645745936)
05370000004002302;An der Kapelle;POINT (6.332509774480883 51.13025968966506)
05370000004002303;Kreuzstraße;POINT (6.329929229211921 51.128226363139596)
05370000004002305;Von-Agris-Straße;POINT (6.333574339165711 51.12927747747664)
05370000004002321;Bahnkuhle;POINT (6.269318587880013 51.14553786584201)
05370000004002322;Harbecker Straße;POINT (6.271899805686991 51.15134860097997)
05370000004002323;Am Grenzlandring;POINT (6.274340981480039 51.15209592849762)
05370000004002324;Kringskamp;POINT (6.2771392823672 51.148113601659084)
05370000004002325;Küppersweg;POINT (6.256261385857692 51.15968253068656)
05370000004002326;Plönesweg;POINT (6.2675230990658 51.1597106264294)
05370000004002328;Ryther Weg;POINT (6.272533440853171 51.14859278748546)
05370000004002329;Schwalmweg;POINT (6.274438812618807 51.145944560587246)
05370000004002333;Niersweg;POINT (6.271250343651304 51.145798263401815)
05370000004002334;Rurweg;POINT (6.270633828998893 51.1485624491248)
05370000004002335;Maasweg;POINT (6.268414051531278 51.14604185242307)
05370000004002336;Netteweg;POINT (6.269963489530575 51.14576145807924)
