strassenschluessel;bezeichnung;geometry
05366000004003951;Adelheidstraße;POINT (6.846041860164557 50.755082579445265)
05366000004003953;Am Dinghaus;POINT (6.848790160797518 50.76669773164215)
05366000004003954;Am Swisterberg;POINT (6.850763692352094 50.77059096214716)
05366000004003955;Amselweg;POINT (6.839072255795758 50.75904646035982)
05366000004003956;Anton-Schell-Straße;POINT (6.840113084341577 50.76264039914921)
05366000004003957;Auf der Hochfahrt;POINT (6.842107754638266 50.76055051141771)
05366000004003958;Akazienweg;
05366000004003959;Azaleenweg;POINT (6.843224105694101 50.75844003533769)
05366000004003960;Bachstraße;POINT (6.835983820244683 50.757310340204896)
05366000004003961;Bahnhofsallee;POINT (6.844296435049618 50.75064151907085)
05366000004003962;Barbarastraße;POINT (6.842451463181461 50.762180036375604)
05366000004003963;Beethovenstraße;POINT (6.841835918232825 50.75001551744944)
05366000004003964;Berliner Straße;POINT (6.840718093190076 50.753672139485595)
05366000004003965;Bliesheimer Straße;POINT (6.833366247809708 50.761676508793705)
05366000004003966;Bonner Straße;POINT (6.8460811818075555 50.752325916924065)
05366000004003967;Burgstraße;POINT (6.839352300408932 50.75776123384405)
05366000004003968;Birkenweg;POINT (6.846938362550218 50.75962462303614)
05366000004003969;Buchenweg;POINT (6.846720008709502 50.76095876456346)
05366000004003970;Deutscher Platz;POINT (6.838521691232325 50.751699498917866)
05366000004003971;Donaustraße;POINT (6.837784497544075 50.75729225227687)
05366000004003972;Drosselweg;POINT (6.837567003823104 50.76002046951481)
05366000004003973;Espenweg;POINT (6.8461745614476746 50.7605155939166)
05366000004003974;Eilauer Weg;POINT (6.822218348039123 50.760593261494975)
05366000004003975;Eispfad;POINT (6.843493355064537 50.7599717178629)
05366000004003976;Enggasse;POINT (6.838816769304799 50.7572368505991)
05366000004003977;Erlenweg;POINT (6.846494342333214 50.75990874904353)
05366000004003978;Fliederweg;POINT (6.841906367378408 50.758073727055596)
05366000004003979;Friedrich-Ebert-Straße;POINT (6.8427254914089755 50.75395427911478)
05366000004003980;Finkenweg;POINT (6.838293960542285 50.76037867043395)
05366000004003981;Franzstraße;POINT (6.843622747195873 50.7549148788451)
05366000004003982;Gertrudenweg;POINT (6.845219150199201 50.75418698325288)
05366000004003983;Grabenstraße;POINT (6.840989372580154 50.75686621057948)
05366000004003984;Gürtelweg;POINT (6.8427313961125655 50.750709721429)
05366000004003985;Eibenweg;POINT (6.846058575248282 50.76094580807834)
05366000004003986;Fichtenweg;POINT (6.846884641096708 50.76029165230606)
05366000004003987;Hellweg;POINT (6.843492037218291 50.75409998360129)
05366000004003988;Holunderweg;POINT (6.84650700575003 50.758773491134406)
05366000004003989;Im Weidchen;POINT (6.84939637358118 50.76541738660402)
05366000004003990;In den Helten;POINT (6.837196596663717 50.74946972402677)
05366000004003991;Konrad-Adenauer-Straße;POINT (6.839882824467097 50.751899189064304)
05366000004003992;Karlstraße;POINT (6.845681039573428 50.75416136932169)
05366000004003993;Kastanienweg;POINT (6.844463993136202 50.76155956888057)
05366000004003994;Kölner Straße;POINT (6.839875607921799 50.75680126374621)
05366000004003995;Kyllweg;POINT (6.838175425345615 50.75309825287828)
05366000004003996;Kiefernweg;POINT (6.844692304525727 50.76081063008452)
05366000004003997;Lindenhof;POINT (6.824993461618001 50.76203954300187)
05366000004003998;Lechenicher Weg;POINT (6.810675203450026 50.75559991767277)
05366000004003999;Ludwigstraße;POINT (6.8451234274847295 50.75309783951844)
