strassenschluessel;bezeichnung;geometry
05978000004002500;Ackerstraße;POINT (7.634904375602707 51.671265806930336)
05978000004002501;Am Bellingholz;POINT (7.615569106562275 51.656695327497346)
05978000004002502;Ambrosiusweg;POINT (7.6285750303787445 51.667205887867986)
05978000004002503;Am Deipeturm;POINT (7.6360585290256004 51.6617246976117)
05978000004002504;Am Freien Stuhl;POINT (7.6240508077093985 51.65596505628445)
05978000004002505;Am Friedstein;POINT (7.639229968116973 51.663165752477205)
05978000004002506;Am Griesetorn;POINT (7.634393363745239 51.66167691281672)
05978000004002507;Am Hagen;POINT (7.633086016144568 51.6605691126846)
05978000004002509;Am Neutor;POINT (7.637011707545009 51.66272881180853)
05978000004002510;Amselweg;POINT (7.617846007788998 51.656223070232166)
05978000004002511;Am Solebad;POINT (7.630644756545085 51.65761875128806)
05978000004002512;Am Stadtgraben;
05978000004002513;Am Stadtwald;POINT (7.609105021673303 51.66974425556469)
05978000004002514;Am Steinhaus;POINT (7.637196777315296 51.66341907708137)
05978000004002515;Amtsdrostenstraße;POINT (7.631325446827502 51.66809779492506)
05978000004002516;Am Weihbach;POINT (7.651639830201932 51.664763726143974)
05978000004002517;An den 12 Bäumen;POINT (7.629470883577005 51.6553971512851)
05978000004002518;An der Femlinde;POINT (7.628123382171587 51.656446654169486)
05978000004002519;Arenbergstraße;POINT (7.639550799315941 51.666132118411596)
05978000004002520;Auf dem Berg;POINT (7.633660304523572 51.66136502067361)
05978000004002521;Auf der Wenge;POINT (7.6281638904946645 51.6587862991858)
05978000004002522;Auf der Woort;POINT (7.623942736222033 51.666133629002644)
05978000004002523;v.-Droste-Hülshoff-Straße;POINT (7.6235930681115285 51.660082551473465)
05978000004002524;Agnesweg;POINT (7.624714620921178 51.675056338612926)
05978000004002525;Abdinghof;POINT (7.645980336175802 51.66476510653253)
05978000004002526;Am Bahnhof;POINT (7.623935180577644 51.66859198028358)
05978000004002527;Am Gerlingbach;POINT (7.569977283189282 51.64781939693102)
05978000004002528;Am Sunderbach;POINT (7.561498332442454 51.6411859130074)
05978000004002529;An der Hustebecke;POINT (7.6522366540511335 51.676484062890594)
05978000004002530;Baaken;POINT (7.613495870754927 51.66479789476078)
05978000004002531;Bahnhofstraße;POINT (7.632893885384891 51.6659019037773)
05978000004002532;Barbarastraße;POINT (7.656980360418185 51.66296564619388)
05978000004002533;Beckingsbusch;POINT (7.654263452723297 51.66048451635862)
05978000004002534;Beckingshof;POINT (7.645874730726534 51.66728076340117)
05978000004002535;Becklohhof;POINT (7.627504526677703 51.664057363186856)
05978000004002536;Beethovenstraße;POINT (7.634783450864398 51.659427847690125)
05978000004002537;Bellingheide;POINT (7.620094600575354 51.662052608600796)
05978000004002538;Bergstraße;POINT (7.643587847597079 51.67376962129282)
05978000004002539;Berliner Straße;POINT (7.618618159337618 51.65755471203508)
05978000004002540;Bernradstraße;POINT (7.630617105976568 51.670624209742115)
05978000004002541;Bonenkamp;POINT (7.642843828363928 51.67293380330175)
05978000004002542;Bonenstraße;POINT (7.6363073074398615 51.66465836932512)
05978000004002543;Borg;
05978000004002544;Brachtstraße;POINT (7.668961280357228 51.66811971119675)
05978000004002545;Breielstraße;POINT (7.6487997866981905 51.666200860982244)
05978000004002546;Breslauer Straße;POINT (7.654975876628314 51.66362682027539)
05978000004002547;Brevingstraße;POINT (7.659676888917739 51.66588707916916)
05978000004002548;Brink;POINT (7.641488650874107 51.67417167115297)
05978000004002549;Brinkhof;POINT (7.627223355746615 51.66615424579577)
05978000004002550;Brunebrink;POINT (7.645930833951108 51.67354149047204)
05978000004002551;Bült;POINT (7.636636457062026 51.66460091909308)
05978000004002552;Burbankstraße;POINT (7.666942245978126 51.668629453635944)
05978000004002553;Burenkamp;POINT (7.626053888968744 51.65520064185198)
05978000004002554;Burgstraße;POINT (7.632458538152616 51.66328183536561)
05978000004002555;Butenlandwehr;POINT (7.63105904392197 51.6787712397342)
05978000004002556;Brede;POINT (7.665955495631006 51.662931957611775)
05978000004002557;Barlachstraße;POINT (7.654557923057302 51.670137017660636)
05978000004002558;Beckwinkelweg;
05978000004002559;Kyritzer Straße;POINT (7.612577846268631 51.655881542413404)
05978000004002560;Lytham-St.-Annes-Straße;POINT (7.615188592090166 51.65523368158613)
05978000004002561;Walczer Straße;POINT (7.617285873727652 51.65526823329411)
05978000004002562;Bailleuler Straße;POINT (7.61316864571716 51.65489260206622)
05978000004002564;Capeller Straße;POINT (7.614849407901739 51.687988691792796)
05978000004002565;Cappenberger Straße;POINT (7.626254608957187 51.66002483917244)
05978000004002566;Carl-Von-Ossietzky-Straße;POINT (7.642860329823705 51.67076186706145)
05978000004002567;Cappenberger Damm;POINT (7.54466643747711 51.680188721392234)
05978000004002568;Eichenbusch;POINT (7.6293902359875885 51.679545918566454)
05978000004002569;Damianweg;POINT (7.627725088832765 51.667292866872735)
05978000004002570;Danziger Straße;POINT (7.656344586031424 51.663979555108405)
05978000004002571;Domhof;POINT (7.634716482086745 51.6619147152768)
05978000004002572;Dornberg;POINT (7.650547544832689 51.67102651951245)
05978000004002573;Drosselweg;POINT (7.618050421759081 51.65551759192693)
05978000004002574;Dietrich-Bonhoeffer-Straße;POINT (7.639834733131838 51.66989850876736)
05978000004002575;Dürerstraße;POINT (7.649182934026594 51.670214424995905)
05978000004002576;Dahlkamp;POINT (7.66725848881007 51.67105909124412)
05978000004002577;Grafenweg;POINT (7.6342104005899385 51.66822907999676)
05978000004002578;Eick;POINT (7.647455033404095 51.67101079967451)
05978000004002579;Elisabethstraße;POINT (7.630742812324493 51.6737875959636)
05978000004002580;Elsa-Brandstroem-Straße;
05978000004002581;Erlenbrock;POINT (7.652841850118425 51.665435936436914)
05978000004002582;Eschenweg;POINT (7.647775550474636 51.664084743904404)
05978000004002583;Bürgermeister-Grube-Straße;POINT (7.639432135155345 51.667265522877365)
05978000004002584;Emil-Nolde-Weg;POINT (7.656389286611109 51.67047908920504)
05978000004002585;Ehringhauser Weg;POINT (7.586626292432235 51.68367563305608)
05978000004002586;Lange Hege;POINT (7.600108409219308 51.6733712596146)
05978000004002587;Raiffeisenstraße;POINT (7.599848552320619 51.658136749608296)
05978000004002588;Carl-Zeiss-Straße;POINT (7.596027195453319 51.656674777675214)
05978000004002589;Feldmark;POINT (7.611533292349177 51.65840453443898)
05978000004002590;Fasanenweg;POINT (7.616340241040989 51.65734360084663)
05978000004002591;Freigrafenstraße;POINT (7.622249066105147 51.65727798723531)
05978000004002592;Freiherr-vom-Stein-Straße;POINT (7.636772413081944 51.65881305648315)
05978000004002593;Friedensstraße;POINT (7.630595267493279 51.65642554626217)
05978000004002594;Fürstenhof;POINT (7.633017309245184 51.66938009261553)
05978000004002595;Flandernstraße;POINT (7.620819641236425 51.65903934693834)
