strassenschluessel;bezeichnung;geometry
05754000005200950;Ahornweg;POINT (8.404074330236087 52.070374996148644)
05754000005200999;Alte Bielefelder Straße;POINT (8.41422173562675 52.070886740166785)
05754000005201000;Am Bach;POINT (8.41785186508549 52.07245460504178)
05754000005201001;Am Birkenhof;POINT (8.406761498420758 52.07879095559323)
05754000005201005;Am Drostenhof;POINT (8.404846672540792 52.0779913219032)
05754000005201010;Am Hang;POINT (8.401144820765648 52.06532914117393)
05754000005201020;Am Hengeberg;POINT (8.407338465183324 52.060070947120444)
05754000005201025;Am Hohlweg;POINT (8.405702418086152 52.07952688907059)
05754000005201030;Am Kerkskamp;POINT (8.415776886554934 52.071245690605444)
05754000005201040;Am Riegelbrink;POINT (8.41373792859709 52.07937765209326)
05754000005201049;Am Winkel;POINT (8.40319352579437 52.07682448758504)
05754000005201050;Ascheloher Weg;POINT (8.396626478095596 52.0730680495516)
05754000005201055;Astrid-Lindgren-Weg;POINT (8.413454773356094 52.08117461333357)
05754000005201060;Auf dem Klei;POINT (8.421676985892333 52.05783276416572)
05754000005201070;Auf der Bleeke;POINT (8.453196789674566 52.09732058236411)
05754000005201080;Bahnbreede;POINT (8.439012537125825 52.066783196376335)
05754000005201090;Bahnhofstraße;POINT (8.415390811044077 52.07579983728156)
05754000005201100;Barenhorst;POINT (8.400914067009776 52.07004092929172)
05754000005201110;Bergkamp;POINT (8.416358771612988 52.0505187396019)
05754000005201120;Bergstraße;POINT (8.408650148643579 52.07258870878476)
05754000005201130;Bielefelder Straße;POINT (8.416772597784126 52.06945889340678)
05754000005201140;Birkenweg;POINT (8.413212150332008 52.078758499413624)
05754000005201150;Blotenberg;POINT (8.419727176599629 52.06631441914617)
05754000005201160;Blumenstraße;POINT (8.419016472836802 52.07693854875979)
05754000005201170;Bokemühlenweg;POINT (8.428993492526114 52.082536881148144)
05754000005201180;Borgholzhausener Straße;POINT (8.40540784073436 52.07489088838398)
05754000005201190;Bransheide;POINT (8.428410046011246 52.07212308322223)
05754000005201200;Brennenheide;POINT (8.370211743401738 52.109612513552875)
05754000005201210;Breslauer Straße;POINT (8.422018591985736 52.06953662160299)
05754000005201220;Brunnenstraße;POINT (8.404432796562219 52.07642451705864)
05754000005201230;Buchenweg;POINT (8.402454373396806 52.06731469243688)
05754000005201235;C.-F.-Venghauss-Platz;POINT (8.415105897962317 52.073801442236)
05754000005201240;Dammstraße;POINT (8.42473948805081 52.087653404781705)
05754000005201250;Diekstraße;POINT (8.380765299827242 52.095583427875575)
05754000005201260;Dornberger Weg;POINT (8.443180066192838 52.04720326408151)
05754000005201270;Drosselweg;POINT (8.407132335674387 52.07257737993802)
05754000005201280;Egge;POINT (8.40215472597846 52.07253722337605)
05754000005201290;Eichenstraße;POINT (8.40360556818493 52.06804126647557)
05754000005201300;Ellersiek;POINT (8.43338402823967 52.078997294226404)
05754000005201310;Engerstraße;POINT (8.414904628504914 52.075952599912426)
05754000005201315;Erich-Kästner-Weg;POINT (8.413712479959088 52.0817699632635)
05754000005201320;Esch;POINT (8.421898019797032 52.08255354605544)
05754000005201330;Feldweg;POINT (8.411611500710114 52.075346976266225)
05754000005201340;Finkenweg;POINT (8.407844247651786 52.07297392663708)
05754000005201345;Flachskamp;POINT (8.424417187845895 52.068455714335094)
05754000005201350;Friedrichstraße;POINT (8.423142820134549 52.07422210312432)
05754000005201360;Gartenstraße;POINT (8.41451978977949 52.075350650573746)
05754000005201370;Gerhart-Hauptmann-Straße;POINT (8.416640778041012 52.07993397413421)
05754000005201380;Grasweg;POINT (8.424225323452822 52.07935014316625)
05754000005201390;Grenzweg;POINT (8.436714210250091 52.10336522811266)
05754000005201399;Grüner Weg;POINT (8.409970827544656 52.071562193482265)
05754000005201400;Grünstraße;POINT (8.420615946449294 52.070588205252676)
05754000005201410;Hägerfeld;POINT (8.469745799469198 52.0979521811074)
05754000005201420;Hägerstraße;POINT (8.449873272423789 52.09754678780037)
05754000005201430;Haller Straße;POINT (8.409906138095236 52.07230681598169)
05754000005201440;Heide;POINT (8.387687086617737 52.10642695646735)
05754000005201450;Heinrichstraße;POINT (8.43338536319494 52.07185227371834)
05754000005201460;Hermannstraße;POINT (8.421919822438479 52.07654750193888)
05754000005201470;Hermann-Potthoff-Straße;POINT (8.422775697607314 52.071126822904176)
05754000005201480;Holtkamp;POINT (8.438021391305972 52.05524152278335)
05754000005201490;Holzstraße;POINT (8.447660212918375 52.0818069738385)
05754000005201500;Im Bruche;POINT (8.428684426643306 52.087097277380025)
05754000005201510;Im Kloster;POINT (8.42393338715548 52.05085159741621)
05754000005201520;Im Viertel;POINT (8.414513497502377 52.072029268884584)
05754000005201521;Im Wiesengrund;POINT (8.408152294768001 52.075421347975755)
