strassenschluessel;bezeichnung;geometry
05362000004000001;Ahrstraße;POINT (6.989562356879117 50.811408275991376)
05362000004000004;Am Kronenbusch;
05362000004000005;Am Markt;POINT (6.98073631569028 50.82721350062839)
05362000004000006;Am Neuen Garten;POINT (6.978887467946227 50.824869787216514)
05362000004000007;Am Schulpfad;
05362000004000008;Am Walde;POINT (6.982048818365305 50.816638840094804)
05362000004000009;An St. Germanus;POINT (6.982939755323303 50.825149851720845)
05362000004000010;Antoniusstraße;POINT (6.968510638869833 50.82421976485527)
05362000004000011;Asbergweg;POINT (6.984116349440925 50.81449451635247)
05362000004000012;Auf dem Mühlenberg;POINT (6.967013862002281 50.826097507803404)
05362000004000013;Auf dem Rheinberg;POINT (6.980124403541357 50.82896529479816)
05362000004000014;Auf dem Sonnenberg;POINT (6.986610232903366 50.82354476633639)
05362000004000016;Balderichstraße;POINT (6.977752874697059 50.82639805231482)
05362000004000017;Bahnhofstraße;POINT (6.979726927202603 50.82388060233504)
05362000004000018;Berzdorfer Straße;POINT (6.973929322451116 50.825174237889335)
05362000004000019;Birkenstraße;POINT (6.980662341412351 50.81942360375175)
05362000004000020;Bogenstraße;POINT (6.973523753617157 50.82423642221883)
05362000004000021;Bonner Straße;POINT (6.985336883508594 50.82319408832483)
05362000004000022;Bunsenstraße;POINT (7.000237403441502 50.81294103958302)
05362000004000024;Dieselstraße;POINT (6.997077145485163 50.815696007422986)
05362000004000026;Drachenfelsweg;POINT (6.988303123222932 50.81230971489942)
05362000004000027;Dreilindenstraße;POINT (6.98165244233437 50.82318479373498)
05362000004000028;Eifelstraße;POINT (6.987282087501352 50.81388252693658)
05362000004000029;Erftstraße;POINT (6.983283973321283 50.81424796661393)
05362000004000030;Eschenweg;POINT (6.971858269390632 50.82734270416675)
05362000004000031;Ferdinandstraße;POINT (6.972568183986365 50.81895427837976)
05362000004000032;Flach-Fengler-Straße;POINT (6.974844794866186 50.818843173132606)
05362000004000033;Franzstraße;POINT (6.972722649123332 50.82049533584976)
05362000004000034;Friedensweg;POINT (6.974811994358031 50.8216296268604)
05362000004000035;Friedrichstraße;POINT (6.972476434009699 50.82150876189725)
05362000004000036;Gartenstraße;POINT (6.978082939739511 50.824738527266945)
05362000004000037;Georgstraße;POINT (6.970432762397575 50.82301086207083)
05362000004000038;Germanusstraße;POINT (6.983265349821751 50.82456908000754)
05362000004000040;Grenzgasse;POINT (6.986194308084602 50.82300172095431)
05362000004000041;Grofer Weg;
05362000004000042;Grüner Weg;POINT (6.976813295618024 50.829659215056836)
05362000004000043;Hardtstraße;POINT (6.988970188787991 50.81258813103752)
05362000004000044;Helenenstraße;POINT (6.969488124077389 50.823380106760986)
05362000004000045;Helmholtzstraße;POINT (6.991578142987298 50.820226849653224)
05362000004000046;Hirschbergweg;POINT (6.986482758808811 50.812782689043864)
05362000004000047;Hofgasse;
05362000004000048;Hubert-Stupp-Straße;POINT (6.976650828036311 50.81847582692122)
05362000004000049;Hubertusstraße;POINT (6.964895218709751 50.83012479180778)
05362000004000050;Humboldtstraße;POINT (6.990541556838844 50.82060962832687)
05362000004000051;Hunsrückstraße;POINT (6.988953417568425 50.8117270803292)
05362000004000052;Im Grund;POINT (6.978872074929038 50.82161702962338)
05362000004000053;Jahnstraße;POINT (6.976734058657936 50.81852007277576)
05362000004000054;Johannesstraße;POINT (6.969670062045093 50.8218189090775)
05362000004000055;Josefstraße;POINT (6.97069485185307 50.82067610616935)
05362000004000056;Josef-Zimmermann-Straße;POINT (6.9771732685052905 50.83047563705126)
05362000004000057;Karlstraße;POINT (6.973230307732026 50.81968028038342)
05362000004000058;Kastanienweg;POINT (6.968747301130637 50.82811397613079)
05362000004000059;Kölner Straße;POINT (6.981850984656895 50.82708832325577)
05362000004000059;Kölner Straße;POINT (6.981850984656895 50.82708832325577)
05362000004000060;Kreuz-Knippchen;POINT (7.011658016466016 50.80581844553799)
05362000004000061;Kreuzstraße;POINT (6.978901990312414 50.82448226696503)
05362000004000062;Kronenweg;POINT (6.988074680226921 50.81670193926178)
05362000004000063;Kyllstraße;POINT (6.983052148370562 50.81346968127177)
05362000004000065;Lahnstraße;
05362000004000066;Langgasse;POINT (6.978302688420936 50.82910245081444)
05362000004000067;Leinpfad;POINT (6.984812556074687 50.82572734280437)
05362000004000068;Leunaer Straße;POINT (6.9961205436565885 50.81641884661109)
05362000004000069;Leybergweg;POINT (6.984648411429794 50.81434527483362)
05362000004000070;Liebigstraße;POINT (6.991672831396254 50.819528350751895)
05362000004000071;Löwenburgweg;POINT (6.986868141019694 50.81262210906339)
05362000004000072;Lohrbergweg;POINT (6.986343855205701 50.81339515021962)
05362000004000073;Ludewigstraße;POINT (6.977307528638959 50.816828821584394)
05362000004000074;Ludwigshafener Straße;
05362000004000075;Luziastraße;POINT (6.989211687966712 50.820887599846486)
05362000004000076;Maarweg;POINT (7.001848168435309 50.810878017302684)
05362000004000077;Metzer Weg;
05362000004000078;Mainstraße;POINT (6.990220206023422 50.813862123874685)
05362000004000079;Martinstraße;POINT (6.9667353669280345 50.82457250269983)
05362000004000080;Max-Planck-Straße;POINT (6.9913736607346095 50.820749560844966)
05362000004000081;Moselstraße;POINT (6.990626284236247 50.81434410650121)
05362000004000082;Mühlenweg;POINT (6.967295565559379 50.82526975233939)
05362000004000083;Nonnenstrombergweg;POINT (6.985781828138278 50.81325336977584)
05362000004000084;Nordstraße;POINT (6.979533792544712 50.82924510982894)
