strassenschluessel;bezeichnung;geometry
05566000009200001;Erich-Schröer-Str.;POINT (7.870215931762475 52.315477804864905)
05566000009200002;Beim Steinkauz;POINT (7.8756268572783785 52.307909966404864)
05566000009200003;Söderblom-Weg;POINT (7.866725365848775 52.30786577368411)
05566000009200004;Ben-Chorin-Weg;POINT (7.867526231571624 52.30821108261732)
05566000009200005;Zwingli-Weg;POINT (7.868717429888182 52.308492082007106)
05566000009200006;Von-Bora-Weg;POINT (7.86898299597551 52.30832012942866)
05566000009200007;Buber-Weg;POINT (7.868310058469757 52.307825035647454)
05566000009200008;Barth-Weg;POINT (7.867497781751517 52.307569972433626)
05566000009200009;Schweitzer-Weg;POINT (7.869643959660483 52.30762685491111)
05566000009200010;Wichern-Weg;POINT (7.86866940800342 52.30721701423578)
05566000009200011;Sölle-Weg;POINT (7.867775683552685 52.3069754323007)
05566000009200012;Sophie-Scholl-Str.;POINT (7.8666001277212 52.30702851440812)
05566000009200014;Rosenweg;POINT (7.87370568928274 52.31995476292112)
05566000009200015;Im Heisel;POINT (7.867123401942117 52.31872765716303)
05566000009200016;Perthesweg;POINT (7.880225527096028 52.310533022510384)
05566000009200017;Kolpingweg;POINT (7.882434436194242 52.31109967371059)
05566000009200018;Ahornweg;POINT (7.889850144228749 52.31944660160411)
05566000009200019;Birkenweg;POINT (7.888716149342878 52.31851446179868)
05566000009200020;Kastanienweg;POINT (7.888837728864116 52.317603236314696)
05566000009200021;Buchenweg;POINT (7.890167195116363 52.31815858731643)
05566000009201001;Adlersteige;POINT (7.812991696266631 52.278288698712956)
05566000009201002;Alter Schulweg;POINT (7.856356915369132 52.27432743938173)
05566000009201003;Am Dölhof;POINT (7.8759838067354595 52.31319572582188)
05566000009201004;Am Freistuhl;POINT (7.87935148869353 52.314158563094935)
05566000009201005;Am Kapellenweg;POINT (7.87834841705824 52.3207495806927)
05566000009201006;Am Klee;POINT (7.868852694410625 52.316572834267376)
05566000009201007;Am Königsteich;POINT (7.889178672063187 52.31448803050366)
05566000009201008;Am Lauhügel;POINT (7.852370061969584 52.27929173621938)
05566000009201009;Am Schützenweg;POINT (7.862843507539929 52.30999316469825)
05566000009201010;Am Stern;POINT (7.8094931137611665 52.30344209425039)
05566000009201011;Am Stollenkamp;POINT (7.829185629370004 52.28737553679082)
05566000009201012;Am Tannenkamp;POINT (7.879962216097418 52.31207024681605)
