strassenschluessel;bezeichnung;geometry
05566000009602151;Am Mesterkamp;POINT (7.319608867929174 52.20756059527839)
05566000009602152;An der Aa;POINT (7.325886149992726 52.210443636837255)
05566000009602153;August-Kümpers-Str.;POINT (7.324980671384875 52.21070592821658)
05566000009602154;Augustin-Wibbelt-Str.;POINT (7.316472209432067 52.20763920835756)
05566000009602155;Bachstr.;POINT (7.328653389715875 52.213171433043875)
05566000009602156;Bahnhofstr.;POINT (7.316604577255794 52.210525800588556)
05566000009602157;Beethovenstr.;POINT (7.328180919059375 52.21359892500612)
05566000009602158;Bergstr.;POINT (7.319204692848303 52.21120288225087)
05566000009602159;Bilker Str.;POINT (7.31740407162032 52.22183144268717)
05566000009602160;Bischofsgrund;POINT (7.3031883414887595 52.20885157595307)
05566000009602161;Bodelschwinghstr.;POINT (7.307645882203514 52.20672639233689)
05566000009602162;Brahmsstr.;POINT (7.330564040556459 52.21518747323658)
05566000009602163;Breslauer Str.;POINT (7.3326157237381215 52.22078718454344)
05566000009602164;Brucknerstr.;POINT (7.3274813951009055 52.21374260553202)
05566000009602165;Bültstr.;POINT (7.326095272982859 52.20910683007105)
05566000009602166;Surenkamp;POINT (7.301466278336472 52.208213397983464)
05566000009602167;Burgsteinfurter Str.;POINT (7.319038586880152 52.20734487355978)
05566000009602168;Ellenbogen;POINT (7.317071224491355 52.209860236671105)
05566000009602169;Elschenkamp;POINT (7.334355719997677 52.22200400420277)
05566000009602170;Feldmannskamp;POINT (7.335956357673598 52.22012993414858)
05566000009602171;Frankostr.;POINT (7.307484493088416 52.20793905113921)
05566000009602172;Friedhofstr.;POINT (7.327502874235015 52.20904934723894)
05566000009602173;Friedr.-Castelle-Weg;
05566000009602174;Gerhart-Hauptmann-Str.;POINT (7.315186443946405 52.20755491913225)
05566000009602175;Glatzer Str.;POINT (7.332061750795469 52.221380693310635)
05566000009602176;Görlitzer Str.;POINT (7.331281906169498 52.221564478791095)
