strassenschluessel;bezeichnung;geometry
05974000005600501;Ahornweg;POINT (7.856470859187613 51.49986876343147)
05974000005600502;Alte Ruhr;POINT (7.856673303051931 51.48994341842296)
05974000005600503;Alter Schulweg;POINT (7.86840236054176 51.49830224360186)
05974000005600504;Am Brauk;POINT (7.857516265690888 51.49535882271581)
05974000005600505;Am Hövelwald;POINT (7.878601870269287 51.502120210995585)
05974000005600506;Am Lehmacker;POINT (7.8685978759977 51.49637401528833)
05974000005600507;Am Obergraben;POINT (7.881215051525755 51.49758759591037)
05974000005600508;Am Siepen;POINT (7.8650477061008965 51.499440863719244)
05974000005600509;Am Spring;POINT (7.860206356148881 51.497094770497114)
05974000005600510;An der Lanfer;POINT (7.86407237150167 51.49888369303221)
05974000005600511;Antoniusstraße;POINT (7.854017913186956 51.496573752880884)
05974000005600512;Bachstraße;POINT (7.861713159382326 51.49042188216434)
05974000005600513;Am Park;POINT (7.863452587487849 51.492755315650086)
05974000005600514;Bentroper Weg;POINT (7.85619208310637 51.49138325977578)
05974000005600515;Bergstraße;POINT (7.858781196522504 51.49329761470151)
05974000005600516;Birkenweg;POINT (7.858943339154632 51.494452074199344)
05974000005600517;Bischof-Ketteler-Straße;POINT (7.876915130652523 51.50132298976971)
05974000005600518;Blumenstraße;POINT (7.864511348783905 51.49607031475855)
05974000005600519;Bodelschwinghstraße;POINT (7.876314201756581 51.5019797098804)
05974000005600520;Brandholz;POINT (7.855743164363352 51.495505427219975)
05974000005600521;Brückstraße;POINT (7.85805933693374 51.489583506190414)
05974000005600522;Buchenweg;POINT (7.868760850651443 51.49909266551662)
05974000005600523;Droste-Hülshoff-Straße;POINT (7.877098591651192 51.503145055466156)
05974000005600524;Eichendorffring;POINT (7.85566772117098 51.49048157379569)
05974000005600525;Eichenstraße;POINT (7.855027981001749 51.49865281605506)
05974000005600526;Eichkampstraße;POINT (7.874698417800427 51.49707040252262)
05974000005600527;Eisenbahnstraße;POINT (7.861601104369858 51.49114030949429)
05974000005600528;Engelhardstraße;POINT (7.865117643341996 51.496582871692766)
05974000005600529;Erlenstraße;POINT (7.862259699992635 51.48998318981434)
05974000005600530;Fichtenstraße;POINT (7.858079470699327 51.49960102263825)
05974000005600531;Freiherr-Vom-Stein-Straße;POINT (7.877247811877778 51.501031233630314)
05974000005600532;Friedhofstraße;POINT (7.8650663400470915 51.49790134045105)
05974000005600533;Friedrich-Ebert-Straße;POINT (7.874952786696467 51.50174181085293)
05974000005600534;Fröndenberger Straße;POINT (7.855907196361224 51.49304651779283)
05974000005600535;Gartenstraße;POINT (7.856885385945784 51.49192115842511)
05974000005600536;Gasweg;POINT (7.865252169910436 51.49122359482804)
05974000005600537;Gerkenstraße;POINT (7.863601748243041 51.49893791545757)
05974000005600538;Grafenstraße;POINT (7.871760699481105 51.50033489532334)
05974000005600539;Grimmestraße;POINT (7.872380845736982 51.501662385692164)
05974000005600540;Grüner Weg;POINT (7.859875065096163 51.490277678358865)
05974000005600541;Haselweg;POINT (7.85315983290038 51.497435012627506)
05974000005600542;Hauptstraße;POINT (7.870939475358838 51.49698873056699)
05974000005600543;Hatzfeldstraße;POINT (7.87297219531503 51.5035482576368)
05974000005600544;Heideweg;POINT (7.856901335839683 51.49858329957024)
05974000005600545;Hessenweg;POINT (7.865158080180485 51.490794316996315)
05974000005600546;Hohe Straße;POINT (7.873239981487343 51.501122483167485)
05974000005600547;Hövelstraße;POINT (7.8778928648319715 51.50261917319619)
05974000005600548;Im Hagen;POINT (7.858271271424528 51.496646852886705)
05974000005600549;Im Klei;POINT (7.860384705700282 51.497414789095046)
05974000005600550;Im Meinerk;POINT (7.858956550470839 51.49693502977227)
05974000005600551;Immermannweg;POINT (7.874460071295468 51.50282424799045)
05974000005600552;Im Ohl;POINT (7.8546909201379425 51.49262125944115)
05974000005600553;Im Winkel;POINT (7.880951506308539 51.499104389260914)
05974000005600554;In der Eike;POINT (7.863326646450323 51.50023924256441)
05974000005600555;Isenstraße;POINT (7.870885718438505 51.49419467435053)
05974000005600556;Jägerweg;POINT (7.853388708740612 51.495586938565715)
05974000005600557;Jahnstraße;POINT (7.872058115682083 51.4955947087821)
