strassenschluessel;bezeichnung;geometry
05970000004401500;Am Bahndamm;POINT (8.110086800983115 50.85514388502064)
05970000004401501;Am Hönig;POINT (8.125597057609303 50.85543736896448)
05970000004401502;Am Kröken;POINT (8.129793994934406 50.85543989836281)
05970000004401503;An der Hager;POINT (8.1282993978531 50.86042107088911)
05970000004401504;Antoniusstraße;POINT (8.125840128275804 50.858369420311504)
05970000004401505;Anzhäuser Mühle;POINT (8.128489965843867 50.84722457709205)
05970000004401506;Anzhausener Straße;POINT (8.12387418962762 50.857658526619396)
05970000004401507;Bösselbach;POINT (8.125358225707698 50.85783165661505)
05970000004401508;Bollenberg;POINT (8.124500055507342 50.855670568967504)
05970000004401509;Concordiastraße;POINT (8.12739886466813 50.860918907490955)
05970000004401510;Deuzer Straße;POINT (8.1246991549311 50.8601803902417)
05970000004401511;Emilienhof;POINT (8.113384768891201 50.848531724059285)
05970000004401512;Flocksdorfstraße;POINT (8.112145610462521 50.855403760377456)
05970000004401513;Flurweg;POINT (8.119316016349465 50.85915142616882)
05970000004401514;Haegerstraße;POINT (8.12392335414248 50.85824518094184)
05970000004401515;Haubergweg;POINT (8.13128726836531 50.856085915364545)
05970000004401516;Hofweg;POINT (8.12492174147318 50.85747615844745)
05970000004401517;Reiterweg;POINT (8.127777436655322 50.85906979675747)
05970000004401518;Schürscheid;POINT (8.132005361495132 50.85534211114797)
05970000004401519;Wahbach;POINT (8.128348758204192 50.85549028301269)
05970000004401520;Am Obstgarten;POINT (8.127233258818668 50.86153077991487)
05970000004401521;Stahlstraße;POINT (8.113309117021064 50.85570696314539)
05970000004401530;Am Bahndamm;POINT (8.10376804996577 50.85615305667351)
05970000004401531;Am Stein;POINT (8.089142451915638 50.85711906758147)
05970000004401532;Auf dem Bühl;POINT (8.103050832453981 50.85840756336765)
05970000004401533;Bodelschwinghstraße;POINT (8.102613971585745 50.858768653041395)
05970000004401534;Brechtstraße;POINT (8.104474475902185 50.861128572315145)
05970000004401535;Falkenstraße;POINT (8.10903771969835 50.86501283208759)
05970000004401536;Feldstraße;POINT (8.102388900406034 50.86165901568047)
05970000004401537;Feuersbacher Straße;POINT (8.104984048321125 50.866048881941246)
05970000004401538;Flammersbacher Straße;POINT (8.10414444304449 50.86342547919963)
05970000004401539;Heiersche Straße;POINT (8.105909293059565 50.86379028547316)
05970000004401540;Im Borngarten;POINT (8.107598545761233 50.8632179090633)
05970000004401541;In der Mehrenbach;POINT (8.103224647080657 50.86405018699302)
05970000004401542;Jung-Stilling-Straße;POINT (8.101259223034893 50.862406627961306)
