strassenschluessel;bezeichnung;geometry
05954000003640002;Akazienweg;POINT (7.33056031476008 51.42585846770095)
05954000003640003;Albert-Schweitzer-Straße;POINT (7.378525481751317 51.44006657661513)
05954000003640004;Albertstraße;POINT (7.335371089517099 51.42497415905586)
05954000003640005;Albrecht-Dürer-Straße;POINT (7.34165238281205 51.422664358415076)
05954000003640006;Albrechtstraße;POINT (7.330116385800756 51.44966080845977)
05954000003640007;Almstraße;POINT (7.339246428346036 51.450809889070584)
05954000003640008;Alter Fährweg;POINT (7.291569126044431 51.425898712498764)
05954000003640009;Alter Garten;POINT (7.317991891998358 51.441829610240276)
05954000003640010;Alter Weg;POINT (7.365979157022477 51.43634045688141)
05954000003640011;Alte Straße;POINT (7.333758492208726 51.4171364766439)
05954000003640012;Am Ahnenplatz;POINT (7.3285240645353635 51.44988842409083)
05954000003640013;Am Anger;POINT (7.381085179669856 51.4428257863454)
05954000003640014;Am Arenberg;POINT (7.371975582326114 51.41325371408964)
05954000003640015;Am Borchholz;POINT (7.3366518021692375 51.45653295958963)
05954000003640016;Am Brandacker;POINT (7.374750154133732 51.44163228619823)
05954000003640017;Am Busche;POINT (7.312767683464074 51.43934782995942)
05954000003640018;Am Butenberg;POINT (7.330703230251589 51.4496543022926)
05954000003640019;Am Ehrenmal;POINT (7.300728590271592 51.433162174721424)
05954000003640020;Am Goltenbusch;POINT (7.344122617950134 51.4167639368539)
05954000003640021;Am Graffloh;POINT (7.339639588151268 51.42265877226814)
05954000003640022;Am Hang;POINT (7.381822450250649 51.445559019487426)
05954000003640023;Am Hedreisch;POINT (7.410941274159992 51.452659140074815)
05954000003640023;Am Hedreisch;POINT (7.410941274159992 51.452659140074815)
05954000003640024;Am Heiligen Bach;POINT (7.365274044481312 51.44356134926586)
05954000003640025;Am Heisterkamp;POINT (7.3976551818314 51.448955842890555)
05954000003640026;Am Katteloh;POINT (7.360253169148516 51.48045277576338)
05954000003640027;Am Lockvogel;POINT (7.325917729595025 51.406163672265116)
05954000003640028;Am Mühlengraben;POINT (7.33398963279536 51.43039476877282)
05954000003640029;Am Padstück;POINT (7.317426016368402 51.441684835599865)
05954000003640030;Am Rennbaum;POINT (7.3663833668781695 51.455674441111725)
05954000003640031;Am Spliethof;POINT (7.29443482140916 51.436297581993344)
05954000003640032;Am Stadion;POINT (7.360492952013457 51.44465146510709)
05954000003640033;Am Stämmisch Busch;POINT (7.306791130708666 51.44610835302901)
05954000003640034;Am Steinberg;POINT (7.299865013890997 51.44446049077516)
05954000003640035;Am Steinbruch;POINT (7.352788016202492 51.45892748404203)
05954000003640036;Am Steinrücken;POINT (7.376222987045941 51.44178613155214)
05954000003640037;Am Tiemen;POINT (7.331938460705732 51.4188483241475)
05954000003640038;Am Viehmarkt;POINT (7.341615177993687 51.438115029644784)
05954000003640039;Am Waldsaum;POINT (7.339056137160438 51.414248589288)
05954000003640040;Am Wannenbach;POINT (7.326131190594577 51.444966307820295)
05954000003640041;Am Wettberg;POINT (7.347850430790065 51.419630002470456)
05954000003640042;An den Pappeln;POINT (7.368039311796361 51.43844061338836)
05954000003640043;An der Löchte;POINT (7.405267443012371 51.454728311499736)
05954000003640044;An der Rheinischen Bahn;POINT (7.401449287166173 51.45023829825142)
05954000003640045;An der Schlinke;POINT (7.372753322112518 51.45824321531448)
05954000003640046;Annener Berg;POINT (7.375391543560387 51.4609639797262)
05954000003640047;Annenstraße;POINT (7.356299308556662 51.44061561223701)
05954000003640048;Ardeystraße;POINT (7.372894145204581 51.43645079338992)
05954000003640049;Arndtstraße;POINT (7.369279681022342 51.44852696361526)
05954000003640050;Arthur-Imhausen-Straße;POINT (7.3536216798296525 51.44042634400287)
05954000003640051;Auestraße;POINT (7.32566146292916 51.43474402080049)
05954000003640052;Auf dem Brenschen;POINT (7.337897782748433 51.42491425772716)
05954000003640053;Auf dem Felde;POINT (7.325030899558943 51.45528674388297)
05954000003640054;Auf dem Hee;POINT (7.309892638014776 51.44008730588244)
05954000003640055;Auf dem Höffken;POINT (7.319345824705684 51.44227729008606)
