strassenschluessel;bezeichnung
05158000003610612;Meiersberger Straße
05158000003614001;Akazienweg
05158000003614002;Amselweg
05158000003614003;Am Diek
05158000003614004;Am Hang
05158000003614005;Am Höfchen
05158000003614006;Am Kliff
05158000003614007;Am Müllerbaum
05158000003614008;Am Pütt
05158000003614009;Rohdenhauser Busch
05158000003614010;Am Siepen
05158000003614011;Am Sportplatz
05158000003614012;Am Braken
05158000003614013;Am Bruch
05158000003614014;Am Kalkofen
05158000003614015;Am alten Bahnhof
05158000003614016;Angerweg
05158000003614017;Aprath
05158000003614018;August-Thyssen-Straße
05158000003614019;Ahornweg
05158000003614020;Adelscheider Weg
05158000003614021;Kölnische Landstraße
05158000003614022;Asbrucher Straße
05158000003614023;Am Schlagbaum
05158000003614024;Am Wasserturm
05158000003614025;Alte Ratinger Landstraße
05158000003614026;Aprather Weg
05158000003614027;Bahnhofstraße
05158000003614028;Bausenhaus
05158000003614029;Beethovenstraße
05158000003614030;Bergstraße
05158000003614031;Birkenweg
05158000003614032;Bockswiese
05158000003614033;Breslauer Straße
05158000003614034;Bringmannshaus
05158000003614035;Buchenweg
05158000003614037;Bertolt-Brecht-Straße
05158000003614038;Bleiwäsche
05158000003614039;Anemonenweg
05158000003614040;Am Kalkstein
05158000003614041;Am Stadtpark
05158000003614042;Chemnitzer Straße
05158000003614045;Danziger Straße
05158000003614046;Dorfanger
05158000003614047;Dorfermühlenweg
05158000003614048;Dorfstraße
05158000003614049;Dornaper Straße
05158000003614050;Dresdener Straße
05158000003614051;Diakonissenweg
05158000003614052;Düsseler Feld
05158000003614054;Düsseler Straße
05158000003614055;Dillenberger Weg
05158000003614056;Dieselstraße
05158000003614057;Drosselweg
05158000003614059;Eichendorffstraße
05158000003614060;Eichenweg
05158000003614061;Ellenbeek
05158000003614063;Erfurthweg
05158000003614065;Ernst-Moritz-Arndt-Straße
05158000003614066;Erlenweg
05158000003614070;Frowinkelshäuschen
05158000003614071;Finkenweg
05158000003614072;Flandersbach
05158000003614073;Flandersbacher Straße
05158000003614074;Flehenberg
05158000003614076;Frickenhausweg
05158000003614077;Flügelskämpchen
05158000003614078;Fichtenweg
05158000003614079;Föhrenweg
05158000003614080;Gartenstraße
05158000003614081;Goethestraße
05158000003614082;Görtzheide
05158000003614083;Gerhart-Hauptmann-Straße
05158000003614084;Fortunastraße
05158000003614085;Gladiolenweg
