strassenschluessel;bezeichnung;geometry
05124000000000001;Achenbachstraße;POINT (7.123710498686414 51.26611422133409)
05124000000000002;Achenbachtreppe;
05124000000000003;Ackerstraße;POINT (7.224331097807108 51.26979492537657)
05124000000000004;Adalbert-Stifter-Weg;POINT (7.147807169141422 51.274737665466105)
05124000000000005;Adamsbusch;POINT (7.258586754551816 51.27075907162338)
05124000000000006;Adersstraße;POINT (7.154259796199728 51.2533250961166)
05124000000000007;Adlerstraße;POINT (7.188669909216572 51.268296528904735)
05124000000000008;Adolfstraße;POINT (7.179723391385032 51.26331993638875)
05124000000000009;Adolf-Vorwerk-Straße;POINT (7.202027568745615 51.2524840412829)
05124000000000010;Ahornstraße;POINT (7.186007137958535 51.27679111050538)
05124000000000011;Ahrstraße;POINT (7.1405104942853725 51.24706943516864)
05124000000000012;Akazienstraße;POINT (7.189381131665934 51.27322634692552)
05124000000000013;Alarichstraße;POINT (7.199782929768728 51.27835249353804)
05124000000000014;Albenstraße;POINT (7.233434922477704 51.25422618729422)
05124000000000015;Albert-Molineus-Straße;POINT (7.201245782480524 51.26598168505941)
05124000000000016;Albert-Schweitzer-Straße;POINT (7.154200049269637 51.277958238071314)
05124000000000017;Albertstraße;POINT (7.210866693429041 51.26748559585124)
05124000000000018;Albrechtstraße;POINT (7.145442166752923 51.26154943792813)
05124000000000019;Alemannenstraße;POINT (7.140704667520734 51.26302387439969)
05124000000000020;Alexanderstraße;POINT (7.1437323028719755 51.25514684680308)
05124000000000021;Alfredstraße;POINT (7.203160687069184 51.279329937734296)
05124000000000022;Alhausstraße;POINT (7.185725797563968 51.29103535685247)
05124000000000023;Allensteiner Straße;POINT (7.219522252405351 51.288565752538744)
05124000000000024;Alsenstraße;POINT (7.139027159556649 51.251668130128245)
05124000000000025;Alte Dorfstraße;POINT (7.096881627010806 51.23850518998245)
05124000000000026;Alte Freiheit;POINT (7.148266548332888 51.25648489280803)
05124000000000027;Altenberger Straße;POINT (7.153288045253544 51.2358180044772)
05124000000000028;Alter Lenneper Weg;POINT (7.234672848337696 51.268361468777265)
05124000000000029;Alter Markt;POINT (7.196870904692344 51.270688192418554)
05124000000000030;Alte Rottsieper Straße;POINT (7.134195490062512 51.19336423864659)
05124000000000031;Alte Straße;POINT (7.216319949742199 51.28311976185567)
05124000000000032;Am Acker;POINT (7.116827154306912 51.273056668872265)
05124000000000033;Am Adamshäuschen;POINT (7.160764570333485 51.294028090028775)
05124000000000034;Amalienstraße;POINT (7.1966333951578285 51.2648923528038)
05124000000000035;Am Anger;POINT (7.177896909719493 51.280605042650535)
05124000000000036;Am Anschlag;POINT (7.126294531840272 51.275192600559215)
05124000000000037;Am Arrenberg;POINT (7.125734277517561 51.24563934041977)
05124000000000038;Am Berghang;POINT (7.12903049709819 51.19053149189746)
05124000000000039;Am Bilten;POINT (7.207733619220074 51.28816035786555)
05124000000000040;Amboßstraße;POINT (7.135205664314852 51.20656789202345)
05124000000000041;Am Bredtchen;POINT (7.131811326342416 51.2764954570644)
05124000000000042;Am Brögel;POINT (7.179726307210975 51.26594839593079)
05124000000000043;Am Brucher Häuschen;POINT (7.156869213411002 51.28095128669824)
05124000000000044;Am Burgholz;POINT (7.129695804845052 51.22705937867)
05124000000000045;Am Buschhäuschen;POINT (7.122886946349839 51.257102166337866)
05124000000000046;Am Cleefchen;POINT (7.174672673218436 51.28139433697891)
05124000000000047;Am Cleefkothen;POINT (7.142796750097451 51.23427699288619)
05124000000000048;Am Clef;POINT (7.2015686338174145 51.26958491630733)
05124000000000049;Am Dausendbusch;POINT (7.178258956880135 51.2465266619824)
05124000000000050;Am Deckershäuschen;POINT (7.164262613410877 51.28400555866028)
05124000000000051;Am Diek;POINT (7.220372637925477 51.28517458206702)
05124000000000052;Am Dornloh;POINT (7.24619766567182 51.282157507528424)
05124000000000053;Am Dorpweiher;POINT (7.113633118383716 51.257789033450976)
05124000000000054;Am Eckbusch;POINT (7.109449890056744 51.279135852467746)
05124000000000055;Am Eckstein;POINT (7.2347552402822455 51.28873238286354)
05124000000000056;Am Ehrenmal;
05124000000000057;Am Elend;POINT (7.119627188591936 51.24239956620264)
05124000000000058;Am Elisabethheim;POINT (7.127969180881835 51.289357132565634)
05124000000000059;Am Engelnberg;POINT (7.153378031263362 51.26516957919377)
05124000000000060;Am Eskesberg;POINT (7.105501178090639 51.25769683024446)
05124000000000061;Am Flöthen;POINT (7.175178519748546 51.282806687051114)
05124000000000062;Am Forsthof;POINT (7.1572637448616385 51.240979069759014)
05124000000000063;Am Freudenberg;POINT (7.165518834265646 51.24113473145964)
05124000000000064;Am Friedenshain;POINT (7.148820177895998 51.2315943874536)
05124000000000065;Am Gebrannten;POINT (7.152976316235861 51.2810311780002)
05124000000000066;Am Gelben Sprung;POINT (7.187611131948307 51.284243778175295)
05124000000000067;Am Hackland;POINT (7.116919997708966 51.259535899225384)
05124000000000068;Am Hag;POINT (7.157981395787634 51.269007510100245)
05124000000000069;Am Haken;POINT (7.15894870584724 51.27698378463696)
05124000000000070;Am Halben Berg;POINT (7.070656869844199 51.22264894631672)
05124000000000071;Am Hammerkloth;POINT (7.1644191663238885 51.284883137493885)
05124000000000072;Am Heckendorn;POINT (7.206633876111936 51.29772689171287)
05124000000000073;Am Heckweiher;POINT (7.142367974426766 51.25782936777124)
05124000000000074;Am Hedtberg;POINT (7.24676859418647 51.271807851304196)
