strassenschluessel;bezeichnung;geometry
05170000005234501;Ahornweg;POINT (6.445902383147676 51.661588554850745)
05170000005234502;Am Amphitheater;POINT (6.450930873444559 51.666050207959934)
05170000005234503;Am Eulenturm;POINT (6.448654075994499 51.66259110874121)
05170000005234504;Am Gruithüs;POINT (6.453128896520015 51.65641419771339)
05170000005234505;Am Langacker;POINT (6.445619345907251 51.66115377288991)
05170000005234506;Am Leegen Berg;POINT (6.455107863276624 51.65376331807034)
05170000005234507;Am Sandberg;POINT (6.456444214828702 51.653682672677284)
05170000005234508;Amselweg;POINT (6.447003913720167 51.65191952601324)
05170000005234509;Am Waymannshof;POINT (6.439109163483985 51.649555876082154)
05170000005234510;An de Hohe Steeg;POINT (6.461017148797991 51.658181069052674)
05170000005234511;Antoniusstraße;POINT (6.449019628093783 51.66478354530262)
05170000005234512;Auf der Alten Burg;POINT (6.43433819860315 51.67279354574589)
05170000005234513;Alte Brauerei;POINT (6.460585965926241 51.659133579573954)
05170000005234514;Am Hasenacker;POINT (6.44074510492473 51.65004408016756)
05170000005234515;An de Gönn;POINT (6.423936954393503 51.642131910393054)
05170000005234516;Archäologischer Park;POINT (6.44923345072095 51.66855699938828)
05170000005234517;Bahnhofstraße;POINT (6.449677551983059 51.66054429042167)
05170000005234518;Bemmelstraße;POINT (6.4524853357542105 51.66360014192123)
05170000005234519;Bergweg;POINT (6.4648332437337475 51.65240011711435)
05170000005234520;Boxtelstraße;POINT (6.433990798825292 51.65531949792926)
05170000005234521;Brückstraße;POINT (6.451901990028194 51.66307024467884)
05170000005234522;Brunhildstraße;POINT (6.449457848209688 51.66383290134933)
05170000005234523;Cornelius-de-Pauw-Straße;POINT (6.454599167200467 51.65646431250721)
05170000005234524;Bongersweg;POINT (6.423026717453369 51.675595120602175)
05170000005234525;Birkenkamp;POINT (6.436391968946852 51.65246648235687)
05170000005234526;De Beyer;POINT (6.45435092859716 51.66010189080198)
05170000005234527;Drosselweg;POINT (6.449390089328391 51.65387698354588)
05170000005234528;Carl-Cuno-Straße;POINT (6.4484595011651775 51.65783161255018)
05170000005234529;Buschhoffweg;POINT (6.438222504442313 51.65004459934524)
05170000005234530;Am Nordturm;POINT (6.436386891720001 51.67059421006289)
05170000005234531;Erprather Eck;
