strassenschluessel;bezeichnung;geometry
05366000004404451;Alemannenstraße;POINT (6.654334897616412 50.690077809001984)
05366000004404452;Am Bildchen;POINT (6.65135129161264 50.693953976476244)
05366000004404453;Am Silberberg;POINT (6.6471328705463275 50.69585779338375)
05366000004404454;Bachsteinweg;POINT (6.647568886216793 50.69652908467247)
05366000004404455;Bachstraße;POINT (6.64700119065467 50.693689653460915)
05366000004404456;Bergheimer Straße;POINT (6.660938749729428 50.70033485283172)
05366000004404457;Bessenicher Weg;POINT (6.657179037640174 50.704292038776615)
05366000004404458;Karl-Esser-Straße;POINT (6.655011608453405 50.699778406188884)
05366000004404459;Bonner Straße;POINT (6.6531139794549405 50.68742302415337)
05366000004404460;Brabenderstraße;POINT (6.651285072593003 50.69094591828847)
05366000004404461;Brauersgasse;POINT (6.649085890937689 50.690041207267974)
05366000004404462;Buchenweg;POINT (6.6544055732847 50.7005326427928)
05366000004404463;Chlodwigstraße;POINT (6.648021182193454 50.68448552635934)
05366000004404464;Dreikönigenstraße;POINT (6.652341138016297 50.69703436204297)
05366000004404465;Düsseldorfer Straße;POINT (6.661067244258515 50.69716047796246)
05366000004404466;Euskirchener Straße;POINT (6.6606293637446 50.69632806564724)
05366000004404467;Frankengraben;POINT (6.653811092851837 50.69149512407665)
05366000004404468;Gasthausberg;POINT (6.646990288228171 50.6909879803746)
05366000004404469;Geicher Gasse;POINT (6.645892377057103 50.69223207061938)
05366000004404470;Gottsberg;POINT (6.6493684941019 50.694552669265256)
05366000004404471;Grüne Gasse;POINT (6.651964968627586 50.69216628364346)
05366000004404472;Guinbertstraße;POINT (6.647801760226146 50.69104697274711)
05366000004404473;Guter-Mann-Straße;POINT (6.656367940361069 50.69855739186092)
05366000004404474;Hertenicher Weg;POINT (6.6526264268545745 50.7020215438431)
05366000004404475;Hochstadenstraße;POINT (6.653899022041172 50.69793732205696)
05366000004404476;Im Wingert;POINT (6.651718973663046 50.69462487302626)
05366000004404477;Käsmarkt;POINT (6.646717559820605 50.69174235195671)
05366000004404478;Karolingerstraße;POINT (6.66356465112911 50.69851211584356)
05366000004404479;Keltenweg;POINT (6.6589086963221416 50.69313507696255)
05366000004404480;Ketteler Siedlung;POINT (6.653587570805532 50.701570556243624)
05366000004404481;Kettenweg;POINT (6.656597447019493 50.688906828877556)
05366000004404482;Kleine Grüne Gasse;POINT (6.652344179486583 50.69277353209487)
05366000004404483;Kölnstraße;POINT (6.650140537748652 50.69233611349986)
05366000004404484;Krefelder Straße;POINT (6.660289353218691 50.69904227411183)
05366000004404485;Langer Rehn;POINT (6.654051898468601 50.693182503731755)
05366000004404486;Lindenweg;POINT (6.65378512750892 50.700661390919976)
05366000004404487;Markt;POINT (6.646549458160989 50.692234398911246)
05366000004404488;Martinstraße;POINT (6.648509933425268 50.69294212800171)
05366000004404489;Merowingerstraße;POINT (6.649814731498515 50.688004668672825)
05366000004404490;Mersburdenstraße;POINT (6.654752705528157 50.69724318199392)
05366000004404491;Mühlenberg;POINT (6.647290875114522 50.689962798479094)
05366000004404492;Münsterstraße;POINT (6.648495405222205 50.691021156098664)
05366000004404493;Neffeltalstraße;POINT (6.658549691738489 50.69523590166132)
05366000004404494;Nemmenicher Straße;POINT (6.6589899460910935 50.6939142169697)
05366000004404495;Neusser Straße;POINT (6.659553034992666 50.69806657359046)
05366000004404496;Nideggener Straße;POINT (6.639966477084665 50.685013443069444)
05366000004404497;Normannengasse;POINT (6.648566565691382 50.693956866335164)
05366000004404498;Rathausgasse;POINT (6.648556422791686 50.69211493667997)
05366000004404499;Römerallee;POINT (6.6533491173929145 50.69423208994125)
05366000004404500;Rövenicher Straße;POINT (6.661033337544866 50.69556862577994)
05366000004404501;Salentinweg;POINT (6.645566232465503 50.69682920906366)
05366000004404502;Schießbahn;POINT (6.646167540546417 50.6908680328475)
05366000004404503;Schmittgasse;POINT (6.6473615219633695 50.69148493826477)
05366000004404504;Schumacherstraße;POINT (6.647970133557944 50.691631684459026)
05366000004404505;Siebengebirgsstraße;POINT (6.657722980525955 50.696305149309076)
05366000004404506;Steinfelder Straße;POINT (6.651386162942232 50.688677212964585)
05366000004404507;Tannenweg;POINT (6.654749331159241 50.700324253283014)
05366000004404508;Tempelgasse;POINT (6.64626864930839 50.68796725290057)
05366000004404509;Ubierweg;POINT (6.6553726440964285 50.693314891113594)
05366000004404510;Ulmenweg;POINT (6.653557378205177 50.701052272691975)
05366000004404511;Von-Bodelschwingh-Straße;POINT (6.655513585750883 50.70112248334047)
05366000004404512;Von-Lutzenberger-Straße;POINT (6.65260113357954 50.691110038615456)
05366000004404513;Walramstraße;POINT (6.657786106045438 50.69972703399282)
05366000004404514;Weierstraße;POINT (6.645621065215612 50.69180354243312)
05366000004404515;Xantener Straße;POINT (6.662229700623082 50.69440732093548)
05366000004404516;Blatzheimer Straße;POINT (6.662137092949759 50.70202454716629)
05366000004404517;Duisburger Straße;POINT (6.662486489188251 50.69656041855953)
05366000004404518;Golzheimer Straße;POINT (6.6594693005776895 50.70266790582818)
05366000004404519;Blayer Straße;POINT (6.658207288087891 50.69066444256253)
05366000004404520;Schleidener Straße;POINT (6.6505631310905535 50.68852954260104)
05366000004404521;Industriestraße;POINT (6.66297283973425 50.6992517146338)
05366000004404522;Giesebrechtstraße;POINT (6.651276046544644 50.698591378810484)
05366000004404523;Tacitusstraße;POINT (6.652853928532938 50.69825853983573)
05366000004404524;Theuderichstraße;POINT (6.653780596232416 50.699818555637435)
05366000004404525;Von-Westerburg-Straße;POINT (6.656465386477391 50.69755088514619)
05366000004404526;Adenauerplatz;POINT (6.652508162644966 50.688867527164525)
05366000004404527;Danziger Straße;POINT (6.657814236335326 50.693501290291344)
05366000004404528;Königsberger Straße;POINT (6.659140186510401 50.692332376965275)
05366000004404529;Marienburger Straße;POINT (6.659428141288836 50.69264730135794)
05366000004404530;Allensteiner Straße;POINT (6.657283563490464 50.69306222431559)
05366000004404531;Tilsiter Straße;
05366000004404532;Josef-Peiffer-Platz;POINT (6.649442517255038 50.69213274474624)
05366000004404533;An der Industriebahn;POINT (6.6691531129207915 50.69569256838019)
05366000004404534;Klever Straße;POINT (6.65917150248922 50.69761416073716)
05366000004404535;Rochushof;POINT (6.656646192052679 50.68715897994327)
05366000004404536;Pastor-Bauer-Straße;POINT (6.645276968353588 50.696001017395815)
05366000004404537;Juhlsgasse;
05366000004404538;Am Ziegelbruch;POINT (6.667150619848573 50.70077898758791)
05366000004404539;Adolf-Kolping-Straße;POINT (6.640293572745388 50.68396073379621)
05366000004404540;Bürvenicher Straße;POINT (6.643013527000868 50.684863226529586)
05366000004404541;Am Baumgarten;POINT (6.639741218930591 50.685846743271505)
05366000004404542;Cellitinnenweg;POINT (6.658036802774968 50.67939642893708)
05366000004404543;Hermann-Josef-Straße;POINT (6.640128329286895 50.68470653770835)
05366000004404544;Juntersdorfer Straße;POINT (6.637998179670325 50.68525061168951)
05366000004404545;Luxemburger Straße;POINT (6.64867870571145 50.6706354618572)
05366000004404546;Neuer Weg;POINT (6.642588729963418 50.687034066957395)
05366000004404547;Lichweg;
05366000004404548;Augustinusstraße;POINT (6.644398301675536 50.68510130871231)
05366000004404549;Schafsacker;POINT (6.640613907385969 50.682889816689716)
05366000004404551;Pastor-Kremers-Straße;POINT (6.641717341288549 50.682080986317)
05366000004404552;Am Wassersportsee;POINT (6.644501524199014 50.680702160480166)
05366000004404553;Friedrich-Ebert-Straße;POINT (6.656791009166522 50.688165467827105)
05366000004404555;Paul-Hubert-Pesch-Straße;POINT (6.651053536964491 50.6920145061171)
05366000004404557;Theodor-Heuss-Straße;POINT (6.6551253272760675 50.68883561948272)
05366000004404558;Von-Hengebach-Straße;POINT (6.6483216152780695 50.67051249452424)
05366000004404559;Elster Straße;POINT (6.660262588388822 50.695469160613186)
05366000004404560;Kangasalastraße;POINT (6.659383169350606 50.69457885593801)
05366000004404561;Tarregastraße;POINT (6.659094528687834 50.69528407743286)
05366000004404562;Leiwener Straße;POINT (6.658127981012369 50.69480751124111)
05366000004404563;Alte Kornkammer;POINT (6.656132080351996 50.69582649218497)
05366000004404564;Am Meilenstein;POINT (6.6695363089286195 50.70059226981871)
05366000004404565;Am Braunacker;POINT (6.6853859869484635 50.69484150020222)
05366000004404566;Bruchstraße;POINT (6.686188590670393 50.68973154850649)
05366000004404567;Dechant-Zangs-Straße;POINT (6.68601642989739 50.691115249260285)
05366000004404568;Haus Lauvenburg;POINT (6.686346224643735 50.68706404525754)
05366000004404569;Lüssem;POINT (6.690353302514805 50.69452802902496)
05366000004404570;Lüssemer Straße;POINT (6.686157446430611 50.69203959123203)
05366000004404571;Peter-Simons-Straße;POINT (6.685228717390394 50.69040053763478)
05366000004404572;Philipp-Orth-Straße;POINT (6.685235406354883 50.68951552923536)
05366000004404573;Poststraße;POINT (6.681763023218257 50.68807654826518)
05366000004404574;Rotbachstraße;POINT (6.687136173952687 50.689954815154636)
05366000004404575;Schnorrenberg;POINT (6.693770554673892 50.688822538484914)
05366000004404576;Schnorrenberger Allee;POINT (6.6897340022118215 50.68839640871061)
05366000004404577;Ägidiusweg;POINT (6.691993389374298 50.69391494577804)
05366000004404578;Am Burgweiher;POINT (6.690790175284 50.69450465015009)
05366000004404579;Heerfahrt;POINT (6.681788428100579 50.68843513104052)
05366000004404580;Hubertushof;POINT (6.69681024242605 50.69711990587468)
05366000004404581;Im Weidchen;POINT (6.691177378302046 50.69113845617964)
05366000004404582;Pützacker;POINT (6.693166220941528 50.696391522831)
05366000004404583;Hubert-Trimborn-Straße;POINT (6.6859288035832325 50.69311634152669)
05366000004404584;Peter-Geuer-Straße;POINT (6.68697860324617 50.692781358693416)
05366000004404586;Bitzgasse;POINT (6.655367609337015 50.7137340222283)
05366000004404587;Dürener Straße;POINT (6.655104172424174 50.711510712254466)
05366000004404588;Im Odenthal;POINT (6.667968540511697 50.71074352784598)
05366000004404589;Kreuzstraße;POINT (6.659694662351027 50.711506522872746)
05366000004404590;Mönchhof;POINT (6.657986973371933 50.71746808730147)
05366000004404591;Mönchhofweg;POINT (6.655502264818716 50.71467005655501)
05366000004404592;Bessenicher Mühle;POINT (6.652456450143397 50.714555579814736)
05366000004404593;Schützenstraße;POINT (6.652666195483294 50.713238360752335)
05366000004404594;Sportplatzweg;POINT (6.654855456385352 50.71184822407964)
05366000004404595;Wiesenstraße;POINT (6.6577651918870755 50.71106175619093)
05366000004404596;Im Kirchfeldchen;POINT (6.6575912653699785 50.71273933714296)
05366000004404597;Im Mühlenfeldchen;POINT (6.654220596722278 50.71225866074349)
05366000004404598;Zum Mühlengraben;
05366000004404599;Seegartenstraße;POINT (6.660118942398571 50.68781611533812)
05366000004404600;Apfelweg;POINT (6.6593677023802 50.68826618281422)
05366000004404601;Quittenweg;POINT (6.656997256567221 50.687562930219094)
05366000004404602;Kirschweg;POINT (6.660202378893466 50.68737968890945)
05366000004404603;Birnenweg;POINT (6.660323909070167 50.686948200832646)
05366000004404604;Im Bungert;POINT (6.709498187457498 50.70165601879499)
05366000004404605;Kornmühlenweg;POINT (6.706882782668168 50.69942169467681)
05366000004404606;An der Ölmühle;POINT (6.710128793139742 50.70204535847095)
05366000004404607;Bollheimer Straße;POINT (6.707433436431424 50.700644514468934)
05366000004404608;Haus Bollheim;POINT (6.711574372806668 50.697709901166775)
05366000004404609;Kellerhofstraße;POINT (6.70955079988946 50.70122541275146)
05366000004404610;Drimbornweg;POINT (6.683009220807276 50.71164349735815)
05366000004404611;Auf'm Hagedorn;POINT (6.688313367964508 50.70855573239102)
05366000004404612;Oberelvenicher Straße;POINT (6.685564184366595 50.71092274950995)
05366000004404613;Pankratiusstraße;POINT (6.6853628543587655 50.70963542093987)
05366000004404614;Siechhaus;POINT (6.684702780567113 50.71699454520935)
05366000004404615;Tiefenthaler Straße;POINT (6.68670784396163 50.70767196591479)
05366000004404616;Vogelsangstraße;POINT (6.6882044421182885 50.709600087361)
05366000004404617;Zülpicher Gasse;POINT (6.686554635017399 50.709575269013925)
05366000004404618;Sankt-Hubertus-Weg;POINT (6.689571346405241 50.70808349861176)
05366000004404619;Prälat-Lessenich-Straße;POINT (6.689138958777989 50.70956133829881)
05366000004404620;Kuhweider Weg;POINT (6.68587415007025 50.71176001465814)
