strassenschluessel;bezeichnung
05962000000401001;Am Knerling
05962000000401003;Eichendorffstraße
05962000000401004;Elsa-Brandström-Straße
05962000000401005;Friedrich-Ebert-Straße
05962000000401006;Gustav-Selve-Straße
05962000000401007;Neu-Sassenscheid
05962000000401008;Am Papenberg
05962000000401015;Brachtenbecker Weg
05962000000401016;Grennigloher Weg
05962000000401017;Im Kammersiepen
05962000000401025;Am Halse
05962000000401026;Am Tiergarten
05962000000401027;Graf-Adolf-Straße
05962000000401028;Graf-Dietrich-Straße
05962000000401029;Graf-Eberhard-Straße
05962000000401030;Graf-Engelbert-Straße
05962000000401031;Holtzbrinckstraße
05962000000401040;Am Hünengraben
05962000000401041;Hagener Straße
05962000000401042;Harkortstraße
05962000000401043;Hermann-Voß-Straße
05962000000401044;Humboldtstraße
05962000000401045;Liebigstraße
05962000000401046;Pragpaul
05962000000401051;Am Grünen Wege
05962000000401053;An der Lohmühle
05962000000401054;Blumenstraße
05962000000401056;Friedhofstraße
05962000000401057;Gartenstraße
05962000000401058;Gehegde
05962000000401059;Gehegder Weg
05962000000401060;Hegenscheider Weg
05962000000401061;Iserlohner Straße
05962000000401062;Jahnstraße
05962000000401063;Überm Trimpop
05962000000401064;An der Egge
05962000000401065;Feldstraße
05962000000401070;Am Loerweg
05962000000401071;Am Richtpfad
05962000000401072;Hembergstraße
05962000000401073;Hugo-Borbeck-Straße
05962000000401074;Im Kleff
05962000000401075;Immenweg
05962000000401076;Am Hartenstein
05962000000401077;Kleffstraße
05962000000401078;Linscheider Bach
05962000000401079;Nordstraße
05962000000401080;Wixbergstraße
05962000000401086;Bahnhofstraße
05962000000401087;Bismarckstraße
05962000000401088;Freiherr-Vom-Stein-Straße
05962000000401089;Gerichtsstraße
05962000000401090;Kicküm
05962000000401091;Lüdenscheider Straße
05962000000401092;Hardenbergstraße
05962000000401093;Am Selvedenkmal
05962000000401111;Am Lennestein
05962000000401112;Am Markaner
05962000000401113;Am Roten Berge
05962000000401114;Am Stapel
05962000000401115;An der Kirche
05962000000401116;Bornstraße
05962000000401118;Bungernstraße
05962000000401119;Burgweg
05962000000401120;Freiheitstraße
05962000000401121;Fritz-Thomee-Straße
05962000000401122;Im Küstersort
05962000000401123;Im Muckebeutel
05962000000401124;Kirchstraße
05962000000401125;Lennestraße
05962000000401126;Lenneuferstraße
05962000000401127;Lindenstraße
05962000000401128;Linscheidstraße
05962000000401129;Marktstraße
05962000000401130;Nalshof
05962000000401131;Oststraße
05962000000401132;Steinstraße
05962000000401151;Brandstraße
05962000000401152;Buchholzstraße
05962000000401153;Halsknopf
05962000000401154;Im Lissingsiepen
05962000000401155;Linacker Weg
05962000000401156;Lissing
05962000000401157;Lissingweg
05962000000401158;Stempfert
05962000000401159;Stortel
05962000000401160;Werdohler Straße
05962000000401161;Winkelsen
05962000000401177;An der Oelmühle
05962000000401178;Angst
05962000000401179;Anschlag
05962000000401180;Bachstraße
05962000000401181;Bergstraße
05962000000401182;Eggestraße
05962000000401183;Giershagener Weg
05962000000401184;Gottenpfad
05962000000401185;Grabenstraße
05962000000401186;Graetzstraße
05962000000401187;Hinterm Bach
05962000000401188;Klusenstraße
05962000000401189;Kohlhagener Weg
05962000000401190;Kronenstraße
05962000000401191;In der Heimecke
05962000000401192;Nettestraße
05962000000401193;Schreck
05962000000401194;Steinwinkel
05962000000401195;Westiger Straße
05962000000401196;Zweifelmut
05962000000401221;Altenaer Straße
05962000000401222;Alter Weg
05962000000401223;Am Beil
05962000000401224;Auf der Ebene
05962000000401225;Bäckerssiepen
05962000000401226;Brautweg
05962000000401227;Breitenstück
05962000000401228;Dahler Straße
05962000000401229;Deifenholz
05962000000401230;Ehrenmalstraße
05962000000401231;Eichenweg
05962000000401232;Grubenweg
05962000000401233;Hasenkampstraße
05962000000401234;Hauptstraße
05962000000401235;Hochstraße
05962000000401236;Im Hof
05962000000401237;Im Nossenberg
05962000000401238;Kämpenstraße
05962000000401239;Kohlberghaus
05962000000401240;Lanferschlade
05962000000401241;Luckenbachweg
05962000000401242;Ludmecke
05962000000401243;Mondhahnstraße
05962000000401244;Mühlenstraße
05962000000401245;Mühlhofstraße
05962000000401246;Netzschlade
05962000000401247;Neuenrader Straße
05962000000401248;Niedermöllerstraße
05962000000401249;Rehecke
05962000000401250;Rüterschlad
05962000000401251;Samenholz
05962000000401252;Schlettenhof
