strassenschluessel;bezeichnung
05970000000421001;Alte Warte
05970000000421002;Am Baumrain
05970000000421003;Am Breitenbach
05970000000421004;Tilsiter Straße
05970000000421005;Am Burgfeld
05970000000421006;Am Gehre
05970000000421007;Am Herrenacker
05970000000421008;Am Hilgenacker
05970000000421009;Am Hinterrain
05970000000421010;Am Klingelbach
05970000000421011;Am Seifchen
05970000000421012;Am Sengelsberg
05970000000421013;Am Stöppelsbach
05970000000421014;An der Gontardslust
05970000000421015;An der Lause
05970000000421016;An der Odebornskirche
05970000000421017;Astenbergstraße
05970000000421018;Auf der Osterwiese
05970000000421019;August-Borsig-Weg
05970000000421020;Bahnhofstraße
05970000000421021;Barthstraße
05970000000421022;Berlebach
05970000000421023;Berliner Straße
05970000000421024;Bernauer Straße
05970000000421025;Bismarckstraße
05970000000421026;Breslauer Straße
05970000000421027;Ederstraße
05970000000421028;Am Schloßpark
05970000000421029;Eichenweg
05970000000421030;Emil-Wolff-Straße
05970000000421031;Ulmenweg
05970000000421032;Ernst-Reuter-Weg
05970000000421033;Espeweg
05970000000421034;Feldstraße
05970000000421035;Ferdinand-Sauerbruch-Weg
05970000000421036;Fohlenweg
05970000000421037;Franz-von-Winckel-Weg
05970000000421038;Fürst-Richard-Straße
05970000000421039;Gartenweg
05970000000421040;Goetheplatz
05970000000421041;Graf-Casimir-Straße
05970000000421042;Haspelstraße
05970000000421043;Heinrich-Zille-Weg
05970000000421044;Hillerbachweg
05970000000421045;Hochstraße
05970000000421046;Ahornweg
05970000000421047;Homrighäuser Weg
05970000000421048;Im Gunzetal
05970000000421049;Am Sportfeld
05970000000421050;Im Herrengarten
05970000000421051;Im Mühlbach
05970000000421052;In der Aue
05970000000421053;Jacob-Nolde-Straße
05970000000421054;Kastanienweg
05970000000421055;Lerchenweg
05970000000421056;Limburgstraße
05970000000421057;Lösser Weg
05970000000421058;Ludwigsburgstraße
05970000000421059;Marienburger Straße
05970000000421060;Marktplatz
05970000000421061;Moltkestraße
05970000000421062;Mühlwiese
05970000000421063;Obere Moltkestraße
05970000000421064;Odebornsweg
05970000000421065;Parkstraße
05970000000421066;Paul-Lincke-Weg
05970000000421067;Poststraße
05970000000421068;Am Alten Weinberg
05970000000421069;Rohrbachstraße
05970000000421070;Roonstraße
05970000000421071;Sählingstraße
05970000000421072;Scheidelwitzer Weg
05970000000421073;Schloßstraße
05970000000421074;Schulstraße
05970000000421075;Schützenstraße
05970000000421076;Stöppelsweg
05970000000421077;Sudetenstraße
05970000000421078;Talstraße
05970000000421079;Teichstraße
05970000000421080;Tempelhofer Straße
05970000000421081;Theodor-Fontane-Weg
05970000000421082;Tiergartenstraße
05970000000421083;Trufterhainstraße
05970000000421084;Unterm Hain
05970000000421085;Unterm Höllscheid
05970000000421086;Wasserstraße
05970000000421087;Wiesenweg
05970000000421088;Wilhelm-Sauer-Straße
05970000000421089;Ziegeleiweg
05970000000421090;Altengraben
05970000000421091;Am Spielacker
05970000000421092;Hinter der Lenne
05970000000421093;Latzbruch
05970000000421094;Meckhausen
05970000000421095;Reifelsbach
05970000000421096;Forsthaus Homrighausen
05970000000421097;Forsthaus Trufterhain
05970000000421098;Hof Bilsterbach
05970000000421099;Hof Espe
05970000000421100;Hof Lützelsbach
05970000000421101;Hof Mühlbach
05970000000421102;Hof Rohrbach
05970000000421103;Hof Steinbach
05970000000421104;Hof Windbrache
05970000000421105;Hof Stöppelsbach
05970000000421106;Hof Trufterhain
05970000000421107;Hof Wolfsgraben
05970000000421108;Arnikaweg
05970000000421109;Brandenburger Straße
05970000000421110;Corneliusweg
05970000000421111;Hermann-Böttger-Straße
05970000000421112;Abrahamsrain
05970000000421113;An der Flachsbreche
05970000000421114;Birkenweg
05970000000421115;Buchenweg
05970000000421116;Lindenweg
05970000000421117;Herrenwiese
05970000000421118;Kanalstraße
05970000000421119;Im Hopplerbach
05970000000421120;Königsberger Straße
05970000000421121;Waldenburger Straße
05970000000421122;Stettiner Straße
05970000000421300;Dorfstraße
05970000000421301;Im Rosengarten
05970000000421302;Im Scharlsbach
05970000000421303;Im Schwarzenbach
05970000000421304;In der Neustadt
05970000000421305;Zum Katzensturz
05970000000421306;Zur Carlsburg
05970000000421310;Alte Feld
05970000000421311;Am Heller
05970000000421312;Am Kirchweg
05970000000421313;Arfelder Hammer
05970000000421314;Arfelder Hauptstraße
05970000000421315;Arfetalstraße
05970000000421316;Eichendell
05970000000421317;Gersbachweg
05970000000421318;Hainbachweg
05970000000421319;Heide
05970000000421320;Hommertshäuser Weg
05970000000421321;Im Ahlen
05970000000421322;Im Regel
05970000000421323;Kreuzstraße
05970000000421324;Leigarten
05970000000421325;Mühlbach
05970000000421326;Oberes Loh
05970000000421327;Rosenweg
05970000000421328;Stedenhofstraße
05970000000421329;Unteres Loh
05970000000421330;Vorm Tor
05970000000421331;Zum Köppel
05970000000421332;Zur Delle
05970000000421333;Kleine Loh
05970000000421340;Adelsbachweg
05970000000421341;Alte Dorfstraße
05970000000421342;Am Jägerhof
05970000000421343;Am Kapplerstein
05970000000421344;Hauptstraße
05970000000421345;Hinter der Laie
05970000000421346;Hudeweg
05970000000421347;Im Graben
05970000000421348;In der Müsse
05970000000421349;Kappelstraße
05970000000421350;Köpfchenweg
05970000000421351;Pulvermühle
05970000000421352;Sehlbergweg
05970000000421353;Zu den Gründen
05970000000421354;Zum Heilbach
05970000000421390;Am Hahlacker
05970000000421391;Auf der Zäune
05970000000421392;Bachweg
05970000000421393;Beddelhäuser Straße
05970000000421394;Dornbrachtweg
05970000000421395;Dreisbach
05970000000421396;Ederhöhe
05970000000421398;Im Leisebach
05970000000421399;Im Winkel
05970000000421400;Obere Hardtstraße
05970000000421401;Obereiche
05970000000421402;Raumelsberg
05970000000421403;Rosenhofweg
05970000000421404;Schreinersweg
05970000000421405;Seibelsbach
05970000000421406;Untere Hardtstraße
05970000000421407;Wörthstraße
05970000000421420;Adolf-Böhl-Straße
05970000000421421;Ahornstraße
05970000000421422;Altmühlbachtal
05970000000421423;Am Biel
05970000000421424;Am Friedhof
05970000000421425;Am Kilbe
05970000000421426;Am Winterscheid
05970000000421427;An der Struth
05970000000421428;An der Warthe
05970000000421429;Berghäuser Straße
05970000000421430;Birkenstraße
05970000000421431;Buchenstraße
05970000000421432;Grünewald
05970000000421433;Im Hopplerbach
05970000000421434;Im Krimmelsbach
05970000000421435;Im Willstein
05970000000421436;In der Forstbach
05970000000421437;In der Hude
05970000000421438;In der Trufte
05970000000421439;Industriestraße
05970000000421440;Kastanienstraße
05970000000421441;Lehmbachstraße
05970000000421442;Lindenstraße
05970000000421443;Schmallenberger Haus
05970000000421444;Schnells Ecke
05970000000421445;Unter der Hohen Fuhr
05970000000421446;Unterm Kilbe
05970000000421447;Zum Kinderzentrum
05970000000421448;Zur Ecke
05970000000421449;Auf dem Brunkel
05970000000421450;Schlesienstraße
05970000000421451;Ostpreußenstraße
05970000000421452;Ulmenstraße
05970000000421453;Danziger Straße
05970000000421454;In der Krimmelsdell
05970000000421510;Am Höfchen
05970000000421511;Am Sohl
05970000000421512;Burg
05970000000421513;Hellersbacher Weg
05970000000421514;Hellewiese
05970000000421515;Im Gründchen
05970000000421516;Im Kraftsholz
05970000000421517;Johannes-Althusius-Straße
05970000000421518;Lichtenberg
05970000000421519;Platz
05970000000421520;Steinert
05970000000421521;Zum Ehrenmal
05970000000421522;Zum Eichbach
05970000000421523;Zum Heiligenholz
05970000000421524;Zum Seibelsbach
05970000000421525;Zur Saale
05970000000421530;Am Eisenstein
05970000000421531;Am Kreuz
05970000000421532;Blumenstraße
05970000000421533;Burgstraße
05970000000421534;Eichenstraße
05970000000421535;Eisbachstraße
05970000000421536;Dotzlarer Hauptstraße
05970000000421537;Fliederstraße
05970000000421538;Hof Hude
05970000000421539;Kellerbergstraße
05970000000421540;Laubrother Straße
05970000000421541;Lerchenstraße
05970000000421542;Sassenhäuser Straße
05970000000421543;Zum Ederblick
05970000000421544;Grundweg
05970000000421551;Am Hain
05970000000421552;Am Reitelsberg
05970000000421553;Arfelder Berg
05970000000421554;Bachstraße
05970000000421555;Bernhardtsmühle
05970000000421556;Brauweg
05970000000421557;Brücher
05970000000421558;Brückenstraße
05970000000421559;Christianseck
05970000000421560;Delle
05970000000421561;Freielsbach
05970000000421562;Haingraben
05970000000421563;Hainhof
05970000000421564;Im Butschbach
05970000000421565;Im Garsbach
05970000000421566;Im Grund
05970000000421567;Immenweg
05970000000421568;Jakobstraße
05970000000421569;Kirchstraße
05970000000421570;Kohl
05970000000421571;Lilienberg
05970000000421572;Mennertalstraße
05970000000421573;Nordstraße
05970000000421574;Rübengrund
05970000000421575;Schlade
05970000000421576;Schützenweg
05970000000421577;Struthbach
05970000000421578;Teiche
05970000000421579;Unterm Heiligenberg
05970000000421580;Unterm Rüttel
05970000000421581;Unterm Steimel
05970000000421582;Vogteistraße
05970000000421583;Wolpfad
05970000000421584;Hof Rudolfsgraben
05970000000421590;Am Bergelchen
05970000000421591;Am Bruch
05970000000421592;Am Scheid
05970000000421593;Bei der Kirche
05970000000421594;Berleburger Straße
05970000000421595;Dödesberg
05970000000421596;Hof Dambach
05970000000421597;Hof Repprighausen
05970000000421599;Im Birkelbach
05970000000421600;Im Ermelsbach
05970000000421601;Im Küchelbach
05970000000421602;Im Opferhof
05970000000421603;Im Süßbach
05970000000421604;In der Dell
05970000000421605;In der Odeborn
05970000000421606;In der Schlade
05970000000421607;Leyeweg
05970000000421608;Marienborn
05970000000421609;Osterweg
05970000000421610;Peteweg
05970000000421611;Pfaffenhude
05970000000421612;Schmelzhütte
05970000000421613;Schulzehof
05970000000421614;Unterm Damberg
05970000000421615;Auf der Steinert
05970000000421616;An der Sprungschanze
05970000000421617;Am Heiligenstock
05970000000421618;Obere Dell
05970000000421625;Altenberg
05970000000421626;Am Erlen
05970000000421627;Am Rundweg
05970000000421628;Balder Weg
05970000000421629;Hof Rinthersbach
05970000000421630;In der Renfte
05970000000421631;Köppelweg
05970000000421632;Neue Straße
05970000000421685;Am Böhl
05970000000421686;Am Grünen
05970000000421687;Am Heßlar
05970000000421688;Am Loh
05970000000421689;Am Steinchen
05970000000421690;Am Waiber
05970000000421691;Bei der Alten Mühle
05970000000421692;Bonifatiusstraße
05970000000421693;Ederweg
05970000000421694;Friedhofsstraße
05970000000421695;Hinterstöppel
05970000000421696;Im Edertal
05970000000421697;In der Gasse
05970000000421698;Industriestraße
05970000000421699;Markhäuser Hof
05970000000421700;Pfarrwiese
05970000000421701;Raumländer Straße
05970000000421702;Ringstraße
05970000000421703;Sauerlandstraße
05970000000421704;Stöppelsbach
05970000000421705;Stöppelsweg
05970000000421706;Südstraße
05970000000421707;Tretebach
05970000000421708;Vorderstöppel
05970000000421709;Weststraße
05970000000421710;Wittgensteiner Straße
05970000000421712;Fritz-Krämer-Straße
05970000000421725;An der Rodche
05970000000421726;An der Kegelbahn
05970000000421727;Bergstraße
05970000000421728;Didoll
05970000000421729;Finketal
05970000000421730;Forsthaus Hülshof
05970000000421731;Forsthaus Richstein
05970000000421732;Haintal
05970000000421733;Harfeld
05970000000421734;Hüttetal
05970000000421735;Im Padersbach
05970000000421736;Privatweg
05970000000421737;Mittelweg
05970000000421738;Laaspher Straße
05970000000421739;Lindenhof
05970000000421740;Richsteiner Mühle
05970000000421741;Richsteiner Straße
05970000000421742;Steigersbach
05970000000421743;Vor der Clewe
05970000000421744;Zur Alten Kirche
05970000000421745;Zur Burg
05970000000421755;Am Baldenberg
05970000000421756;Am Buchholz
05970000000421757;Eichendorf
05970000000421758;Im Dorf
05970000000421759;Rinther Straße
05970000000421760;Unter der Weide
05970000000421765;Alte Schulstraße
05970000000421766;An der Viehtrift
05970000000421767;Eder-Lahn-Straße
05970000000421768;Hainstraße
05970000000421769;Hirtenbuche
05970000000421770;In Sassenhausen
05970000000421771;Kapellenstraße
05970000000421772;Lange Zaun
05970000000421773;Untere Hainstraße
05970000000421774;Zur Aussicht
05970000000421775;Am Ohrenrain
05970000000421785;Am Bergesweg
05970000000421786;Am Polizeiweg
05970000000421787;Am Stein
05970000000421788;Burbachweg
05970000000421789;Dödesberg
05970000000421790;Dönges Hof
05970000000421791;Hof Winterbach
05970000000421792;Kühhude
05970000000421793;Schüllarhammer
05970000000421794;Toresweg
05970000000421800;Alexander-Mack-Straße
05970000000421801;Am Damm
05970000000421802;Am Kohlrücken
05970000000421803;Am Mühlgraben
05970000000421804;An der Eder
05970000000421805;Auf dem Heller
05970000000421806;Edertalstraße
05970000000421807;Forsthain
05970000000421808;Gasse
05970000000421809;Im Bach
05970000000421810;Im Hüttental
05970000000421811;Im Stillen Winkel
05970000000421812;In der Ecke
05970000000421813;In der Hohle
05970000000421814;Neuwiese
05970000000421815;Schöne Aussicht
05970000000421816;Sonnenhang
05970000000421817;Tannenweg
05970000000421818;Tiefenbacher Weg
05970000000421819;Unterm Köpfchen
05970000000421820;Zum Billing
05970000000421821;Zum Hambach
05970000000421822;Zum Sportplatz
05970000000421823;Zur Eiche
05970000000421824;Zur Turnhalle
05970000000421825;An der Struthwiese
05970000000421840;Am Windhof
05970000000421841;Drehbach
05970000000421843;Sohl
05970000000421844;Zum Festplatz
05970000000421850;Am Brückenacker
05970000000421851;Am Dreieck
05970000000421852;Am Kerstall
05970000000421853;Am Steinacker
05970000000421854;Amselweg
05970000000421855;Am Stünzel
05970000000421856;Drosselweg
05970000000421857;Erlenwiese
05970000000421858;Eschenweg
05970000000421859;In der Heuwiese
05970000000421860;In der Schlenke
05970000000421861;Moosestraße
05970000000421862;Oststraße
05970000000421863;Rothenbachweg
05970000000421864;Sassenhäuser Weg
05970000000421865;Stockwiesenweg
05970000000421866;Weidenhäuser Mühle
05970000000421867;Weidenhäuser Straße
05970000000421868;Westerfeldstraße
05970000000421869;Zum Drehbach
05970000000421870;Zwischenweg
05970000000421871;In der Moose
05970000000421872;Im Boden
05970000000421873;An der Heerstraße
05970000000421880;Am Bockshorn
05970000000421881;Am Hillerbach
05970000000421883;Am Schulweg
05970000000421884;An der Hohle
05970000000421885;An der Lindenstraße
05970000000421886;Auf dem Laibach
05970000000421887;Auf dem Rain
05970000000421888;Auf dem Sand
05970000000421889;Birkenhof
05970000000421890;Heiderbrücke
05970000000421891;Im Gängelchen
05970000000421892;Im Heidebach
05970000000421893;Im Kraftsholz
05970000000421894;Im Oberdorf
05970000000421895;Im Rüsselsbach
05970000000421896;Im Winterbach
05970000000421897;Unter der Kirche
05970000000421898;Unterm Rain
05970000000421899;Zum Heidebach
05970000000421900;Am Afflerbach
05970000000421901;Am Wernsbach
05970000000421902;Unterm Bockshorn
05970000000421903;Auf der Heide
05970000000421904;Heidehof
05970000000421905;Am Alten Backhaus
05970000000421910;Alte Landstraße
05970000000421911;Am Bilzacker
05970000000421913;Am Homberg
05970000000421914;Am Köpfchen
05970000000421915;Am Steinböhl
05970000000421916;Im Tälchen
05970000000421917;Am Röllchen
05970000000421918;An der Helle
05970000000421919;An der Kreuzebach
05970000000421920;An der Bracht
05970000000421921;An der Schule
05970000000421922;Auf dem Liedrain
05970000000421923;Casimirstal
05970000000421924;Casimirstaler Weg
05970000000421925;Hauptstraße
05970000000421926;Hellweg
05970000000421927;Im Bortling
05970000000421928;Im Christseifen
05970000000421929;Im Feld
05970000000421930;Im Radebach
05970000000421931;Im Wehland
05970000000421932;In den Höfen
05970000000421933;In den Wiesen
05970000000421934;In der Müsse
05970000000421935;In der Wester
05970000000421936;Inselweg
05970000000421937;Kirchplatz
05970000000421938;Mühlenweg
05970000000421939;Oberdorfstraße
05970000000421940;Paulsgrund
05970000000421941;Polizeyweg
05970000000421942;Priesterweg
05970000000421943;Silbachweg
05970000000421944;Steinsbachweg
05970000000421945;Unter der Rose
05970000000421946;Unter der Stehde
05970000000421947;Vor der Helle
05970000000421948;Weidiger Weg
05970000000421970;Am Gefälle
05970000000421971;Am Lotzenberg
05970000000421972;Am Schützenplatz
05970000000421973;An der Hude
05970000000421974;Auf der Gemeinde
